Column1,Block,NR/2024/22058/A/30670,NR/2024/22052/A/30669,NR/2024/22302/C,NR/2024/21954/A/30812,NR/2024/21983/A/30596,NR/2024/22081/A/30792,NR/2024/21814/A/30839,GNA/NR/2024/08/06/4330,NR/2024/21970/A/30836,NR/2024/21961/A/30622,NR/2024/21938/A/30624,NR/2024/22042/A/30580,NR/2024/22010/A/30828,NR/2024/21974/A/30838,NR/2024/21909/A/30794,NR/2024/21971/A/30837,NR/2024/22228/A/30807,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21956/A/30819,NR/2024/22080/A/30467,NR/2024/21940/A/30814,NR/30092023/31122025/SH-07,NR/2024/21943/A/30811,NR/2024/21658/A/30612,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21918/A/30831,NR/2024/22014/A/30587,NR/2024/21860/A/30793,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21966/A/30619,NR/2024/21968/A/30835,NR/2024/22318/C,NR/2024/22313/C,NR/2024/22307/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22300/C,NR/2024/22335/C,NR/2024/22301/C,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,Total
64,15:45-16:00,8.76,21.57,3.33,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,44.37,19.12,24.07,12.52,83.95,26.9071,38.52,0.96,0,90.51,1.93,48.14,0,48.14,37.2,0,0,17.33,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1438.6342000000006

65,16:00-16:15,0.77,20.41,2.82,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,44.37,15.91,24.07,12.52,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,0,48.14,37.2,0,0,1.44,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1409.7842000000005

66,16:15-16:30,1.35,18.1,2.78,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,44.37,15.91,24.07,12.52,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,0,48.14,37.2,0,0,2.12,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1408.6942000000004

67,16:30-16:45,2.12,14.54,2.26,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,44.37,15.91,24.07,12.52,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,0,48.14,37.2,0,0,2.79,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1406.0542000000003

68,16:45-17:00,3.08,10.4,1.43,24,48.14,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,192.58,37.2,44.37,15.91,24.07,12.52,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,0,48.14,37.2,0,0,3.18,0,0,27.92,0,163.93,0,0,12.4,24.23,26.9071,0,1402.4342000000004

69,17:00-17:15,0,0,1.21,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,44.37,15.91,24.07,12.52,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,24.23,26.9071,0,1385.5542

70,17:15-17:30,0,0,1.15,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,44.37,15.91,24.07,12.52,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,24.23,26.9071,0,1385.4942

71,17:30-17:45,0,0,0.92,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,44.37,15.91,24.07,12.52,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,24.23,26.9071,0,1385.2642

72,17:45-18:00,0,0,0.68,24,0,240.72,48.14,0,12.4,0,0,3.85,11.69,37.2,0,37.2,44.37,15.91,24.07,12.52,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,24.23,26.9071,0,1385.0242

73,18:00-18:15,0,0,0.45,24,0,240.72,48.14,0,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,24.07,11.55,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,24.23,26.9071,0,1330.9741999999999

74,18:15-18:30,0,0,0.29,24,0,240.72,48.14,0,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,24.07,11.55,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,24.23,26.9071,0,1330.8142

75,18:30-18:45,0,0,0.15,24,0,240.72,48.14,0,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,11.55,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,24.23,26.9071,0,1349.9342

76,18:45-19:00,0,0,0,24,0,240.72,48.14,0,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,11.55,83.95,26.9071,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,0,0,0,0,0,27.92,0,163.93,192.58,48.14,12.4,24.23,26.9071,0,1349.7842

77,19:00-19:15,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,11.55,83.95,23.377,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,23.377,0,1780.8940000000002

78,19:15-19:30,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,11.55,83.95,23.377,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,23.377,0,1780.8940000000002

79,19:30-19:45,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,11.55,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,0,0,1766.1400000000003

80,19:45-20:00,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,11.55,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,0,0,1766.1400000000003

81,20:00-20:15,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,11.55,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,0,0,1766.1400000000003

82,20:15-20:30,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,11.55,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,0,0,1766.1400000000003

83,20:30-20:45,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,0,0,1765.1800000000003

84,20:45-21:00,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,0,0,1765.1800000000003

85,21:00-21:15,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,32,0,1797.1800000000003

86,21:15-21:30,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,32,0,1797.1800000000003

87,21:30-21:45,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,32,0,1797.1800000000003

88,21:45-22:00,0,0,0,24,0,240.72,48.14,144.44,12.4,0,0,3.85,0,37.2,0,37.2,0,19.12,43.33,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,24.23,32,0,1797.1800000000003

89,22:00-22:15,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,0,37.2,0,37.2,0,19.12,43.33,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,16.96,32,0,1898.2500000000007

90,22:15-22:30,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,0,37.2,0,37.2,0,19.12,43.33,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,15.8,32,0,1897.0900000000006

91,22:30-22:45,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,0,37.2,0,37.2,0,19.12,67.4,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,11.82,32,0,1917.1800000000005

92,22:45-23:00,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,0,37.2,0,37.2,0,19.12,67.4,10.59,83.95,32,38.52,0.91,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,6.06,32,0,1911.4200000000005

93,23:00-23:15,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,0,37.2,0,37.2,0,19.12,67.4,9.63,83.95,32,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,6.06,32,0,1910.4200000000005

94,23:15-23:30,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,0,37.2,0,37.2,0,19.12,67.4,9.63,83.95,32,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,6.06,32,0,1910.4200000000005

95,23:30-23:45,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,0,37.2,0,37.2,0,19.12,67.4,9.63,83.95,32,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,6.06,32,0,1910.4200000000005

96,23:45-24:00,0,0,0,24,0,240.72,48.14,144.44,12.4,81.25,27.09,3.85,0,37.2,0,37.2,0,19.12,67.4,9.63,83.95,32,38.52,0.87,0,90.51,1.93,48.14,48.14,0,37.2,72.22,77.03,0,0,0,27.92,144.44,163.93,192.58,48.14,12.4,6.06,32,0,1910.4200000000005

