Time,Block,NR/2023/11341/F,NR/2023/11368/F,NR/2023/11154/F,NR/2023/11367/F,NR/2023/11100/F,NR/2023/11832/C,NR/2023/11099/F,NR/2023/10197/A,NR/2023/11369/F,NR/2023/11835/C,NR/2023/11096/F,NR/2023/11826/D,NER/2023/780/C,NR/2023/10433/A,NR/2023/11095/F,WR/2023/14547/C,NR/2023/11343/F,NR/2023/11747/F,NR/2023/11102/F,NR/2023/11221/F,NR/2023/11833/C,NR/2023/10486/A,NR/2023/11097/F,NR/2023/11104/F,NR/2023/10182/A,NR/2023/11166/F,NR/2023/10181/A,NR/2023/11834/C,NR/2023/11829/D,NR/2023/11828/D,Total
77,19:00-19:15,115.740000,0.360000,9.640000,0.340000,0.670000,33.690000,0.410000,49.910000,0.720000,0.000000,0.670000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.690000,17.360000,0.000000,20.590000,0.410000,0.520000,49.910000,14.470000,99.830000,7.740000,0,0,498.89

78,19:15-19:30,115.740000,0.360000,9.640000,0.340000,0.670000,33.690000,0.410000,49.910000,0.720000,0.000000,0.670000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.690000,17.360000,0.000000,20.590000,0.410000,0.520000,49.910000,14.470000,99.830000,7.740000,0,0,498.89

79,19:30-19:45,115.740000,0.360000,9.640000,0.340000,0.670000,33.690000,0.410000,49.910000,0.720000,0.000000,0.670000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.690000,17.360000,0.000000,20.590000,0.410000,0.520000,49.910000,14.470000,99.830000,7.740000,0,0,498.89

80,19:45-20:00,115.740000,0.360000,9.640000,0.340000,0.670000,33.690000,0.410000,49.910000,0.720000,0.000000,0.670000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.690000,17.360000,0.000000,20.590000,0.410000,0.520000,49.910000,14.470000,99.830000,7.740000,0,0,498.89

81,20:00-20:15,115.740000,0.410000,9.640000,0.340000,0.620000,33.690000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.820000,0,0,498.97

82,20:15-20:30,115.740000,0.410000,9.640000,0.340000,0.620000,33.690000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.820000,0,0,498.97

83,20:30-20:45,115.740000,0.410000,9.640000,0.340000,0.620000,33.690000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.820000,0,0,498.97

84,20:45-21:00,115.740000,0.410000,9.640000,0.340000,0.620000,33.690000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.820000,0,0,498.97

85,21:00-21:15,115.740000,0.410000,9.640000,0.340000,0.620000,33.690000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,499.07

86,21:15-21:30,115.740000,0.410000,9.640000,0.340000,0.620000,33.690000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,499.07

87,21:30-21:45,115.740000,0.410000,9.640000,0.340000,0.620000,33.690000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,499.07

88,21:45-22:00,115.740000,0.410000,9.640000,0.340000,0.620000,33.690000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,499.07

89,22:00-22:15,115.740000,0.410000,9.640000,0.340000,0.620000,31.650000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,497.03

90,22:15-22:30,115.740000,0.410000,9.640000,0.340000,0.620000,31.650000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,497.03

91,22:30-22:45,115.740000,0.410000,9.640000,0.340000,0.620000,31.650000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,497.03

92,22:45-23:00,115.740000,0.410000,9.640000,0.340000,0.620000,31.650000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,497.03

93,23:00-23:15,115.740000,0.410000,9.640000,0.340000,0.620000,31.650000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,497.03

94,23:15-23:30,115.740000,0.410000,9.640000,0.340000,0.620000,31.650000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,497.03

95,23:30-23:45,115.740000,0.410000,9.640000,0.340000,0.620000,31.650000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,497.03

96,23:45-24:00,115.740000,0.410000,9.640000,0.340000,0.620000,31.650000,0.420000,49.910000,0.720000,0.000000,0.620000,0,0.000000,24.110000,2.890000,0.000000,48.220000,0.000000,0.710000,17.360000,0.000000,20.590000,0.420000,0.530000,49.910000,14.470000,99.830000,7.920000,0,0,497.03

