Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/2039,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/7452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/6485,GNA/NR/2025/09/01/9418,NR/2025/34528/A/102225,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/9239,NR/2025/29910/A/102129,NR/2025/29992/A/101850,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/6755,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/4314,GNA/NR/2025/09/01/4602,NR/2025/34975/C,NR/2025/34914/C,NR/2025/34822/A/101889,NR/2025/29440/A/101724,NR/2025/34325/A/102124,NR/2025/34949/C,NR/2025/34950/C,NR/2025/34527/A/102230,NR/2025/34323/A/102126,NR/2025/34951/C/Alternate/1,NR/2025/33476/A/102185,NR/2025/34936/C,NR/2025/34945/C,NR/2025/34951/C,NR/2025/33479/A/102186,NR/2025/34944/C,NR/2025/34853/A/102130,NR/2025/34676/A/102284,NR/2025/34324/A/102125,NR/2025/34946/C,NR/2025/34916/C,NR/2025/34545/A/102283,NR/2025/34529/A/102238,NR/2025/34499/A/101828,NR/2025/33226/A/102285,NR/2025/34960/C,NR/2025/34712/A/101873,NR/2025/34683/A/102167,NR/2025/34615/A/102117,NR/2025/34683/A/102168,NR/2025/34713/A/101872,NR/2025/34681/A/102171,NR/2025/34681/A/102172,NR/2025/34682/A/102169,NR/2025/34710/A/101876,NR/2025/34682/A/102170,GNARE/NR/2024/12/20/3668,Total
49,12:00-12:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,19.4,1.45,0.48,154,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1390.3200000000004

50,12:15-12:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,19.7,1.45,0.48,154,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1390.6200000000003

51,12:30-12:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,19.96,1.45,0.48,189,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1425.8800000000003

52,12:45-13:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,20.24,1.45,0.48,189,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1426.1600000000003

53,13:00-13:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,8.83,1.45,0.48,189,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1414.7500000000002

54,13:15-13:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,8.83,1.45,0.48,189,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1414.7500000000002

55,13:30-13:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,8.83,1.45,0.48,189,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1414.7500000000002

56,13:45-14:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,0,0,81.91,0,0,8.83,1.45,0.48,189,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1414.7500000000002

57,14:00-14:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,96.37,0,81.91,0,0,8.83,1.45,0.18,182,0.96,1.16,0.08,0.67,0.11,1.64,0.77,100,1503.5300000000002

58,14:15-14:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,96.37,0,81.91,0,0,8.83,1.45,0.18,175,0.96,1.16,0.08,0.67,0.11,1.64,0.77,100,1496.5300000000002

59,14:30-14:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,96.37,0,81.91,0,0,8.83,1.45,0.15,168,0.96,1.16,0.06,0.67,0.09,1.64,0.77,100,1489.4600000000003

60,14:45-15:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,96.37,0,81.91,0,0,8.83,1.45,0.15,158,0.96,1.16,0.07,0.67,0.1,1.64,0.77,100,1479.4800000000002

61,15:00-15:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,96.37,0,81.91,0,0,10.78,1.45,0.26,147,0.96,1.16,0.11,0.58,0.15,1.64,0.77,100,1470.5400000000002

62,15:15-15:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,96.37,0,81.91,0,0,10.78,1.45,0.48,137,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1461.0700000000004

63,15:30-15:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,96.37,0,81.91,0,0,10.78,1.45,0.48,126,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1450.0700000000004

64,15:45-16:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,0,28.67,28.98,31.97,44.33,14.6,20.48,61.44,14.6,20.48,40.96,1.03,40.96,13.49,0.96,0,48.18,48.18,0,0,0,0,122.87,43.8,192.74,0,31.49,0,0,0,28.35,96.37,0,81.91,0,0,10.78,1.45,0.48,116,0.96,1.16,0.19,0.67,0.29,1.64,0.77,100,1440.0700000000004

65,16:00-16:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,1.03,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,10.78,0,0.15,105,0.96,0,0.07,0.67,0.1,0,0.77,71.67,1395.7600000000004

66,16:15-16:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,1.03,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,10.78,0,0.15,95,0.96,0,0.07,0.67,0.1,0,0.77,62.1,1376.1900000000003

67,16:30-16:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,1.03,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,10.78,0,0.15,84,0.96,0,0.07,0.67,0.1,0,0.77,53.91,1357.0000000000005

68,16:45-17:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,1.03,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,8.83,0,0.15,74,0.96,0,0.07,0.67,0.1,0,0.77,48.7,1339.8400000000004

69,17:00-17:15,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,1.03,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,8.17,0,0.18,63,0.93,0,0.08,0.66,0.11,0,0.75,43.76,1323.2300000000005

70,17:15-17:30,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,1.03,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,7.89,0,0.25,53,0.8,0,0.1,0.56,0.14,0,0.65,38.28,1307.2600000000004

71,17:30-17:45,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,1.03,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,7.71,0,0.38,42,0.66,0,0.15,0.4,0.23,0,0.54,32.51,1290.1700000000008

72,17:45-18:00,0,20.48,0,20.48,15.27,3.71,36.86,12.29,20.48,19.27,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,1.03,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,7.78,0,0.48,32,0.51,0,0.19,0.36,0.29,0,0.41,25.71,1273.3200000000004

73,18:00-18:15,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,8.6,0,0.4,21,0.4,0,0.16,0.24,0.24,0,0.33,18.97,1221.2900000000002

74,18:15-18:30,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,31.97,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,6.24,0,0.26,14,0.28,0,0.11,0.17,0.15,0,0.23,12.27,1204.66

75,18:30-18:45,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,4.08,0,0.13,7,0.18,0,0.06,0.11,0.09,0,0.14,6.92,1205.8700000000001

76,18:45-19:00,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.87,28.35,0,0,61.44,43.8,0,0,0,0,192.74,96.37,0,0,48.18,31.49,0,0,40.96,81.91,122.87,48.18,2.61,0,0.03,4,0.09,0,0.01,0.05,0.02,0,0.06,1.85,1195.8799999999997

77,19:00-19:15,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,1,0,0,0,0,0,0,0,0.52,1193.5500000000002

78,19:15-19:30,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

79,19:30-19:45,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

80,19:45-20:00,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

81,20:00-20:15,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

82,20:15-20:30,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

83,20:30-20:45,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

84,20:45-21:00,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

85,21:00-21:15,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

86,21:15-21:30,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

87,21:30-21:45,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

88,21:45-22:00,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

89,22:00-22:15,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

90,22:15-22:30,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,48.18,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,13.49,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1192.0300000000002

91,22:30-22:45,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,192.74,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,12.53,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1335.6299999999999

92,22:45-23:00,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,192.74,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,12.53,0.92,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1335.6299999999999

93,23:00-23:15,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,192.74,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,12.53,0.87,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1335.5800000000002

94,23:15-23:30,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,192.74,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,12.53,0.87,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1335.5800000000002

95,23:30-23:45,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,192.74,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,12.53,0.87,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1335.5800000000002

96,23:45-24:00,0,20.48,0,20.48,0,3.71,36.86,12.29,20.48,0,40.96,28.67,28.98,192.74,44.33,14.6,20.48,0,14.6,20.48,0,0.93,0,12.53,0.87,28.35,0,0,61.44,43.8,192.74,0,0,0,0,96.37,0,4.82,48.18,31.49,0,0,40.96,81.91,122.87,48.18,0,0,0,0,0,0,0,0,0,0,0,0,1335.5800000000002

