Column1,Block,NR/2024/23268/C,NR/2024/23214/A/38542,GNARE/SR/2024/09/24/6792,NR/2024/23213/A/38544,NR/2024/23283/C,NR/2024/23038/A/38470,NR/2024/22803/A/38735,NR/2024/23217/A/38669,NR/2024/23122/A/38730,NR/2024/22820/A/38476,NR/2024/21658/A/38471,NR/2024/23269/C,NR/2024/22848/A/38746,NR/2024/23119/A/38731,NR/2024/23121/A/38732,NR/2024/22835/A/38804,NR/2024/23276/C,NR/2024/22874/A/38734,NR/2024/23277/C,NR/2024/23278/C,NR/2024/23118/A/38729,NR/2024/22754/A/38683,NR/2024/23270/C,NR/2024/23266/C,GNA/NR/2024/09/24/5398,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,GNA/NR/2024/09/24/2277,GNA/NR/2024/09/24/4602,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/8090,NR/2024/23286/C,NR/2024/23286/C/Alternate/1,NR/2024/23286/C/Alternate/3,Total
75,18:30-18:45,0,0,0,0,33.87,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,0,0,29.03,0,0,1462.08

76,18:45-19:00,0,0,0,0,33.87,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,0,0,29.03,0,0,1462.08

77,19:00-19:15,0,0,0,0,33.87,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.26,96.77,21.77,2.42,0,0,29.03,0,0,1462.1799999999998

78,19:15-19:30,0,0,0,0,33.87,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.26,96.77,21.77,2.42,0,0,29.03,0,0,1462.1799999999998

79,19:30-19:45,0,0,0,0,33.87,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.26,96.77,21.77,2.42,0,0,29.03,0,0,1462.1799999999998

80,19:45-20:00,0,0,0,0,33.87,3.87,96.77,9.68,37.38,4.84,0.82,30,84.36,37.38,37.38,90.96,2.9,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.26,96.77,21.77,2.42,0,0,29.03,0,0,1462.1799999999998

81,20:00-20:15,0,0,0,0,33.87,3.87,96.77,9.68,37.38,4.84,0.77,30,84.36,37.38,37.38,90.96,1.94,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.26,96.77,21.77,2.42,0,0,29.03,0,0,1461.17

82,20:15-20:30,0,0,0,0,33.87,3.87,96.77,9.68,37.38,4.84,0.77,30,84.36,37.38,37.38,90.96,1.94,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,0,193.54,1.35,0,24.19,10.26,96.77,21.77,2.42,0,0,29.03,0,0,1461.17

83,20:30-20:45,0,0,30,0,2.7,3.87,96.77,9.68,37.38,4.84,0.77,30,84.36,37.38,37.38,90.96,1.94,48.38,48.38,41.61,12.46,0,163.11,241.92,0,24.78,32,31.17,193.54,1.35,0,24.19,10.26,96.77,21.77,2.42,0,0,0,0,0,1462.14

84,20:45-21:00,0,0,30,0,2.7,3.87,96.77,8.71,37.38,4.84,0.77,30,84.36,37.38,37.38,90.96,2.9,48.38,41.18,41.61,12.46,0,163.11,241.92,7.21,24.78,32,31.17,193.54,1.35,0,24.19,10.26,96.77,21.77,2.42,0,0,0,0,0,1462.14

85,21:00-21:15,0,0,30,0,2.7,3.87,96.77,8.71,26.39,4.84,0.77,30,84.36,26.39,26.39,90.96,2.9,48.38,23.9,41.61,8.8,0,163.11,241.92,24.48,17.5,32,31.17,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,0,0,0,0,0,1418.1200000000001

86,21:15-21:30,0,0,30,0,2.7,3.87,96.77,8.71,26.39,4.84,0.77,30,84.36,26.39,26.39,90.96,2.9,48.38,24,41.61,8.8,0,163.11,241.92,24.39,17.5,32,31.17,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,0,0,0,0,0,1418.1299999999999

87,21:30-21:45,0,0,30,0,0,3.87,96.77,8.71,26.39,4.84,0.77,30,84.36,26.39,26.39,90.96,2.9,48.38,0,41.61,8.8,0,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,0,0,0,0,0,1418.1199999999997

88,21:45-22:00,0,0,30,0,0,3.87,96.77,8.71,26.39,4.84,0.77,30,84.36,26.39,26.39,90.96,2.9,48.38,0,41.61,8.8,0,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,0,0,0,0,0,1418.1199999999997

89,22:00-22:15,0,0,30,0,0,3.87,96.77,8.71,26.39,4.84,0.77,30,84.36,26.39,26.39,90.96,0.97,48.38,0,41.61,8.8,54.43,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,163.3,0,0,0,0,1633.9199999999998

90,22:15-22:30,0,0,30,0,0,3.87,96.77,8.71,26.39,4.84,0.77,30,84.36,26.39,26.39,90.96,0.97,48.38,0,41.61,8.8,54.43,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,163.3,0,0,0,0,1633.9199999999998

91,22:30-22:45,0,0,30,0,0,3.87,96.77,8.71,26.39,4.84,0.77,30,84.36,26.39,26.39,90.96,0.97,48.38,0,41.61,8.8,54.43,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,163.3,0,0,0,0,1633.9199999999998

92,22:45-23:00,0,0,30,0,0,3.87,96.77,7.74,26.39,4.84,0.77,30,84.36,26.39,26.39,90.96,1.94,48.38,0,41.61,8.8,54.43,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.16,96.77,21.77,2.42,163.3,0,0,0,0,1633.9199999999998

93,23:00-23:15,0,0,30,0,0,3.87,96.77,7.74,26.39,4.84,0.77,30,84.36,26.39,26.39,94.25,1.94,48.38,0,41.61,8.8,54.43,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.07,96.77,21.77,2.42,163.3,0,0,0,0,1637.1199999999997

94,23:15-23:30,0,0,30,0,0,3.87,96.77,7.74,26.39,4.84,0.77,30,84.36,26.39,26.39,94.25,1.94,48.38,0,41.61,8.8,54.43,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.07,96.77,21.77,2.42,163.3,0,0,0,0,1637.1199999999997

95,23:30-23:45,0,0,30,0,0,3.87,96.77,7.74,26.39,4.84,0.77,30,84.36,26.39,26.39,94.25,1.94,48.38,0,41.61,8.8,54.43,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.07,96.77,21.77,2.42,163.3,0,0,0,0,1637.1199999999997

96,23:45-24:00,0,0,30,0,0,3.87,96.77,7.74,26.39,4.84,0.77,30,84.36,26.39,26.39,94.25,1.94,48.38,0,41.61,8.8,54.43,163.11,241.92,48.38,17.5,32,33.87,193.54,1.35,0,24.19,10.07,96.77,21.77,2.42,163.3,0,0,0,0,1637.1199999999997

