Column1,Block,GNA/NR/2025/06/01/2868,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/09/3517,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/2569,NR/2025/28327/C,NR/2025/28312/C,GNA/NR/2025/06/01/4444,NR/2025/28303/C,NR/2025/28348/C,NR/2025/28307/C,NR/2025/28308/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,NR/2025/28325/C,NR/2025/28310/C,NR/2025/28313/C,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/9257,NR/2025/27356/A/78678,NR/2025/27622/A/78553,GNARE/NR/2024/12/20/3668,NR/2025/27157/A/78534,NR/2025/27281/A/79117,NR/2025/26085/A/78619,NR/2025/28333/C,NR/2025/28314/C,NR/2025/28315/C,NR/2025/26861/A/78994,NR/2025/27727/A/79008,NR/2025/26889/A/78969,NR/2025/26564/A/78997,NR/2025/27725/A/79011,NR/2025/27088/A/79076,NR/2025/26561/A/79000,NR/2025/27242/A/78977,NR/2025/26975/A/79013,NR/2025/26785/A/78745,NR/2025/28139/A/78675,NR/2025/26777/A/78643,NR/2025/28277/C,NR/2025/26445/A/79081,NR/2025/26860/A/78928,NR/2025/28278/C,NR/2025/28138/A/78674,NR/2025/27724/A/78655,NR/2025/28233/C,NR/2025/27462/A/78554,NR/2025/28279/C,NR/2025/27782/A/79006,NR/2025/28239/C,NR/2025/27167/A/78949,NR/2025/27162/A/79012,NR/2025/26563/A/78998,NR/2025/28274/C,NR/2025/28140/A/78676,NR/2025/27728/A/79009,NR/2025/26569/A/78996,NR/2025/27726/A/79010,NR/2025/28253/C,NR/2025/26570/A/78995,NR/2025/27168/A/78951,NR/2025/27499/A/78968,NR/2025/28141/A/78677,NR/2025/26952/A/78568,Total
40,09:45-10:00,28.99,26.61,12.67,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,168,8.7,80.89,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2091.9800000000005

41,10:00-10:15,28.99,26.61,11.93,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,175,10.72,85.57,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2104.9400000000005

42,10:15-10:30,28.99,26.61,11.93,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,182,10.95,89.79,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2116.3900000000003

43,10:30-10:45,28.99,26.61,11.93,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,193,9.4,93.49,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2129.5400000000004

44,10:45-11:00,28.99,26.61,11.93,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,200,9.4,96.17,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2139.2200000000007

45,11:00-11:15,28.99,26.61,11.74,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,203,9.4,99.19,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2145.0500000000006

46,11:15-11:30,28.99,26.61,11.74,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,207,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2149.8600000000006

47,11:30-11:45,28.99,26.61,11.74,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,207,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2149.8600000000006

48,11:45-12:00,28.99,26.61,11.74,0,26.61,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,207,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,0,0,24.16,0,0,0,2149.8600000000006

49,12:00-12:15,28.99,26.7,11.56,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,207,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,135.28,0,24.16,0,0,0,2285.140000000001

50,12:15-12:30,28.99,26.7,11.56,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,207,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,135.28,0,24.16,0,0,0,2285.140000000001

51,12:30-12:45,28.99,26.7,11.56,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,207,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,135.28,0,24.16,0,0,0,2285.140000000001

52,12:45-13:00,28.99,26.7,11.56,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,207,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,135.28,0,24.16,0,0,0,2285.140000000001

53,13:00-13:15,28.99,26.7,11.37,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,210,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,11.6,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,135.28,0,24.16,0,0,0,2287.9500000000007

54,13:15-13:30,28.99,26.7,11.37,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,210,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,12.56,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,135.28,0,24.16,0,0,0,2288.9100000000008

55,13:30-13:45,28.99,26.7,11.37,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,210,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,12.56,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,135.28,0,24.16,0,0,0,2288.9100000000008

56,13:45-14:00,28.99,26.7,11.37,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,207,9.4,100,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,0,0,0,96.63,0,129.12,0,12.56,24.88,0,0,0,53.15,24.16,0,0,106.29,0,0,0,0,135.28,0,24.16,0,0,0,2285.9100000000008

57,14:00-14:15,28.99,26.7,11.56,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,189,9.4,98.51,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,28.99,0,144.94,96.63,0,129.12,38.65,12.56,24.88,0,144.94,0,53.15,24.16,0,0,106.29,33.82,0,0,0,135.28,0,24.16,0,193.26,0,2851.210000000001

58,14:15-14:30,28.99,26.7,11.56,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,182,9.4,95.88,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,28.99,0,144.94,96.63,0,129.12,38.65,12.56,24.88,0,144.94,0,53.15,24.16,0,0,106.29,33.82,0,0,0,135.28,0,24.16,0,193.26,0,2841.580000000001

59,14:30-14:45,28.99,26.7,11.56,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,175,11.07,93.28,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,28.99,0,144.94,96.63,0,129.12,38.65,12.56,24.88,0,144.94,0,53.15,24.16,0,0,106.29,33.82,0,0,0,135.28,0,24.16,0,193.26,0,2833.6500000000005

60,14:45-15:00,28.99,26.7,11.56,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,168,11.02,90.24,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,28.99,0,144.94,96.63,0,129.12,38.65,12.56,24.88,0,144.94,0,53.15,24.16,0,0,106.29,33.82,0,0,0,135.28,0,24.16,0,193.26,0,2823.5600000000004

61,15:00-15:15,28.99,26.7,11.84,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,161,8.7,86.77,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,28.99,0,144.94,96.63,0,129.12,38.65,13.53,24.88,0,144.94,0,53.15,24.16,0,0,106.29,33.82,0,0,0,135.28,0,24.16,0,193.26,0,2812.0200000000013

62,15:15-15:30,28.99,26.7,11.84,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,151,8.7,82.39,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,28.99,0,144.94,96.63,0,129.12,38.65,13.53,24.88,0,144.94,0,53.15,24.16,0,0,106.29,33.82,0,0,0,135.28,0,24.16,0,193.26,0,2797.6400000000012

63,15:30-15:45,28.99,26.7,11.84,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,140,8.7,77.77,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,28.99,0,144.94,96.63,0,129.12,38.65,13.53,24.88,0,144.94,0,53.15,24.16,0,0,106.29,33.82,0,0,0,135.28,0,24.16,0,193.26,0,2782.0200000000004

64,15:45-16:00,28.99,26.7,11.84,0,26.7,48.32,62.81,192.64,43.92,193.26,193.26,0,5.8,55.99,48.32,24.16,102.36,14.64,43.92,24.16,11.91,48.32,11.9,24.16,130,8.7,73.07,0,0,0.97,0,14.64,39.91,0,0,0,0,0,0,15.83,48.32,0,0,28.99,0,144.94,96.63,0,129.12,38.65,13.53,24.88,0,144.94,0,53.15,24.16,0,0,106.29,33.82,0,0,0,135.28,0,24.16,0,193.26,0,2767.3200000000006

65,16:00-16:15,28.99,26.7,12.3,0,26.7,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,119,5.8,68.03,217.42,24.88,0.87,0,0,0,0,43.92,0,144.94,14.64,192.64,144.94,48.32,5.8,53.15,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,0,193.26,135.28,2973.2400000000002

66,16:15-16:30,28.99,26.7,12.3,0,26.7,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,109,5.8,62.02,217.42,24.88,0.87,0,0,0,0,43.92,0,144.94,14.64,192.64,144.94,48.32,5.8,53.15,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,0,193.26,135.28,2957.23

67,16:30-16:45,28.99,26.7,12.3,0,26.7,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,98,5.8,55.89,217.42,24.88,0.87,0,0,0,0,43.92,0,144.94,14.64,192.64,144.94,48.32,5.8,53.15,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,0,193.26,135.28,2940.1

68,16:45-17:00,28.99,26.7,12.3,0,26.7,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,84,5.8,49.2,217.42,24.88,0.87,0,0,0,0,43.92,0,144.94,14.64,192.64,144.94,48.32,5.8,53.15,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,0,193.26,135.28,2919.4100000000003

69,17:00-17:15,28.99,25.18,12.95,0,25.18,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,70,0,42.75,217.42,24.88,0.87,0,0,0,0,43.92,0,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,0,193.26,135.28,2837.6200000000003

70,17:15-17:30,28.99,25.18,12.95,0,25.18,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,56,0,35.86,217.42,24.88,0.87,0,0,0,0,43.92,0,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,0,193.26,135.28,2816.73

71,17:30-17:45,28.99,25.18,12.95,0,25.18,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,46,0,28.92,217.42,24.88,0.87,0,0,0,0,43.92,0,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,0,193.26,135.28,2799.7900000000004

72,17:45-18:00,28.99,25.18,12.95,0,25.18,48.32,62.81,0,0,193.26,0,0,0,0,48.32,24.16,102.36,0,0,24.16,11.91,48.32,11.9,24.16,28,0,22.65,217.42,24.88,0.87,0,0,0,0,43.92,0,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,0,193.26,135.28,2775.52

73,18:00-18:15,28.99,25.18,13.5,0,25.18,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,14,0,16.81,217.42,24.88,0.87,86.97,0,0,0,43.92,5.8,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,193.26,0,2868.83

74,18:15-18:30,28.99,25.18,13.5,0,25.18,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,7,0,12.05,217.42,24.88,0.87,86.97,0,0,0,43.92,5.8,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,193.26,0,2857.0699999999997

75,18:30-18:45,28.99,25.18,13.5,0,25.18,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,4,0,0.99,217.42,24.88,0.87,86.97,0,0,0,43.92,5.8,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,193.26,0,2843.01

76,18:45-19:00,28.99,21.35,13.5,0,29,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,1,0,0,217.42,24.88,0.87,86.97,0,0,0,43.92,5.8,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,193.26,0,2839.01

77,19:00-19:15,28.99,21.35,13.96,48.32,29,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.87,86.97,0,0,0,43.92,5.8,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,193.26,0,2886.79

78,19:15-19:30,28.99,21.35,13.96,48.32,29,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.87,86.97,0,0,0,43.92,5.8,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,193.26,0,2886.79

79,19:30-19:45,28.99,21.35,13.96,48.32,29,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.87,86.97,0,0,0,43.92,5.8,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,193.26,0,2886.79

80,19:45-20:00,28.99,29,13.96,48.32,29,48.32,62.81,0,0,193.26,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.87,86.97,0,0,0,43.92,5.8,144.94,14.64,192.64,144.94,48.32,5.8,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,193.26,0,2894.4399999999996

81,20:00-20:15,28.99,29.5,14.61,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.92,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2859.42

82,20:15-20:30,28.99,29.5,14.61,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.92,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2859.42

83,20:30-20:45,28.99,29.5,14.61,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.92,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2859.42

84,20:45-21:00,28.99,29.5,14.61,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,162.87,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.92,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,13.53,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2859.42

85,21:00-21:15,28.99,29.5,13.88,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,108.57,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.92,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,12.56,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2803.4199999999996

86,21:15-21:30,28.99,29.5,13.88,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,108.57,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.92,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,12.56,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2803.4199999999996

87,21:30-21:45,28.99,29.5,13.88,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,108.57,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.92,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,12.56,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2803.4199999999996

88,21:45-22:00,28.99,29.5,13.88,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,108.57,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.92,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,12.56,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2803.4199999999996

89,22:00-22:15,28.99,29.5,13.68,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,108.57,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.82,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,11.6,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2802.1599999999994

90,22:15-22:30,28.99,29.5,13.68,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,108.57,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.82,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,11.6,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2802.1599999999994

91,22:30-22:45,28.99,29.5,13.68,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,108.57,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.82,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,11.6,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2802.1599999999994

92,22:45-23:00,28.99,29.5,13.68,48.32,29.5,48.32,62.81,0,0,0,0,85.9,0,0,48.32,24.16,108.57,0,0,24.16,11.91,48.32,11.9,24.16,0,0,0,217.42,24.88,0.82,86.97,0,0,193.26,43.92,5.8,144.94,14.64,192.64,144.94,48.32,27.06,0,28.99,193.26,0,96.63,106.29,0,38.65,11.6,0,9.66,0,14.64,0,24.16,55.99,0,0,33.82,37.34,0,43.92,0,144.94,24.16,8.7,135.28,0,2802.1599999999994

