Column1,Block,NR/2025/24969/C,NR/2025/24968/C,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/4698,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3514,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/2470,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3925,NR/2024/24418/A/50186,NR/2025/24839/A/50258,WR/2024/25501/A/50521,SR/2024/15456/A/50135,NR/2024/24507/A/50464,NR/2024/24566/A/50139,NR/2025/24961/C,NR/2024/24434/A/50153,GNA/NR/2025/01/01/6528,NR/2024/24508/A/50466,GNA/NR/2025/01/01/7459,NR/2024/24614/A/50465,GNA/NR/2025/01/01/6775,NR/2025/24960/C,NR/2024/24435/A/50152,NR/2025/24837/A/50247,NR/2025/24962/C,NER/2024/2820/A/50520,NR/2025/24838/A/50255,Total
78,19:15-19:30,0,0,9.61,30,7.69,50,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.58,0,38.43,115.28,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,981.2199999999999

79,19:30-19:45,0,0,9.61,30,7.69,50,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.58,0,38.43,115.28,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,981.2199999999999

80,19:45-20:00,0,0,9.61,30,7.69,50,48.04,5.76,90.31,43.23,0,19.21,0,20.17,50,28.82,48.04,96.07,1.37,30.74,26.9,48.04,0.58,0,38.43,115.28,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,981.2199999999999

81,20:00-20:15,0,0,0,30,0,50,48.04,0,0,43.23,0,19.21,0,20.17,50,28.82,48.04,0,1.37,0,26.9,48.04,0.58,0,38.43,153.71,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,779.4699999999999

82,20:15-20:30,0,0,0,30,0,50,48.04,0,0,43.23,0,19.21,0,20.17,50,28.82,48.04,0,1.37,0,26.9,48.04,0.58,0,38.43,153.71,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,779.4699999999999

83,20:30-20:45,0,0,0,30,0,50,48.04,0,0,43.23,0,19.21,0,20.17,50,28.82,48.04,0,1.37,0,26.9,48.04,0.58,0,38.43,153.71,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,779.4699999999999

84,20:45-21:00,0,0,0,30,0,50,48.04,0,0,43.23,0,19.21,0,20.17,50,28.82,48.04,0,1.37,0,26.9,48.04,0.58,0,38.43,153.71,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,38.43,0,779.4699999999999

85,21:00-21:15,0,0,0,30,0,50,48.04,0,0,36.51,0,19.21,0,20.17,50,28.82,48.04,0,1.37,0,26.9,48.04,0.58,0,38.43,269,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,0,0,849.61

86,21:15-21:30,0,0,0,30,0,50,48.04,0,0,36.51,0,19.21,0,20.17,50,28.82,48.04,0,1.37,0,26.9,48.04,0.58,0,38.43,269,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,0,0,849.61

87,21:30-21:45,0,0,0,30,0,50,48.04,0,0,36.51,0,19.21,0,20.17,50,28.82,48.04,0,1.37,0,26.9,48.04,0.58,0,38.43,269,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,0,0,849.61

88,21:45-22:00,0,0,0,30,0,50,48.04,0,0,36.51,0,19.21,0,20.17,50,28.82,48.04,0,1.37,0,26.9,48.04,0.58,0,38.43,269,10.57,5.76,0,0,14.41,14.41,36.51,0,36.51,0,16.33,0,0,0,0,849.61

89,22:00-22:15,0,0,0,30,0,50,48.04,0,0,31.7,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0,38.43,288.21,10.57,5.76,0,0,8.65,14.41,31.7,0,31.7,0,16.33,0,0,0,0,798.5300000000002

90,22:15-22:30,0,0,0,30,0,50,48.04,0,0,31.7,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0,38.43,288.21,10.57,5.76,0,0,8.65,14.41,31.7,0,31.7,0,16.33,0,0,0,0,798.5300000000002

91,22:30-22:45,0,0,0,30,0,50,48.04,0,0,31.7,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0,38.43,288.21,10.57,5.76,0,0,8.65,14.41,31.7,0,31.7,0,16.33,0,0,0,0,798.5300000000002

92,22:45-23:00,0,0,0,30,0,50,48.04,0,0,31.7,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0,38.43,288.21,10.57,5.76,0,0,8.65,14.41,31.7,0,31.7,0,16.33,0,0,0,0,798.5300000000002

93,23:00-23:15,0,0,0,30,0,50,48.04,0,0,28.82,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0,38.43,288.21,10.57,5.76,0,0,8.65,14.41,28.82,0,28.82,0,16.33,0,0,0,0,789.8900000000001

94,23:15-23:30,0,0,0,30,0,50,48.04,0,0,28.82,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0,38.43,288.21,10.57,5.76,0,0,8.65,14.41,28.82,0,28.82,0,16.33,0,0,0,0,789.8900000000001

95,23:30-23:45,0,0,0,30,0,50,48.04,0,0,28.82,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0,38.43,288.21,10.57,5.76,0,0,8.65,14.41,28.82,0,28.82,0,16.33,0,0,0,0,789.8900000000001

96,23:45-24:00,0,0,0,30,0,50,48.04,0,0,28.82,0,19.21,0,20.17,0,28.82,48.04,0,1.37,0,26.9,48.04,0.48,0,38.43,288.21,10.57,5.76,0,0,8.65,14.41,28.82,0,28.82,0,16.33,0,0,0,0,789.8900000000001

