Time,Block,NR/2024/21737/C,NR/2024/21727/C,NR/2024/21062/A/28177,NR/2024/21141/A/27931,NR/2024/21089/A/28213,NR/2024/21500/A/27778,NR/21072024/21072024/IEX_240721_01659,NR/2024/21156/A/27982,NR/2024/21099/A/27930,NR/2024/21148/A/27983,NR/2024/21186/A/28228,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/27957,NR/2024/20966/A/27889,NR/2024/21732/C,NR/2024/20688/A/28001,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21075/A/28205,NR/2024/21096/A/28197,NR/2024/20573/A/28182,NR/21072024/21072024/IEX_240720_01656,NR/30092023/26122029/SH-06,NR/2024/21210/A/27927,NR/2024/21726/C,NR/2024/21072/A/28215,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21160/A/27986,NR/2024/21144/A/28138,NR/2024/21183/A/28203,NR/2024/20711/A/28263,NR/2024/21742/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/27990,NR/2024/21103/A/28194,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21076/A/28202,NR/2024/21113/A/28212,NR/01102023/23072042/L_NR_2012_04,NR/2024/21682/A/28262,NR/2024/21339/A/27924,NR/2024/21158/A/27989,NR/2024/19779/A/27934,NR/2024/21108/A/28192,NR/2024/21152/A/27888,NR/2024/20931/A/28141,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21150/A/27984,NR/2024/21238/A/28206,NR/2024/21159/A/27987,NR/2024/21728/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/21072024/21072024/IEX_240720_01622_1,NR/2024/21173/A/28000,NR/2024/20574/A/28181,NR/2024/21736/C,NR/2024/21023/A/27958,NR/01072024/31072024/R2,NR/2024/21087/A/28294,NR/2024/21567/A/28211,NR/2024/21227/A/28193,NR/2024/21146/A/27985,NR/2024/21142/A/27932,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
27,06:30-06:45,0.000000,0.15,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.670000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1527.85

28,06:45-07:00,0.000000,0.51,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.670000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1528.21

29,07:00-07:15,0.000000,0.66,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.770000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1510.95

30,07:15-07:30,0.000000,0.69,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.770000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1510.98

31,07:30-07:45,0.000000,0.8,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.770000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1511.09

32,07:45:08:00,0.000000,1.26,0.000000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.770000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1511.55

33,08:00-08:15,0.000000,1.74,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.21

34,08:15-08:30,0.000000,2.17,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.64

35,08:30-08:45,0.000000,2.08,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.55

36,08:45:09:00,0.000000,2.94,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.41

37,09:00:09:15,0.000000,3.06,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.53

38,09:15-09:30,0.000000,4.05,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,14.950000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1514.52

39,09:30-09:45,0.000000,5.33,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1515.79

40,09:45-10:00,0.000000,6.79,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1517.25

41,10:00-10:15,0.000000,5.75,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1516.21

42,10:15-10:30,0.000000,4.42,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1514.88

43,10:30-10:45,0.000000,4.18,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1515.1

44,10:45-11:00,0.000000,5.83,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1516.75

45,11:00-11:15,0.000000,5.21,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1515.67

46,11:15-11:30,0.000000,4.93,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1515.39

47,11:30-11:45,0.000000,4.95,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1515.41

48,11:45-12:00,0.000000,3.64,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1514.1

49,12:00-12:15,0.000000,4.44,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1514.9

50,12:15-12:30,0.000000,4.57,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1515.03

51,12:30-12:45,0.000000,3.97,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1514.43

52,12:45-13:00,0.000000,5.09,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1515.55

53,13:00-13:15,0.000000,5.26,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1515.72

54,13:15-13:30,0.000000,2.94,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.4

55,13:30-13:45,0.000000,3.17,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.63

56,13:45-14:00,0.000000,2.29,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.75

57,14:00-14:15,0.000000,2.46,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.92

58,14:15-14:30,0.000000,2.88,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.34

59,14:30-14:45,0.000000,3.09,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.55

60,14:45-15:00,0.000000,3.1,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,11.740000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.56

61,15:00-15:15,0.000000,3.68,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1514.6

62,15:15-15:30,0.000000,3.36,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1514.28

