Column1,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22613/C,NR/2024/22614/C,NR/30092023/31122025/SH-07,NR/2024/22607/C,NR/30092023/26122029/SH-06,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/jitpl,NR/2024/21933/A/32394,NR/2024/21940/A/32663,NR/2024/21860/A/32738,NR/2024/21966/A/32412,NR/2024/22010/A/32710,NR/2024/22535/A/32431,NR/2024/22432/A/32404,NR/2024/22014/A/32379,NR/2024/22630/C,NR/2024/21814/A/32670,NR/2024/22534/A/32433,NR/2024/21658/A/32352,NR/2024/22498/A/32704,NR/2024/21983/A/32393,NR/2024/22042/A/32378,NR/2024/21974/A/32669,NR/2024/21968/A/32666,NR/2024/21943/A/32661,NR/2024/22612/C,NR/2024/21970/A/32667,NR/2024/22621/C,NR/2024/21911/A/32646,NR/2024/21961/A/32642,NR/2024/21938/A/32641,NR/2024/22279/A/32375,NR/2024/21918/A/32712,NR/2024/21971/A/32668,NR/2024/21956/A/32664,NR/2024/21954/A/32662,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,Total
60,14:45-15:00,0,0,163.73,27.89,24.6584,240.42,24.6584,0,0,24.77,24.04,83.84,48.08,96.17,11.68,10.58,12.5,1.92,0,48.08,25,0.96,21.16,48.08,3.85,37.15,37.15,38.47,8.07,12.39,17.31,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1397.2268000000004

61,15:00-15:15,0,0,163.73,27.89,26.7799,240.42,26.7799,0,0,24.77,24.04,83.84,48.08,96.17,11.68,7.69,12.5,1.92,0,48.08,24.04,0.96,21.16,48.08,3.85,37.15,37.15,38.47,7.65,12.39,13.27,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1393.1598000000004

62,15:15-15:30,0,0,163.73,27.89,26.7799,240.42,26.7799,0,0,24.77,24.04,83.84,48.08,96.17,11.68,7.69,12.5,1.92,0,48.08,21.16,0.96,21.16,48.08,3.85,37.15,37.15,38.47,6.99,12.39,15.48,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1391.8298000000004

63,15:30-15:45,0,0,163.73,27.89,26.7799,240.42,26.7799,0,0,24.77,24.04,83.84,48.08,96.17,11.68,7.69,12.5,1.92,0,48.08,20.2,0.96,21.16,48.08,3.85,37.15,37.15,38.47,5.9,12.39,16.06,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1390.3598000000004

64,15:45-16:00,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,7.5,12.5,1.92,0,48.08,16.35,0.96,21.16,48.08,3.85,37.15,37.15,38.47,5.67,12.39,18.46,96.17,0,0,4.81,90.4,37.15,24.04,23.97,15.69,0,0,0,12.39,0,0,1388.3812000000005

65,16:00-16:15,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,7.5,12.5,1.92,0,48.08,16.35,0.82,21.16,48.08,3.85,37.15,37.15,38.47,4.62,12.39,15.48,96.17,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,0,0,12.39,0,0,1385.7812000000001

66,16:15-16:30,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,7.79,12.5,1.92,0,48.08,14.43,0.82,21.16,48.08,3.85,37.15,37.15,38.47,3,12.39,12.21,96.17,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,0,0,12.39,0,0,1379.2612000000001

67,16:30-16:45,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,7.79,12.5,1.92,0,48.08,11.54,0.82,21.16,48.08,3.85,37.15,37.15,38.47,2.13,12.39,9.33,96.17,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,0,0,12.39,0,0,1372.6212000000003

68,16:45-17:00,0,0,163.73,27.89,26.7256,240.42,26.7256,0,0,24.77,24.04,83.84,48.08,96.17,11.68,7.89,12.5,1.92,0,48.08,8.66,0.82,21.16,48.08,3.85,37.15,37.15,38.47,1.23,12.39,7.12,96.17,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,0,0,12.39,0,0,1366.7312000000002

69,17:00-17:15,0,0,163.73,27.89,26.7256,240.42,26.7256,96.17,0,24.77,0,83.84,48.08,0,11.68,0,12.5,1.92,0,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0.96,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1342.7412000000002

70,17:15-17:30,0,0,163.73,27.89,26.7799,240.42,26.7799,96.17,0,24.77,0,83.84,48.08,0,11.68,0,12.5,1.92,0,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0.53,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1342.4198000000001

71,17:30-17:45,0,0,163.73,27.89,26.7799,240.42,26.7799,96.17,0,24.77,0,83.84,48.08,0,11.68,0,12.5,1.92,0,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0.27,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1342.1598000000001

72,17:45-18:00,0,0,163.73,27.89,26.7799,240.42,26.7799,96.17,0,24.77,0,83.84,48.08,0,11.68,0,12.5,1.92,0,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0.14,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1342.0298

73,18:00-18:15,0,0,163.73,27.89,25.9996,240.42,25.9996,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,0,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0.09,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1327.7792

74,18:15-18:30,0,0,163.73,27.89,25.9996,240.42,25.9996,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,0,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0.03,12.39,0,0,0,0,4.81,90.4,37.15,24.04,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1327.7192

75,18:30-18:45,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,0,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1326.93

76,18:45-19:00,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,0,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1326.93

77,19:00-19:15,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,8.25,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1335.18

78,19:15-19:30,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,8.96,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1335.89

79,19:30-19:45,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,8.75,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1335.68

80,19:45-20:00,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,9.25,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1336.18

81,20:00-20:15,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,10.23,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1337.16

82,20:15-20:30,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,10.98,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1337.91

83,20:30-20:45,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,12.53,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1339.46

84,20:45-21:00,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,11.89,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1338.82

85,21:00-21:15,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,13.84,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1340.77

86,21:15-21:30,0,0,163.73,27.89,32,240.42,0,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,16.45,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1343.38

87,21:30-21:45,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,16.46,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1375.39

88,21:45-22:00,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,11.54,1.92,16.88,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,0,0,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1375.8100000000002

89,22:00-22:15,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,10.58,1.92,16.61,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1504.4100000000003

90,22:15-22:30,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,10.58,1.92,17.26,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,43.28,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1505.0600000000002

91,22:30-22:45,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,9.62,1.92,18.48,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1529.3600000000004

92,22:45-23:00,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,9.62,1.92,18.09,48.08,0,0.77,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1528.9700000000003

93,23:00-23:15,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,9.62,1.92,18.89,48.08,0,0.72,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1529.7200000000003

94,23:15-23:30,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,9.62,1.92,18.93,48.08,0,0.72,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1529.7600000000002

95,23:30-23:45,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,9.62,1.92,19.96,48.08,0,0.72,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1530.7900000000002

96,23:45-24:00,0,0,163.73,27.89,32,240.42,32,96.17,0,24.77,0,83.84,48.08,0,0,0,9.62,1.92,19.15,48.08,0,0.72,0,0,3.85,37.15,37.15,38.47,0,12.39,0,0,97.37,32.46,4.81,90.4,37.15,67.32,23.97,17.26,0,24.04,96.17,12.39,48.08,21.16,1529.9800000000002

