Column1,Block,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,NR/2025/33916/C,NR/2025/33923/C,NR/2025/33926/C,NR/2025/33925/C,NR/2025/33928/C,NR/2025/32610/A/98418,NR/2025/29992/A/98023,NR/2025/33921/C,NR/2025/33922/C,NR/2025/32397/A/97916,NR/2025/33656/A/98372,NR/2025/29440/A/97971,NR/2025/32004/A/98423,NR/2025/32455/A/98410,NR/2025/31421/A/98435,NR/2025/31045/A/98379,NR/2025/33670/A/98532,NR/2025/32375/A/98431,NR/2025/31043/A/98380,NR/2025/31048/A/98377,NR/2025/32556/A/98420,NR/2025/31049/A/98378,NR/2025/32262/A/97980,NR/2025/32559/A/98419,NR/2025/33891/C,NR/2025/33890/C,NR/2025/33469/A/98032,NR/2025/32535/A/98530,NR/2025/33931/C,NR/2025/32534/A/98529,NR/2025/32599/A/98636,NR/2025/32535/A/98531,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,NR/2025/33633/A/98388,NR/2025/32534/A/98528,NR/2025/32532/A/98526,NR/2025/33632/A/98390,NR/2025/32532/A/98527,NR/2025/33637/A/98386,GNARE/NR/2024/12/20/3668,Total
56,13:45-14:00,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,13.51,0.19,8.84,0.28,63,0.28,0,14.62,1.45,0.29,0.48,1.16,0.42,1.64,92.67,1346.29

57,14:00-14:15,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,96.53,96.53,13.51,0.19,8.84,0.28,49,0.28,0,14.62,1.45,0.26,0.44,1.16,0.42,1.64,95,1527.61

58,14:15-14:30,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,96.53,96.53,13.51,0.19,8.84,0.28,49,0.28,0,14.62,1.45,0.27,0.44,1.16,0.42,1.64,93.33,1525.9499999999998

59,14:30-14:45,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,96.53,96.53,13.51,0.12,8.84,0.19,70,0.14,0,14.62,1.45,0.17,0.28,1.16,0.33,1.64,76.48,1529.4499999999998

60,14:45-15:00,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,96.53,96.53,13.51,0.15,8.84,0.14,70,0.11,0,14.62,1.45,0.23,0.38,1.16,0.26,1.64,73.34,1526.35

61,15:00-15:15,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,96.53,96.53,13.51,0.19,10.8,0.07,84,0.06,0,14.62,1.45,0.29,0.48,1.16,0.13,1.64,70.02,1538.9399999999998

62,15:15-15:30,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,96.53,96.53,13.51,0.19,10.8,0.03,77,0.03,0,14.62,1.45,0.29,0.48,1.16,0.06,1.64,65.78,1527.5599999999997

63,15:30-15:45,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,96.53,96.53,13.51,0.19,10.8,0.06,84,0.05,0,14.62,1.45,0.29,0.48,1.16,0.08,1.64,49.72,1518.5699999999997

64,15:45-16:00,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,76.86,48.26,43.87,43.87,37.3,0,44.4,193.06,48.26,0,164.1,0.97,0,0,0,0,82.05,0,0,0,0,0,0,0,96.53,96.53,13.51,0.19,10.8,0,81,0,0,14.62,1.45,0.29,0.48,1.16,0.97,1.64,46.09,1512.7199999999998

65,16:00-16:15,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,37.3,44.4,193.06,0,0,164.1,0.87,76.86,0,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0.01,10.8,0.77,91,0,0,14.62,0,0.02,0.04,0,0.97,0,28.33,1500.4899999999996

66,16:15-16:30,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,37.3,44.4,193.06,0,0,164.1,0.87,76.86,0,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0.01,10.8,0.77,84,0,0,14.62,0,0.02,0.04,0,0.97,0,26.67,1491.8299999999997

67,16:30-16:45,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,37.3,44.4,193.06,0,0,164.1,0.87,76.86,0,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0,10.8,0.77,77,0,0,14.62,0,0,0,0,0.97,0,25,1483.0899999999997

68,16:45-17:00,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,37.3,44.4,193.06,0,0,164.1,0.87,76.86,0,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0,8.84,0.77,70,0,0,14.62,0,0,0,0,0.97,0,23.33,1472.4599999999996

69,17:00-17:15,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,76.86,0,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0.01,8.19,0.77,60,0,0,14.62,0,0.02,0.03,0,0.97,0,21.67,1468.8999999999999

70,17:15-17:30,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,76.86,0,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0.04,7.91,0.77,49,0,0,14.62,0,0.06,0.09,0,0.97,0,20,1456.0799999999997

71,17:30-17:45,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,76.86,0,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0.07,7.72,0.77,42,0,0,14.62,0,0.1,0.16,0,0.97,0,18.06,1447.0899999999997

72,17:45-18:00,41.03,20.51,82.05,82.05,29.03,0,19.22,19.31,20.51,14.62,15.3,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,76.86,0,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0.09,7.79,0.77,32,0,0,14.62,0,0.14,0.23,0,0.97,0,14.12,1433.3499999999997

73,18:00-18:15,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0.07,8.61,0.77,21,0,0,14.62,0,0.11,0.18,0,0.97,0,11.16,1385.4999999999995

74,18:15-18:30,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0.04,6.26,0.77,14,0,0,14.62,0,0.05,0.09,0,0.97,0,8.04,1372.8499999999995

75,18:30-18:45,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0,4.08,0.77,7,0,0,14.62,0,0.01,0.01,0,0.97,0,2.42,1357.8899999999996

76,18:45-19:00,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0,2.62,0.77,5,0,0,14.62,0,0,0,0,0,0,0.97,1351.9899999999996

77,19:00-19:15,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0,0,0,1,0,0,14.62,0,0,0,0,0,0,0.59,1344.2699999999995

78,19:15-19:30,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0.21,1342.8899999999996

79,19:30-19:45,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0.05,1342.7299999999996

80,19:45-20:00,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,0,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1342.6799999999996

81,20:00-20:15,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1396.9799999999996

82,20:15-20:30,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1396.9799999999996

83,20:30-20:45,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1396.9799999999996

84,20:45-21:00,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,76.86,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1396.9799999999996

85,21:00-21:15,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1426.2999999999995

86,21:15-21:30,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1426.2999999999995

87,21:30-21:45,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1426.2999999999995

88,21:45-22:00,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1426.2999999999995

89,22:00-22:15,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1426.2999999999995

90,22:15-22:30,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,13.51,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1426.2999999999995

91,22:30-22:45,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1425.3399999999995

92,22:45-23:00,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.92,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1425.3399999999995

93,23:00-23:15,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1425.2899999999995

94,23:15-23:30,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1425.2899999999995

95,23:30-23:45,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1425.2899999999995

96,23:45-24:00,41.03,20.51,82.05,33.79,29.03,0,19.22,0,20.51,14.62,0,20.83,0,0,0,0,0,37.3,44.4,193.06,0,8.69,164.1,0.87,106.18,48.26,48.26,96.53,82.05,48.26,0,0,43.87,96.53,54.3,43.87,0,0,12.55,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,1425.2899999999995

