Time,Block,NR/2024/20048/A/22966,NR/2024/20041/A/22967,NR/2024/19699/A/22988,NR/2024/19988/A/22849,NR/2024/20553/A/22588,NR/2024/20557/A/22982,NR/2024/19966/A/22872,NR/2024/20870/C,NR/2024/20141/A/22650,NR/2024/20515/A/22654,NR/2024/20599/A/22845,NR/2024/20109/A/22970,NR/2024/20090/A/22592,NR/2024/19757/A/22986,NR/2024/20901/C,NR/2024/20777/A/22862,NR/2024/19779/A/22582,NR/2024/20540/A/22432,NR/2024/19791/A/22976,NR/2024/20558/A/22981,NR/2024/19432/A/22990,NR/2024/20130/A/22667,NR/2024/19978/A/22975,NR/2024/19640/A/23072,NR/2024/19683/A/22610,NR/2024/20524/A/22930,NR/2024/20597/A/22960,NR/2024/19588/A/22866,NR/2024/19918/A/22974,NR/2024/19355/A/22971,NR/2024/20914/C,NR/2024/20554/A/22528,NR/2024/19919/A/22973,NR/2024/20905/C,NR/2024/20144/A/22648,NR/2024/20513/A/22655,NR/2024/20895/C,NR/2024/19637/A/22694,NR/2024/20516/A/22653,NR/2024/19475/A/22911,NR/2024/19642/A/23070,NR/2024/20050/A/22965,NR/2024/20598/A/22841,NR/2024/20037/A/22847,NR/2024/20537/A/22969,NR/2024/20212/A/22652,NR/2024/19760/A/22851,NR/2024/20572/A/22979,NR/2024/20211/A/22651,NR/2024/20142/A/22649,NR/2024/20552/A/22589,NR/2024/20560/A/22980,NR/2024/20869/C,Total
39,09:30-09:45,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,243.200000,0.000000,0.000000,0.970000,3.860000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1977.35

40,09:45-10:00,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,0.000000,183.540000,1.930000,243.200000,0.000000,0.000000,0.970000,3.860000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1977.35

41,10:00-10:15,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2118.39

42,10:15-10:30,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2118.39

43,10:30-10:45,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2118.39

44,10:45-11:00,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2118.39

45,11:00-11:15,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2118.39

46,11:15-11:30,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2118.39

47,11:30-11:45,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2118.39

48,11:45-12:00,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,0.000000,96.600000,0.000000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,0,2118.39

49,12:00-12:15,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,7.48,2142.29

50,12:15-12:30,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,8.93,2143.74

51,12:30-12:45,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,9.49,2144.3

52,12:45-13:00,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,8.67,2143.48

53,13:00-13:15,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,8.11,2142.92

54,13:15-13:30,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,8.47,2143.28

55,13:30-13:45,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,8.87,2143.68

56,13:45-14:00,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,243.200000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,8.39,2143.2

57,14:00-14:15,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,7.39,1947.67

58,14:15-14:30,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,8.43,1948.71

59,14:30-14:45,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,8.16,1948.44

60,14:45-15:00,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.970000,4.830000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,7.9,1948.18

61,15:00-15:15,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.970000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,7.44,1949.65

62,15:15-15:30,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.970000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,6.91,1949.12

63,15:30-15:45,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.970000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,6.28,1948.49

64,15:45-16:00,0.000000,48.300000,48.300000,96.600000,0.000000,10.970000,38.640000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.970000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,24.150000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,48.300000,32.930000,1.590000,0.520000,0.000000,32.930000,6.02,1948.23

65,16:00-16:15,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.820000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,3.13,1785.8

66,16:15-16:30,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.820000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0.89,1783.56

67,16:30-16:45,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.820000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0.71,1783.38

68,16:45-17:00,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,0.000000,67.620000,0.820000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,24.150000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,24.150000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0.27,1782.94

69,17:00-17:15,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,135.240000,67.620000,0.770000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0.14,1869.7

70,17:15-17:30,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,135.240000,67.620000,0.770000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0.15,1869.71

71,17:30-17:45,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,135.240000,67.620000,0.770000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0.24,1869.8

72,17:45-18:00,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,135.240000,67.620000,0.770000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,11.740000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0.16,1869.72

73,18:00-18:15,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,135.240000,67.620000,0.770000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0.16,1857.98

74,18:15-18:30,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,135.240000,67.620000,0.770000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,121.710000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1857.82

75,18:30-18:45,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,135.240000,67.620000,0.770000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1784.41

76,18:45-19:00,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,183.540000,1.930000,48.670000,135.240000,67.620000,0.770000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,0.000000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,57.960000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1784.41

77,19:00-19:15,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,241.500000,1.930000,48.670000,135.240000,67.620000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1841.41

78,19:15-19:30,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,241.500000,1.930000,48.670000,135.240000,67.620000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1841.41

79,19:30-19:45,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,241.500000,1.930000,48.670000,135.240000,67.620000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1841.41

80,19:45-20:00,0.000000,0.000000,48.300000,96.600000,0.000000,10.970000,0.000000,168.810000,0.350000,0.880000,24.150000,241.500000,1.930000,48.670000,135.240000,67.620000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,0.000000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,0.000000,32.930000,0,1841.41

81,20:00-20:15,0.000000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1677.43

82,20:15-20:30,0.000000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1677.43

83,20:30-20:45,0.000000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1677.43

84,20:45-21:00,0.000000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,36.950000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1714.38

85,21:00-21:15,0.000000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,78.670000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1756.1

