Time,Block,NR/2023/14745/A,NR/2023/14746/A,NR/2023/12052/A,NR/2023/15865/D,NR/2023/14895/A,NR/2023/15296/F,ER/2023/9847/C,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15309/F,NR/2023/14898/A,NR/2023/15873/C,NR/2023/15303/F,NR/2023/15879/C,NR/2023/12431/A,NR/2023/12168/A,NR/2023/15883/C,NR/2023/15882/C,NR/2023/15306/F,NR/2023/15304/F,NR/2023/12167/A,NR/2023/12422/A,NR/2023/15871/D,NR/2023/15872/D,NR/2023/12591/A,NR/2023/12347/A,NR/2023/13635/A,NR/2023/12148/A,NR/2023/15881/C,NR/2023/15694/F,NR/2023/12053/A,NR/2023/14737/A,NR/2023/13862/A,NR/2023/15402/F,Total
66,16:15-16:30,24.190000,0.000000,63.140000,3.2,95.800000,0.970000,0.000000,0.820000,85.140000,4.840000,70.160000,6.060000,0.910000,18.710000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1097.96

67,16:30-16:45,24.190000,0.000000,63.140000,3.64,95.800000,0.970000,0.000000,0.820000,85.140000,4.840000,70.160000,6.060000,0.910000,18.710000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1098.4

68,16:45-17:00,24.190000,0.000000,63.140000,2.71,95.800000,0.970000,0.000000,0.820000,85.140000,4.840000,70.160000,6.060000,0.910000,18.710000,108.870000,46.640000,0.000000,29.030000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,106.450000,21.290000,22.260000,17.42,193.540000,0.000000,29.030000,23.160000,6.770000,1097.47

69,17:00-17:15,24.190000,0.000000,63.140000,2.42,95.800000,0.970000,0.000000,0.820000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,48.380000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,962.82

70,17:15-17:30,24.190000,0.000000,63.140000,2.18,95.800000,0.970000,0.000000,0.820000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,48.380000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,962.58

71,17:30-17:45,24.190000,0.000000,63.140000,1.63,95.800000,0.970000,0.000000,0.820000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,48.380000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,962.03

72,17:45-18:00,24.190000,0.000000,63.140000,1.3,95.800000,0.970000,0.000000,0.820000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,12.580000,38.710000,42.570000,48.380000,21.290000,22.260000,0,193.540000,0.000000,29.030000,0.000000,0.000000,961.7

73,18:00-18:15,0.000000,0.000000,63.140000,0.86,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,924.35

74,18:15-18:30,0.000000,0.000000,63.140000,0.42,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,923.91

75,18:30-18:45,0.000000,0.000000,63.140000,0.2,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,923.69

76,18:45-19:00,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,9.080000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,924.5

77,19:00-19:15,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,9.080000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,924.55

78,19:15-19:30,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,9.080000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,924.55

79,19:30-19:45,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,9.080000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,924.55

80,19:45-20:00,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,9.080000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,924.55

81,20:00-20:15,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,923.54

82,20:15-20:30,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,0.000000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,923.54

83,20:30-20:45,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,51.290000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,974.83

84,20:45-21:00,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,85.160000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,48.380000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,1008.7

85,21:00-21:15,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,131.610000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,1098.7

86,21:15-21:30,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,86.130000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,1053.22

87,21:30-21:45,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,8.070000,0.910000,18.800000,108.870000,46.640000,124.830000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,1091.92

88,21:45-22:00,0.000000,0.000000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,167.410000,0.000000,0.930000,0.580000,24.190000,0.000000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,0.000000,0.000000,1132.49

89,22:00-22:15,0.000000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,193.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1293.07

90,22:15-22:30,0.000000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,193.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1293.07

91,22:30-22:45,0.000000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,193.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1293.07

92,22:45-23:00,0.000000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.920000,85.140000,4.840000,70.160000,6.060000,0.910000,18.800000,108.870000,46.640000,193.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1293.07

93,23:00-23:15,0.000000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,5.040000,0.910000,18.800000,108.870000,46.640000,193.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1292

94,23:15-23:30,0.000000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,5.040000,0.910000,18.800000,108.870000,46.640000,193.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1292

95,23:30-23:45,0.000000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,5.040000,0.910000,18.800000,108.870000,46.640000,193.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1292

96,23:45-24:00,0.000000,77.900000,63.140000,0,95.800000,0.970000,0.000000,0.870000,85.140000,4.840000,70.160000,5.040000,0.910000,18.800000,108.870000,46.640000,193.540000,0.000000,0.930000,0.580000,24.190000,33.390000,0.000000,0.000000,42.570000,91.930000,21.290000,22.260000,0,193.540000,36.510000,29.030000,23.160000,0.000000,1292

