Column1,Block,NR/2025/33302/C,NR/2025/32857/A/95435,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/95658,NR/2025/32534/A/95661,NR/2025/32535/A/95662,NR/2025/32535/A/95664,NR/2025/32532/A/95659,NR/2025/32534/A/95660,NR/2025/32652/A/95443,NR/2025/32653/A/95442,NR/2025/32599/A/95434,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/3698,NR/2025/29440/A/95238,NR/2025/32559/A/95725,NR/2025/32610/A/95724,NR/2025/29992/A/95339,NR/2025/32556/A/95726,NR/2025/32375/A/95737,NR/2025/31421/A/95741,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/09/3786,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33231/C,NR/2025/31046/A/95690,NR/2025/32702/A/95364,NR/2025/33198/C,NR/2025/31047/A/95691,NR/2025/33208/C,NR/2025/33268/C,NR/2025/33277/C,NR/2025/33269/C,NR/2025/32262/A/95311,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/33279/C,NR/2025/32004/A/95729,NR/2025/33281/C,NR/2025/33232/C,NR/2025/33283/C,NR/2025/33236/C,NR/2025/33299/C,NR/2025/32598/A/95740,NR/2025/32397/A/95258,NR/2025/33241/C,NR/2025/31041/A/95677,NR/2025/32554/A/95632,NR/2025/31042/A/95678,NR/2025/33284/C,NR/2025/32455/A/95758,Total
51,12:30-12:45,19.88,1.15,100,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,161,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.01,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1510.5400000000002

52,12:45-13:00,20.16,1.15,100,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,161,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.01,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1510.8200000000002

53,13:00-13:15,8.79,1.15,100,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,161,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1499.9100000000003

54,13:15-13:30,8.79,1.15,100,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,161,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1499.9100000000003

55,13:30-13:45,8.79,1.15,100,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,165,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1503.9100000000003

56,13:45-14:00,8.79,1.15,100,0.48,0.48,0.19,0.38,0.67,0.29,1.63,1.44,165,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,0,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,0,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1503.9100000000003

57,14:00-14:15,8.79,1.15,100,0.48,0.48,0.1,0.38,0.67,0.19,1.63,1.44,158,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,95.98,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,95.98,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1688.6800000000003

58,14:15-14:30,8.79,1.15,96.67,0.48,0.48,0.1,0.38,0.67,0.19,1.63,1.44,158,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,95.98,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,95.98,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1685.3500000000004

59,14:30-14:45,8.79,1.15,90.05,0.38,0.48,0.1,0.38,0.67,0.19,1.63,1.44,137,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,95.98,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,95.98,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1657.6300000000003

60,14:45-15:00,8.79,1.15,86.93,0.38,0.36,0.1,0.36,0.67,0.19,1.63,1.44,137,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,95.98,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,95.98,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1654.3700000000003

61,15:00-15:15,10.74,1.15,77.34,0.38,0.27,0.1,0.2,0.67,0.19,1.63,1.44,133,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,95.98,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,95.98,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1642.4800000000002

62,15:15-15:30,10.74,1.15,72.1,0.29,0.28,0.1,0.22,0.67,0.19,1.63,1.44,126,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,95.98,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,95.98,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1630.1800000000003

63,15:30-15:45,10.74,1.15,66.85,0.38,0.3,0.1,0.24,0.67,0.19,1.63,1.44,123,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,95.98,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,95.98,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1622.0600000000002

64,15:45-16:00,10.74,1.15,61.6,0.38,0.27,0.1,0.16,0.67,0.19,1.63,1.44,116,20.71,24,19.2,9.12,95.98,8,95.98,8,0.96,0,0,0,0,0,0,47.99,24,15.21,0,18.47,95.98,0,13.44,44.15,0,163.17,47.99,191.96,47.99,0,26.95,26.95,76.42,0,24,95.98,24,14.4,0,81.58,0,28.79,0,0,0,24,0,1609.7000000000003

65,16:00-16:15,10.74,0,50.09,0.38,0.24,0.1,0.18,0.67,0.19,0,0,105,20.71,24,19.2,9.12,95.98,8,95.98,8,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.95,26.95,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,95.98,0,0,1582.8600000000004

66,16:15-16:30,10.74,0,44.74,0.38,0.29,0.1,0.22,0.67,0.19,0,0,95,20.71,24,19.2,9.12,95.98,8,95.98,8,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.95,26.95,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,95.98,0,0,1567.6000000000004

67,16:30-16:45,10.74,0,39.39,0.38,0.43,0.1,0.26,0.67,0.19,0,0,84,20.71,24,19.2,9.12,95.98,8,95.98,8,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.95,26.95,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,95.98,0,0,1551.4300000000005

68,16:45-17:00,8.79,0,34.04,0.38,0.4,0.1,0.33,0.67,0.19,0,0,74,20.71,24,19.2,9.12,95.98,8,95.98,8,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.95,26.95,0,76.42,0,0,0,14.4,0,81.58,0,28.79,0,163.17,95.98,0,0,1534.1700000000005

69,17:00-17:15,8.14,0,29.24,0.38,0.24,0.1,0.24,0.67,0.19,0,0,60,20.71,24,19.2,9.12,95.98,8,95.98,8,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.95,26.95,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,95.98,0,0,1523.1100000000004

70,17:15-17:30,7.86,0,24.45,0.38,0.18,0.1,0.18,0.32,0.19,0,0,49,20.71,24,19.2,9.12,95.98,8,95.98,8,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.95,26.95,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,95.98,0,0,1506.5700000000004

71,17:30-17:45,7.68,0,17.5,0.36,0.12,0.09,0.09,0.2,0.18,0,0,39,20.71,24,19.2,9.12,95.98,8,95.98,8,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.95,26.95,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,95.98,0,0,1489.1300000000006

72,17:45-18:00,7.75,0,13.23,0.33,0.06,0.09,0.05,0.11,0.16,0,0,28,20.71,24,19.2,9.12,95.98,8,95.98,8,0.86,24,24,44.15,24,47.99,47.99,47.99,24,15.21,0,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.95,26.95,0,76.42,0,0,0,14.4,0,81.58,8.64,28.79,0,163.17,95.98,0,0,1473.6900000000005

73,18:00-18:15,8.56,0,10.56,0.38,0,0.1,0,0,0.19,0,0,21,20.71,24,0,9.12,47.99,8,95.98,8,0.86,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.17,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1709.5800000000004

74,18:15-18:30,6.22,0,7.89,0.31,0,0.08,0,0,0.15,0,0,18,20.71,24,0,9.12,47.99,8,95.98,8,0.86,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.17,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1701.4400000000003

75,18:30-18:45,4.06,0,5.23,0.18,0,0.05,0,0,0.05,0,0,11,20.71,24,0,9.12,47.99,8,95.98,8,0.86,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,26.17,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1689.3600000000004

76,18:45-19:00,2.6,0,2.56,0.02,0,0.01,0,0,0.02,0,0,6,20.71,24,0,9.12,47.99,8,95.98,8,0.86,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.47,0,0,13.44,0,95.98,0,0,191.96,0,0,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1675.4700000000003

77,19:00-19:15,0,0,1.44,0,0,0,0,0,0,0,0,2,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,0,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1688.4800000000002

78,19:15-19:30,0,0,0.64,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,0,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1685.6800000000003

79,19:30-19:45,0,0,0.16,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,0,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1685.2000000000003

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,0,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1685.0400000000004

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1739.0300000000004

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1739.0300000000004

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1739.0300000000004

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,76.42,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1739.0300000000004

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1768.1900000000003

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1768.1900000000003

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1768.1900000000003

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.65,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1768.1900000000003

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.47,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1768.0100000000002

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.47,0,0,13.44,0,95.98,0,0,191.96,0,53.99,21.64,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1768.0100000000002

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.47,0,0,12.48,0,95.98,0,0,191.96,0,53.99,21.64,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1767.0500000000002

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.91,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.47,0,0,12.48,0,95.98,0,0,191.96,0,53.99,21.64,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1767.0500000000002

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.86,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.28,0,0,12.48,0,95.98,0,0,191.96,0,53.99,26.17,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1771.3400000000001

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.86,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.28,0,0,12.48,0,95.98,0,0,191.96,0,53.99,26.17,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1771.3400000000001

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.86,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.28,0,0,12.48,0,95.98,0,0,191.96,0,53.99,26.17,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1771.3400000000001

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,20.71,24,0,16.59,47.99,14.54,95.98,14.54,0.86,43.62,37.09,44.15,43.62,47.99,47.99,47.99,24,0,86.38,18.28,0,0,12.48,0,95.98,0,0,191.96,0,53.99,26.17,30,0,105.58,0,0,0,14.4,138.31,81.58,8.64,28.79,0,163.17,95.98,0,47.99,1771.3400000000001

