Time,Block,NR/2023/11642/A,NR/2023/11284/A,NR/2023/10944/A,NR/2023/11956/F,NR/2023/11963/F,NR/2023/10487/A,NR/2023/11640/A,NR/2023/11862/F,NR/2023/12862/C,NR/2023/11957/F,NR/2023/10173/A,NR/2023/11955/F,NR/2023/11941/F,NR/2023/12870/C,NR/2023/12656/F,NR/2023/11961/F,NR/2023/12845/D,NR/2023/11342/A,NR/2023/10236/A,NR/2023/10611/A,NR/2023/11959/F,NR/2023/11962/F,NR/2023/11952/F,NR/2023/12852/C,NR/2023/10229/A,NR/2023/11330/A,NR/2023/12869/C,NR/2023/11960/F,NR/2023/10434/A,NR/2023/10613/A,NR/2023/10344/A,NR/2023/10223/A,NR/2023/11947/F,NR/2023/12850/D,NR/2023/11958/F,NR/2023/11643/A,NR/2023/11476/A,NR/2023/12849/D,ER/2023/7828/C,NR/2023/12846/D,NR/2023/12848/D,Total
54,13:15-13:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,35.670000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,8.02,178.5,1170.85

55,13:30-13:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,35.670000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,7.44,178.5,1170.27

56,13:45-14:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,10.890000,0.900000,0.000000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,35.670000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,76.5,29.000000,6.77,178.5,1169.6

57,14:00-14:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,10.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,35.670000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,74.1,0.000000,6.57,172.9,1231.08

58,14:15-14:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,10.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,35.670000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,74.4,0.000000,6.38,173.6,1231.89

59,14:30-14:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,10.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,35.670000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,72.9,0.000000,6.19,170.1,1226.7

60,14:45-15:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,10.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,35.670000,43.030000,0.000000,30.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,70.2,0.000000,5.99,163.8,1217.5

61,15:00-15:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,10.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,66.3,0.000000,5.9,154.7,1175.43

62,15:15-15:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,10.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,63.9,0.000000,5.8,149.1,1167.33

63,15:30-15:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,10.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,59.4,0.000000,5.7,138.6,1152.23

64,15:45-16:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,10.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,54,0.000000,5.61,126,1134.14

65,16:00-16:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,16.160000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,37.710000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,48.9,0.000000,5.51,114.1,1123.33

66,16:15-16:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,16.160000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,37.710000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,43.2,0.000000,5.37,100.8,1104.19

67,16:30-16:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,16.160000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,37.710000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,39,0.000000,4.59,91,1089.41

68,16:45-17:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,23.150000,2.900000,16.160000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,37.710000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,24.170000,0.820000,13.050000,48.340000,33.6,0.000000,4.54,78.4,1071.36

69,17:00-17:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.240000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,37.710000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,27,0.000000,3.96,63,1001.54

70,17:15-17:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.240000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,37.710000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,18.9,0.000000,2.71,44.1,973.29

71,17:30-17:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.240000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,158.750000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,37.710000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,15.3,0.000000,1.28,35.7,1037.5

72,17:45-18:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.240000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,0.000000,37.710000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,13.2,0.000000,0.68,30.8,1064.51

73,18:00-18:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.340000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,10.2,0.000000,0,23.8,1089.39

74,18:15-18:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.340000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,6,0.000000,0,14,1075.39

75,18:30-18:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.340000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,3,0.000000,0,7,1065.39

76,18:45-19:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.340000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,1.5,0.000000,0,3.5,1060.39

77,19:00-19:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.520000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1055.57

78,19:15-19:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.520000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1055.57

79,19:30-19:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.520000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1055.57

80,19:45-20:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.520000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,36.690000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1055.57

81,20:00-20:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.710000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,35.670000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1054.74

82,20:15-20:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.710000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,35.670000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1054.74

83,20:30-20:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.710000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,35.670000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1054.74

84,20:45-21:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.710000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,193.360000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,35.670000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1054.74

85,21:00-21:15,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,162.130000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1020.54

86,21:15-21:30,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,134.190000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,992.6

87,21:30-21:45,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,939.52

88,21:45-22:00,14.500000,33.840000,0.000000,0.510000,0.610000,41.570000,0.000000,2.900000,16.890000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,0.000000,0.000000,0.930000,24.170000,0.000000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,939.52

89,22:00-22:15,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.070000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1068.33

90,22:15-22:30,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.070000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1068.33

91,22:30-22:45,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.070000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1068.33

92,22:45-23:00,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.070000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1068.33

93,23:00-23:15,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.260000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1068.52

94,23:15-23:30,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.260000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1068.52

95,23:30-23:45,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.260000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1068.52

96,23:45-24:00,14.500000,33.840000,27.840000,0.510000,0.610000,41.570000,23.150000,2.900000,17.260000,0.900000,75.530000,0.360000,62.840000,0.000000,2.900000,1.020000,81.110000,116.020000,236.680000,9.960000,0.930000,0.580000,36.480000,32.520000,43.030000,64.970000,0.000000,0.930000,24.170000,12.670000,12.250000,21.510000,6.770000,0.000000,0.820000,13.050000,48.340000,0,0.000000,0,0,1068.52

