Time,Block,NR/2024/20963/C,NR/2024/19760/A/23003,NR/2024/20513/A/23116,NR/2024/20524/A/23381,NR/2024/20144/A/23109,NR/2024/19966/A/23085,NR/2024/20557/A/23449,NR/2024/20572/A/23441,NR/2024/20050/A/23369,NR/2024/20130/A/23126,NR/2024/20540/A/22865,NR/2024/20999/C,NR/2024/20553/A/23053,NR/2024/19779/A/23022,NR/2024/19475/A/23356,NR/2024/19683/A/23498,NR/2024/19757/A/23454,NR/2024/19919/A/23437,NR/2024/20777/A/23006,NR/2024/20597/A/23478,NR/2024/20516/A/23114,NR/2024/20142/A/23110,NR/2024/20552/A/23054,NR/2024/20558/A/23445,NR/2024/19588/A/23316,NR/2024/20560/A/23443,NR/2024/20994/C,NR/2024/20965/C,NR/2024/19699/A/23457,NR/2024/20212/A/23113,NR/2024/19432/A/23459,NR/2024/20090/A/23060,NR/2024/19640/A/23523,NR/2024/20917/C,NR/2024/19988/A/23002,NR/2024/20211/A/23112,NR/2024/20141/A/23111,NR/2024/19918/A/23438,NR/2024/20599/A/22999,NR/2024/19642/A/23522,NR/2024/20109/A/23409,NR/2024/20598/A/22998,NR/2024/19791/A/23444,NR/2024/20537/A/23408,NR/2024/19355/A/23410,NR/2024/20554/A/23023,NR/2024/20048/A/23370,NR/2024/20037/A/23001,NR/2024/19978/A/23442,NR/2024/20041/A/23368,NR/2024/20515/A/23115,NR/2024/19637/A/23093,Total
39,09:30-09:45,6.25,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,9.650000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1922.1

40,09:45-10:00,5.12,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,9.650000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,0.000000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,0.000000,0.000000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1920.97

41,10:00-10:15,6.12,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,0.000000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2062.83

42,10:15-10:30,6.63,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,0.000000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2063.34

43,10:30-10:45,7.08,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,0.000000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2063.79

44,10:45-11:00,5.11,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,0.000000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2061.82

45,11:00-11:15,6.55,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,0.000000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2063.26

46,11:15-11:30,5.08,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,0.000000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2061.79

47,11:30-11:45,7.46,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,0.000000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2064.17

48,11:45-12:00,6.92,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,0.000000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2063.63

49,12:00-12:15,8.2,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2078.42

50,12:15-12:30,8.54,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2078.76

51,12:30-12:45,5.45,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2075.67

52,12:45-13:00,9.39,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2079.61

53,13:00-13:15,6.16,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2076.38

54,13:15-13:30,6.28,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2076.5

55,13:30-13:45,6.66,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2076.88

56,13:45-14:00,7.65,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,0.000000,0.960000,192.940000,1.930000,242.870000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,2077.87

57,14:00-14:15,7.89,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,13.510000,0.000000,0.000000,0.960000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.000000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1883.84

58,14:15-14:30,7.65,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,13.510000,0.000000,0.000000,0.960000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.000000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1883.6

59,14:30-14:45,4.76,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,13.510000,0.000000,0.000000,0.960000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.000000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1880.71

60,14:45-15:00,4.76,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,13.510000,0.000000,0.000000,0.960000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.000000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1880.71

61,15:00-15:15,5.06,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,13.510000,0.000000,0.000000,0.960000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.000000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1881.01

62,15:15-15:30,6.1,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,13.510000,0.000000,0.000000,0.960000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.000000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1882.05

63,15:30-15:45,4.98,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,13.510000,0.000000,0.000000,0.960000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.000000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1880.93

64,15:45-16:00,3.12,48.240000,0.680000,0.000000,0.880000,38.590000,10.960000,32.890000,0.000000,0.480000,13.510000,0.000000,0.000000,0.960000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.000000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,48.240000,0.880000,24.120000,1879.07

65,16:00-16:15,2.8,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.820000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1719.41

66,16:15-16:30,2.82,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.820000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1719.43

67,16:30-16:45,2.62,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.820000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1719.23

68,16:45-17:00,2.16,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.820000,192.940000,1.930000,48.600000,121.540000,67.530000,24.120000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,24.120000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1718.77

69,17:00-17:15,1.97,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,121.540000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1670.29

70,17:15-17:30,1.91,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,121.540000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1670.23

71,17:30-17:45,1.28,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,121.540000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1669.6

72,17:45-18:00,1.05,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,121.540000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,0.000000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,11.720000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1669.37

73,18:00-18:15,0.83,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,121.540000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,0.000000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1753.9

74,18:15-18:30,0.51,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,121.540000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,0.000000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1753.58

75,18:30-18:45,0.27,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,48.240000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,0.000000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1680.04

76,18:45-19:00,0.12,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,48.240000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,0.000000,183.290000,0.000000,64.710000,57.880000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1679.89

77,19:00-19:15,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,48.240000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1679.78

78,19:15-19:30,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,48.240000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1679.78

79,19:30-19:45,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,48.240000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1679.78

80,19:45-20:00,0,0.000000,0.680000,0.000000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,12.540000,0.000000,0.000000,0.770000,192.940000,1.930000,48.600000,48.240000,67.530000,0.000000,0.970000,0.520000,0.000000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,0.960000,96.470000,1.590000,0.350000,13.510000,24.120000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,0.000000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1679.78

81,20:00-20:15,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,48.240000,0.770000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1732.85

82,20:15-20:30,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,48.240000,0.770000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1732.85

83,20:30-20:45,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,48.240000,0.770000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1732.85

84,20:45-21:00,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,48.240000,0.770000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1732.85

85,21:00-21:15,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,48.240000,0.770000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1732.85

86,21:15-21:30,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,48.240000,0.770000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1732.85

