Column1,Block,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/32004/A/93618,NR/2025/31046/A/93565,NR/2025/31047/A/93564,NR/2025/32262/A/93598,NR/2025/32598/A/93609,NR/2025/32375/A/93683,NR/2025/32559/A/93613,NR/2025/32610/A/93611,NR/2025/32554/A/93559,NR/2025/31421/A/93686,NR/2025/29992/A/93302,NR/2025/32556/A/93614,NR/2025/29440/A/93175,NR/2025/32716/C,NR/2025/31041/A/93567,NR/2025/31042/A/93566,NR/2025/32745/C,NR/2025/32746/C,NR/2025/32737/C,NR/2025/32787/C,NR/2025/32788/C,NR/2025/32759/C,SR/2025/19225/C,NR/2025/32747/C/Alternate/1,NR/2025/32747/C,NR/2025/32701/C,NR/2025/32782/C,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6187,NR/2025/32673/C,NR/2025/32712/C,NR/2025/32715/C,NR/2025/32397/A/93167,NR/2025/32455/A/93608,NR/2025/32534/A/93587,NR/2025/32534/A/93588,NR/2025/32532/A/93584,NR/2025/32532/A/93583,NR/2025/32652/A/93514,NR/2025/32653/A/93512,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/93597,NR/2025/32535/A/93595,NR/2025/32599/A/93530,Total
53,13:00-13:15,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.4,0.67,0,1.64,1.45,45,0.39,0,70,1299.9400000000005

54,13:15-13:30,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.4,0.67,0,1.64,1.45,46.67,0.39,0,70,1301.6100000000006

55,13:30-13:45,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.29,0.41,0.58,0.11,1.64,1.45,56.67,0.39,0.04,70,1311.6800000000003

56,13:45-14:00,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,0,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,0,0,0,0.12,0.43,0.61,0.2,1.64,1.45,55,0.39,0.08,70,1310.0200000000002

57,14:00-14:15,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,96.38,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,96.38,0,0,0.06,0.43,0.61,0.1,1.64,1.45,45,0.39,0.04,70,1492.5799999999997

58,14:15-14:30,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,96.38,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,96.38,0,0,0,0.43,0.6,0,1.64,1.45,44.33,0.39,0,70,1491.6999999999998

59,14:30-14:45,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,96.38,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,96.38,0,0,0.29,0.77,0.75,0.48,1.64,1.45,37.05,0.53,0.19,70,1486.0099999999998

60,14:45-15:00,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,96.38,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,96.38,0,0,0.29,0.77,0.75,0.48,1.64,1.45,36.19,0.53,0.19,70,1485.1499999999999

61,15:00-15:15,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,96.38,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,10.78,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,96.38,0,0,0.29,0.77,0.74,0.48,1.64,1.45,42.06,0.52,0.19,84,1506.9499999999996

62,15:15-15:30,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,96.38,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,10.78,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,96.38,0,0,0.29,0.77,0.5,0.48,1.64,1.45,41.04,0.36,0.19,81,1502.5299999999995

63,15:30-15:45,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,96.38,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,10.78,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,96.38,0,0,0.29,0.77,0.5,0.48,1.64,1.45,41.16,0.36,0.19,84,1505.6499999999996

64,15:45-16:00,12.41,12.41,0,26.95,0,0,0,0,81.92,0,0,0,0,0,0,0,0.96,96.38,0,0,48.19,48.19,76.74,43.8,37.24,43.8,0,0,164.09,13.49,10.78,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,44.33,163.85,96.38,0,0,0.29,0.77,0.5,0.48,1.64,1.45,39.07,0.36,0.19,81,1500.5599999999995

65,16:00-16:15,12.41,12.41,0,26.95,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,13.49,10.78,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,0,0,0,0,0,0,0.77,0.05,0,0,0,46.82,0.03,0,84,1506.3899999999999

66,16:15-16:30,12.41,12.41,0,26.95,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,13.49,10.78,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,0,0,0,0,0,0,0.77,0.05,0,0,0,43.5,0.03,0,81,1500.07

67,16:30-16:45,12.41,12.41,0,26.95,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,10.78,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,0,0,0,0,0,0.03,0.77,0,0.05,0,0,40.21,0,0.02,67,1469.31

68,16:45-17:00,12.41,12.41,0,26.95,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,8.83,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,0,0,0,0,0,0.09,0.77,0,0.13,0,0,36.09,0,0.06,63,1459.4199999999998

69,17:00-17:15,12.41,12.41,0,26.95,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,8.17,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,0,0,0,8.67,0,0.05,0.77,0,0.08,0,0,32.08,0,0.03,42,1442.2999999999997

70,17:15-17:30,12.41,12.41,0,26.95,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,7.89,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,0,0,0,8.67,0,0.13,0.77,0,0.21,0,0,27.88,0,0.09,35,1431.0900000000001

71,17:30-17:45,12.41,12.41,0,26.95,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,7.71,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,0,0,0,8.67,0,0.21,0,0,0.35,0,0,23.85,0,0.13,32,1423.3700000000001

72,17:45-18:00,12.41,12.41,0,26.95,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,7.78,26.95,15.28,20.8,40.96,81.92,81.92,20.48,20.48,19.28,24.83,0,0,0,8.67,0,0.22,0,0,0.37,0,0,19.27,0,0.14,25,1411.9

73,18:00-18:15,12.41,12.41,0,24.6,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,8.6,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,24.83,0,0,0,8.67,48.19,0.17,0,0,0.28,0,0,14.68,0,0.12,21,1369.6100000000004

74,18:15-18:30,12.41,12.41,0,24.6,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,6.25,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,24.83,0,0,0,8.67,48.19,0.13,0.11,0.13,0.2,0,0,9.99,0.09,0.09,14,1355.7500000000002

75,18:30-18:45,12.41,12.41,0,26.61,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,28.91,0,164.09,0,4.08,26.61,0,20.8,40.96,33.73,81.92,20.48,20.48,0,24.83,0,0,0,8.67,48.19,0.09,0.07,0.09,0.13,0,0,6.09,0.05,0.06,7,1370.4499999999996

76,18:45-19:00,12.41,12.41,0,26.61,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,67.47,0,164.09,0,2.61,26.61,0,20.8,40.96,33.73,81.92,20.48,20.48,0,24.83,0,0,0,8.67,48.19,0.04,0.04,0.05,0.07,0,0,0,0.03,0.03,5,1399.2199999999998

77,19:00-19:15,14.6,14.6,0,29.5,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,0,12.33,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,1,1322.0700000000004

78,19:15-19:30,14.6,14.6,0,29.5,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,0,12.33,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1321.0700000000004

79,19:30-19:45,14.6,14.6,0,29.5,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,0,12.33,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1321.0700000000004

80,19:45-20:00,14.6,14.6,0,29.5,76.74,0,96.38,0,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,0,0,164.09,0,0,4.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1313.2400000000002

81,20:00-20:15,14.6,14.6,0,29.5,76.74,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,47.23,0,164.09,0,0,4.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1414.6800000000003

82,20:15-20:30,14.6,14.6,0,29.5,76.74,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,44.33,0,164.09,0,0,4.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1411.7800000000002

83,20:30-20:45,14.6,14.6,0,29.5,76.74,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,34.7,0,164.09,0,0,4.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1402.1500000000003

84,20:45-21:00,14.6,14.6,0,29.5,76.74,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,20.24,0,164.09,0,0,4.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1387.6900000000003

85,21:00-21:15,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,14.46,0,164.09,0,0,4.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1411.1900000000003

86,21:15-21:30,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,19.28,0,164.09,0,0,4.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1416.0100000000002

87,21:30-21:45,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,21.2,0,164.09,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1442.9300000000003

88,21:45-22:00,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,2.89,0,164.09,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1424.6200000000001

89,22:00-22:15,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,0,0,192.76,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1450.4000000000003

90,22:15-22:30,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,0,0,192.76,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1450.4000000000003

91,22:30-22:45,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,0,0,192.76,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1450.4000000000003

92,22:45-23:00,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.92,0,0,96.38,0,0,0,0,0,0,0,0,192.76,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1450.4000000000003

93,23:00-23:15,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,192.76,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1450.3500000000001

94,23:15-23:30,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,192.76,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1450.3500000000001

95,23:30-23:45,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,192.76,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1450.3500000000001

96,23:45-24:00,14.6,14.6,0,29.5,106.02,0,96.38,54.21,81.92,48.19,43.8,37.24,163.85,48.19,44.33,43.8,0.87,0,0,96.38,0,0,0,0,0,0,0,0,192.76,0,0,29.5,0,20.8,40.96,33.73,81.92,20.48,20.48,0,28.98,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1450.3500000000001

