Column1,Block,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/28030/C,NR/2025/28014/C,NR/30092023/26122029/SH-06,NR/2025/27728/A/77860,GNA/NR/2025/06/01/2868,NR/2025/27919/C,NR/2025/27726/A/77862,NR/2025/27915/C,GNA/NR/2025/06/01/7663,NR/2025/27918/C,NR/2025/28000/C,NR/2025/28012/C,NR/2025/28017/C,GNA/NR/2025/06/01/2569,NR/2025/28018/C,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/4444,NR/2025/27935/C,NR/2025/28019/C,GNA/NR/2025/06/01/7782,NR/2025/27361/A/77470,NR/2025/27162/A/77864,NR/2025/28032/C,NR/2025/26564/A/77742,NR/2025/27725/A/77863,NR/2025/27979/C,NR/2025/26563/A/77741,NR/2025/27980/C,NR/2025/27168/A/77299,NR/2025/26889/A/77779,NR/2025/26861/A/77745,NR/2025/27981/C,NR/2025/27982/C,NR/2025/27281/A/77883,NR/2025/26561/A/77740,NR/2025/26975/A/77865,NR/2025/27157/A/77405,NR/2025/27242/A/77500,NR/2025/27393/A/77468,NR/2025/28031/C,NR/2025/27499/A/77778,NR/2025/27724/A/77439,NR/2025/27167/A/77298,NR/2025/26445/A/77878,NR/2025/26785/A/77345,NR/2025/26777/A/77427,NR/2025/26860/A/77486,NR/2025/28029/C,NR/2025/27462/A/77335,NR/2025/27727/A/77859,NR/2025/26569/A/77743,NR/2025/27360/A/77472,NR/2025/28033/C,NR/2025/27782/A/77858,NR/2025/26952/A/77304,NR/2025/26570/A/77744,NR/2025/27359/A/77474,NR/2025/27088/A/77872,NR/2025/26085/A/77386,GNARE/NR/2024/12/20/3668,NR/2025/27622/A/77329,NR/2025/27356/A/77477,Total
41,10:00-10:15,33.78,16.89,16.89,10.43,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,84.37,11.58,161,1708.7399999999998

42,10:15-10:30,33.78,16.89,16.89,10.43,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,88.8,11.58,172,1724.1699999999998

43,10:30-10:45,33.78,16.89,16.89,10.43,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,92.76,11.58,179,1735.1299999999999

44,10:45-11:00,33.78,16.89,16.89,10.43,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,96.67,11.58,189,1749.04

45,11:00-11:15,33.78,16.89,16.89,10.35,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,196,1760.26

46,11:15-11:30,33.78,16.89,16.89,10.35,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,200,1764.26

47,11:30-11:45,33.78,16.89,16.89,10.35,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1774.26

48,11:45-12:00,33.78,16.89,16.89,10.35,26.32,5.79,26.94,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.94,11.9,16.89,33.78,135.13,0,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1774.26

49,12:00-12:15,33.78,16.89,16.89,10.25,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1909.31

50,12:15-12:30,33.78,16.89,16.89,10.25,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1909.31

51,12:30-12:45,33.78,16.89,16.89,10.25,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1909.31

52,12:45-13:00,33.78,16.89,16.89,10.25,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1909.31

53,13:00-13:15,33.78,16.89,16.89,10.16,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,11.58,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1909.22

54,13:15-13:30,33.78,16.89,16.89,10.16,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,12.55,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1910.19

55,13:30-13:45,33.78,16.89,16.89,10.16,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,12.55,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,210,1910.19

56,13:45-14:00,33.78,16.89,16.89,10.16,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,0,0,8.69,0,0,74.32,0,128.97,16.89,0,0,0,0,0,15.81,0,0,0,0,26.32,0,12.55,16.89,96.52,0,0,0,8.69,0,0,0,0,26.32,0,0,0,0,0,0.97,100,12.55,203,1903.19

57,14:00-14:15,33.78,16.89,16.89,10.07,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,38.61,0,8.69,0,0,74.32,0,128.97,16.89,0,0,144.78,144.78,0,15.81,0,0,28.96,111,26.32,0,12.55,16.89,96.52,0,0,0,8.69,0,0,0,28.96,26.32,0,0,0,33.78,0,0.97,100,11.58,189,2419

58,14:15-14:30,33.78,16.89,16.89,10.07,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,38.61,0,8.69,0,0,74.32,0,128.97,16.89,0,0,144.78,144.78,0,15.81,0,0,28.96,111,26.32,0,12.55,16.89,96.52,0,0,0,8.69,0,0,0,28.96,26.32,0,0,0,33.78,0,0.97,100,11.58,186,2416

59,14:30-14:45,33.78,16.89,16.89,10.07,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,38.61,0,8.69,0,0,74.32,0,128.97,16.89,0,0,144.78,144.78,0,15.81,0,0,28.96,111,26.32,0,12.55,16.89,96.52,0,0,0,8.69,0,0,0,28.96,26.32,0,0,0,33.78,0,0.97,91.01,11.58,179,2400.01

60,14:45-15:00,33.78,16.89,16.89,10.07,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,38.61,0,8.69,0,0,74.32,0,128.97,16.89,0,0,144.78,144.78,0,15.81,0,0,28.96,111,26.32,0,12.55,16.89,96.52,0,0,0,8.69,0,0,0,28.96,26.32,0,0,0,33.78,0,0.97,87.42,11.58,172,2389.42

61,15:00-15:15,33.78,16.89,16.89,10.25,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,38.61,0,8.69,0,0,74.32,0,128.97,16.89,0,0,144.78,144.78,0,15.81,0,0,28.96,111,26.32,0,13.51,16.89,96.52,0,0,0,8.69,0,0,0,28.96,26.32,0,0,0,33.78,0,0.97,83.44,8.69,161,2372.69

62,15:15-15:30,33.78,16.89,16.89,10.25,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,38.61,0,8.69,0,0,74.32,0,128.97,16.89,0,0,144.78,144.78,0,15.81,0,0,28.96,111,26.32,0,13.51,16.89,96.52,0,0,0,8.69,0,0,0,28.96,26.32,0,0,0,33.78,0,0.97,79.17,8.69,151,2358.42

63,15:30-15:45,33.78,16.89,16.89,10.25,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,38.61,0,8.69,0,0,74.32,0,128.97,16.89,0,0,144.78,144.78,0,15.81,0,0,28.96,111,26.32,0,13.51,16.89,96.52,0,0,0,8.69,0,0,0,28.96,26.32,0,0,0,33.78,0,0.97,74.22,8.69,140,2342.47

64,15:45-16:00,33.78,16.89,16.89,10.25,26.32,5.79,26.95,0,17.37,9.65,0,24.85,33.78,53.09,135.13,135.13,55.92,43.92,28.96,26.95,11.9,16.89,33.78,135.13,135.13,108.45,11.89,38.61,0,8.69,0,0,74.32,0,128.97,16.89,0,0,144.78,144.78,0,15.81,0,0,28.96,111,26.32,0,13.51,16.89,96.52,0,0,0,8.69,0,0,0,28.96,26.32,0,0,0,33.78,0,0.97,69.28,8.69,126,2323.53

65,16:00-16:15,33.78,16.89,16.89,10.43,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,0,13.51,16.89,96.52,53.09,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,135.13,144.78,33.78,135.13,0.87,61.58,5.79,112,2553.45

66,16:15-16:30,33.78,16.89,16.89,10.43,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,0,13.51,16.89,96.52,53.09,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,135.13,144.78,33.78,135.13,0.87,54.43,5.79,98,2532.2999999999997

67,16:30-16:45,33.78,16.89,16.89,10.43,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,0,13.51,16.89,96.52,53.09,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,135.13,144.78,33.78,135.13,0.87,48.19,5.79,88,2516.06

68,16:45-17:00,33.78,16.89,16.89,10.43,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,0,13.51,16.89,96.52,53.09,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,135.13,144.78,33.78,135.13,0.87,41.81,5.79,77,2498.68

69,17:00-17:15,33.78,16.89,16.89,10.81,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,0,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,135.13,144.78,33.78,135.13,0.87,35.55,0,49,2405.9200000000005

70,17:15-17:30,33.78,16.89,16.89,10.81,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,0,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,135.13,144.78,33.78,135.13,0.87,28.64,0,35,2385.01

71,17:30-17:45,33.78,16.89,16.89,11.46,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,0,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,135.13,144.78,33.78,135.13,0.87,22.53,0,25,2369.5500000000006

72,17:45-18:00,33.78,16.89,16.89,11.46,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,0,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,0,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,135.13,144.78,33.78,135.13,0.87,16.71,0,14,2352.7300000000005

73,18:00-18:15,33.78,16.89,16.89,11.64,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.87,12.04,0,7,2220.59

74,18:15-18:30,33.78,16.89,16.89,11.64,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.87,8.32,0,4,2213.8700000000003

75,18:30-18:45,33.78,16.89,16.89,11.64,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.87,0.71,0,2,2204.26

76,18:45-19:00,33.78,16.89,16.89,11.64,0,0,26.95,30.25,17.37,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.95,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.87,0.27,0,1,2202.82

77,19:00-19:15,33.78,16.89,16.89,11.82,0,0,25.55,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,29,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.87,0.18,0,0,2214.15

78,19:15-19:30,33.78,16.89,16.89,11.82,0,0,25.55,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,29,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.87,0,0,0,2213.9700000000003

79,19:30-19:45,33.78,16.89,16.89,11.82,0,0,26.7,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.7,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.87,0,0,0,2212.82

80,19:45-20:00,33.78,16.89,16.89,11.82,0,0,26.7,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,26.7,11.9,16.89,33.78,135.13,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,0,0,0,24.85,144.78,5.79,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.87,0,0,0,2212.82

81,20:00-20:15,33.78,16.89,16.89,12.01,0,0,23.47,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,23.47,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.92,0,0,0,2227.84

82,20:15-20:30,33.78,16.89,16.89,12.01,0,0,23.47,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,23.47,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.92,0,0,0,2227.84

83,20:30-20:45,33.78,16.89,16.89,12.01,0,0,17.43,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.92,0,0,0,2227.8300000000004

84,20:45-21:00,33.78,16.89,16.89,12.01,0,0,17.43,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,13.51,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.92,0,0,0,2227.8300000000004

85,21:00-21:15,33.78,16.89,16.89,12.01,0,0,12.33,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,12.55,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.92,0,0,0,2221.77

86,21:15-21:30,33.78,16.89,16.89,12.01,0,0,12.33,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,12.55,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.92,0,0,0,2221.77

87,21:30-21:45,33.78,16.89,16.89,12.01,0,0,12.33,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,162.68,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,12.55,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.92,0,0,0,2276.0000000000005

88,21:45-22:00,33.78,16.89,16.89,12.01,0,0,12.33,30.25,28.96,0,30.25,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,162.68,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,12.55,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.92,0,0,0,2276.0000000000005

89,22:00-22:15,33.78,16.89,16.89,11.82,0,0,12.33,37.3,28.96,0,43.87,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,11.58,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.82,0,0,0,2241.1800000000003

90,22:15-22:30,33.78,16.89,16.89,11.82,0,0,19.5,37.3,28.96,0,43.87,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,11.58,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.82,0,0,0,2248.3500000000004

91,22:30-22:45,33.78,16.89,16.89,11.82,0,0,19.5,37.3,28.96,0,43.87,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,11.58,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.82,0,0,0,2248.3500000000004

92,22:45-23:00,33.78,16.89,16.89,11.82,0,0,19.5,37.3,28.96,0,43.87,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,11.58,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.82,0,0,0,2248.3500000000004

93,23:00-23:15,33.78,16.89,16.89,11.64,0,0,19.5,37.3,28.96,0,43.87,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.77,0,0,0,2247.1600000000003

94,23:15-23:30,33.78,16.89,16.89,11.64,0,0,19.5,37.3,28.96,0,43.87,0,33.78,0,0,0,0,43.92,28.96,29.5,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,144.78,14.62,0,0,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.17,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,43.87,0,28.96,0,14.62,0,144.78,33.78,135.13,0.77,0,0,0,2247.1600000000003

