Time,Block,NR/2023/15296/F,NR/2023/15306/F,NR/2023/13862/A,NR/2023/15397/D,NR/2023/12431/A,NR/2023/15415/C,NR/2023/14898/A,NR/2023/15057/F,NR/2023/15416/C,NR/2023/15411/C,NR/2023/15394/D,NR/2023/12422/A,NR/2023/12591/A,NR/2023/14745/A,NR/2023/12347/A,NR/2023/12168/A,NR/2023/15309/F,NR/2023/14895/A,NR/2023/12167/A,NR/2023/12052/A,NR/2023/13635/A,NR/2023/15303/F,NR/2023/15426/C,NR/2023/12592/A,NR/2023/14737/A,NR/2023/14746/A,NR/2023/15304/F,NR/2023/12053/A,NR/2023/15399/D,NR/2023/15425/C,NR/2023/15398/D,NR/2023/12148/A,NR/2023/15395/D,ER/2023/9521/C,Total
65,16:00-16:15,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.820000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,162.370000,18.360000,22.230000,1.15,0.000000,1199.54

66,16:15-16:30,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.820000,12.690000,8.070000,147.630000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,158.510000,18.360000,22.230000,1.23,0.000000,1195.76

67,16:30-16:45,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.820000,12.690000,8.070000,193.300000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,159.470000,18.360000,22.230000,1.8,0.000000,1242.96

68,16:45-17:00,0.970000,0.930000,23.130000,8.220000,108.730000,0.000000,77.320000,0.820000,12.690000,8.070000,193.300000,0.000000,42.520000,24.160000,106.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,29.000000,143.040000,18.360000,22.230000,2.06,0.000000,1226.79

69,17:00-17:15,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.820000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,174.940000,18.360000,22.230000,1.1,0.000000,1144.91

70,17:15-17:30,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.820000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,178.800000,18.360000,22.230000,0.44,0.000000,1148.11

71,17:30-17:45,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.820000,18.220000,8.070000,193.300000,0.000000,42.520000,24.160000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,174.940000,18.360000,22.230000,0.93,0.000000,1144.74

72,17:45-18:00,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.820000,18.220000,7.070000,193.300000,0.000000,42.520000,24.160000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,0.000000,0.000000,161.410000,18.360000,22.230000,0.58,0.000000,1129.86

73,18:00-18:15,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.870000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,169.140000,0.000000,22.230000,0.43,0.000000,1131.44

74,18:15-18:30,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.870000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,79.250000,0.000000,22.230000,0,0.000000,1041.12

75,18:30-18:45,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.870000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,76.350000,0.000000,22.230000,0,0.000000,1038.22

76,18:45-19:00,0.970000,0.930000,0.000000,0.000000,108.730000,0.000000,77.320000,0.870000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,0.000000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,86.020000,0.000000,22.230000,0,0.000000,1047.89

77,19:00-19:15,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,67.660000,0.000000,22.230000,0,0.000000,1111.74

78,19:15-19:30,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,108.250000,0.000000,22.230000,0,0.000000,1152.33

79,19:30-19:45,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,165.270000,0.000000,22.230000,0,0.000000,1209.35

80,19:45-20:00,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,220.360000,0.000000,22.230000,0,0.000000,1264.44

81,20:00-20:15,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,276.420000,0.000000,22.230000,0,0.000000,1320.5

82,20:15-20:30,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,330.540000,0.000000,22.230000,0,0.000000,1374.62

83,20:30-20:45,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,383.700000,0.000000,22.230000,0,0.000000,1427.78

84,20:45-21:00,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,48.320000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,417.530000,0.000000,22.230000,0,0.000000,1461.61

85,21:00-21:15,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,461.020000,0.000000,22.230000,0,0.000000,1548.6

86,21:15-21:30,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,497.750000,0.000000,22.230000,0,0.000000,1585.33

87,21:30-21:45,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,531.580000,0.000000,22.230000,0,0.000000,1619.16

88,21:45-22:00,0.970000,0.930000,0.000000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,0.000000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,0.000000,0.580000,36.470000,0.000000,568.300000,0.000000,22.230000,0,0.000000,1655.88

89,22:00-22:15,0.970000,0.930000,23.130000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,36.820000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,507.410000,0.000000,22.230000,0,0.000000,1740.86

90,22:15-22:30,0.970000,0.930000,23.130000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,7.070000,193.300000,36.820000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,14.500000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,535.440000,0.000000,22.230000,0,0.000000,1768.89

91,22:30-22:45,0.970000,0.930000,23.130000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,5.050000,193.300000,36.820000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,557.670000,0.000000,22.230000,0,0.000000,1839.36

92,22:45-23:00,0.970000,0.930000,23.130000,0.000000,108.730000,67.660000,77.320000,0.920000,18.220000,5.050000,193.300000,36.820000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,567.340000,0.000000,22.230000,0,0.000000,1849.03

93,23:00-23:15,0.970000,0.930000,23.130000,0.000000,108.730000,67.660000,77.320000,0.870000,18.220000,5.050000,193.300000,36.820000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,568.300000,0.000000,22.230000,0,0.000000,1849.94

94,23:15-23:30,0.970000,0.930000,23.130000,0.000000,108.730000,67.660000,77.320000,0.870000,18.220000,5.050000,193.300000,36.820000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,548.010000,0.000000,22.230000,0,0.000000,1829.65

95,23:30-23:45,0.970000,0.930000,23.130000,0.000000,108.730000,67.660000,77.320000,0.870000,18.220000,5.050000,193.300000,36.820000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,519.980000,0.000000,22.230000,0,0.000000,1801.62

96,23:45-24:00,0.970000,0.930000,23.130000,0.000000,108.730000,67.660000,77.320000,0.870000,18.220000,5.050000,193.300000,36.820000,42.520000,0.000000,91.820000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,484.220000,0.000000,22.230000,0,0.000000,1765.86

