Time,Block,NR/2023/12562/C,NR/2023/11957/F,NR/2023/11959/F,NR/2023/10944/A,NR/2023/11947/F,NR/2023/10236/A,NR/2023/10344/A,NR/2023/11961/F,NR/2023/11342/A,NR/2023/11952/F,NR/2023/11960/F,NR/2023/12567/C,NR/2023/11955/F,NR/2023/10434/A,NR/2023/11862/F,NR/2023/12553/C,NR/2023/10487/A,NR/2023/11941/F,NR/2023/10611/A,NR/2023/10229/A,NR/2023/11476/A,NR/2023/12565/C,NR/2023/11958/F,NR/2023/11330/A,NR/2023/11956/F,NR/2023/10613/A,NR/2023/11963/F,NR/2023/11642/A,NR/2023/11643/A,NR/2023/12546/D,NR/2023/12564/C,NR/2023/12563/C,NR/2023/12547/D,ER/2023/7603/C,NR/2023/10223/A,NR/2023/12545/D,NR/2023/11284/A,NR/2023/12569/C,NR/2023/12542/D,NR/2023/11962/F,Total
57,14:00-14:15,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.580000,0.360000,24.080000,2.890000,34.650000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,76.2,4.5,10.5,177.8,0.000000,24.920000,9,33.720000,0.000000,66.850000,0.460000,1129.11

58,14:15-14:30,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.580000,0.360000,24.080000,2.890000,34.650000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,75.9,2.7,6.3,177.1,0.000000,24.920000,8.8,33.720000,0.000000,66.850000,0.460000,1121.91

59,14:30-14:45,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.580000,0.360000,24.080000,2.890000,34.650000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,75,1.5,3.5,175,0.000000,24.920000,8.34,33.720000,0.000000,66.850000,0.460000,1114.45

60,14:45-15:00,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.580000,0.360000,24.080000,2.890000,34.650000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,72,1.2,2.8,168,0.000000,24.920000,8.29,33.720000,0.000000,66.850000,0.460000,1103.4

61,15:00-15:15,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.580000,0.360000,24.080000,2.890000,34.650000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,67.5,1.2,2.8,157.5,0.000000,24.920000,8.2,33.720000,0.000000,66.850000,0.460000,1088.31

62,15:15-15:30,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.580000,0.360000,24.080000,2.890000,34.650000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,64.5,0,0,150.5,0.000000,24.920000,8.15,33.720000,0.000000,66.850000,0.460000,1074.26

63,15:30-15:45,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.580000,0.360000,24.080000,2.890000,34.650000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,60,0,0,140,0.000000,24.920000,7.28,33.720000,0.000000,66.850000,0.460000,1058.39

64,15:45-16:00,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.580000,0.360000,24.080000,2.890000,34.650000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,55.2,0,0,128.8,0.000000,24.920000,6.51,33.720000,0.000000,66.850000,0.460000,1041.62

65,16:00-16:15,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,35.670000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,49.2,0,0,114.8,0.000000,24.920000,6.12,33.720000,0.000000,66.850000,0.460000,1022.33

66,16:15-16:30,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,35.670000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,43.2,0,0,100.8,0.000000,24.920000,5.35,33.720000,0.000000,66.850000,0.460000,1001.56

67,16:30-16:45,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,35.670000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,37.8,0,0,88.2,0.000000,24.920000,4.77,33.720000,0.000000,66.850000,0.460000,982.98

68,16:45-17:00,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.660000,0.360000,24.080000,2.890000,35.670000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,30,0,0,70,0.000000,24.920000,3.91,33.720000,0.000000,66.850000,0.460000,956.12

69,17:00-17:15,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.850000,0.360000,24.080000,2.890000,35.670000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,21,0,0,49,0.000000,24.920000,3.04,33.720000,0.000000,66.850000,0.460000,925.44

70,17:15-17:30,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.850000,0.360000,24.080000,2.890000,35.670000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,17.1,0,0,39.9,0.000000,24.920000,2.07,33.720000,0.000000,66.850000,0.460000,911.47

71,17:30-17:45,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.850000,0.360000,24.080000,2.890000,35.670000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,13.5,0,0,31.5,0.000000,24.920000,1.21,33.720000,0.000000,133.710000,0.460000,965.47

72,17:45-18:00,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,0.000000,0.730000,10.850000,0.360000,24.080000,2.890000,35.670000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,12,0,0,28,0.000000,24.920000,0.55,33.720000,0.000000,133.710000,0.460000,959.81

73,18:00-18:15,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.730000,10.940000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,9,0,0,21,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.460000,1042.61

74,18:15-18:30,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.730000,10.940000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,4.5,0,0,10.5,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.460000,1027.61

75,18:30-18:45,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.730000,10.940000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,3,0,0,7,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.460000,1022.61

76,18:45-19:00,0.000000,0.770000,0.730000,0.000000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.730000,10.940000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.620000,0.000000,0.390000,0.000000,0.460000,14.450000,13.000000,1.5,0,0,3.5,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.460000,1017.61

77,19:00-19:15,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.130000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.510000,1013.4

78,19:15-19:30,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.130000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.510000,1013.4

79,19:30-19:45,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.130000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.510000,1013.4

80,19:45-20:00,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.130000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.510000,1013.4

81,20:00-20:15,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.220000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.510000,1013.49

82,20:15-20:30,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.220000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.510000,1013.49

83,20:30-20:45,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.220000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,192.660000,0.510000,1013.49

84,20:45-21:00,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.220000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,144.590000,0.510000,965.42

85,21:00-21:15,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.310000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,0.000000,66.850000,0.510000,887.77

86,21:15-21:30,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.310000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,4.820000,66.850000,0.510000,892.59

87,21:30-21:45,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.310000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,45.280000,66.850000,0.510000,933.05

88,21:45-22:00,0.000000,0.870000,0.810000,0.000000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.310000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,0.000000,0.440000,0.000000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,86.700000,66.850000,0.510000,974.47

89,22:00-22:15,0.000000,0.870000,0.810000,27.740000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.410000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,64.730000,0.440000,12.620000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,48.160000,66.850000,0.510000,1041.12

90,22:15-22:30,0.000000,0.870000,0.810000,27.740000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.410000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,64.730000,0.440000,12.620000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,94.400000,66.850000,0.510000,1087.36

91,22:30-22:45,0.000000,0.870000,0.810000,27.740000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.410000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,64.730000,0.440000,12.620000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,137.750000,66.850000,0.510000,1130.71

92,22:45-23:00,0.000000,0.870000,0.810000,27.740000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.410000,0.360000,24.080000,2.890000,33.630000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,64.730000,0.440000,12.620000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,182.060000,66.850000,0.510000,1175.02

93,23:00-23:15,0.000000,0.870000,0.810000,27.740000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.490000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,64.730000,0.440000,12.620000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,219.630000,66.850000,0.510000,1209.62

94,23:15-23:30,0.000000,0.870000,0.810000,27.740000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.490000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,64.730000,0.440000,12.620000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,243.710000,66.850000,0.510000,1233.7

95,23:30-23:45,0.000000,0.870000,0.810000,27.740000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.490000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,64.730000,0.440000,12.620000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,251.420000,66.850000,0.510000,1241.41

96,23:45-24:00,0.000000,0.870000,0.810000,27.740000,6.740000,274.170000,12.210000,0.860000,115.600000,36.350000,0.810000,11.490000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.720000,64.730000,0.440000,12.620000,0.510000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,158.940000,66.850000,0.510000,1148.93

