Block,Time,TALA,KISHANGANGA,SASAN,KHSTPP-I,KHSTPP-II,FSTPP I & II,KUDGI,SINGRAULI_HYDRO,BRBCL,DHAULIGNGA,AURY_CRF,JHAJJAR,NAPP,BSIUL,SINGRAULI,NJPC,DADRI_LF,RIHAND2,AURY_RF,AURY_LF,URI,TANDA2,ANTA_RF,KOTESHWR,KOLDAM,RAPPC,CHAMERA2,DADRI_RF,TANAKPUR,UNCHAHAR1,PARBATI3,SALAL,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,URI2,ANTA_GF,CHAMERA1,DADRT2,SEWA2,RIHAND1,RIHAND3,CHAMERA3,RAMPUR,RAPPB,DADRI_GF,ANTA_LF,DULHASTI,TEHRI,UNCHAHAR4,DADRI_CRF,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
32,07:45:08:00,21.110182,2.113900,405.243729,30.143178,118.311776,14.961803,21.29,1.053398,19.353960,37.135857,0.000000,332.379887,38.785636,6.342112,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.175330,53.407983,40.512341,0.000000,7.437742,8.670495,3.239850,78.712718,10.579574,0.000000,18.225178,32.779383,0.000000,40.786697,358.968105,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,0.000000,0.078384,0.000000,0.000000,0,0,0,0,0

33,08:00-08:15,21.110182,2.113900,405.243729,30.143178,118.311776,14.961803,28.06,1.053398,19.353960,37.135857,0.000000,332.379887,38.785636,6.342112,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.175330,53.407983,40.512341,0.000000,7.437742,11.620335,3.239850,78.712718,13.554826,0.000000,22.056980,32.779383,0.000000,40.786697,364.922085,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,0.000000,0.362551,0.000000,0.000000,0,0,0,0,0

34,08:15-08:30,21.110182,2.113900,405.243729,30.143178,118.311776,14.961803,29.03,1.053398,19.353960,37.135857,0.000000,332.379887,38.785636,6.342112,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.175330,53.407983,40.512341,0.000000,7.437742,11.620335,3.239850,78.712718,13.554826,0.000000,22.056980,32.779383,0.000000,40.786697,364.922085,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,0.000000,0.362551,0.000000,0.000000,0,0,0,0,0

35,08:30-08:45,21.110182,2.113900,405.243729,25.321466,118.311776,10.503803,57.93,1.053398,19.353960,37.135857,0.000000,332.379887,38.785636,6.342112,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,7.437742,11.620335,3.239850,78.712718,13.554826,0.000000,20.947083,32.779383,0.000000,40.786697,364.922085,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,0.000000,0.362551,0.000000,0.000000,0,0,0,0,0

36,08:45:09:00,21.110182,2.113900,405.243729,24.833601,118.311776,10.503803,63.82,1.053398,19.353960,37.135857,0.000000,332.379887,38.785636,6.342112,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,7.437742,11.620335,3.239850,78.712718,13.554826,0.000000,20.947083,32.779383,0.000000,40.786697,364.922085,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,0.000000,0.362551,0.000000,0.000000,0,0,0,0,0

