Block,Time,AURY_CRF,CHAMERA3,AURY_GF,BSIUL,SALAL,AURY_RF,DULHASTI,ANTA_LF,UNCHAHAR3,DADRI_GF,UNCHAHAR2,DADRI_LF,ANTA_GF,RAPPC,RIHAND3,JHAJJAR,SEWA2,SINGRAULI_HYDRO,TANDA2,URI2,DHAULIGNGA,RAPPB,KOTESHWR,NAPP,UNCHAHAR1,CHAMERA2,DADRI_CRF,ANTA_RF,CHAMERA1,TANAKPUR,URI,RAMPUR,KISHANGANGA,RIHAND1,SINGRAULI,ANTA_CRF,NJPC,UNCHAHAR4,AURY_LF,DADRI_RF,BRBCL,RIHAND2,PARBATI3,TALA,FSTPP I & II,KOLDAM,KHSTPP-I,KHSTPP-II,TEHRI,DADRT2,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
27,06:30-06:45,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,18.771036,0.000000,30.215851,0.000000,0.000000,65.266898,125.970622,144.494117,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,15.068035,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,76.538183,1.985353,16.105281,8.947402,34.303767,114.262255,0.000000,371.099735,393.115250,0,0,0,0,0

28,06:45-07:00,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,18.771036,0.000000,30.215851,0.000000,0.000000,65.266898,125.970622,144.494117,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,15.068035,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,76.538183,1.701731,16.105281,8.947402,34.303767,114.200993,0.000000,371.659550,395.044650,0,0,0,0,0

29,07:00-07:15,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.253933,0.000000,24.566664,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.158307,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,76.538183,1.418109,13.335241,8.947402,34.303767,114.200993,0.000000,367.591796,395.044650,0,0,0,0,0

30,07:15-07:30,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.253933,0.000000,24.566664,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.158307,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,8.831329,1.134487,13.335241,8.947402,34.303767,114.200993,0.000000,367.591796,395.044650,0,0,0,0,0

31,07:30-07:45,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.253933,0.000000,24.566664,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.158307,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,18.840167,2.552596,11.132638,8.947402,34.303767,114.200993,0.000000,367.591796,395.044650,0,0,0,0,0

