Time,Block,NR/2023/13654/D,NR/2023/13678/C,NR/2023/13053/F,NR/2023/10720/A,NR/2023/11712/A,NR/2023/13653/D,NR/2023/10705/A,NR/2023/10959/A,NR/2023/12916/F,NR/2023/12706/A,NR/2023/10432/A,NR/2023/12917/F,NR/2023/13369/F,NR/2023/10651/A,NR/2023/12919/F,NR/2023/13665/C,NR/2023/10956/A,NR/2023/10561/A,NR/2023/13655/C,NR/2023/12923/F,NR/2023/10436/A,NR/2023/12924/F,NR/2023/12872/F,NR/2023/11888/A,NR/2023/11953/A,NR/2023/10435/A,NR/2023/10460/A,NR/2023/12169/A,NR/2023/13641/D,NR/2023/12920/F,NR/2023/12814/F,NR/2023/10488/A,NR/2023/13642/D,ER/2023/8392/C,NR/2023/13053/F/II,NR/2023/13643/D,NR/2023/12813/F,NR/2023/13658/C,NR/2023/13677/C,NR/2023/12922/F,NR/2023/13315/F,NR/2023/11709/A,NR/2023/13660/C,NR/2023/12915/F,SR/2023/6285/C,NR/2023/10650/A,NR/2023/10947/A,NR/2023/12661/A,NR/2023/11266/A,NR/2023/11507/A,NR/2023/10786/A,NR/2023/12921/F,Total
42,10:15-10:30,51.6,40.6,24.190000,23.710000,64.350000,120.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,5.23,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,17.4,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1840.79

43,10:30-10:45,52.8,41.3,24.190000,23.710000,64.350000,123.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,5.23,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,17.7,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1845.79

44,10:45-11:00,54,42.7,24.190000,23.710000,64.350000,126,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,6.1,0.980000,85.640000,48.380000,110.240000,100.000000,0.000000,58.060000,62.900000,30.000000,18.3,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1852.66

45,11:00-11:15,55.2,44.1,24.190000,23.710000,64.350000,128.8,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,6.97,0.980000,85.640000,48.380000,110.240000,70.000000,0.000000,58.060000,62.900000,30.000000,18.9,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1829.53

46,11:15-11:30,57.6,38.5,24.190000,23.710000,64.350000,134.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,7.84,0.980000,85.640000,48.380000,110.240000,70.000000,0.000000,58.060000,62.900000,30.000000,16.5,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1830.4

47,11:30-11:45,58.8,37.8,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,8.9,0.980000,85.640000,48.380000,110.240000,70.000000,0.000000,58.060000,62.900000,30.000000,16.2,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1834.46

48,11:45-12:00,58.8,37.8,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,8.9,0.980000,85.640000,48.380000,110.240000,70.000000,0.000000,58.060000,62.900000,30.000000,16.2,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1834.46

49,12:00-12:15,58.8,38.5,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,9.68,0.980000,85.640000,48.380000,110.240000,70.000000,0.000000,58.060000,62.900000,0.000000,16.5,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1806.24

50,12:15-12:30,58.8,39.9,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,9.68,0.980000,85.640000,48.380000,110.240000,70.000000,0.000000,58.060000,62.900000,0.000000,17.1,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1808.24

51,12:30-12:45,58.8,39.9,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,9.19,0.980000,85.640000,48.380000,110.240000,70.000000,0.000000,58.060000,62.900000,0.000000,17.1,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1807.75

52,12:45-13:00,58.8,39.9,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,9.19,0.980000,85.640000,48.380000,110.240000,70.000000,0.000000,58.060000,62.900000,0.000000,17.1,1.020000,4.840000,0.000000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1807.75

53,13:00-13:15,58.8,39.9,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,9.19,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,17.1,1.020000,4.840000,0.000000,15.990000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1738.69

54,13:15-13:30,58.8,36.4,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,9,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,15.6,1.020000,4.840000,0.000000,15.990000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1733.5

55,13:30-13:45,58.8,33.6,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,9,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,14.4,1.020000,4.840000,0.000000,15.990000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1729.5

56,13:45-14:00,58.8,26.6,24.190000,23.710000,64.350000,137.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,9,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,11.4,1.020000,4.840000,0.000000,15.990000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,90.960000,0.980000,1719.5

57,14:00-14:15,54.6,33.6,24.190000,23.710000,64.350000,127.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,8.95,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,14.4,1.020000,4.840000,23.170000,15.890000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1754.01

58,14:15-14:30,53.7,28.7,24.190000,23.710000,64.350000,125.3,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,8.95,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,12.3,1.020000,4.840000,23.170000,15.890000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1744.01

59,14:30-14:45,52.5,27.3,24.190000,23.710000,64.350000,122.5,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,8.85,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,11.7,1.020000,4.840000,23.170000,15.890000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1737.91

60,14:45-15:00,50.1,29.4,24.190000,23.710000,64.350000,116.9,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,0.000000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,8.47,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,12.6,1.020000,4.840000,23.170000,15.890000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1732.53

61,15:00-15:15,46.8,32.2,24.190000,23.710000,64.350000,109.2,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,23.220000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,7.84,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,13.8,1.020000,4.840000,23.170000,15.990000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1748.22

62,15:15-15:30,44.1,30.1,24.190000,23.710000,64.350000,102.9,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,42.580000,100.160000,48.380000,38.730000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,6.97,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,12.9,1.020000,4.840000,23.170000,15.990000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1754.71

63,15:30-15:45,41.1,28,24.190000,23.710000,64.350000,95.9,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,69.670000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,5.81,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,12,1.020000,4.840000,23.170000,15.990000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1769.68

64,15:45-16:00,38.4,24.5,24.190000,23.710000,64.350000,89.6,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,67.740000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,5.32,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,58.060000,62.900000,0.000000,10.5,1.020000,4.840000,23.170000,15.990000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1753.26

65,16:00-16:15,32.7,25.9,24.190000,23.710000,64.350000,76.3,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,83.220000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,5.23,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,60.000000,62.900000,0.000000,11.1,1.020000,4.840000,23.170000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1753.67

66,16:15-16:30,30,17.5,24.190000,23.710000,64.350000,70,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,80.320000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,4.74,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,60.000000,62.900000,0.000000,7.5,1.020000,4.840000,23.170000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1729.28

67,16:30-16:45,27.6,12.6,24.190000,23.710000,64.350000,64.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,67.740000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,4.35,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,60.000000,62.900000,0.000000,5.4,1.020000,4.840000,23.170000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1701.31

68,16:45-17:00,21.6,19.6,24.190000,23.710000,64.350000,50.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,24.190000,63.140000,0.970000,60.000000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.970000,7.630000,0.000000,12.570000,23.220000,0.000000,2.03,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,60.000000,62.900000,0.000000,8.4,1.020000,4.840000,23.170000,16.070000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,106.450000,0.980000,1681.25

69,17:00-17:15,18,16.1,24.190000,23.710000,64.350000,42,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,63.870000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.680000,7.630000,0.000000,12.570000,23.220000,0.000000,1.94,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,6.9,1.020000,4.840000,0.000000,16.170000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1502.41

70,17:15-17:30,15.9,13.3,24.190000,23.710000,64.350000,37.1,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,47.420000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.680000,7.630000,0.000000,12.570000,23.220000,0.000000,1.45,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,5.7,1.020000,4.840000,0.000000,16.170000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1474.47

71,17:30-17:45,13.2,7.7,24.190000,23.710000,64.350000,30.8,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,32.900000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.680000,7.630000,0.000000,12.570000,23.220000,0.000000,1.16,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,3.3,1.020000,4.840000,0.000000,16.170000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1442.66

72,17:45-18:00,9.6,5.6,24.190000,23.710000,64.350000,22.4,15.800000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,40.770000,0.610000,24.190000,0.610000,0.680000,7.630000,0.000000,12.570000,23.220000,0.000000,0.68,0.980000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,2.4,1.020000,4.840000,0.000000,16.170000,0.370000,0.00,7.740000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1394.28

73,18:00-18:15,7.2,4.2,24.190000,23.710000,64.350000,16.8,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,39.740000,0.610000,24.190000,0.610000,0.680000,7.630000,36.510000,12.570000,23.220000,0.000000,0.48,0.980000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,1.8,1.020000,4.840000,0.000000,16.260000,0.370000,0.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1458.33

74,18:15-18:30,4.8,9.8,24.190000,23.710000,64.350000,11.2,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,39.740000,0.610000,24.190000,0.610000,0.680000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.980000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,4.2,1.020000,4.840000,0.000000,16.260000,0.370000,0.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1457.85

75,18:30-18:45,4.8,9.8,24.190000,23.710000,64.350000,11.2,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,39.740000,0.610000,24.190000,0.610000,0.680000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.980000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,4.2,1.020000,4.840000,0.000000,16.260000,0.370000,0.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1457.85

76,18:45-19:00,4.8,2.8,24.190000,23.710000,64.350000,11.2,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,39.740000,0.610000,24.190000,0.610000,0.680000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.980000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,1.2,1.020000,4.840000,0.000000,16.260000,0.370000,0.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1447.85

77,19:00-19:15,2.4,1.4,24.190000,23.710000,64.350000,5.6,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,39.740000,0.610000,24.190000,0.610000,0.730000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.980000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0.6,1.020000,4.840000,0.000000,16.350000,0.370000,0.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1437.99

78,19:15-19:30,1.2,0.7,24.190000,23.710000,64.350000,2.8,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,39.740000,0.610000,24.190000,0.610000,0.730000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.980000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0.3,1.020000,4.840000,0.000000,16.350000,0.370000,0.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1432.99

79,19:30-19:45,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,39.740000,0.610000,24.190000,0.610000,0.730000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.980000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.350000,0.370000,0.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1427.99

80,19:45-20:00,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.970000,0.000000,100.160000,48.380000,39.740000,0.610000,24.190000,0.610000,0.730000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.980000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.350000,0.370000,0.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.980000,1427.99

81,20:00-20:15,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.770000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.540000,0.370000,75.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.930000,1501.04

82,20:15-20:30,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.770000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.540000,0.370000,75.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.930000,1501.04

83,20:30-20:45,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.770000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.540000,0.370000,75.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.930000,1501.04

84,20:45-21:00,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.770000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.540000,0.370000,75.00,14.270000,0.000000,62.900000,74.820000,300.460000,48.380000,0.930000,1501.04

85,21:00-21:15,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.770000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.720000,0.370000,75.00,14.270000,0.000000,62.900000,74.820000,300.460000,91.930000,0.930000,1544.77

86,21:15-21:30,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.770000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.720000,0.370000,75.00,14.270000,0.000000,62.900000,74.820000,300.460000,91.930000,0.930000,1544.77

87,21:30-21:45,0,0,24.190000,23.710000,64.350000,0,15.820000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,56.130000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.770000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.720000,0.370000,75.00,14.270000,0.000000,62.900000,74.820000,300.460000,91.930000,0.930000,1600.9

88,21:45-22:00,0,0,24.190000,23.710000,64.350000,0,15.860000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,149.990000,100.160000,48.380000,37.710000,0.610000,24.190000,0.610000,0.770000,7.630000,36.510000,12.570000,23.220000,0.000000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,0.000000,16.720000,0.370000,75.00,14.270000,0.000000,62.900000,74.820000,300.460000,91.930000,0.930000,1694.8

89,22:00-22:15,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,36.590000,0.610000,24.190000,0.610000,0.730000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,75.00,83.220000,23.220000,62.900000,74.820000,300.460000,91.930000,0.930000,1929.86

90,22:15-22:30,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,36.590000,0.610000,24.190000,0.610000,0.730000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,75.00,83.220000,23.220000,62.900000,74.820000,300.460000,91.930000,0.930000,1929.86

91,22:30-22:45,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,0.000000,100.160000,48.380000,36.590000,0.610000,24.190000,0.610000,0.730000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,75.00,83.220000,23.220000,62.900000,74.820000,300.460000,91.930000,0.930000,1929.86

