Time,Block,NR/2024/20532/C,NR/2024/20130/A/20910,NR/2024/19966/A/20876,NR/2024/20548/C,NR/2024/20033/A/21188,NR/2024/20041/A/20963,NR/2024/19699/A/21190,NR/2024/19919/A/21151,NR/2024/20031/A/21185,NR/2024/20144/A/20882,NR/2024/19432/A/21192,NR/2024/19779/A/20868,NR/2024/20090/A/20776,NR/2024/20034/A/21184,NR/2024/20037/A/20859,NR/2024/19918/A/21147,NR/2024/20211/A/20883,NR/2024/19757/A/21187,NR/2024/19475/A/21122,NR/2024/20142/A/20881,NR/2024/19637/A/20874,NR/2024/20048/A/20950,NR/2024/19683/A/20809,NR/2024/20531/C,NR/2024/20350/A/20646,NR/2024/19760/A/20860,NR/2024/19588/A/20903,NR/2024/20212/A/20884,NR/2024/20521/C,NR/2024/19791/A/21148,NR/2024/20052/A/20647,NR/2024/20550/C,NR/2024/20525/C,NR/2024/20141/A/20880,NR/2024/20530/C,NR/2024/20050/A/20943,NR/2024/19355/A/21279,NR/2024/20109/A/21278,Total
57,14:00-14:15,4.64,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1477.61

58,14:15-14:30,4.88,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1477.85

59,14:30-14:45,2.97,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1475.94

60,14:45-15:00,4.86,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,48.240000,0.000000,96.490000,183.330000,1477.83

61,15:00-15:15,4.44,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,53.070000,0.000000,96.490000,183.330000,1482.24

62,15:15-15:30,4.91,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,53.070000,0.000000,96.490000,183.330000,1482.71

63,15:30-15:45,3.88,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,53.070000,0.000000,96.490000,183.330000,1481.68

64,15:45-16:00,2.85,0.480000,38.600000,0.000000,14.620000,48.240000,48.240000,121.570000,43.850000,0.880000,24.120000,0.960000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,24.120000,0.000000,1.930000,111.250000,0.000000,48.240000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,53.070000,0.000000,96.490000,183.330000,1480.65

65,16:00-16:15,4.6,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.820000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,53.070000,0.000000,96.490000,183.330000,1323.06

66,16:15-16:30,2.87,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.820000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,53.070000,0.000000,96.490000,183.330000,1321.33

67,16:30-16:45,2.38,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.820000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,53.070000,0.000000,96.490000,183.330000,1320.84

68,16:45-17:00,2.2,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.820000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,53.070000,0.000000,96.490000,183.330000,1320.66

69,17:00-17:15,2.23,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,28.950000,0.000000,96.490000,183.330000,1296.52

70,17:15-17:30,1.66,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,28.950000,0.000000,96.490000,183.330000,1295.95

71,17:30-17:45,0.92,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,28.950000,0.000000,96.490000,183.330000,1295.21

72,17:45-18:00,0.62,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,28.950000,0.000000,96.490000,183.330000,1294.91

73,18:00-18:15,0.28,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,33.770000,0.000000,96.490000,183.330000,1299.39

74,18:15-18:30,0.11,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,121.570000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,111.250000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,33.770000,0.000000,96.490000,183.330000,1299.22

75,18:30-18:45,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,149.850000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,33.770000,0.000000,96.490000,183.330000,1264.38

76,18:45-19:00,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,26.050000,0.000000,96.490000,183.330000,1273.74

77,19:00-19:15,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,0.000000,0.000000,96.490000,241.220000,1305.58

78,19:15-19:30,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,0.000000,0.000000,96.490000,241.220000,1305.58

79,19:30-19:45,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,0.000000,0.000000,96.490000,241.220000,1305.58

80,19:45-20:00,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,96.490000,64.730000,13.510000,0.000000,0.000000,0.350000,0.000000,0.000000,96.490000,241.220000,1305.58

81,20:00-20:15,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,1.930000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,96.490000,19.300000,0.350000,0.000000,0.000000,96.490000,241.220000,1370.22

82,20:15-20:30,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,1.930000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,96.490000,19.300000,0.350000,0.000000,0.000000,96.490000,241.220000,1370.22

83,20:30-20:45,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,1.930000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,96.490000,19.300000,0.350000,0.000000,0.000000,96.490000,241.220000,1370.22

84,20:45-21:00,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,1.930000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,96.490000,19.300000,0.350000,0.000000,0.000000,96.490000,241.220000,1370.22

85,21:00-21:15,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,1.930000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,0.000000,96.490000,241.220000,1418.47

86,21:15-21:30,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,1.930000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,0.000000,96.490000,241.220000,1418.47

87,21:30-21:45,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,1.930000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,0.000000,96.490000,241.220000,1418.47

88,21:45-22:00,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.770000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,0.000000,1.930000,166.930000,1.930000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,0.000000,96.490000,241.220000,1418.47

89,22:00-22:15,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.720000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,90.460000,96.490000,241.220000,1537.1

90,22:15-22:30,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,48.240000,43.850000,0.880000,24.120000,0.720000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,90.460000,96.490000,241.220000,1537.1

91,22:30-22:45,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.720000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,90.460000,96.490000,241.220000,1797.63

92,22:45-23:00,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.720000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,90.460000,96.490000,241.220000,1797.63

93,23:00-23:15,0,0.480000,0.000000,192.980000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.630000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,90.460000,96.490000,241.220000,1942.28

94,23:15-23:30,0,0.480000,0.000000,192.980000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.630000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,90.460000,96.490000,241.220000,1942.28

95,23:30-23:45,0,0.480000,0.000000,192.980000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.630000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,90.460000,96.490000,241.220000,1942.28

96,23:45-24:00,0,0.480000,0.000000,192.980000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.630000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,0.000000,90.460000,96.490000,241.220000,1942.28

