Time,Block,NR/2024/20560/A/24150,NR/2024/19757/A/24156,NR/2024/20109/A/24085,NR/2024/20144/A/23815,NR/2024/20516/A/23820,NR/2024/20130/A/23849,NR/2024/20597/A/24114,NR/2024/20142/A/23816,NR/2024/20777/A/24021,NR/2024/20524/A/24177,NR/2024/19637/A/23810,NR/2024/19918/A/24136,NR/2024/19355/A/24086,NR/2024/20090/A/23755,NR/2024/20598/A/24023,NR/2024/20554/A/23702,NR/2024/20041/A/24117,NR/2024/19779/A/23787,NR/2024/21020/A/24056,NR/2024/20540/A/23565,NR/2024/21147/C,NR/2024/20558/A/24151,NR/2024/20141/A/23817,NR/2024/21136/C,NR/2024/19642/A/24237,NR/2024/20552/A/23749,NR/2024/20557/A/24152,NR/2024/20572/A/24149,NR/2024/21118/C,NR/2024/20553/A/23747,NR/2024/19978/A/24137,NR/2024/19699/A/24158,NR/2024/20050/A/24115,NR/2024/19432/A/24161,NR/2024/19475/A/24099,NR/2024/20037/A/24029,NR/2024/19791/A/24138,NR/2024/19683/A/23742,NR/2024/20048/A/24116,NR/2024/20211/A/23818,NR/2024/19760/A/24034,NR/2024/19966/A/23790,NR/2024/20212/A/23819,NR/2024/20513/A/23823,NR/2024/19919/A/24135,NR/2024/21127/C,NR/2024/21120/C,NR/2024/19588/A/23860,NR/2024/19640/A/24236,NR/2024/21149/C,NR/2024/20515/A/23822,NR/2024/20599/A/24025,NR/2024/20537/A/24084,NR/2024/19988/A/24031,NR/2024/21121/C,Total
37,09:00:09:15,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,24.120000,0.000000,96.470000,1.930000,0.000000,0.000000,48.240000,0.960000,2.890000,9.650000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,3.77,1943.74

38,09:15-09:30,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,24.120000,0.000000,96.470000,1.930000,0.000000,0.000000,48.240000,0.960000,2.890000,9.650000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,4.74,1944.71

39,09:30-09:45,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,24.120000,0.000000,96.470000,1.930000,0.000000,0.000000,48.240000,0.960000,2.890000,9.650000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,6.29,1946.26

40,09:45-10:00,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,0.000000,24.120000,0.000000,96.470000,1.930000,0.000000,0.000000,48.240000,0.960000,2.890000,9.650000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,0.000000,57.880000,96.470000,4.83,1944.8

41,10:00-10:15,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,0.000000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,7.31,2088.14

42,10:15-10:30,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,0.000000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,5.72,2086.55

43,10:30-10:45,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,0.000000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,7.75,2088.58

44,10:45-11:00,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,0.000000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,6.31,2087.14

45,11:00-11:15,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,0.000000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,4.75,2085.58

46,11:15-11:30,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,0.000000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,4.74,2085.57

47,11:30-11:45,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,0.000000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,7.56,2088.39

48,11:45-12:00,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,0.000000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,4.87,2085.7

49,12:00-12:15,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,3.5,2097.84

50,12:15-12:30,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,4.3,2098.64

51,12:30-12:45,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,6.03,2100.37

52,12:45-13:00,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,7.84,2102.18

53,13:00-13:15,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,2.79,2097.13

54,13:15-13:30,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,4.25,2098.59

55,13:30-13:45,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,6.43,2100.77

56,13:45-14:00,32.890000,242.870000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,1.930000,11.580000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,6.15,2100.49

57,14:00-14:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,0.000000,13.510000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,7.13,1907.2

58,14:15-14:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,0.000000,13.510000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,4.47,1904.54

59,14:30-14:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,0.000000,13.510000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,4.39,1904.46

60,14:45-15:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,0.000000,13.510000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,5.62,1905.69

61,15:00-15:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,0.000000,13.510000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,6.31,1906.38

62,15:15-15:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,0.000000,13.510000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,4.02,1904.09

63,15:30-15:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,0.000000,13.510000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,2.5,1902.57

64,15:45-16:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,24.120000,13.510000,96.470000,1.930000,24.120000,0.000000,48.240000,0.960000,0.000000,13.510000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,48.240000,38.590000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,3.22,1903.29

65,16:00-16:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,24.120000,0.000000,0.000000,0.820000,0.960000,12.540000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,3.96,1744.69

66,16:15-16:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,24.120000,0.000000,0.000000,0.820000,0.960000,12.540000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,2.91,1743.64

67,16:30-16:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,24.120000,0.000000,0.000000,0.820000,0.960000,12.540000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,5.1,1745.83

68,16:45-17:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,24.120000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,24.120000,0.000000,0.000000,0.820000,0.960000,12.540000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,3.37,1744.1

69,17:00-17:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,1.6,1694.04

70,17:15-17:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,1.1,1693.54

71,17:30-17:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,1.34,1693.78

72,17:45-18:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,0.000000,32.890000,0.350000,0.000000,11.720000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,0.000000,0.880000,24.120000,57.880000,96.470000,0.87,1693.31

73,18:00-18:15,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,96.470000,32.890000,0.350000,0.000000,0.000000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,96.470000,0.880000,24.120000,57.880000,96.470000,0.59,1874.25

74,18:15-18:30,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,96.470000,32.890000,0.350000,0.000000,0.000000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,121.540000,0.000000,24.120000,66.750000,90.680000,96.470000,0.880000,24.120000,57.880000,96.470000,0.41,1874.07

75,18:30-18:45,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,96.470000,32.890000,0.350000,0.000000,0.000000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,24.120000,66.750000,90.680000,96.470000,0.880000,24.120000,57.880000,96.470000,0.19,1800.55

76,18:45-19:00,32.890000,48.600000,183.290000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,96.470000,32.890000,0.350000,0.000000,0.000000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,24.120000,66.750000,90.680000,96.470000,0.880000,24.120000,57.880000,96.470000,0,1800.36

77,19:00-19:15,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,96.470000,32.890000,0.350000,0.000000,0.000000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,0.000000,66.750000,90.680000,96.470000,0.880000,24.120000,0.000000,96.470000,0,1776.25

78,19:15-19:30,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,96.470000,32.890000,0.350000,0.000000,0.000000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,0.000000,66.750000,90.680000,96.470000,0.880000,24.120000,0.000000,96.470000,0,1776.25

79,19:30-19:45,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,96.470000,32.890000,0.350000,0.000000,0.000000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,0.000000,66.750000,90.680000,96.470000,0.880000,24.120000,0.000000,96.470000,0,1776.25

80,19:45-20:00,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,67.530000,0.000000,0.000000,13.510000,96.470000,1.930000,0.000000,0.000000,0.000000,0.770000,0.960000,12.540000,96.470000,32.890000,0.350000,0.000000,0.000000,0.000000,10.960000,32.890000,168.580000,0.000000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,0.000000,66.750000,90.680000,96.470000,0.880000,24.120000,0.000000,96.470000,0,1776.25

81,20:00-20:15,32.890000,48.600000,241.180000,0.880000,0.970000,0.480000,0.000000,0.520000,0.000000,19.290000,0.000000,13.510000,96.470000,1.930000,0.000000,48.240000,0.000000,0.770000,1.930000,11.580000,96.470000,32.890000,0.350000,0.000000,0.000000,28.940000,10.960000,32.890000,168.580000,48.240000,84.100000,48.240000,0.000000,24.120000,192.940000,72.350000,64.710000,1.930000,0.000000,1.590000,0.000000,0.000000,0.610000,0.680000,48.240000,0.000000,0.000000,66.750000,90.680000,96.470000,0.880000,0.000000,0.000000,96.470000,0,1829.32

