Column1,Block,NR/2024/22754/A/37221,NR/2024/22874/A/37267,NR/2024/22848/A/37239,NR/2024/23102/C,NR/2024/22734/A/37200,NR/2024/23101/C,NR/2024/22837/A/37263,NR/2024/22833/A/37264,NR/2024/22888/A/37224,NR/2024/22820/A/36978,NR/2024/22802/A/37266,NR/2024/22832/A/37265,NR/2024/23017/A/36953,NR/2024/22860/A/37235,NR/2024/22835/A/37213,NR/2024/21658/A/36952,NR/2024/22816/A/36993,NR/2024/23104/C,NR/2024/23114/C,NR/2024/22839/A/37262,NR/2024/23117/C,NR/2024/22753/A/37225,NR/2024/23038/A/36960,GNA/NR/2024/09/01/7196,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/4802,NR/2024/23103/C,Total
77,19:00-19:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.82,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.6299999999998

78,19:15-19:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.82,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.6299999999998

79,19:30-19:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.82,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.6299999999998

80,19:45-20:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.82,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,13.04,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.6299999999998

81,20:00-20:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.77,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.95,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.4899999999997

82,20:15-20:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.77,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.95,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.4899999999997

83,20:30-20:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.77,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.95,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.4899999999997

84,20:45-21:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.77,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.95,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.4899999999997

85,21:00-21:15,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.77,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.76,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.2999999999996

86,21:15-21:30,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.77,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.76,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.2999999999996

87,21:30-21:45,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.77,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.76,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.2999999999996

88,21:45-22:00,0,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,11.62,13.56,91.04,0.77,0,0,0,6.78,0,0,3.87,41.16,0,0,12.47,12.76,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1005.2999999999996

89,22:00-22:15,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,10.65,13.56,91.04,0.77,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.57,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1246.2599999999998

90,22:15-22:30,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,43.58,4.84,0,37.41,10.65,13.56,91.04,0.77,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.57,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1246.2599999999998

91,22:30-22:45,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,9.68,13.56,91.04,0.77,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.57,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1269.5099999999995

92,22:45-23:00,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,9.68,13.56,91.04,0.77,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.57,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1269.5099999999995

93,23:00-23:15,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,9.68,13.56,94.33,0.77,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.39,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1272.6199999999997

94,23:15-23:30,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,9.68,13.56,94.33,0.77,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.39,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1272.6199999999997

95,23:30-23:45,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,9.68,13.56,94.33,0.77,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.39,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1272.6199999999997

96,23:45-24:00,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,9.68,13.56,94.33,0.77,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.39,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1272.6199999999997

