Time,Block,NR/2023/12922/F,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12813/F,NR/2023/13373/C,NR/2023/11709/A,NR/2023/10956/A,NR/2023/11266/A,NR/2023/13395/C,NR/2023/10947/A,NR/2023/11447/A,NR/2023/10432/A,NR/2023/13151/F,NR/2023/12921/F,NR/2023/12706/A,NR/2023/12917/F,NR/2023/12919/F,NR/2023/10720/A,NR/2023/12915/F,NR/2023/10460/A,NR/2023/10436/A,NR/2023/13367/D,NR/2023/13375/C,NR/2023/13368/D,NR/2023/12916/F,NR/2023/12872/F,NR/2023/10651/A,NR/2023/12956/F,NR/2023/10488/A,NR/2023/12920/F,NR/2023/13398/C,NR/2023/12814/F,NR/2023/11507/A,NR/2023/10959/A,NR/2023/11712/A,SR/2023/6080/C,NR/2023/12661/A,NR/2023/10435/A,NR/2023/13430/C,NR/2023/12169/A,NR/2023/13381/C,NR/2023/11953/A,NR/2023/12923/F,NR/2023/10561/A,NR/2023/13402/C,NR/2023/13360/D,NR/2023/13372/C,NR/2023/13366/D,NR/2023/13401/C,Total
45,11:00-11:15,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,6.38,35.4,82.6,36.4,1388.86

46,11:15-11:30,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,6.67,35.4,82.6,36.4,1389.15

47,11:30-11:45,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,7.25,35.4,82.6,36.4,1389.73

48,11:45-12:00,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,7.54,35.4,82.6,36.4,1390.02

49,12:00-12:15,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,7.74,35.4,82.6,36.4,1390.22

50,12:15-12:30,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,7.74,35.4,82.6,36.4,1390.22

51,12:30-12:45,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,8.51,35.4,82.6,36.4,1390.99

52,12:45-13:00,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,8.51,35.4,82.6,36.4,1390.99

53,13:00-13:15,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,8.51,35.4,82.6,36.4,1390.99

54,13:15-13:30,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15.6,8.41,35.4,82.6,36.4,1390.89

55,13:30-13:45,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,15,8.41,35.4,82.6,35,1388.89

56,13:45-14:00,1.020000,0.610000,90.920000,62.870000,24.180000,0.000000,85.080000,0.000000,0.000000,0.000000,12.710000,43.520000,50.850000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,30.950000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,30.000000,0.000000,0.610000,48.360000,14.7,8.51,35.4,82.6,34.3,1387.99

57,14:00-14:15,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,17.200000,0.000000,0.000000,12.710000,43.520000,33.650000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,14.1,8.57,35.4,82.6,32.9,1395.64

58,14:15-14:30,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,17.200000,0.000000,0.000000,12.710000,43.520000,33.650000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,13.8,8.57,34.32,80.08,32.2,1391.04

59,14:30-14:45,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,17.200000,0.000000,0.000000,12.710000,43.520000,33.650000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,13.8,8.57,33.8,78.87,32.2,1389.31

60,14:45-15:00,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,17.200000,0.000000,0.000000,12.710000,43.520000,33.650000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,13.5,8.51,32.4,75.6,31.5,1383.58

61,15:00-15:15,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,13.2,8.51,31.5,73.5,30.8,1379.58

62,15:15-15:30,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,30.570000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,12,7.74,29.1,67.9,28,1366.81

63,15:30-15:45,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,34.650000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,11.1,6.87,27.9,65.1,25.9,1363.02

64,15:45-16:00,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,0.000000,34.650000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,10.2,6,25.5,59.5,23.8,1351.15

65,16:00-16:15,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,45.070000,34.650000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,8.55,5.13,23.1,53.9,19.95,1381.85

66,16:15-16:30,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,45.070000,34.650000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,7.8,4.26,20.4,47.6,18.2,1369.48

67,16:30-16:45,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,45.070000,34.650000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,7.2,3.29,18.9,44.1,16.8,1361.51

68,16:45-17:00,1.020000,0.610000,106.390000,62.870000,24.180000,23.150000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,45.070000,34.650000,31.920000,0.520000,0.970000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,0.000000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,6.3,2.51,16.2,37.8,14.7,1348.73

69,17:00-17:15,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,23.800000,34.650000,0.000000,0.520000,0.680000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,5.1,2.51,12.3,28.7,11.9,1194.16

70,17:15-17:30,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,23.800000,34.650000,0.000000,0.520000,0.680000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,41.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,4.8,1.64,10.4,24.27,11.2,1226.96

71,17:30-17:45,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,68.870000,34.650000,0.000000,0.520000,0.680000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,50.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,3.6,1.55,7.8,18.2,8.4,1268.27

72,17:45-18:00,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,68.870000,34.650000,0.000000,0.520000,0.680000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,0.000000,0.610000,48.360000,2.4,0.68,5.72,13.35,5.6,1206.47

73,18:00-18:15,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,113.950000,33.630000,0.000000,0.520000,0.680000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,2.1,0.48,4.42,10.31,4.9,1281.48

74,18:15-18:30,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,113.950000,33.630000,0.000000,0.520000,0.680000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,1.2,0,3.12,7.28,2.8,1273.67

75,18:30-18:45,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,146.060000,33.630000,0.000000,0.520000,0.680000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,50.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0.9,0,2.34,5.46,2.1,1352.18

76,18:45-19:00,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,146.060000,33.630000,0.000000,0.520000,0.680000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,50.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0.45,0,1.17,2.73,1.05,1346.78

77,19:00-19:15,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,146.060000,33.630000,0.000000,0.520000,0.730000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0.3,0,0.52,1.21,0.7,1294.16

78,19:15-19:30,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,146.060000,33.630000,0.000000,0.520000,0.730000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1291.43

79,19:30-19:45,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,146.060000,33.630000,0.000000,0.520000,0.730000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1291.43

80,19:45-20:00,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.980000,6.770000,0.920000,0.970000,23.700000,0.370000,23.210000,24.180000,146.060000,33.630000,0.000000,0.520000,0.730000,63.110000,4.840000,48.360000,0.980000,8.120000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1291.43

81,20:00-20:15,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,146.060000,32.610000,0.000000,0.520000,0.770000,63.110000,4.840000,48.360000,0.930000,14.310000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1296.49

82,20:15-20:30,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,146.060000,32.610000,0.000000,0.520000,0.770000,63.110000,4.840000,48.360000,0.930000,14.310000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1296.49

83,20:30-20:45,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,146.060000,32.610000,0.000000,0.520000,0.770000,63.110000,4.840000,48.360000,0.930000,14.310000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1296.49

84,20:45-21:00,1.020000,0.610000,48.360000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,127.470000,32.610000,0.000000,0.520000,0.770000,63.110000,4.840000,48.360000,0.930000,14.310000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1277.9

85,21:00-21:15,1.020000,0.610000,91.880000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,125.210000,32.610000,0.000000,0.520000,0.770000,63.110000,4.840000,48.360000,0.930000,14.400000,85.600000,255.260000,21.270000,64.320000,70.00,62.870000,24.180000,96.720000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1485.97

86,21:15-21:30,1.020000,0.610000,91.880000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,115.640000,32.610000,0.000000,0.520000,0.770000,63.110000,4.840000,48.360000,0.930000,14.400000,85.600000,255.260000,21.270000,64.320000,100.00,62.870000,24.180000,96.720000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1506.4

87,21:30-21:45,1.020000,0.610000,91.880000,62.870000,0.000000,0.000000,85.080000,36.700000,0.000000,0.000000,12.710000,43.520000,14.150000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,113.950000,32.610000,0.000000,0.520000,0.770000,63.110000,4.840000,48.360000,0.930000,14.400000,85.600000,255.260000,21.270000,64.320000,100.00,62.870000,24.180000,96.720000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1504.71

88,21:45-22:00,1.020000,0.610000,91.880000,62.870000,0.000000,0.000000,85.080000,50.850000,0.000000,0.000000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,113.950000,32.610000,0.000000,0.520000,0.770000,63.110000,4.840000,48.360000,0.930000,14.400000,85.600000,255.260000,21.270000,64.320000,100.00,62.870000,24.180000,96.720000,0.000000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1504.71

89,22:00-22:15,1.020000,0.610000,91.880000,62.870000,0.000000,23.150000,85.080000,50.850000,0.000000,23.210000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,113.950000,31.090000,0.000000,0.520000,0.730000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,21.270000,64.320000,100.00,62.870000,24.180000,96.720000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1603.77

90,22:15-22:30,1.020000,0.610000,91.880000,62.870000,0.000000,23.150000,85.080000,50.850000,0.000000,23.210000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,113.950000,31.090000,0.000000,0.520000,0.730000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,21.270000,64.320000,100.00,62.870000,24.180000,96.720000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1603.77

91,22:30-22:45,1.020000,0.610000,91.880000,62.870000,0.000000,23.150000,85.080000,50.850000,0.000000,23.210000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,113.950000,31.090000,0.000000,0.520000,0.730000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,21.270000,64.320000,30.00,62.870000,24.180000,96.720000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1533.77

92,22:45-23:00,1.020000,0.610000,91.880000,62.870000,0.000000,23.150000,85.080000,50.850000,28.050000,23.210000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,68.870000,31.090000,0.000000,0.520000,0.730000,63.110000,4.840000,48.360000,0.930000,14.500000,85.600000,255.260000,21.270000,64.320000,30.00,62.870000,24.180000,96.720000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1516.74

93,23:00-23:15,1.020000,0.610000,91.880000,62.870000,0.000000,23.150000,85.080000,50.850000,67.700000,23.210000,12.710000,43.520000,0.000000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,68.870000,31.090000,0.000000,0.520000,0.630000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,21.270000,64.320000,30.00,62.870000,24.180000,96.720000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1556.38

94,23:15-23:30,1.020000,0.610000,91.880000,62.870000,0.000000,23.150000,85.080000,36.700000,79.310000,23.210000,12.710000,43.520000,14.150000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,68.870000,31.090000,0.000000,0.520000,0.630000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,21.270000,64.320000,30.00,62.870000,24.180000,96.720000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1567.99

95,23:30-23:45,1.020000,0.610000,91.880000,62.870000,0.000000,23.150000,85.080000,36.700000,83.180000,23.210000,12.710000,43.520000,14.150000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,68.870000,31.090000,0.000000,0.520000,0.630000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,96.720000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1541.86

96,23:45-24:00,1.020000,0.610000,91.880000,62.870000,0.000000,23.150000,85.080000,36.700000,82.210000,23.210000,12.710000,43.520000,14.150000,0.930000,6.770000,0.920000,0.920000,23.700000,0.370000,23.210000,24.180000,23.800000,31.090000,0.000000,0.520000,0.630000,63.110000,4.840000,48.360000,0.930000,14.590000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,96.720000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1495.82

