Column1,Block,NR/2025/29985/A/87636,NR/2025/30334/A/87216,NR/2025/31266/C,GNARE/NR/2024/12/20/3668,NR/2025/31132/A/87665,NR/2025/31136/A/87824,NR/2025/31136/A/87820,NR/2025/31138/A/87886,NR/2025/31138/A/87887,NR/2025/31202/C,NR/2025/31137/A/87884,NR/2025/31137/A/87885,NR/2025/30101/A/87687,NR/2025/31212/C,NR/2025/31255/C,NR/2025/31259/C,NR/2025/29352/A/87482,NR/2025/31251/C,NR/2025/31252/C,NR/2025/31256/C,NR/2025/29915/A/87265,NR/2025/31210/C,NR/2025/31245/C,NR/2025/31253/C,NR/2025/30822/A/87633,NR/2025/31246/C,NR/2025/31126/A/87615,NR/2025/29628/A/87640,NR/2025/31205/C,NR/2025/27962/A/87654,NR/2025/29440/A/87272,NR/2025/30082/A/87681,NR/2025/30086/A/87627,NR/2025/30083/A/87629,NR/2025/30084/A/87628,NR/2025/30217/A/87625,NR/2025/31244/C,NR/2025/29439/A/87333,NR/2025/29910/A/87638,NR/2025/31178/C,NR/2025/29353/A/87479,NR/2025/30191/A/87215,NR/2025/30121/A/87213,NR/2025/31188/C,NR/2025/29167/A/87264,NR/2025/26975/A/87643,NR/2025/27978/A/87691,NR/2025/30067/A/87741,NR/2025/27970/A/87659,NR/2025/31154/C,NR/2025/27964/A/87656,NR/2025/27968/A/87658,NR/2025/31262/C,NR/2025/30105/A/87626,NR/2025/27963/A/87655,NR/2025/31224/C,NR/2025/28725/A/87664,NR/2025/31256/C/Alternate/1,NR/2025/29992/A/87336,NR/2025/31211/C,NR/2025/31254/C,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/3109,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,Total
39,09:30-09:45,126,5.71,2.31,66.42,0,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,16.57,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1894.81

40,09:45-10:00,137,6.05,2.31,71.87,0,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,16.57,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1911.6

41,10:00-10:15,151,6.36,2.67,70.63,1.44,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,16.48,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1926.3799999999999

42,10:15-10:30,161,6.51,2.67,75.65,1.44,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,16.48,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1941.55

43,10:30-10:45,172,5.25,2.79,80.08,1.44,0.48,0.85,0.6,0.19,1.64,0.67,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,16.48,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1955.5600000000002

44,10:45-11:00,179,5.25,2.91,84.36,1.44,0.48,0.85,0.6,0.19,1.64,0.67,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,16.48,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1966.9599999999998

45,11:00-11:15,182,5.25,4.86,91.67,1.44,0.48,0.85,0.6,0.19,1.64,0.67,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1975.45

46,11:15-11:30,182,5.25,4.86,91,1.44,0.48,0.85,0.6,0.19,1.64,0.67,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1974.78

47,11:30-11:45,182,5.25,3.65,95,1.44,0.48,0.85,0.6,0.19,1.64,0.67,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1977.57

48,11:45-12:00,182,5.25,3.65,95,1.44,0.48,0.85,0.6,0.19,1.64,0.67,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.8,224.82,19.24,26.8,15.24,43.71,81.75,1977.57

49,12:00-12:15,179,5.25,3.65,94.33,1.44,0.48,0.85,0.6,0.19,1.64,0.67,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,1974.0000000000002

50,12:15-12:30,179,5.25,3.65,93.33,1.44,0.48,0.92,0.64,0.19,1.64,0.74,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,1973.18

51,12:30-12:45,172,5.25,3.65,95,1.44,0.48,0.92,0.64,0.19,1.64,0.74,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,1967.8499999999997

52,12:45-13:00,172,5.25,3.65,94.33,1.44,0.48,0.92,0.64,0.19,1.64,0.74,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,1967.18

53,13:00-13:15,165,5.25,3.65,93,1.44,0.48,0.91,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,1958.8999999999999

54,13:15-13:30,165,5.25,3.52,91.67,1.44,0.48,0.93,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,1957.4599999999998

55,13:30-13:45,161,5.25,3.52,88.33,1.44,0.48,0.93,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,1950.1199999999997

56,13:45-14:00,158,5.25,3.52,85,1.44,0.48,0.93,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,0,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,0,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,1943.7899999999997

57,14:00-14:15,140,5.25,3.52,78.33,1.44,0.48,0.93,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,144.27,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,144.27,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2207.6599999999994

58,14:15-14:30,140,5.25,3.52,77.33,1.44,0.48,0.93,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,144.27,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,144.27,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2206.6599999999994

59,14:30-14:45,109,5.58,3.52,76,1.44,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,144.27,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,144.27,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2174.6899999999996

60,14:45-15:00,105,5.57,3.52,75,1.44,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,144.27,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,144.27,7.69,134.89,20.75,12.71,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2169.6799999999994

61,15:00-15:15,96,5.42,3.52,80,1.44,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,144.27,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,144.27,7.69,134.89,20.75,15,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2167.8199999999993

62,15:15-15:30,96,5.21,3.28,78.33,1.44,0.48,0.96,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,144.27,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,144.27,7.69,134.89,20.75,15,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2165.6999999999994

63,15:30-15:45,32,0,3.28,73.33,1.44,0.48,0.73,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,144.27,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,144.27,7.69,134.89,20.75,15,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2091.2599999999993

64,15:45-16:00,32,0,3.28,66.67,1.44,0.48,0.77,0.67,0.19,1.64,0.77,0.29,0,96.18,37.16,48.09,28.61,14.57,43.71,192.36,0,144.27,16.58,28.92,0,6.73,13.47,0,143.07,0,0,0,0,0,0,0,76.58,0,0,44.24,81.75,0,0,48.09,0,5.77,0,0,0,48.09,0,0,96.18,0,0,0.96,0,0,0,144.27,7.69,134.89,20.75,15,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2084.6399999999994

65,16:00-16:15,32,0,2.18,51.28,0,0.48,0.96,0.03,0.19,0,0.03,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.96,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,15,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2223.83

66,16:15-16:30,32,0,2.18,48.52,0,0.48,0.96,0.05,0.19,0,0.06,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.96,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,15,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2221.12

67,16:30-16:45,21,0,2.07,45.55,0,0.48,0.96,0.07,0.19,0,0.08,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.96,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,15,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2207.08

68,16:45-17:00,21,0,1.82,42.26,0,0.48,0.96,0.09,0.19,0,0.11,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.96,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,15,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2203.59

69,17:00-17:15,21,0,1.58,21.67,0,0.48,0.96,0.29,0.19,0,0.33,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.87,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,17.3,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2185.39

70,17:15-17:30,21,0,1.34,20,0,0.48,0.96,0.32,0.19,0,0.36,0.29,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.87,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,17.3,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2183.54

71,17:30-17:45,21,0,1.1,15,0,0.24,0.96,0.12,0.1,0,0.13,0.14,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.87,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,17.3,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2177.39

72,17:45-18:00,21,0,0.85,15,0,0.29,0.96,0.12,0.12,0,0.13,0.17,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.87,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,17.3,0,26.85,224.82,19.24,26.85,15.24,43.71,81.75,2177.2400000000002

73,18:00-18:15,18,0,0.73,15,0,0.31,0.96,0.05,0.13,0,0.06,0.18,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.87,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,17.76,0,25.55,224.82,0,29,0,43.71,81.75,2140.85

74,18:15-18:30,11,0,0.61,13.55,0,0.46,0.96,0.04,0.18,0,0.04,0.28,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.87,48.09,37.16,14.57,43.71,7.69,0,25.08,16.58,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,17.76,0,25.55,224.82,0,29,0,43.71,81.75,2132.55

75,18:30-18:45,5,0,0.37,10.38,0,0.3,0.96,0,0.12,0,0,0.17,48.09,0,0,0,28.61,0,0,187.1,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.87,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,5.26,44.24,0,0,134.89,20.75,17.76,0,25.55,224.82,0,29,0,43.71,81.75,2125.3900000000003

76,18:45-19:00,1,0,0.29,3.5,0,0.13,0.96,0,0.05,0,0,0.08,48.09,0,0,0,28.61,0,0,86.54,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.87,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,105.82,44.24,0,0,134.89,20.75,17.76,0,25.55,224.82,0,29,0,43.71,81.75,2114.1000000000004

77,19:00-19:15,0,0,0,0.52,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.04,0,29,224.82,0,29,0,43.71,81.75,2112.38

78,19:15-19:30,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.04,0,29,224.82,0,29,0,43.71,81.75,2111.8600000000006

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.04,0,29,224.82,0,29,0,43.71,81.75,2111.8600000000006

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,0,5.77,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.04,0,29,224.82,0,29,0,43.71,81.75,2111.8600000000006

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.23,0,29,224.82,0,29,0,43.71,81.75,2186.3500000000004

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.23,0,29,224.82,0,29,0,43.71,81.75,2186.3500000000004

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.23,0,29,224.82,0,29,0,43.71,81.75,2186.3500000000004

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,76.58,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.23,0,29,224.82,0,29,0,43.71,81.75,2186.3500000000004

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,105.8,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.23,0,29,224.82,0,29,0,43.71,81.75,2215.5700000000006

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,192.36,0,0,0,0,134.65,0,13.47,105.8,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,0,44.24,0,0,134.89,20.75,18.23,0,29,224.82,0,29,0,43.71,81.75,2215.5700000000006

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,183.39,0,0,0,0,134.65,0,13.47,105.8,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,8.97,44.24,0,0,134.89,20.75,18.23,0,29,224.82,0,29,0,43.71,81.75,2215.5700000000006

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,183.75,0,0,0,0,134.65,0,13.47,105.8,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,8.61,44.24,0,0,134.89,20.75,18.23,0,29,224.82,0,29,0,43.71,81.75,2215.57

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,187.21,0,0,0,0,134.65,0,13.47,105.8,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,5.15,44.24,0,0,134.89,20.75,17.76,0,29,224.82,0,29,0,43.71,81.75,2215.1000000000004

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,178.2,0,0,0,0,134.65,0,13.47,105.8,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,14.16,44.24,0,0,134.89,20.75,17.76,0,29,224.82,0,29,0,43.71,81.75,2215.1000000000004

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,0,0,0,0,0,134.65,0,12.5,105.8,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,192.36,44.24,0,0,134.89,20.75,17.76,0,29,224.82,0,29,0,43.71,81.75,2214.1300000000006

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,28.61,0,0,0,0,0,0,0,134.65,0,12.5,105.8,0,96.18,0.91,48.09,37.16,14.57,43.71,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,25.97,96.18,0,144.27,0,144.27,0,0,29.14,0,0,143.07,192.36,44.24,0,0,134.89,20.75,17.76,0,29,224.82,0,29,0,43.71,81.75,2214.1300000000006

