Time,Block,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21144/A/26303,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/21210/A/26286,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21062/A/26362,NR/2024/21476/C,NR/2024/21099/A/26289,NR/2024/21199/A/26305,NR/11072024/11072024/IEX_240710_01473,NR/01102023/23072042/L_NR_2012_04,NR/2024/19779/A/26266,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21227/A/26575,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21148/A/26331,NR/2024/21108/A/26571,NR/2024/20877/A/26593,NR/2024/21156/A/26337,NR/2024/21173/A/26388,NR/2024/21339/A/26283,NR/01102023/02012046/L_NR_2021_17,NR/2024/21096/A/26584,NR/2024/21160/A/26334,SR/2024/13489/C,NR/2024/21243/A/26299,NR/2024/21146/A/26333,NR/2024/21103/A/26576,NR/2024/21075/A/26632,NR/2024/21158/A/26330,NR/2024/21152/A/26244,NR/2024/21089/A/26581,NR/2024/21023/A/26307,NR/2024/20574/A/26597,NR/2024/21458/C,NR/2024/20573/A/26539,NR/2024/21076/A/26630,NR/2024/21238/A/26640,NR/2024/21141/A/26288,NR/2024/21113/A/26579,NR/2024/21104/A/26573,NR/2024/21312/A/26161,NR/2024/21150/A/26332,NR/2024/21072/A/26582,NR/2024/20711/A/26645,NR/2024/21153/A/26336,NR/2024/20966/A/26245,NR/2024/21376/A/26644,NR/2024/20930/A/26504,NR/2024/21087/A/26390,NR/2024/21459/C,NR/2024/21142/A/26287,NR/2024/21460/C,NR/2024/20688/A/26392,NR/01102023/14082046/L_NR_2021_16,NR/2024/21159/A/26338,NR/2024/21183/A/26634,NR/2024/21186/A/26592,Total
66,16:15-16:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.820000,0.000000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,3.62,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2116.68

67,16:30-16:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.820000,0.000000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,1.33,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.39

68,16:45-17:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.820000,0.000000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,1.85,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.91

69,17:00-17:15,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.820000,0.000000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,1.6,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.66

70,17:15-17:30,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.820000,0.000000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,1.16,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.22

71,17:30-17:45,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.820000,0.000000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,1.2,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.26

72,17:45-18:00,0.000000,26.330000,0.000000,0.000000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,0.000000,20.470000,0.000000,20.470000,61.410000,144.500000,0.000000,0.820000,0.000000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,81.880000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,81.880000,0.000000,1.18,0.000000,90.550000,2.890000,0.000000,37.210000,64.620000,10.600000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,163.760000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2114.24

73,18:00-18:15,81.880000,32.000000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0.79,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2153.53

74,18:15-18:30,81.880000,32.000000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,24.080000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0.49,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2153.23

75,18:30-18:45,81.880000,32.000000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,89.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0.31,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2261.32

76,18:45-19:00,81.880000,32.000000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,32.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,150.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2322.01

77,19:00-19:15,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,255.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2424.07

78,19:15-19:30,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,255.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2424.07

79,19:30-19:45,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,250.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2419.07

80,19:45-20:00,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,245.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2414.07

81,20:00-20:15,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,237.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2406.12

82,20:15-20:30,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,221.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2390.12

83,20:30-20:45,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,191.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2360.12

84,20:45-21:00,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,161.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2330.12

85,21:00-21:15,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,48.160000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,93.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2310.28

86,21:15-21:30,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,48.160000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,11.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2228.28

87,21:30-21:45,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,48.160000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2217.28

88,21:45-22:00,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,48.160000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,0.000000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,0.000000,0,0.000000,90.550000,2.890000,47.640000,37.210000,64.620000,8.670000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2217.28

89,22:00-22:15,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,48.160000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2300.76

90,22:15-22:30,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,48.160000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,43.350000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2300.76

91,22:30-22:45,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,72.250000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,67.430000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2348.93

92,22:45-23:00,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,72.250000,20.470000,0.000000,144.500000,0.000000,0.870000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,67.430000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2348.93

93,23:00-23:15,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,72.250000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,67.430000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2348.88

94,23:15-23:30,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,72.250000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,67.430000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2348.88

95,23:30-23:45,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,72.250000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,67.430000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2348.88

96,23:45-24:00,81.880000,30.530000,163.760000,20.470000,15.520000,0.480000,0.000000,0.000000,12.410000,30.530000,40.940000,81.880000,0.000000,72.250000,20.470000,0.000000,144.500000,0.000000,0.820000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,67.430000,0.970000,0.00,134.860000,0.360000,83.980000,0.000000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2348.88

