Time,Block,NR/2024/20142/A/20693,NR/2024/20144/A/20694,NR/2024/20141/A/20692,NR/2024/20037/A/20640,NR/2024/19637/A/20659,NR/2024/20526/C,NR/2024/19918/A/20945,NR/2024/20052/A/20459,NR/2024/19760/A/20641,NR/2024/20130/A/20630,NR/2024/19588/A/20902,NR/2024/20520/C,NR/2024/20502/C,NR/2024/20031/A/20934,NR/2024/20212/A/20691,NR/2024/20211/A/20688,NR/2024/19791/A/20946,NR/2024/20501/C,NR/2024/20033/A/20935,NR/2024/20528/C,NR/2024/20048/A/20916,NR/2024/20109/A/21075,NR/2024/20500/C,NR/2024/19919/A/20957,NR/2024/20350/A/20458,NR/2024/19757/A/20936,NR/2024/19966/A/20653,NR/2024/20034/A/20933,NR/2024/19475/A/20900,NR/2024/19699/A/20940,NR/2024/20517/C,NR/2024/20041/A/20917,NR/2024/19779/A/20622,NR/2024/19683/A/20571,NR/2024/20090/A/20544,NR/2024/20050/A/20915,NR/2024/19355/A/21076,NR/2024/19432/A/20939,Total
58,14:15-14:30,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,3.22,121.570000,0.000000,48.610000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1384.53

59,14:30-14:45,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.95,121.570000,0.000000,48.610000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1384.26

60,14:45-15:00,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.46,121.570000,0.000000,48.610000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1383.77

61,15:00-15:15,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.37,121.570000,0.000000,48.610000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1383.68

62,15:15-15:30,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.32,121.570000,0.000000,48.610000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1383.63

63,15:30-15:45,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.16,121.570000,0.000000,48.610000,38.600000,43.850000,192.980000,48.240000,28.95,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1383.47

64,15:45-16:00,0.520000,0.880000,0.350000,72.370000,24.120000,0.000000,13.510000,13.510000,48.240000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,2.08,121.570000,0.000000,48.610000,38.600000,43.850000,192.980000,48.240000,29.43,48.240000,0.960000,1.930000,1.930000,0.000000,96.490000,24.120000,1383.87

65,16:00-16:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,1.98,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,33.29,0.000000,0.820000,1.930000,1.930000,0.000000,96.490000,24.120000,1228.29

66,16:15-16:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,1.93,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,37.44,0.000000,0.820000,1.930000,1.930000,0.000000,96.490000,24.120000,1232.39

67,16:30-16:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,1.74,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,41.59,0.000000,0.820000,1.930000,1.930000,0.000000,96.490000,24.120000,1236.35

68,16:45-17:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,1.59,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,45.83,0.000000,0.820000,1.930000,1.930000,0.000000,96.490000,24.120000,1240.44

69,17:00-17:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,1.35,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1194.32

70,17:15-17:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,111.250000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,1.25,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1194.22

71,17:30-17:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,149.850000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,0.79,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1232.36

72,17:45-18:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,0.42,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1249.07

73,18:00-18:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,0.22,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1248.87

74,18:15-18:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,0,121.570000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1248.65

75,18:30-18:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,0,48.240000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1175.32

76,18:45-19:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,24.120000,14.620000,0.000000,0.000000,183.330000,0,48.240000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1175.32

77,19:00-19:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,0.000000,0.000000,241.220000,0,48.240000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1209.09

78,19:15-19:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,0.000000,0.000000,241.220000,0,48.240000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1209.09

79,19:30-19:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,0.000000,0.000000,241.220000,0,48.240000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1209.09

80,19:45-20:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,13.510000,0.000000,0.480000,66.760000,0.000000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,0.000000,0.000000,241.220000,0,48.240000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1209.09

81,20:00-20:15,0.520000,0.880000,0.350000,72.370000,0.000000,48.240000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,96.490000,0.000000,241.220000,0,48.240000,1.930000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1399.16

82,20:15-20:30,0.520000,0.880000,0.350000,72.370000,0.000000,48.240000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,96.490000,0.000000,241.220000,0,48.240000,1.930000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1399.16

83,20:30-20:45,0.520000,0.880000,0.350000,72.370000,0.000000,48.240000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,96.490000,0.000000,241.220000,0,48.240000,1.930000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1399.16

84,20:45-21:00,0.520000,0.880000,0.350000,72.370000,0.000000,48.240000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,96.490000,0.000000,241.220000,0,48.240000,1.930000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1399.16

85,21:00-21:15,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,0.000000,241.220000,0,48.240000,1.930000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1439.98

86,21:15-21:30,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,0.000000,241.220000,0,48.240000,1.930000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1439.98

87,21:30-21:45,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,0.000000,241.220000,0,48.240000,1.930000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1439.98

88,21:45-22:00,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,0.000000,241.220000,0,48.240000,1.930000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.770000,1.930000,1.930000,0.000000,96.490000,24.120000,1439.98

89,22:00-22:15,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,48.240000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.720000,1.930000,1.930000,90.460000,96.490000,24.120000,1558.61

90,22:15-22:30,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,48.240000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.720000,1.930000,1.930000,90.460000,96.490000,24.120000,1558.61

91,22:30-22:45,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.720000,1.930000,1.930000,90.460000,96.490000,24.120000,1819.14

92,22:45-23:00,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.720000,1.930000,1.930000,90.460000,96.490000,24.120000,1819.14

93,23:00-23:15,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,192.980000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.630000,1.930000,1.930000,90.460000,96.490000,24.120000,1963.79

94,23:15-23:30,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,192.980000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.630000,1.930000,1.930000,90.460000,96.490000,24.120000,1963.79

95,23:30-23:45,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,192.980000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.630000,1.930000,1.930000,90.460000,96.490000,24.120000,1963.79

96,23:45-24:00,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,192.980000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.630000,1.930000,1.930000,90.460000,96.490000,24.120000,1963.79

