Time,Block,NR/2023/15152/C,NR/2023/15095/D,ER/2023/9251/C,NR/2023/15090/D,NR/2023/15093/D,NR/2023/11654/A,NR/2023/13983/F,NR/2023/14187/F,NR/2023/11328/A,NR/2023/15113/C,NR/2023/11325/A,NR/2023/11470/A,NR/2023/13284/A,NR/2023/14688/F,NR/2023/11954/A,NR/2023/13983/F/II,NR/2023/15101/C,NR/2023/11739/A,NR/2023/15114/C,NR/2023/15109/C,NR/2023/11458/A,NR/2023/11697/A,NR/2023/11203/A,NR/2023/15096/D,NR/2023/13573/A,NR/2023/15105/C,NR/2023/11469/A,NR/2023/14688/F/II,NR/2023/11315/A,NR/2023/13283/A,NR/2023/13858/A,NR/2023/15091/D,NR/2023/13859/A,NR/2023/15102/C,NR/2023/12646/A,NR/2023/15154/C,Total
64,15:45-16:00,0,79.8,0.000000,0.97,34.2,152.530000,0.970000,0.970000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,9.650000,42.470000,28.960000,19.310000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1345.03

65,16:00-16:15,0,71.4,0.000000,0.77,30.6,152.530000,0.820000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.760000,42.470000,28.960000,19.310000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1332.68

66,16:15-16:30,0,67.9,0.000000,0.68,29.1,152.530000,0.820000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.760000,42.470000,28.960000,19.310000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1327.59

67,16:30-16:45,0,63,0.000000,0.48,27,152.530000,0.820000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.760000,42.470000,28.960000,19.310000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1320.39

68,16:45-17:00,0,58.8,0.000000,0.29,25.2,152.530000,0.820000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.760000,42.470000,28.960000,19.310000,106.190000,0.000000,62.990000,8.210000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1314.2

69,17:00-17:15,0,49,0.000000,0.19,21,152.530000,0.820000,3.860000,48.270000,14.480000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,40.550000,19.310000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1236.26

70,17:15-17:30,0,42,0.000000,0.1,18,152.530000,0.820000,3.860000,48.270000,33.790000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,40.550000,19.310000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1245.48

71,17:30-17:45,0,38.5,0.000000,0,16.5,152.530000,0.820000,3.860000,48.270000,38.620000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,40.550000,48.270000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1274.17

72,17:45-18:00,0,31.5,0.000000,0,13.5,152.530000,0.820000,3.860000,48.270000,63.720000,24.140000,21.230000,0.000000,14.480000,0.000000,0.000000,6.080000,42.470000,40.550000,48.270000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1289.27

73,18:00-18:15,0,28,0.000000,0,12,152.530000,0.870000,3.860000,48.270000,87.850000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,43.440000,48.270000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1323.62

74,18:15-18:30,0,24.5,0.000000,0,10.5,152.530000,0.870000,3.860000,48.270000,51.170000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,49.240000,77.230000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1316.7

75,18:30-18:45,0,21,0.000000,0,9,152.530000,0.870000,3.860000,48.270000,49.240000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,57.920000,77.230000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1318.45

76,18:45-19:00,0,14,0.000000,0,6,152.530000,0.870000,3.860000,48.270000,58.890000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,69.510000,77.230000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1329.69

77,19:00-19:15,0,7,0.000000,0,3,152.530000,0.920000,3.860000,48.270000,53.100000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,96.540000,77.230000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1340.98

78,19:15-19:30,0,4.2,0.000000,0,1.8,152.530000,0.920000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,142.880000,114.880000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1367.87

79,19:30-19:45,0,1.4,0.000000,0,0.6,152.530000,0.920000,3.860000,48.270000,38.620000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,142.880000,144.810000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1432.42

80,19:45-20:00,0,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,57.920000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,142.880000,193.080000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,0.000000,1497.99

81,20:00-20:15,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,143.840000,289.620000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,38.620000,1600.65

82,20:15-20:30,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,143.840000,308.930000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,38.620000,1619.96

83,20:30-20:45,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,143.840000,337.890000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,38.620000,1648.92

84,20:45-21:00,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,143.840000,376.510000,48.270000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,38.620000,1687.54

85,21:00-21:15,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,0.000000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,143.840000,405.470000,91.710000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,38.620000,1759.94

86,21:15-21:30,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,43.440000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,143.840000,337.890000,91.710000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,38.620000,1735.8

87,21:30-21:45,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,43.440000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,6.080000,42.470000,143.840000,349.470000,91.710000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,38.620000,1747.38

88,21:45-22:00,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,43.440000,24.140000,21.230000,0.000000,14.480000,36.420000,0.000000,4.150000,42.470000,143.840000,365.890000,91.710000,0.000000,62.990000,0.000000,62.750000,0.000000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,0.000000,38.620000,1761.87

89,22:00-22:15,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,36.420000,0.000000,4.150000,42.470000,143.840000,360.090000,91.710000,35.040000,62.990000,0.000000,62.750000,28.960000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,23.100000,38.620000,1924.94

90,22:15-22:30,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,36.420000,0.000000,4.150000,42.470000,143.840000,372.640000,91.710000,35.040000,62.990000,0.000000,62.750000,28.960000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,23.100000,38.620000,1937.49

91,22:30-22:45,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,36.420000,0.000000,4.150000,42.470000,143.840000,377.470000,91.710000,35.040000,62.990000,0.000000,62.750000,28.960000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,23.100000,38.620000,1942.32

92,22:45-23:00,24.46,0,0.000000,0,0,152.530000,0.920000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,36.420000,0.000000,4.150000,42.470000,143.840000,389.060000,91.710000,35.040000,62.990000,0.000000,62.750000,28.960000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,23.100000,38.620000,1953.91

93,23:00-23:15,24.46,0,0.000000,0,0,152.530000,0.870000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,36.420000,0.000000,3.190000,42.470000,143.840000,409.330000,91.710000,35.040000,62.990000,0.000000,62.750000,28.960000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,23.100000,38.620000,1973.17

94,23:15-23:30,24.46,0,0.000000,0,0,152.530000,0.870000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,36.420000,0.000000,3.190000,42.470000,143.840000,416.090000,91.710000,35.040000,62.990000,0.000000,62.750000,28.960000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,23.100000,38.620000,1979.93

95,23:30-23:45,24.46,0,0.000000,0,0,152.530000,0.870000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,36.420000,0.000000,3.190000,42.470000,143.840000,416.090000,91.710000,35.040000,62.990000,0.000000,62.750000,28.960000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,23.100000,38.620000,1979.93

96,23:45-24:00,24.46,0,0.000000,0,0,152.530000,0.870000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,14.480000,36.420000,0.000000,3.190000,42.470000,143.840000,420.910000,91.710000,35.040000,62.990000,0.000000,62.750000,28.960000,84.940000,0.000000,22.200000,0.000000,84.470000,193.080000,188.250000,6.760000,23.100000,38.620000,1984.75

