Time,Block,NR/2023/13283/A,NR/2023/14688/F,NR/2023/13859/A,NR/2023/15350/C,NR/2023/15316/C,NR/2023/11203/A,NR/2023/13983/F,NR/2023/13983/F/II,NR/2023/11328/A,NR/2023/11654/A,NR/2023/11469/A,NR/2023/15323/C,NR/2023/11458/A,NR/2023/11315/A,NR/2023/13858/A,NR/2023/13573/A,NR/2023/15332/C,NR/2023/15321/C,NR/2023/11470/A,NR/2023/11697/A,NR/2023/11325/A,NR/2023/14688/F/II,NR/2023/14187/F,NR/2023/11739/A,NR/2023/15331/C,NR/2023/15308/D,NR/2023/15333/C,NR/2023/12646/A,NR/2023/13284/A,NR/2023/11954/A,NR/2023/15311/D,NR/2023/15314/D,Total
70,17:15-17:30,24.150000,0.000000,188.370000,11.760000,193.200000,63.030000,0.820000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.1,1078.06

71,17:30-17:45,24.150000,0.000000,188.370000,11.760000,193.200000,63.030000,0.820000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1077.96

72,17:45-18:00,24.150000,0.000000,188.370000,11.760000,193.200000,63.030000,0.820000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1077.96

73,18:00-18:15,0.000000,0.000000,188.370000,11.760000,193.200000,63.030000,0.870000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,36.450000,0.000000,0,1090.31

74,18:15-18:30,0.000000,0.000000,188.370000,11.760000,193.200000,63.030000,0.870000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,36.450000,0.000000,0,1090.31

75,18:30-18:45,0.000000,0.000000,188.370000,11.760000,193.200000,63.030000,0.870000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,36.450000,0.000000,0,1090.31

76,18:45-19:00,0.000000,0.000000,188.370000,11.760000,193.200000,63.030000,0.870000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,36.450000,0.000000,0,1090.31

77,19:00-19:15,0.000000,0.000000,188.370000,11.760000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,36.450000,0.000000,0,1090.36

78,19:15-19:30,0.000000,0.000000,188.370000,11.760000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,36.450000,0.000000,0,1090.36

79,19:30-19:45,0.000000,0.000000,188.370000,11.760000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,36.450000,0.000000,0,1090.36

80,19:45-20:00,0.000000,0.000000,188.370000,11.760000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,36.450000,0.000000,0,1090.36

81,20:00-20:15,0.000000,0.000000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,0.000000,36.450000,0.000000,0,1095.43

82,20:15-20:30,0.000000,0.000000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,0.000000,36.450000,0.000000,0,1095.43

83,20:30-20:45,0.000000,0.000000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,0.000000,36.450000,0.000000,0,1095.43

84,20:45-21:00,0.000000,0.000000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,48.300000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,0.000000,36.450000,0.000000,0,1095.43

85,21:00-21:15,0.000000,3.870000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,20.280000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,0.000000,36.450000,0.000000,0,1138.9

86,21:15-21:30,0.000000,3.870000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,20.280000,3.860000,42.490000,15.460000,0.000000,5.900000,0.000000,0.000000,36.450000,0.000000,0,1154.36

87,21:30-21:45,0.000000,3.870000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,20.280000,3.860000,42.490000,68.590000,0.000000,5.900000,0.000000,0.000000,36.450000,0.000000,0,1207.49

88,21:45-22:00,0.000000,3.870000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,0.000000,24.150000,20.280000,3.860000,42.490000,109.160000,0.000000,5.900000,0.000000,0.000000,36.450000,0.000000,0,1248.06

89,22:00-22:15,0.000000,3.860000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,10.630000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1289.54

90,22:15-22:30,0.000000,3.860000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,4.040000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,51.200000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1330.11

91,22:30-22:45,0.000000,3.860000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,91.770000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1368.66

92,22:45-23:00,0.000000,3.860000,188.370000,10.930000,193.200000,63.030000,0.920000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,112.060000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1388.95

93,23:00-23:15,0.000000,3.860000,188.370000,10.930000,193.200000,63.030000,0.870000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,116.890000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1393.73

94,23:15-23:30,0.000000,3.860000,188.370000,10.930000,193.200000,63.030000,0.870000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,112.060000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1388.9

95,23:30-23:45,0.000000,3.860000,188.370000,10.930000,193.200000,63.030000,0.870000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,89.840000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1366.68

96,23:45-24:00,0.000000,3.860000,188.370000,10.930000,193.200000,63.030000,0.870000,0.000000,48.300000,152.630000,84.990000,6.760000,91.770000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,55.060000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1331.9

