Column1,Block,NR/2025/24839/A/50257,NR/2024/24434/A/49990,NR/2025/24838/A/50253,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,NR/2024/24508/A/50346,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/2470,NR/30092023/26122029/SH-06,NR/2025/24946/C,NR/2025/24944/C,NR/2024/24614/A/50337,NR/2025/24948/C,NR/2024/24435/A/49989,GNA/NR/2025/01/20/4168,NR/2024/24418/A/50025,GNA/NR/2025/01/20/9046,NR/2024/24566/A/49980,WR/2024/25501/A/50291,GNA/NR/2025/01/20/4698,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,NER/2024/2820/A/50276,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8738,NR/2024/24507/A/50352,GNA/NR/2025/01/02/1250,NR/2025/24953/C,NR/2025/24954/C,SR/2024/15456/A/49993,NR/2025/24837/A/50246,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,Total
78,19:15-19:30,0,0,0,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,0,0,0,16.33,5.76,0.58,90.31,5.76,38.43,7.69,1.37,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,115.28,0,50,30,983.13

79,19:30-19:45,0,0,0,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,0,0,0,16.33,5.76,0.58,90.31,5.76,38.43,7.69,1.37,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,115.28,0,50,30,983.13

80,19:45-20:00,0,0,0,36.51,48.04,9.61,14.41,0,26.9,43.23,19.21,36.51,14.41,30.74,96.07,0,0,0,0,0,16.33,5.76,0.58,90.31,5.76,38.43,7.69,1.37,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,115.28,0,50,30,983.13

81,20:00-20:15,0,0,0,34.59,48.04,0,8.65,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.58,0,5.76,38.43,0,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,153.71,0,50,30,763.24

82,20:15-20:30,0,0,0,34.59,48.04,0,8.65,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.58,0,5.76,38.43,0,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,153.71,0,50,30,763.24

83,20:30-20:45,0,0,0,34.59,48.04,0,8.65,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.58,0,5.76,38.43,0,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,153.71,0,50,30,763.24

84,20:45-21:00,0,0,0,34.59,48.04,0,8.65,0,26.9,34.59,19.21,34.59,14.41,0,0,0,0,0,0,0,16.33,0,0.58,0,5.76,38.43,0,1.47,50,20.17,38.43,28.82,31.7,28.82,48.04,0,0,153.71,0,50,30,763.24

85,21:00-21:15,0,0,0,31.7,48.04,0,8.65,0,26.9,31.7,19.21,31.7,14.41,0,0,0,0,0,0,0,16.33,0,0.58,0,5.76,38.43,0,1.47,50,20.17,0,28.82,31.7,28.82,48.04,0,0,269,0,50,30,831.4300000000001

86,21:15-21:30,0,0,0,31.7,48.04,0,8.65,0,26.9,31.7,19.21,31.7,14.41,0,0,0,0,0,0,0,16.33,0,0.58,0,5.76,38.43,0,1.47,50,20.17,0,28.82,31.7,28.82,48.04,0,0,269,0,50,30,831.4300000000001

87,21:30-21:45,0,0,0,31.7,48.04,0,8.65,0,26.9,31.7,19.21,31.7,14.41,0,0,0,0,0,0,0,16.33,0,0.58,0,5.76,38.43,0,1.47,50,20.17,0,28.82,31.7,28.82,48.04,0,0,269,0,50,30,831.4300000000001

88,21:45-22:00,0,0,0,31.7,48.04,0,8.65,0,26.9,31.7,19.21,31.7,14.41,0,0,0,0,0,0,0,16.33,0,0.58,0,5.76,38.43,0,1.47,50,20.17,0,28.82,31.7,28.82,48.04,0,0,269,0,50,30,831.4300000000001

89,22:00-22:15,0,0,0,27.86,48.04,0,8.65,0,26.9,27.86,19.21,27.86,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,38.43,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,0,0,288.21,0,50,30,788.92

90,22:15-22:30,0,0,0,27.86,48.04,0,8.65,0,26.9,27.86,19.21,27.86,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,38.43,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,0,0,288.21,0,50,30,788.92

91,22:30-22:45,0,0,0,27.86,48.04,0,8.65,0,26.9,27.86,19.21,27.86,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,38.43,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,0,0,288.21,0,50,30,788.92

92,22:45-23:00,0,0,0,27.86,48.04,0,8.65,0,26.9,27.86,19.21,27.86,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,38.43,0,1.37,0,20.17,0,28.82,31.7,28.82,48.04,0,0,288.21,0,50,30,788.92

93,23:00-23:15,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,38.43,0,1.47,0,20.17,0,28.82,31.7,10.73,48.04,0,0,288.21,0,50,30,759.4100000000001

94,23:15-23:30,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,38.43,0,1.47,0,20.17,0,28.82,31.7,10.73,48.04,0,0,288.21,0,50,30,759.4100000000001

95,23:30-23:45,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,38.43,0,1.47,0,20.17,0,28.82,31.7,10.73,48.04,0,0,288.21,0,50,30,759.4100000000001

96,23:45-24:00,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,14.41,0,0,0,0,0,0,0,16.33,0,0.48,0,5.76,38.43,0,1.47,0,20.17,0,28.82,31.7,10.73,48.04,0,0,288.21,0,50,30,759.4100000000001

