Column1,Block,NR/2025/27968/A/85802,NR/2025/30492/A/85589,NR/2025/30083/A/85820,NR/2025/30724/C,NR/2025/30731/C,NR/2025/29440/A/85487,NR/2025/30732/C,NR/2025/30631/C,NR/2025/30191/A/85380,NR/2025/29352/A/85463,NR/2025/30668/C,NR/2025/30101/A/85928,NR/2025/30669/C,NR/2025/30742/C,NR/2025/30657/C,NR/2025/30689/C,NR/2025/30719/C,NR/2025/27962/A/85799,NR/2025/30727/C,NR/2025/30720/C,NR/2025/30732/C/Alternate/1,NR/2025/30735/C,NR/2025/30082/A/85867,NR/2025/30736/C,NR/2025/30121/A/85384,NR/2025/30738/C,NR/2025/29167/A/85481,GNARE/NR/2024/12/20/3668,NR/2025/29439/A/85531,NR/2025/30666/C,NR/2025/30612/C,NR/2025/29985/A/85789,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2236,NR/2025/30334/A/85378,NR/2025/30757/C,NR/2025/29915/A/85482,NR/2025/27970/A/85803,NR/2025/30086/A/85818,NR/2025/29628/A/85826,NR/2025/30084/A/85819,NR/2025/27964/A/85801,NR/2025/27978/A/85881,NR/2025/27963/A/85800,NR/2025/30734/C,NR/2025/28725/A/85770,NR/2025/30105/A/85817,GNA/NR/2025/07/01/3109,NR/2025/30067/A/85918,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2997,NR/2025/29910/A/85823,GNA/NR/2025/07/01/8230,NR/2025/29992/A/85524,NR/2025/26975/A/85843,NR/2025/29353/A/85461,GNA/NR/2025/07/01/8154,NR/2025/29986/A/85791,NR/2025/30660/C,NR/2025/30217/A/85816,Total
46,11:15-11:30,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,82.21,0,0,48.12,147,0,26.7,134.99,16.4,26.7,81.81,5.25,2.06,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1888.02

47,11:30-11:45,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,81.99,0,0,48.12,151,0,26.7,134.99,16.4,26.7,81.81,5.25,2.06,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1891.8

48,11:45-12:00,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,81.83,0,0,48.12,154,0,26.7,134.99,16.4,26.7,81.81,5.25,2.06,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1894.64

49,12:00-12:15,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,91.67,0,0,48.12,158,0,26.78,134.99,16.4,26.78,81.81,5.25,2.2,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1908.7799999999997

50,12:15-12:30,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,91.67,0,0,48.12,161,0,26.78,134.99,16.4,26.78,81.81,5.25,2.2,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1911.7799999999997

51,12:30-12:45,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,91.67,0,0,48.12,165,0,26.78,134.99,16.4,26.78,81.81,5.25,2.2,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1915.7799999999997

52,12:45-13:00,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,91.67,0,0,48.12,165,0,26.78,134.99,16.4,26.78,81.81,5.25,2.2,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1915.7799999999997

53,13:00-13:15,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,95,0,0,48.12,165,0,26.78,134.99,12.71,26.78,81.81,5.25,2.34,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1915.5599999999997

54,13:15-13:30,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,95,0,0,48.12,165,0,26.78,134.99,12.71,26.78,81.81,5.25,2.34,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1915.5599999999997

55,13:30-13:45,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,91.67,0,0,48.12,179,0,26.78,134.99,12.71,26.78,81.81,5.25,2.34,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1926.2299999999996

56,13:45-14:00,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,0,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,91.67,0,0,48.12,179,0,26.78,134.99,12.71,26.78,81.81,5.25,2.34,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,0,24.06,0,1926.2299999999996

57,14:00-14:15,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,144.38,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,91.67,0,144.38,48.12,175,0,26.78,134.99,12.71,26.78,81.81,5.25,2.34,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,134.75,24.06,0,2345.7400000000002

58,14:15-14:30,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,144.38,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,88.33,0,144.38,48.12,168,0,26.78,134.99,12.71,26.78,81.81,5.25,2.34,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,134.75,24.06,0,2335.4

59,14:30-14:45,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,144.38,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,76.54,0,144.38,48.12,161,0,26.78,134.99,12.71,26.78,81.81,6.74,3.65,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,134.75,24.06,0,2319.4100000000003

60,14:45-15:00,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,144.38,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,74.46,0,144.38,48.12,154,0,26.78,134.99,12.71,26.78,81.81,7.03,3.65,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,134.75,24.06,0,2310.6200000000003

61,15:00-15:15,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,144.38,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,71.44,0,144.38,48.12,140,0,26.78,134.99,12.71,26.78,81.81,7.11,4.46,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,134.75,24.06,0,2294.4900000000002

62,15:15-15:30,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,144.38,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,66.45,0,144.38,48.12,133,0,26.78,134.99,12.71,26.78,81.81,6.86,4.46,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,134.75,24.06,0,2282.25

63,15:30-15:45,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,144.38,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,58.67,0,144.38,48.12,119,0,26.78,134.99,12.71,26.78,81.81,6.47,4.46,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,134.75,24.06,0,2260.0800000000004

64,15:45-16:00,0,13.48,0,96.25,27.91,0,163.87,44.28,0,28.63,144.38,0,96.25,37.19,143.17,0.96,76.63,0,48.12,16.59,0,43.75,0,29.05,0,7.7,0,54.76,0,144.38,48.12,109,0,26.78,134.99,12.71,26.78,81.81,6.03,4.46,0,0,0,0,0,0,0,0,7.3,0,0,19.25,0,43.75,15.26,0,224.98,0,5.78,81.81,20.76,134.75,24.06,0,2245.73

65,16:00-16:15,0,13.48,7.3,0,27.91,0.96,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,61.67,25.1,0,0,98,0,26.78,134.99,12.71,26.78,81.81,5.54,4.46,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2273.1000000000004

66,16:15-16:30,0,13.48,7.3,0,27.91,0.96,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,56.67,25.1,0,0,88,0,26.78,134.99,12.71,26.78,81.81,5.1,4.46,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2257.6600000000003

67,16:30-16:45,0,13.48,7.3,0,27.91,0.96,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,40.79,25.1,0,0,77,0,26.78,134.99,12.71,26.78,81.81,4.65,4.46,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2230.3300000000004

68,16:45-17:00,0,13.48,7.3,0,27.91,0.96,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,35.52,25.1,0,0,67,0,26.78,134.99,12.71,26.78,81.81,4.17,3.65,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2213.7700000000004

69,17:00-17:15,0,13.48,7.3,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,20,25.1,0,0,53,0,26.78,134.99,12.71,26.78,81.81,0,3.38,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2179.72

70,17:15-17:30,0,13.48,7.3,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,18.33,25.1,0,0,42,0,26.78,134.99,12.71,26.78,81.81,0,3.26,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2166.93

71,17:30-17:45,0,13.48,7.3,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,16.67,25.1,0,0,34,0,26.78,134.99,12.71,26.78,81.81,0,3.19,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2157.2

72,17:45-18:00,0,13.48,7.3,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,15,25.1,0,0,27,0,26.78,134.99,12.71,26.78,81.81,0,3.21,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2148.5499999999997

73,18:00-18:15,0,13.48,7.3,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,14.33,25.1,0,0,20,0,25.55,134.99,17.13,29,81.81,0,3.55,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2112.12

74,18:15-18:30,0,13.48,7.3,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,13.67,25.1,0,0,14,0,25.55,134.99,17.13,29,81.81,0,2.58,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,16.59,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2104.49

75,18:30-18:45,0,13.48,7.3,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,11.42,25.1,0,0,7,0,25.55,134.99,17.13,29,81.81,0,1.68,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2097

76,18:45-19:00,0,13.48,7.3,0,27.91,0.87,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,3.14,25.1,0,0,5,0,25.55,134.99,17.13,29,81.81,0,1.08,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2086.12

77,19:00-19:15,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,1.76,25.1,0,0,2,0,29,134.99,17.32,29,81.81,0,0,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2084.34

78,19:15-19:30,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0.03,25.1,0,0,1,0,29,134.99,17.32,29,81.81,0,0,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2081.61

79,19:30-19:45,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0,25.1,0,0,0,0,29,134.99,17.32,29,81.81,0,0,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2080.58

80,19:45-20:00,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0,25.1,0,0,0,0,29,134.99,17.32,29,81.81,0,0,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,2080.58

81,20:00-20:15,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.78,29,81.81,0,0,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2155.39

82,20:15-20:30,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.78,29,81.81,0,0,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2155.39

83,20:30-20:45,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.78,29,81.81,0,0,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2155.39

84,20:45-21:00,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.78,29,81.81,0,0,0,144.38,37.19,76.63,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2155.39

85,21:00-21:15,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.78,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2184.64

86,21:15-21:30,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.78,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2184.64

87,21:30-21:45,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.78,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2184.64

88,21:45-22:00,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.78,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2184.64

89,22:00-22:15,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.59,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2184.45

90,22:15-22:30,0,13.48,7.3,0,27.91,0.91,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.59,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2184.45

91,22:30-22:45,0,12.51,7.3,0,27.91,0.91,157.36,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,6.51,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.59,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2183.48

92,22:45-23:00,0,12.51,7.3,0,27.91,0.91,156.28,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,7.58,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.59,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2183.4700000000003

93,23:00-23:15,0,12.51,7.3,0,27.91,0.91,156.14,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,7.73,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.32,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2183.21

94,23:15-23:30,0,12.51,7.3,0,27.91,0.91,155.49,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,8.37,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.32,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2183.2000000000003

95,23:30-23:45,0,12.51,7.3,0,27.91,0.91,155.34,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,8.53,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.32,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,25.99,81.81,20.76,134.75,0,7.7,2183.21

96,23:45-24:00,0,12.51,7.3,0,27.91,0.91,161.67,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,2.19,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,0,29,134.99,17.32,29,81.81,0,0,0,144.38,37.19,105.88,43.75,144.38,96.25,0,0,143.17,29.16,0,0,43.75,0,19.25,224.98,44.28,26.13,81.81,20.76,134.75,0,7.7,2183.34

