Time,Block,NR/2023/12923/F,NR/2023/14086/D,NR/2023/11507/A,NR/2023/12706/A,NR/2023/10651/A,NR/2023/13985/F,NR/2023/10432/A,NR/2023/12922/F,NR/2023/11953/A,NR/2023/10956/A,NR/2023/12919/F,NR/2023/10786/A,NR/2023/14101/C,NR/2023/10436/A,NR/2023/12921/F,NR/2023/13679/F,NR/2023/11068/A,NR/2023/10959/A,NR/2023/11712/A,NR/2023/12924/F,NR/2023/12814/F,NR/2023/10488/A,NR/2023/10561/A,NR/2023/12813/F,NR/2023/10705/A,NR/2023/13369/F,NR/2023/12920/F,NR/2023/14087/D,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10947/A,NR/2023/10460/A,NR/2023/14099/C,NR/2023/10720/A,NR/2023/12916/F,NR/2023/12917/F,NR/2023/10435/A,NR/2023/14085/D,NR/2023/14092/C,NR/2023/11709/A,NR/2023/10650/A,ER/2023/8673/C,NR/2023/12915/F,NR/2023/12661/A,NR/2023/11266/A,NR/2023/14088/D,NR/2023/14083/D,NR/2023/14089/D,Total
45,11:00-11:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,12.580000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,140,6.31,60,1728.76

46,11:15-11:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,12.580000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,140,6.44,60,1728.89

47,11:30-11:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,12.580000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,140,6.53,60,1728.98

48,11:45-12:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,12.580000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,140,6.71,60,1729.16

49,12:00-12:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,12.580000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,140,6.81,60,1729.26

50,12:15-12:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,12.580000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,140,6.89,60,1729.34

51,12:30-12:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,13.550000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,147,7.26,63,1740.68

52,12:45-13:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,14.520000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,147,8.23,63,1742.62

53,13:00-13:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,14.520000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,154,8.71,66,1753.1

54,13:15-13:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,13.550000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,154,9.68,66,1753.1

55,13:30-13:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,10.650000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,154,9.2,66,1749.72

56,13:45-14:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,90.990000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,16.730000,23.720000,0.520000,0.920000,24.200000,7.740000,36.690000,0.000000,7.740000,53.000000,0.370000,62.920000,63.620000,154,8.52,66,1746.13

57,14:00-14:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,4.840000,36.690000,23.170000,7.740000,53.000000,0.370000,62.920000,63.620000,154,7.94,66,1783.62

58,14:15-14:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,2.900000,36.690000,23.170000,7.740000,53.000000,0.370000,62.920000,63.620000,154,7.26,66,1781

59,14:30-14:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,2.900000,36.690000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,154,6.78,66,1727.52

60,14:45-15:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.040000,23.720000,0.520000,0.920000,24.200000,2.900000,36.690000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,154,6.29,66,1727.03

61,15:00-15:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,1.940000,38.730000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,149.8,5.81,64.2,1760.53

62,15:15-15:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,1.940000,38.730000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,140,4.84,60,1745.56

63,15:30-15:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,24.400000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,133,3.97,57,1732.75

64,15:45-16:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,30.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,117.6,3.39,50.4,1715.77

65,16:00-16:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,30.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,105,2.66,45,1697.04

66,16:15-16:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,30.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,92.4,2.22,39.6,1678.6

67,16:30-16:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,30.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,77,1.69,33,1656.07

68,16:45-17:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,106.480000,30.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,24.200000,0.980000,147.880000,0.970000,0.000000,0.000000,23.230000,19.220000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,23.170000,7.740000,0.000000,0.370000,62.920000,63.620000,70,1.22,30,1645.6

69,17:00-17:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.980000,147.880000,0.680000,0.000000,0.000000,23.230000,19.410000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,0.000000,7.740000,0.000000,0.370000,62.920000,63.620000,63,0.83,27,1499.66

70,17:15-17:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.980000,147.880000,0.680000,0.000000,0.000000,23.230000,19.410000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,0.000000,7.740000,0.000000,0.370000,62.920000,63.620000,52.5,0.44,22.5,1484.27

71,17:30-17:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.980000,147.880000,0.680000,0.000000,0.000000,23.230000,19.410000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,0.000000,7.740000,0.000000,0.370000,62.920000,63.620000,35,0.23,15,1459.06

72,17:45-18:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,0.000000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.810000,0.000000,0.980000,147.880000,0.680000,0.000000,0.000000,23.230000,19.410000,23.720000,0.520000,0.920000,24.200000,0.000000,38.730000,0.000000,7.740000,0.000000,0.370000,62.920000,63.620000,31.5,0.1,13.5,1453.93

73,18:00-18:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.980000,147.880000,0.680000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,37.700000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,31.5,0,13.5,1496.06

74,18:15-18:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.980000,147.880000,0.680000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,37.700000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,24.5,0,10.5,1486.06

75,18:30-18:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.980000,147.880000,0.680000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,37.700000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,21,0,9,1481.06

76,18:45-19:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.980000,147.880000,0.680000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,37.700000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,14,0,6,1471.06

77,19:00-19:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.980000,147.880000,0.730000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,37.700000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,7,0,3,1461.11

78,19:15-19:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.980000,147.880000,0.730000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,37.700000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,4.2,0,1.8,1457.11

79,19:30-19:45,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.980000,147.880000,0.730000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,37.700000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,1.4,0,0.6,1453.11

80,19:45-20:00,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.970000,48.400000,0.000000,24.200000,0.980000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.980000,147.880000,0.730000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,37.700000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1451.11

81,20:00-20:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,48.400000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.930000,147.880000,0.770000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,35.670000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1410.25

82,20:15-20:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,48.400000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.930000,147.880000,0.770000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,35.670000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1410.25

83,20:30-20:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,48.400000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.930000,147.880000,0.770000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,35.670000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1410.25

84,20:45-21:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,48.400000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.930000,147.880000,0.770000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,35.670000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1410.25

85,21:00-21:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.930000,147.880000,0.770000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,35.670000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1453.81

86,21:15-21:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.930000,147.880000,0.770000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,35.670000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1453.81

87,21:30-21:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.830000,0.000000,0.930000,147.880000,0.770000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,35.670000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1453.81

88,21:45-22:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,15.870000,0.000000,0.930000,147.880000,0.770000,0.000000,0.000000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,35.670000,0.000000,14.280000,0.000000,0.370000,62.920000,63.620000,0,0,0,1453.85

89,22:00-22:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.730000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1838.93

90,22:15-22:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.730000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1838.93

91,22:30-22:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.730000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1838.93

92,22:45-23:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.730000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1838.93

93,23:00-23:15,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.630000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1838.83

94,23:15-23:30,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.630000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1838.83

95,23:30-23:45,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.630000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1838.83

96,23:45-24:00,0.610000,0.000000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.920000,91.960000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.630000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,34.650000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1838.83

