Column1,Block,NR/2025/26335/A/73886,NR/2025/26755/A/73251,GNARE/NR/2024/12/20/3668,NR/2025/27055/C,NR/2025/27061/C,GNA/NR/2025/05/01/3877,NR/2025/26291/A/73728,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,NR/2025/27111/C,GNA/NR/2025/05/01/7791,NR/2025/27076/C,NR/2025/27118/C,NR/2025/26232/A/73732,NR/2025/26004/A/73305,NR/2025/27087/C,NR/2025/25861/A/73680,NR/2025/26101/A/73420,NR/2025/26153/A/73253,NR/2025/26289/A/73729,NR/2025/25860/A/73681,NR/2025/26959/A/73397,NR/2025/26005/A/73306,NR/2025/26785/A/73252,NR/2025/27082/C,NR/2025/25859/A/73682,NR/2025/26085/A/73210,NR/2025/26828/A/73848,NR/2025/26336/A/73876,NR/2025/26827/A/73849,NR/2025/26879/A/73881,NR/2025/26265/A/73730,NR/2025/27025/C,NR/2025/26233/A/73731,NR/2025/27089/C,NR/2025/27031/C,NR/2025/25967/A/73674,NR/2025/27092/C,NR/2025/27033/C,NR/2025/27093/C,NR/2025/27028/C,NR/2025/26379/A/73673,NR/2025/27029/C,NR/2025/27117/C,NR/2025/27084/C,NR/2025/26082/A/73771,NR/2025/26825/A/73850,NR/2025/27161/C,NR/2025/26822/A/73851,NR/2025/27094/C,NR/2025/26202/A/73769,NR/2025/27095/C,NR/2025/27023/C,NR/2025/26829/A/73847,NR/2025/26191/A/73303,NR/2025/27086/C,NR/2025/27096/C,GNA/NR/2025/05/20/6516,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/20/8885,GNA/NR/2025/05/01/7902,NR/30092023/31122025/SH-07,Total
38,09:15-09:30,151,10.63,72.26,48.3,193.2,28.98,0,11.83,0,0,0,13.52,2.9,0,164.22,0,0,48.3,28.98,0,0,9.95,0,0,6.76,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2176.2799999999997

39,09:30-09:45,161,10.63,78.16,48.3,193.2,28.98,0,11.83,0,0,0,13.52,2.9,0,164.22,0,0,48.3,28.98,0,0,9.95,0,0,6.76,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2192.18

40,09:45-10:00,172,10.63,83.74,48.3,193.2,28.98,0,11.83,0,0,0,13.52,2.9,0,164.22,0,0,48.3,28.98,0,0,9.95,0,0,6.76,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2208.7599999999998

41,10:00-10:15,182,12.56,88.76,48.3,193.2,28.98,0,11.65,0,0,0,13.52,2.9,0,164.22,0,0,48.3,28.98,0,0,9.95,0,0,6.76,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2225.5299999999997

42,10:15-10:30,189,12.56,93.42,48.3,193.2,28.98,0,11.65,0,0,0,13.52,2.9,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,6.76,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2246.8499999999995

43,10:30-10:45,196,12.56,97.58,48.3,193.2,28.98,0,11.65,0,0,0,13.52,2.9,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,6.76,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2258.0099999999998

44,10:45-11:00,203,12.56,100,48.3,193.2,28.98,0,11.65,0,0,0,13.52,2.9,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,6.76,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2267.4299999999994

45,11:00-11:15,207,13.52,100,48.3,193.2,28.98,0,11.47,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2273.1699999999996

46,11:15-11:30,210,13.52,100,48.3,193.2,28.98,0,11.47,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2276.1699999999996

47,11:30-11:45,207,13.52,100,48.3,193.2,28.98,0,11.47,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2273.1699999999996

48,11:45-12:00,207,13.52,100,48.3,193.2,28.98,0,11.47,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.75,0,0,14.49,29.1,0,0,26.75,2273.1699999999996

49,12:00-12:15,207,13.52,100,48.3,193.2,28.98,0,11.28,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2273.08

50,12:15-12:30,207,13.52,100,48.3,193.2,28.98,0,11.28,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2273.08

51,12:30-12:45,207,13.52,100,48.3,193.2,28.98,0,11.28,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2273.08

52,12:45-13:00,207,13.52,100,48.3,193.2,28.98,0,11.28,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,54.27,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2273.08

53,13:00-13:15,207,13.52,100,48.3,193.2,28.98,0,11.09,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2327.16

54,13:15-13:30,207,13.52,100,48.3,193.2,28.98,0,11.09,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2327.16

55,13:30-13:45,207,13.52,100,48.3,193.2,28.98,0,11.09,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2327.16

56,13:45-14:00,210,13.52,100,48.3,193.2,28.98,0,11.09,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,0,0,9.95,0,0,8.69,48.3,0,0,96.6,0.97,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,52.84,43.9,4.83,0,4.83,11.59,96.6,47.33,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2330.16

57,14:00-14:15,193,11.59,100,48.3,193.2,28.98,0,10.91,0,0,0,13.52,2.9,0,173.88,0,0,48.3,28.98,111.09,33.81,0,0,0,9.66,39.61,0,0,96.6,0,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,62.79,43.9,4.83,0,4.83,11.59,96.6,0,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2400.9

58,14:15-14:30,189,11.59,100,48.3,193.2,28.98,0,10.91,0,0,0,13.52,2.9,0,173.88,0,0,48.3,28.98,111.09,33.81,0,0,0,9.66,39.61,0,0,96.6,0,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,62.79,43.9,4.83,0,4.83,11.59,96.6,0,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2396.9

59,14:30-14:45,168,11.59,91.3,48.3,193.2,28.98,0,10.91,0,0,0,13.52,2.9,0,173.88,0,0,48.3,28.98,111.09,33.81,0,0,0,9.66,39.61,0,0,96.6,0,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,62.79,43.9,4.83,0,4.83,11.59,96.6,0,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2367.2

60,14:45-15:00,161,11.59,88.01,48.3,193.2,28.98,0,10.91,0,0,0,13.52,2.9,0,173.88,0,0,48.3,28.98,111.09,33.81,0,0,0,9.66,39.61,0,0,96.6,0,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,62.79,43.9,4.83,0,4.83,11.59,96.6,0,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2356.91

61,15:00-15:15,154,8.69,83.77,48.3,193.2,28.98,0,11.09,0,0,0,13.52,1.93,0,173.88,0,0,48.3,28.98,111.09,33.81,0,0,0,11.59,39.61,0,0,96.6,0,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,62.79,43.9,4.83,0,4.83,11.59,96.6,0,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2343.91

62,15:15-15:30,144,8.69,79.86,48.3,193.2,28.98,0,11.09,0,0,0,13.52,1.93,0,67.62,0,0,48.3,28.98,111.09,33.81,0,0,0,11.59,39.61,0,0,96.6,0,0,0,0,0,0,48.3,0,0,53.13,193.2,14.63,62.79,43.9,4.83,0,4.83,11.59,96.6,0,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2223.7400000000002

63,15:30-15:45,133,8.69,75.07,48.3,193.2,28.98,0,11.09,0,0,0,13.52,1.93,0,67.62,0,0,48.3,28.98,111.09,33.81,0,0,0,11.59,39.61,0,0,96.6,0,0,222.18,0,0,0,48.3,0,0,53.13,193.2,14.63,62.79,43.9,4.83,0,4.83,11.59,96.6,0,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2430.13

64,15:45-16:00,123,8.69,70.24,48.3,193.2,28.98,0,11.09,0,0,0,13.52,1.93,0,67.62,0,0,48.3,28.98,111.09,33.81,0,0,0,11.59,39.61,0,0,96.6,0,0,222.18,0,0,0,48.3,0,0,53.13,193.2,14.63,62.79,43.9,4.83,0,4.83,11.59,96.6,0,0,0,0,43.9,0,14.63,96.6,0,0,108.54,37.33,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2415.3

65,16:00-16:15,112,5.8,64.21,0,0,28.98,11.59,11.28,0,0,0,13.52,1.93,0,67.62,0,4.83,48.3,28.98,111.09,33.81,62.79,48.3,0,11.59,48.3,53.13,0,96.6,0.82,14.63,222.18,43.9,0,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,108.54,0,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2452.41

66,16:15-16:30,102,5.8,58.37,0,0,28.98,11.59,11.28,0,0,0,13.52,1.93,0,67.62,0,4.83,48.3,28.98,111.09,33.81,62.79,48.3,0,11.59,48.3,53.13,0,96.6,0.82,14.63,222.18,43.9,0,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,108.54,0,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2436.57

67,16:30-16:45,91,5.8,51.75,0,0,28.98,11.59,11.28,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,111.09,33.81,62.79,48.3,0,11.59,48.3,53.13,0,96.6,0.82,14.63,222.18,43.9,0,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,108.54,0,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2351.33

68,16:45-17:00,77,5.8,45.69,0,0,28.98,11.59,11.28,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,111.09,33.81,62.79,48.3,0,11.59,48.3,53.13,0,96.6,0.82,14.63,222.18,43.9,0,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,108.54,0,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2331.27

69,17:00-17:15,63,0,38.22,0,0,28.98,7.73,11.83,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,111.09,33.81,62.79,48.3,0,11.59,48.3,0,0,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,108.54,0,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2281.23

70,17:15-17:30,49,0,31.23,0,0,28.98,7.73,11.83,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,111.09,33.81,62.79,48.3,0,11.59,48.3,0,0,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,108.54,0,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2260.24

71,17:30-17:45,35,0,23.81,0,0,28.98,7.73,11.83,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,111.09,33.81,62.79,48.3,0,11.59,48.3,0,0,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,108.54,0,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2238.82

72,17:45-18:00,21,0,17.07,0,0,28.98,7.73,11.83,0,0,0,13.52,1.93,0,0,0,4.83,48.3,28.98,111.09,33.81,62.79,48.3,0,11.59,48.3,0,0,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,108.54,0,0,193.2,24.15,0,10.63,96.6,26.8,0,0,14.49,29.1,0,0,26.8,2218.0800000000004

73,18:00-18:15,14,0,11.69,0,0,28.98,7.73,13.22,5.8,0,67.62,13.52,1.93,19.32,96.6,0,4.83,48.3,0,111.09,33.81,62.79,48.3,0,11.59,48.3,0,0,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,24.15,14.49,10.63,96.6,29,5.8,0,14.49,29.1,0,28.98,26.32,2472.72

74,18:15-18:30,7,0,8.07,0,0,28.98,7.73,13.22,5.8,0,67.62,13.52,1.93,19.32,96.6,0,4.83,48.3,0,111.09,33.81,62.79,48.3,0,11.59,48.3,0,0,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,24.15,14.49,10.63,96.6,29,5.8,0,14.49,29.1,0,28.98,26.32,2462.0999999999995

75,18:30-18:45,4,0,5.17,0,0,28.98,7.73,13.22,5.8,0,67.62,13.52,1.93,19.32,96.6,0,4.83,48.3,0,111.09,33.81,62.79,48.3,0,11.59,48.3,0,0,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,24.15,14.49,10.63,96.6,29,5.8,0,0,29.1,0,28.98,26.32,2441.71

76,18:45-19:00,1,0,3.5,0,0,28.98,7.73,13.22,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,48.3,0,11.59,48.3,0,0,96.6,0.68,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,24.15,14.49,10.63,96.6,29,5.8,0,0,29.1,0,28.98,26.32,2574.21

77,19:00-19:15,1,0,1.83,0,0,28.98,7.73,13.68,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,11.59,48.3,0,0,96.6,0.72,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29,5.8,0,0,29.1,47.62,28.98,29,2812.8299999999995

78,19:15-19:30,0,0,0.85,0,0,28.98,7.73,13.68,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,11.59,48.3,0,0,96.6,0.72,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29,5.8,0,0,29.1,47.62,28.98,29,2810.8499999999995

79,19:30-19:45,0,0,0.35,0,0,28.98,7.73,13.68,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,11.59,48.3,0,0,96.6,0.72,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29,5.8,0,0,29.1,47.62,28.98,29,2810.3499999999995

80,19:45-20:00,0,0,0,0,0,28.98,7.73,13.68,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,11.59,48.3,0,0,96.6,0.72,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29,5.8,0,0,29.1,47.62,28.98,29,2809.9999999999995

81,20:00-20:15,0,0,0,0,0,28.98,7.73,13.96,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,9.66,48.3,0,0,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,47.62,28.98,29.5,2809.399999999999

82,20:15-20:30,0,0,0,0,0,28.98,7.73,13.96,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,9.66,48.3,0,0,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,47.62,28.98,29.5,2809.399999999999

83,20:30-20:45,0,0,0,0,0,28.98,7.73,13.96,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,9.66,48.3,0,0,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,2803.7999999999993

84,20:45-21:00,0,0,0,0,0,28.98,7.73,13.96,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,9.66,48.3,0,0,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,0,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,2803.7999999999993

85,21:00-21:15,0,0,0,0,0,28.98,7.73,14.14,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,9.66,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,2950.5399999999995

86,21:15-21:30,0,0,0,0,0,28.98,7.73,14.14,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,9.66,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,47.62,28.98,29.5,2956.1399999999994

87,21:30-21:45,0,0,0,0,0,28.98,7.73,15.07,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,9.66,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,47.62,28.98,29.5,2957.0699999999993

88,21:45-22:00,0,0,0,0,0,28.98,7.73,15.07,5.8,0,67.62,13.52,1.93,19.32,233.77,0,4.83,48.3,0,111.09,33.81,62.79,45.83,0,9.66,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,162.82,0,193.2,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,47.62,28.98,29.5,2957.0699999999993

