Time,Block,NR/2023/13905/C,NR/2023/13679/F,NR/2023/10436/A,NR/2023/13887/D,NR/2023/13898/C,NR/2023/12706/A,NR/2023/12919/F,NR/2023/12923/F,NR/2023/10720/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/10651/A,NR/2023/11712/A,NR/2023/12813/F,NR/2023/13369/F,NR/2023/12661/A,NR/2023/10561/A,NR/2023/10488/A,NR/2023/13913/C,NR/2023/12814/F,NR/2023/10650/A,NR/2023/10786/A,NR/2023/10956/A,NR/2023/10460/A,NR/2023/13053/F,NR/2023/12916/F,NR/2023/12921/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10432/A,NR/2023/12922/F,NR/2023/13053/F/II,NR/2023/11266/A,NR/2023/10947/A,NR/2023/10705/A,NR/2023/11953/A,NR/2023/12924/F,NR/2023/13890/D,NR/2023/12917/F,NR/2023/13885/D,NR/2023/11068/A,NR/2023/12920/F,NR/2023/10959/A,NR/2023/13892/D,ER/2023/8568/C,NR/2023/13894/D,ER/2023/8566/C,NR/2023/13884/D,Total
43,10:30-10:45,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,161,100.000000,69,0.000000,6.1,1861.3

44,10:45-11:00,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,168,100.000000,72,0.000000,6.97,1872.17

45,11:00-11:15,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,176.4,100.000000,75.6,0.000000,7.84,1885.04

46,11:15-11:30,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,178.5,100.000000,76.5,0.000000,7.84,1888.04

47,11:30-11:45,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,7.84,1898.04

48,11:45-12:00,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,7.84,1898.04

49,12:00-12:15,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,7.84,1898.04

50,12:15-12:30,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,7.84,1898.04

51,12:30-12:45,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,8.5,1898.7

52,12:45-13:00,16.450000,4.840000,24.200000,45.510000,36.690000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,8.5,1898.7

53,13:00-13:15,18.300000,4.840000,24.200000,45.510000,38.730000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,8.5,1902.59

54,13:15-13:30,18.300000,4.840000,24.200000,45.510000,38.730000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,8.5,1902.59

55,13:30-13:45,18.300000,4.840000,24.200000,45.510000,38.730000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,8.5,1902.59

56,13:45-14:00,18.300000,4.840000,24.200000,45.510000,38.730000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,91.010000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,24.200000,0.000000,147.910000,48.410000,0.000000,21.280000,185.5,100.000000,79.5,0.000000,8.5,1902.59

57,14:00-14:15,18.480000,4.840000,24.200000,45.510000,38.730000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,175,100.000000,75,0.000000,8.5,1921.6

58,14:15-14:30,18.480000,4.840000,24.200000,45.510000,38.730000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,172.2,100.000000,73.8,0.000000,8.5,1917.6

59,14:30-14:45,18.480000,4.840000,24.200000,45.510000,38.730000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,169.4,100.000000,72.6,0.000000,8.5,1913.6

60,14:45-15:00,18.480000,4.840000,24.200000,45.510000,38.730000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,30.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,163.1,100.000000,69.9,0.000000,8.5,1904.6

61,15:00-15:15,18.670000,4.840000,24.200000,45.510000,39.750000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,155.4,53.000000,66.6,0.000000,7.84,1817.15

62,15:15-15:30,18.670000,4.840000,24.200000,45.510000,39.750000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,145.6,0.000000,62.4,0.000000,7.84,1750.15

63,15:30-15:45,18.670000,4.840000,24.200000,45.510000,39.750000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,137.2,0.000000,58.8,0.000000,7.84,1738.15

64,15:45-16:00,18.670000,4.840000,24.200000,45.510000,39.750000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,126,0.000000,54,0.000000,7.84,1722.15

65,16:00-16:15,18.760000,4.840000,24.200000,45.510000,39.750000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,115.5,0.000000,49.5,50.000000,6.97,1756.37

66,16:15-16:30,18.760000,4.840000,24.200000,45.510000,39.750000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,105,0.000000,45,50.000000,6.1,1740.5

67,16:30-16:45,18.760000,4.840000,24.200000,45.510000,39.750000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,93.1,0.000000,39.9,50.000000,5.23,1722.63

68,16:45-17:00,18.760000,4.840000,24.200000,45.510000,39.750000,6.780000,0.000000,0.000000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,24.200000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,106.500000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.970000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,19.360000,0.000000,147.910000,48.410000,0.000000,21.280000,79.1,0.000000,33.9,28.000000,4.36,1679.76

69,17:00-17:15,18.860000,4.840000,24.200000,0.000000,39.750000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,48.410000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.680000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,0.000000,0.000000,147.910000,48.410000,0.000000,21.280000,67.9,0.000000,29.1,0.000000,3.49,1464.36

70,17:15-17:30,18.860000,4.840000,24.200000,0.000000,39.750000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,48.410000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.680000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,0.000000,0.000000,147.910000,48.410000,0.000000,21.280000,59.5,0.000000,25.5,0.000000,2.32,1451.19

71,17:30-17:45,18.860000,4.840000,24.200000,0.000000,39.750000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,48.410000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.680000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,0.000000,0.000000,147.910000,48.410000,0.000000,21.280000,49,0.000000,21,0.000000,1.74,1435.61

72,17:45-18:00,18.860000,4.840000,24.200000,0.000000,39.750000,6.780000,0.000000,0.000000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,48.410000,85.170000,23.240000,24.200000,0.000000,0.000000,0.000000,255.520000,0.680000,0.000000,43.570000,0.000000,0.000000,63.630000,0.000000,15.810000,0.000000,0.000000,0.000000,0.000000,147.910000,48.410000,0.000000,21.280000,38.5,0.000000,16.5,0.000000,0.77,1419.64

73,18:00-18:15,19.040000,4.840000,24.200000,0.000000,38.220000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.680000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.980000,21.280000,28,0.000000,12,0.000000,0.48,1453.06

74,18:15-18:30,19.040000,4.840000,24.200000,0.000000,38.220000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.680000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.980000,21.280000,21,0.000000,9,0.000000,0,1442.58

75,18:30-18:45,19.040000,4.840000,24.200000,0.000000,38.220000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.680000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.980000,21.280000,17.5,0.000000,7.5,0.000000,0,1437.58

76,18:45-19:00,19.040000,4.840000,24.200000,0.000000,38.220000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.680000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.980000,21.280000,14,0.000000,6,0.000000,0,1432.58

77,19:00-19:15,19.230000,4.840000,24.200000,0.000000,38.220000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.730000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.980000,21.280000,9.34,0.000000,4,0.000000,0,1426.16

78,19:15-19:30,19.230000,4.840000,24.200000,0.000000,38.220000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.730000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.980000,21.280000,4.12,0.000000,1.77,0.000000,0,1418.71

79,19:30-19:45,19.230000,4.840000,24.200000,0.000000,38.220000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.730000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.980000,21.280000,0.97,0.000000,0.41,0.000000,0,1414.2

80,19:45-20:00,19.230000,4.840000,24.200000,0.000000,38.220000,6.780000,0.970000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.980000,0.370000,255.520000,0.730000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.980000,21.280000,0,0.000000,0,0.000000,0,1412.82

81,20:00-20:15,19.230000,4.840000,24.200000,0.000000,37.200000,6.780000,0.920000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.770000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1411.69

82,20:15-20:30,19.230000,4.840000,24.200000,0.000000,37.200000,6.780000,0.920000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.770000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1411.69

83,20:30-20:45,19.230000,4.840000,24.200000,0.000000,37.200000,6.780000,0.920000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.770000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1411.69

84,20:45-21:00,19.230000,4.840000,24.200000,0.000000,37.200000,6.780000,0.920000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,48.410000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.770000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1411.69

85,21:00-21:15,19.410000,4.840000,24.200000,0.000000,37.200000,6.780000,0.920000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.770000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1455.44

86,21:15-21:30,19.410000,4.840000,24.200000,0.000000,37.200000,6.780000,0.920000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.770000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1455.44

87,21:30-21:45,19.410000,4.840000,24.200000,0.000000,37.200000,6.780000,0.920000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.770000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.830000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1455.44

88,21:45-22:00,19.410000,4.840000,24.200000,0.000000,37.200000,6.780000,0.920000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,14.280000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.770000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.870000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1455.48

89,22:00-22:15,19.410000,4.840000,24.200000,0.000000,35.680000,6.780000,0.920000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.730000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1840.15

90,22:15-22:30,19.410000,4.840000,24.200000,0.000000,35.680000,6.780000,0.920000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.730000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1840.15

91,22:30-22:45,19.410000,4.840000,24.200000,0.000000,35.680000,6.780000,0.920000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.730000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1840.15

92,22:45-23:00,19.410000,4.840000,24.200000,0.000000,35.680000,6.780000,0.920000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.730000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1840.15

93,23:00-23:15,19.410000,4.840000,24.200000,0.000000,35.680000,6.780000,0.920000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,91.980000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.630000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1840.05

