Column1,Block,NR/2024/23018/C,NR/2024/22888/A/36136,NR/2024/22833/A/36150,NR/2024/22874/A/36154,NR/2024/23013/C,NR/2024/23015/C,NR/2024/23010/C,NR/2024/22872/A/35920,NR/2024/22839/A/36148,NR/2024/22860/A/36142,NR/2024/22753/A/36126,NR/2024/22835/A/36131,NR/2024/22820/A/35887,NR/2024/22734/A/36135,NR/2024/21658/A/35879,NR/2024/22837/A/36149,NR/2024/22816/A/35900,NR/2024/22802/A/36152,NR/2024/22848/A/36144,NR/2024/22754/A/36125,NR/2024/22832/A/36151,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/9821,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7196,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,NR/2024/22898/A/35935,NR/2024/23012/C,NR/2024/22899/A/35934,Total
76,18:45-19:00,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,25.9717,32,2.42,96.79,24.79,0,0,0,1391.0017

77,19:00-19:15,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7715999999998

78,19:15-19:30,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7715999999998

79,19:30-19:45,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7715999999998

80,19:45-20:00,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.82,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7715999999998

81,20:00-20:15,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.77,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7215999999999

82,20:15-20:30,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.77,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7215999999999

83,20:30-20:45,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.77,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7215999999999

84,20:45-21:00,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.77,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7215999999999

85,21:00-21:15,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.77,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7215999999999

86,21:15-21:30,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.77,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7215999999999

87,21:30-21:45,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.77,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7215999999999

88,21:45-22:00,0,43.56,37.39,48.4,28.07,164.78,241.98,11.61,12.47,13.55,0,90.98,4.84,96.79,0.77,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,15.06,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1386.7215999999999

89,22:00-22:15,0,43.56,37.39,48.4,28.07,164.78,241.98,10.65,12.47,13.55,179.67,90.98,4.84,96.79,0.77,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1625.0416

90,22:15-22:30,0,43.56,37.39,48.4,28.07,164.78,241.98,10.65,12.47,13.55,179.67,90.98,4.84,96.79,0.77,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1625.0416

91,22:30-22:45,0,67.75,37.39,48.4,28.07,164.78,241.98,9.68,12.47,13.55,179.67,90.98,4.84,96.79,0.77,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1648.2616

92,22:45-23:00,0,67.75,37.39,48.4,28.07,164.78,241.98,9.68,12.47,13.55,179.67,90.98,4.84,96.79,0.77,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1648.2616

93,23:00-23:15,0,67.75,37.39,48.4,28.07,164.78,241.98,9.68,12.47,13.55,179.67,94.27,4.84,96.79,0.77,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1651.5516

94,23:15-23:30,0,67.75,37.39,48.4,28.07,164.78,241.98,9.68,12.47,13.55,179.67,94.27,4.84,96.79,0.77,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1651.5516

95,23:30-23:45,0,67.75,37.39,48.4,28.07,164.78,241.98,9.68,12.47,13.55,179.67,94.27,4.84,96.79,0.77,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1651.5516

96,23:45-24:00,0,67.75,37.39,48.4,28.07,164.78,241.98,9.68,12.47,13.55,179.67,94.27,4.84,96.79,0.77,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.8708,26.8708,2.42,96.79,24.79,0,0,0,1651.5516

