Time,Block,NR/2023/16707/D,NR/2023/16291/F,NR/2023/16627/F,NR/2023/16185/A,NR/2023/16191/A,NR/2023/13636/A,NR/2023/13148/A,NR/2023/13165/A,NR/2023/16739/C,NR/2023/13519/A,NR/2023/16734/C,NR/2023/16726/C,NR/2023/16709/D,NR/2023/16291/F/II,NR/2023/13242/A,NR/2023/16073/A,NR/2023/13253/A,NR/2023/13383/A,NR/2023/13150/A,NR/2023/13385/A,WR/2023/18762/C,NR/2023/13908/A,NR/2023/13376/A,NR/2023/13387/A,NR/2023/16626/F,NR/2023/16520/F,NR/2023/16077/A,NR/2023/13254/A,NR/2023/16437/F,NR/2023/15770/A,NR/2023/16741/C,NR/2023/16716/D,Total
70,17:15-17:30,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.520000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.19,1295.63

71,17:30-17:45,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.520000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.29,1295.73

72,17:45-18:00,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,0.000000,22.230000,145.000000,0.000000,10.520000,10.090000,4.830000,0.000000,0.000000,24.170000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.29,1295.73

73,18:00-18:15,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.700000,10.090000,4.830000,0.000000,0.000000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.19,1308.11

74,18:15-18:30,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.700000,10.090000,4.830000,0.000000,0.000000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0.39,1308.31

75,18:30-18:45,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.700000,10.090000,4.830000,0.000000,0.000000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1307.92

76,18:45-19:00,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.700000,10.090000,4.830000,0.000000,0.000000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1307.92

77,19:00-19:15,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.700000,10.090000,4.830000,0.000000,0.000000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,48.340000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1356.26

78,19:15-19:30,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.700000,10.090000,4.830000,0.000000,0.000000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,48.340000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1356.26

79,19:30-19:45,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.700000,10.090000,4.830000,0.000000,0.000000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,48.340000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1356.26

80,19:45-20:00,67.670000,0.820000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.700000,10.090000,4.830000,0.000000,0.000000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,48.340000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1356.26

81,20:00-20:15,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.610000,10.090000,4.830000,0.000000,29.580000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1376.03

82,20:15-20:30,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.610000,10.090000,4.830000,0.000000,29.580000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1376.03

83,20:30-20:45,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.610000,10.090000,4.830000,0.000000,29.580000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1376.03

84,20:45-21:00,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,0.000000,10.610000,10.090000,4.830000,0.000000,29.580000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1376.03

85,21:00-21:15,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.430000,10.090000,4.830000,0.000000,29.580000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1434.28

86,21:15-21:30,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.430000,10.090000,4.830000,0.000000,29.580000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1434.28

87,21:30-21:45,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.430000,10.090000,4.830000,0.000000,29.580000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1434.28

88,21:45-22:00,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.430000,10.090000,4.830000,0.000000,29.580000,0.000000,48.340000,0.000000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,0.000000,19.610000,174.360000,62.840000,0.000000,0,1434.28

89,22:00-22:15,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.330000,8.070000,4.830000,0.000000,29.580000,0.000000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1677.22

90,22:15-22:30,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.330000,8.070000,4.830000,0.000000,29.580000,0.000000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1677.22

91,22:30-22:45,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.330000,8.070000,4.830000,0.000000,29.580000,0.000000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1677.22

92,22:45-23:00,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.330000,8.070000,4.830000,0.000000,29.580000,0.000000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1677.22

93,23:00-23:15,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.150000,8.070000,4.830000,0.000000,29.580000,0.000000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1677.04

94,23:15-23:30,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.150000,8.070000,4.830000,0.000000,29.580000,0.000000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1677.04

95,23:30-23:45,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.150000,8.070000,4.830000,0.000000,29.580000,0.000000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1677.04

96,23:45-24:00,67.670000,0.770000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.150000,8.070000,4.830000,0.000000,29.580000,0.000000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,38.670000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1677.04

