Time,Block,NR/2023/14723/C,NR/2023/13859/A,NR/2023/11697/A,NR/2023/13283/A,NR/2023/11892/A,NR/2023/14712/D,NR/2023/13858/A,NR/2023/11205/A,NR/2023/11204/A,ER/2023/8988/C,NR/2023/11315/A,NR/2023/14709/D,NR/2023/11521/A,NR/2023/13983/F,NR/2023/11203/A,NR/2023/11954/A,NR/2023/11264/A,NR/2023/14713/D,NR/2023/13573/A,NR/2023/13283/A/II,NR/2023/11328/A,NR/2023/13284/A,NR/2023/11470/A,NR/2023/14722/C,NR/2023/11458/A,NR/2023/14706/D,NR/2023/11524/A,NR/2023/11469/A,NR/2023/12646/A,NR/2023/14719/C,NR/2023/14136/F,NR/2023/14187/F,NR/2023/11654/A,NR/2023/11325/A,NR/2023/11739/A,NR/2023/14710/D,NR/2023/13573/A/II,NR/2023/13983/F/II,Total
59,14:30-14:45,5.890000,177.970000,0.000000,0.000000,0.000000,3.38,77.170000,15.750000,7.720000,50.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,168,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,72,160.360000,84.870000,23.080000,30.000000,24.120000,0.960000,214.060000,24.120000,42.430000,0.000000,62.700000,0.000000,1798.8

60,14:45-15:00,5.890000,177.970000,0.000000,0.000000,0.000000,2.89,77.170000,15.750000,7.720000,50.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,161,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,69,157.400000,84.870000,23.080000,30.000000,24.120000,0.960000,210.140000,24.120000,42.430000,0.000000,62.700000,0.000000,1781.43

61,15:00-15:15,5.890000,177.970000,0.000000,0.000000,0.000000,2.89,77.170000,15.750000,7.720000,50.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,147,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,63,160.490000,84.870000,23.080000,0.000000,24.120000,0.960000,214.250000,24.120000,42.430000,38.580000,62.700000,0.000000,1777.21

62,15:15-15:30,5.890000,177.970000,0.000000,0.000000,0.000000,1.93,77.170000,15.750000,7.720000,50.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,135.1,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,57.9,157.610000,84.870000,23.080000,0.000000,24.120000,0.960000,210.410000,24.120000,42.430000,38.580000,62.700000,0.000000,1752.53

63,15:30-15:45,5.890000,177.970000,0.000000,0.000000,0.000000,1.93,77.170000,15.750000,7.720000,50.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,127.4,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,54.6,158.320000,84.870000,23.080000,0.000000,24.120000,0.960000,211.350000,24.120000,42.430000,38.580000,62.700000,0.000000,1743.18

64,15:45-16:00,5.890000,177.970000,0.000000,0.000000,0.000000,1.93,77.170000,15.750000,7.720000,50.000000,22.190000,192.920000,48.230000,0.960000,62.940000,0.000000,21.510000,116.2,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,49.8,158.390000,84.870000,23.080000,0.000000,24.120000,0.960000,211.450000,24.120000,42.430000,38.580000,62.700000,0.000000,1727.35

65,16:00-16:15,5.890000,177.970000,0.000000,0.000000,0.000000,1.93,77.170000,15.750000,7.720000,30.000000,22.190000,192.920000,48.230000,0.820000,62.940000,0.000000,21.510000,105,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,45,156.390000,84.870000,23.080000,0.000000,24.120000,3.860000,208.780000,24.120000,42.430000,38.580000,62.700000,0.000000,1689.44

66,16:15-16:30,5.890000,177.970000,0.000000,0.000000,0.000000,1.84,77.170000,15.750000,7.720000,30.000000,22.190000,192.920000,48.230000,0.820000,62.940000,0.000000,21.510000,97.3,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,41.7,154.290000,84.870000,23.080000,0.000000,24.120000,3.860000,205.980000,24.120000,42.430000,38.580000,62.700000,0.000000,1673.45

67,16:30-16:45,5.890000,177.970000,0.000000,0.000000,0.000000,1.84,77.170000,15.750000,7.720000,30.000000,22.190000,192.920000,48.230000,0.820000,62.940000,0.000000,21.510000,88.9,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,38.1,150.780000,84.870000,23.080000,0.000000,24.120000,3.860000,201.280000,24.120000,42.430000,38.580000,62.700000,0.000000,1653.24

68,16:45-17:00,5.890000,177.970000,0.000000,0.000000,0.000000,1.08,77.170000,15.750000,7.720000,30.000000,22.190000,192.920000,48.230000,0.820000,62.940000,0.000000,21.510000,78.4,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,106.110000,33.6,150.600000,84.870000,23.080000,0.000000,24.120000,3.860000,201.050000,24.120000,42.430000,38.580000,62.700000,0.000000,1637.07

69,17:00-17:15,5.890000,177.970000,0.000000,0.000000,0.000000,1.08,77.170000,15.750000,7.720000,0.000000,22.190000,192.920000,48.230000,0.820000,62.940000,0.000000,21.510000,63,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,48.230000,27,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.000000,1472.66

70,17:15-17:30,5.890000,177.970000,0.000000,0.000000,0.000000,1.08,77.170000,15.750000,7.720000,0.000000,22.190000,192.920000,48.230000,0.820000,62.940000,0.000000,21.510000,49,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,48.230000,21,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.000000,1452.66

71,17:30-17:45,5.890000,177.970000,0.000000,0.000000,0.000000,0.48,77.170000,15.750000,7.720000,0.000000,22.190000,192.920000,48.230000,0.820000,62.940000,0.000000,21.510000,42,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,48.230000,18,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.000000,1442.06

72,17:45-18:00,5.890000,177.970000,0.000000,0.000000,0.000000,0.19,77.170000,15.750000,7.720000,0.000000,22.190000,192.920000,48.230000,0.820000,62.940000,0.000000,21.510000,35,0.000000,24.120000,48.230000,0.000000,21.220000,5.790000,48.230000,15,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,62.700000,0.000000,1431.77

73,18:00-18:15,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.870000,62.940000,36.390000,21.510000,31.5,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,13.5,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1473.31

74,18:15-18:30,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.870000,62.940000,36.390000,21.510000,24.5,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,10.5,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1463.31

75,18:30-18:45,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.870000,62.940000,36.390000,21.510000,21,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,9,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1458.31

76,18:45-19:00,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.870000,62.940000,36.390000,21.510000,14,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,6,147.460000,84.870000,0.000000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,62.700000,0.000000,1448.31

77,19:00-19:15,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,7,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,3,171.150000,84.870000,0.000000,0.000000,0.000000,3.860000,228.480000,24.120000,42.430000,0.000000,62.700000,0.000000,1493.67

78,19:15-19:30,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,4.2,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,1.8,181.300000,84.870000,0.000000,0.000000,0.000000,3.860000,242.040000,24.120000,42.430000,0.000000,62.700000,0.000000,1513.38

79,19:30-19:45,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,1.4,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,0.6,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1536.51

80,19:45-20:00,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1534.51

81,20:00-20:15,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1534.51

82,20:15-20:30,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1534.51

83,20:30-20:45,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1534.51

84,20:45-21:00,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,48.230000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1534.51

85,21:00-21:15,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,91.640000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1577.92

86,21:15-21:30,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,91.640000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1577.92

87,21:30-21:45,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.770000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,91.640000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1577.92

88,21:45-22:00,5.890000,177.970000,0.000000,0.000000,66.460000,0,77.170000,15.810000,14.230000,0.000000,22.190000,192.920000,48.230000,0.920000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,0.000000,21.220000,5.790000,91.640000,0,192.920000,84.870000,0.000000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.000000,1577.96

89,22:00-22:15,5.890000,177.970000,27.780000,0.000000,66.460000,0,77.170000,231.610000,82.960000,0.000000,22.190000,192.920000,48.230000,0.530000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,64.820000,21.220000,5.790000,91.640000,0,192.920000,84.870000,23.080000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.390000,1978.17

90,22:15-22:30,5.890000,177.970000,27.780000,0.000000,66.460000,0,77.170000,231.610000,82.960000,0.000000,22.190000,192.920000,48.230000,0.530000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,64.820000,21.220000,5.790000,91.640000,0,192.920000,84.870000,23.080000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.390000,1978.17

91,22:30-22:45,5.890000,177.970000,27.780000,0.000000,66.460000,0,77.170000,231.610000,82.960000,0.000000,22.190000,192.920000,48.230000,0.530000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,64.820000,21.220000,5.790000,91.640000,0,192.920000,84.870000,23.080000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.390000,1978.17

92,22:45-23:00,5.890000,177.970000,27.780000,0.000000,66.460000,0,77.170000,231.610000,82.960000,0.000000,22.190000,192.920000,48.230000,0.530000,62.940000,36.390000,21.510000,0,0.000000,0.000000,48.230000,64.820000,21.220000,5.790000,91.640000,0,192.920000,84.870000,23.080000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,62.700000,0.390000,1978.17

93,23:00-23:15,5.890000,177.970000,27.780000,0.000000,66.460000,0,77.170000,231.610000,82.960000,0.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,21.510000,0,1.820000,0.000000,48.230000,64.820000,21.220000,5.790000,91.640000,0,192.920000,84.870000,23.080000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,60.880000,0.870000,1978.12

94,23:15-23:30,5.890000,177.970000,27.780000,0.000000,66.460000,0,77.170000,231.610000,82.960000,0.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,21.510000,0,1.820000,0.000000,48.230000,64.820000,21.220000,5.790000,91.640000,0,192.920000,84.870000,23.080000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,60.880000,0.870000,1978.12

95,23:30-23:45,5.890000,177.970000,27.780000,0.000000,66.460000,0,77.170000,231.610000,82.960000,0.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,21.510000,0,1.820000,0.000000,48.230000,64.820000,21.220000,5.790000,91.640000,0,192.920000,84.870000,23.080000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,60.880000,0.870000,1978.12

96,23:45-24:00,5.890000,177.970000,27.780000,0.000000,66.460000,0,77.170000,231.610000,82.960000,0.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,21.510000,0,1.820000,0.000000,48.230000,64.820000,21.220000,5.790000,91.640000,0,192.920000,84.870000,23.080000,0.000000,0.000000,3.860000,257.550000,24.120000,42.430000,0.000000,60.880000,0.870000,1978.12

