Column1,Block,NR/2025/24933/C,NR/2025/24934/C,NR/2025/24935/C,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/20/4168,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6528,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/2024/24434/A/49848,NR/2025/24837/A/50194,NR/2025/24938/C,NR/2025/24838/A/50195,NR/2025/24939/C,NR/2025/24839/A/50196,NR/2024/24566/A/49839,WR/2024/25501/A/50163,NER/2024/2820/A/50143,NR/2024/24508/A/50191,SR/2024/15456/A/49838,NR/2024/24418/A/49832,NR/2024/24614/A/50190,NR/2024/24507/A/50192,NR/2024/24435/A/49847,Total
77,19:00-19:15,0,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,115.28,0.58,0,28.82,16.33,983.2299999999999

78,19:15-19:30,0,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,115.28,0.58,0,28.82,16.33,983.2299999999999

79,19:30-19:45,0,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,115.28,0.58,0,28.82,16.33,983.2299999999999

80,19:45-20:00,0,0,0,36.51,5.76,1.47,96.07,31.7,28.82,14.41,0,36.51,20.17,19.21,50,30.74,90.31,7.69,9.61,48.04,26.9,43.23,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,115.28,0.58,0,28.82,16.33,983.2299999999999

81,20:00-20:15,0,0,0,34.59,0,1.47,0,31.7,28.82,8.65,0,34.59,20.17,19.21,50,0,0,0,0,48.04,26.9,34.59,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,153.71,0.58,0,28.82,16.33,763.2400000000001

82,20:15-20:30,0,0,0,34.59,0,1.47,0,31.7,28.82,8.65,0,34.59,20.17,19.21,50,0,0,0,0,48.04,26.9,34.59,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,153.71,0.58,0,28.82,16.33,763.2400000000001

83,20:30-20:45,0,0,0,34.59,0,1.47,0,31.7,28.82,8.65,0,34.59,20.17,19.21,50,0,0,0,0,48.04,26.9,34.59,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,153.71,0.58,0,28.82,16.33,763.2400000000001

84,20:45-21:00,0,0,0,34.59,0,1.47,0,31.7,28.82,8.65,0,34.59,20.17,19.21,50,0,0,0,0,48.04,26.9,34.59,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,38.43,14.41,153.71,0.58,0,28.82,16.33,763.2400000000001

85,21:00-21:15,0,0,0,31.7,0,1.37,0,31.7,28.82,8.65,0,31.7,20.17,19.21,50,0,0,0,0,48.04,26.9,31.7,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,269,0.58,0,28.82,16.33,831.3300000000002

86,21:15-21:30,0,0,0,31.7,0,1.37,0,31.7,28.82,8.65,0,31.7,20.17,19.21,50,0,0,0,0,48.04,26.9,31.7,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,269,0.58,0,28.82,16.33,831.3300000000002

87,21:30-21:45,0,0,0,31.7,0,1.37,0,31.7,28.82,8.65,0,31.7,20.17,19.21,50,0,0,0,0,48.04,26.9,31.7,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,269,0.58,0,28.82,16.33,831.3300000000002

88,21:45-22:00,0,0,0,31.7,0,1.37,0,31.7,28.82,8.65,0,31.7,20.17,19.21,50,0,0,0,0,48.04,26.9,31.7,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,269,0.58,0,28.82,16.33,831.3300000000002

89,22:00-22:15,0,0,0,27.86,0,1.47,0,31.7,28.82,8.65,0,27.86,20.17,19.21,0,0,0,0,0,48.04,26.9,27.86,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,288.21,0.48,0,28.82,16.33,789.0200000000002

90,22:15-22:30,0,0,0,27.86,0,1.47,0,31.7,28.82,8.65,0,27.86,20.17,19.21,0,0,0,0,0,48.04,26.9,27.86,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,288.21,0.48,0,28.82,16.33,789.0200000000002

91,22:30-22:45,0,0,0,27.86,0,1.47,0,31.7,28.82,8.65,0,27.86,20.17,19.21,0,0,0,0,0,48.04,26.9,27.86,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,288.21,0.48,0,28.82,16.33,789.0200000000002

92,22:45-23:00,0,0,0,27.86,0,1.47,0,31.7,28.82,8.65,0,27.86,20.17,19.21,0,0,0,0,0,48.04,26.9,27.86,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,288.21,0.48,0,28.82,16.33,789.0200000000002

93,23:00-23:15,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,288.21,0.48,0,28.82,16.33,777.5000000000001

94,23:15-23:30,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,288.21,0.48,0,28.82,16.33,777.5000000000001

95,23:30-23:45,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,288.21,0.48,0,28.82,16.33,777.5000000000001

96,23:45-24:00,0,0,0,24.02,0,1.47,0,31.7,28.82,8.65,0,24.02,20.17,19.21,0,0,0,0,0,48.04,26.9,24.02,0,48.04,30,50,0,0,0,0,0,0,5.76,38.43,0,14.41,288.21,0.48,0,28.82,16.33,777.5000000000001

