Time,Block,NR/2023/11956/F,NR/2023/11342/A,NR/2023/12045/C,NR/2023/11957/F,NR/2023/10344/A,NR/2023/11961/F,NR/2023/12050/C,NR/2023/10434/A,NR/2023/11958/F,NR/2023/10229/A,NR/2023/11955/F,NR/2023/11952/F,NR/2023/11941/F,NR/2023/12041/D,NR/2023/11947/F,NR/2023/11862/F,NR/2023/11962/F,NR/2023/11476/A,NR/2023/10236/A,NR/2023/11963/F,NR/2023/11960/F,NR/2023/10487/A,NR/2023/10613/A,NR/2023/11959/F,NR/2023/12040/D,NR/2023/12039/D,NR/2023/12035/D,Total
86,21:15-21:30,0.370000,115.980000,31.660000,0.720000,12.250000,0.700000,11.080000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,134.150000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,790.75

87,21:30-21:45,0.370000,115.980000,31.660000,0.720000,12.250000,0.700000,11.080000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,134.150000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,790.75

88,21:45-22:00,0.370000,115.980000,31.660000,0.720000,12.250000,0.700000,11.080000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,83.000000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,0.000000,0.640000,0,0,0,739.6

89,22:00-22:15,0.370000,115.980000,29.100000,0.720000,12.250000,0.700000,11.160000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,78.540000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,745.32

90,22:15-22:30,0.370000,115.980000,29.100000,0.720000,12.250000,0.700000,11.160000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,78.260000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,745.04

91,22:30-22:45,0.370000,115.980000,29.100000,0.720000,12.250000,0.700000,11.160000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,78.260000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,745.04

92,22:45-23:00,0.370000,115.980000,29.100000,0.720000,12.250000,0.700000,11.160000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,78.260000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,745.04

93,23:00-23:15,0.370000,115.980000,29.100000,0.720000,12.250000,0.700000,11.260000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,78.260000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,745.14

94,23:15-23:30,0.370000,115.980000,29.100000,0.720000,12.250000,0.700000,11.260000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,67.080000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,733.96

95,23:30-23:45,0.370000,115.980000,29.100000,0.720000,12.250000,0.700000,11.260000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,67.080000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,733.96

96,23:45-24:00,0.370000,115.980000,29.100000,0.720000,12.250000,0.700000,11.260000,24.160000,0.560000,42.970000,0.360000,36.470000,62.820000,67.080000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,733.96

