Time,Block,ER/2023/7979/C,NR/2023/10561/A,NR/2023/13056/D,NR/2023/10436/A,NR/2023/13061/C,NR/2023/10956/A,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12916/F,NR/2023/12956/F,NR/2023/12814/F,NR/2023/12921/F,NR/2023/10432/A,NR/2023/12872/F,NR/2023/11447/A,NR/2023/12919/F,NR/2023/10720/A,NR/2023/12813/F,SR/2023/5843/C,NR/2023/11709/A,NR/2023/12922/F,NR/2023/10460/A,NR/2023/10959/A,ER/2023/7974/C,SR/2023/5842/C,NR/2023/13058/D,NR/2023/11266/A,NR/2023/13059/C,NR/2023/13085/C,NR/2023/11712/A,ER/2023/7955/C,NR/2023/13067/C,NR/2023/10488/A,NR/2023/12661/A,NR/2023/10651/A,NR/2023/12915/F,NR/2023/13080/C,NR/2023/12706/A,NR/2023/11953/A,NR/2023/12169/A,NR/2023/13074/C,NR/2023/11507/A,NR/2023/12923/F,NR/2023/10435/A,NR/2023/13070/C,NR/2023/12920/F,NR/2023/10947/A,NR/2023/12917/F,NR/2023/12906/F,NR/2023/13057/D,Total
43,10:30-10:45,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,4.39,0.000000,75,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.370000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,24.190000,175,1670.92

44,10:45-11:00,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,4.83,0.000000,78.9,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.370000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,24.190000,184.1,1684.36

45,11:00-11:15,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,5.18,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.370000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1733.21

46,11:15-11:30,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,6.05,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.370000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1734.08

47,11:30-11:45,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,6.05,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.370000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1734.08

48,11:45-12:00,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,6.14,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.370000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1734.17

49,12:00-12:15,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,6.05,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.270000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1733.98

50,12:15-12:30,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,6.05,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.270000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1733.98

51,12:30-12:45,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,6.05,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.270000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1733.98

52,12:45-13:00,100.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,6.13,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.270000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1734.06

53,13:00-13:15,100.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,6.92,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.180000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1735.77

54,13:15-13:30,100.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,7.89,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.180000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1736.74

55,13:30-13:45,100.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,8.61,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.180000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1737.46

56,13:45-14:00,100.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,90.940000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,0.000000,0.00,7.74,0.000000,78.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,59.840000,6.770000,0.000000,0.000000,17.180000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,184.1,1736.59

57,14:00-14:15,100.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,0.000000,0.00,7.43,17.200000,78,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,42.640000,6.770000,0.000000,0.000000,17.090000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,182,1771.83

58,14:15-14:30,100.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,0.000000,0.00,7.43,17.200000,78,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,42.640000,6.770000,0.000000,0.000000,17.090000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,182,1771.83

59,14:30-14:45,0.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,6.92,17.200000,73.5,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,42.640000,6.770000,0.000000,0.000000,17.090000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,171.5,1756.32

60,14:45-15:00,0.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,6.68,17.200000,69.3,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,42.640000,6.770000,0.000000,0.000000,17.090000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,161.7,1742.08

61,15:00-15:15,0.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,6.29,36.710000,65.7,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,17.180000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,153.3,1729.78

62,15:15-15:30,0.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,6.05,36.710000,63,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,17.180000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,147,1720.54

63,15:30-15:45,0.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,6.1,36.710000,57.9,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,17.180000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,135.1,1703.59

64,15:45-16:00,0.000000,48.380000,40.250000,24.190000,30.570000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,5.18,36.710000,51.6,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,17.180000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,120.4,1681.67

65,16:00-16:15,0.000000,48.380000,40.250000,24.190000,33.630000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,4.31,36.710000,47.1,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,18.100000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,109.9,1669.78

66,16:15-16:30,0.000000,48.380000,40.250000,24.190000,33.630000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,3.97,36.710000,43.2,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,18.100000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,100.8,1656.44

67,16:30-16:45,0.000000,48.380000,40.250000,24.190000,33.630000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,3.97,36.710000,39,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,18.100000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,91,1642.44

68,16:45-17:00,0.000000,48.380000,40.250000,24.190000,33.630000,100.140000,0.420000,106.420000,0.350000,4.840000,78.370000,0.660000,43.540000,0.970000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.690000,23.220000,25.040000,100.000000,0.00,3.62,36.710000,33.6,10.000000,64.340000,29.210000,30.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,18.100000,300.400000,0.420000,24.190000,8.500000,0.660000,0.000000,0.710000,24.190000,78.4,1624.09

69,17:00-17:15,0.000000,48.380000,40.250000,24.190000,33.630000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,100.000000,0.00,3.44,36.710000,27,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,17.270000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,63,1446.9

70,17:15-17:30,0.000000,48.380000,40.250000,24.190000,33.630000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,100.000000,0.00,2.56,36.710000,18.9,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,17.270000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,44.1,1419.02

71,17:30-17:45,0.000000,48.380000,95.780000,24.190000,33.630000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,100.000000,0.00,1.6,36.710000,15.3,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,17.270000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,35.7,1461.59

72,17:45-18:00,0.000000,48.380000,116.100000,24.190000,33.630000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,100.000000,0.00,0.92,36.710000,13.2,0.000000,64.340000,29.210000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,0.000000,0.000000,17.270000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,30.8,1474.23

73,18:00-18:15,0.000000,48.380000,143.670000,24.190000,31.590000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,100.000000,0.00,0,36.710000,10.2,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,36.500000,0.000000,17.450000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,23.8,1496.31

74,18:15-18:30,0.000000,48.380000,143.670000,24.190000,31.590000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,100.000000,0.00,0,36.710000,6,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,36.500000,0.000000,17.450000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,14,1482.31

75,18:30-18:45,0.000000,48.380000,143.670000,24.190000,31.590000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,100.000000,0.00,0,36.710000,3,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,36.500000,0.000000,17.450000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,7,1472.31

76,18:45-19:00,0.000000,48.380000,143.670000,24.190000,31.590000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.680000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,100.000000,0.00,0,59.840000,1.5,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.450000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,3.5,1467.31

77,19:00-19:15,0.000000,48.380000,143.670000,24.190000,31.590000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.730000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.550000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,0,1432.46

78,19:15-19:30,0.000000,48.380000,143.670000,24.190000,31.590000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.730000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.550000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,0,1432.46

79,19:30-19:45,0.000000,48.380000,143.670000,24.190000,31.590000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.730000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.550000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,0,1432.46

80,19:45-20:00,0.000000,48.380000,143.670000,24.190000,31.590000,100.140000,0.420000,48.380000,0.350000,4.840000,78.370000,0.660000,43.540000,0.730000,14.960000,0.560000,23.700000,62.890000,0.00,0.000000,0.690000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.550000,300.400000,0.420000,24.190000,0.000000,0.660000,0.000000,0.710000,0.000000,0,1432.46

81,20:00-20:15,0.000000,48.380000,143.670000,24.190000,29.560000,100.140000,0.420000,48.380000,0.370000,4.840000,78.370000,0.640000,43.540000,0.770000,14.960000,0.560000,23.700000,62.890000,50.00,0.000000,0.700000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.640000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1480.56

82,20:15-20:30,0.000000,48.380000,143.670000,24.190000,29.560000,100.140000,0.420000,48.380000,0.370000,4.840000,78.370000,0.640000,43.540000,0.770000,14.960000,0.560000,23.700000,62.890000,50.00,0.000000,0.700000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.640000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1480.56

83,20:30-20:45,0.000000,48.380000,143.670000,24.190000,29.560000,100.140000,0.420000,48.380000,0.370000,4.840000,78.370000,0.640000,43.540000,0.770000,14.960000,0.560000,23.700000,62.890000,50.00,0.000000,0.700000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.640000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1480.56

84,20:45-21:00,0.000000,48.380000,143.670000,24.190000,29.560000,100.140000,0.420000,48.380000,0.370000,4.840000,78.370000,0.640000,43.540000,0.770000,14.960000,0.560000,23.700000,62.890000,50.00,0.000000,0.700000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.640000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1480.56

85,21:00-21:15,0.000000,48.380000,120.940000,24.190000,29.560000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.770000,14.960000,0.560000,23.700000,62.890000,50.00,0.000000,0.700000,23.220000,25.040000,70.000000,0.00,0,36.710000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,36.500000,0.000000,17.730000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1501.45

86,21:15-21:30,0.000000,48.380000,119.290000,24.190000,29.560000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.770000,14.960000,0.560000,23.700000,62.890000,50.00,0.000000,0.700000,23.220000,25.040000,70.000000,0.00,0,36.710000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,36.500000,0.000000,17.730000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1499.8

87,21:30-21:45,0.000000,48.380000,95.780000,24.190000,29.560000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.770000,14.960000,0.560000,23.700000,62.890000,50.00,0.000000,0.700000,23.220000,25.040000,70.000000,0.00,0,36.710000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,36.500000,0.000000,17.730000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1476.29

88,21:45-22:00,0.000000,48.380000,40.250000,24.190000,29.560000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.770000,14.960000,0.560000,23.700000,62.890000,50.00,0.000000,0.700000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,0.000000,17.730000,300.400000,0.420000,24.190000,0.000000,0.640000,0.000000,0.720000,0.000000,0,1420.76

89,22:00-22:15,0.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.730000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,70.000000,100.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,65.020000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1585.82

90,22:15-22:30,0.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.730000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,70.000000,100.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,65.020000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1585.82

91,22:30-22:45,0.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.730000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,70.000000,100.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,65.020000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1585.82

92,22:45-23:00,0.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.730000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,70.000000,100.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,65.020000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1585.82

93,23:00-23:15,0.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.630000,14.960000,0.560000,23.700000,62.890000,100.00,23.160000,0.700000,23.220000,25.040000,70.000000,0.00,0,59.840000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,0.000000,6.770000,36.500000,65.020000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1585.72

94,23:15-23:30,0.000000,48.380000,40.250000,24.190000,28.530000,100.140000,0.420000,91.910000,0.370000,4.840000,78.370000,0.640000,43.540000,0.630000,14.960000,0.560000,23.700000,62.890000,100.00,23.160000,0.700000,23.220000,25.040000,70.000000,0.00,0,36.710000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,23.130000,6.770000,36.500000,65.020000,17.820000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1585.72

