Column1,Block,NR/2025/33637/A/100026,NR/2025/33633/A/100028,NR/2025/33632/A/100030,GNARE/NR/2024/12/20/3668,NR/2025/34402/C,NR/2025/34403/C,NR/2025/34404/C,NR/2025/34424/C,NR/2025/34417/C,NR/2025/34427/C,NR/2025/34420/C,NR/2025/34454/C,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,NR/2025/34438/C,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/34439/C,NR/2025/31421/A/100354,NR/2025/32004/A/100266,NR/2025/29440/A/99843,NR/2025/34078/A/99913,NR/2025/32556/A/100263,NR/2025/32375/A/100351,NR/2025/31045/A/100302,NR/2025/34247/A/100296,NR/2025/31043/A/100301,NR/2025/32397/A/99829,NR/2025/31048/A/100303,NR/2025/31049/A/100304,NR/2025/32559/A/100261,NR/2025/34445/C,NR/2025/32610/A/100260,NR/2025/32455/A/100424,NR/2025/29992/A/100136,NR/2025/32262/A/100166,NR/2025/34263/A/100307,NR/2025/32532/A/100284,NR/2025/32535/A/100289,NR/2025/32532/A/100283,NR/2025/32534/A/100287,NR/2025/32535/A/100290,NR/2025/32534/A/100288,NR/2025/32599/A/100046,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/2414,Total
56,13:45-14:00,1.64,1.44,1.15,84.33,163.56,0,0,43.73,76.6,37.18,43.73,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.46,0.19,0.48,0.29,0.31,0.38,161,20.44,15.25,20.76,40.89,1389.5900000000004

57,14:00-14:15,1.64,1.44,1.15,77.31,163.56,96.21,96.21,43.73,76.6,37.18,43.73,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.46,0.19,0.48,0.29,0.31,0.38,161,20.44,15.25,20.76,40.89,1574.9900000000002

58,14:15-14:30,1.64,1.44,1.15,70.37,163.56,96.21,96.21,43.73,76.6,37.18,43.73,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.52,0.19,0.48,0.29,0.35,0.38,158,20.44,15.25,20.76,40.89,1565.15

59,14:30-14:45,1.64,1.44,1.15,55.96,163.56,96.21,96.21,43.73,76.6,37.18,43.73,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.89,0.19,0.48,0.29,0.54,0.63,147,20.44,15.25,20.76,40.89,1540.5500000000004

60,14:45-15:00,1.64,1.44,1.15,50.61,163.56,96.21,96.21,43.73,76.6,37.18,43.73,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.88,0.19,0.48,0.29,0.62,0.62,140,20.44,15.25,20.76,40.89,1528.26

61,15:00-15:15,1.64,1.44,1.15,52.68,163.56,96.21,96.21,43.73,76.6,37.18,43.73,10.77,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.67,133,20.44,15.25,20.76,40.89,1525.4700000000005

62,15:15-15:30,1.64,1.44,1.15,49.51,163.56,96.21,96.21,43.73,76.6,37.18,43.73,10.77,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.77,126,20.44,15.25,20.76,40.89,1515.4000000000003

63,15:30-15:45,1.64,1.44,1.15,46.19,163.56,96.21,96.21,43.73,76.6,37.18,43.73,10.77,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.77,119,20.44,15.25,20.76,40.89,1505.0800000000004

64,15:45-16:00,1.64,1.44,1.15,43.13,163.56,96.21,96.21,43.73,76.6,37.18,43.73,10.77,19.24,81.78,0,0,20.44,8.66,8.66,17.32,48.1,81.78,0,48.1,0,0,0.96,13.47,0,0,0,0,0,0,0,0,0,192.42,0,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.77,112,20.44,15.25,20.76,40.89,1495.0200000000002

65,16:00-16:15,0,0,0,47.95,0,0,0,0,0,0,0,10.77,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,0,0,96.21,43.73,192.42,37.18,0,44.26,0,81.78,0.96,0.19,0.48,0.29,0.67,0.77,105,20.44,15.25,20.76,40.89,1488.5200000000007

66,16:15-16:30,0,0,0,43.96,0,0,0,0,0,0,0,10.77,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,0,0,96.21,43.73,192.42,37.18,0,44.26,0,81.78,0.82,0.19,0.48,0.29,0.58,0.65,95,20.44,15.25,20.76,40.89,1474.1800000000005

67,16:30-16:45,0,0,0,49.99,0,0,0,0,0,0,0,10.77,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,0,0,96.21,43.73,192.42,37.18,0,44.26,0,81.78,0.5,0.19,0.48,0.29,0.35,0.4,84,20.44,15.25,20.76,40.89,1468.4100000000005

68,16:45-17:00,0,0,0,44.91,0,0,0,0,0,0,0,8.81,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,0,0,96.21,43.73,192.42,37.18,0,44.26,0,81.78,0.38,0.19,0.48,0.29,0.27,0.31,74,20.44,15.25,20.76,40.89,1451.0800000000006

69,17:00-17:15,0,0,0,13.33,0,0,0,0,0,0,0,8.16,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,0,44.26,0,81.78,0.29,0.19,0.48,0.29,0.2,0.23,74,20.44,15.25,20.76,40.89,1427.2700000000004

70,17:15-17:30,0,0,0,12.67,0,0,0,0,0,0,0,7.88,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,0,44.26,0,81.78,0.2,0.19,0.48,0.29,0.12,0.15,63,20.44,15.25,20.76,40.89,1415.0800000000004

71,17:30-17:45,0,0,0,11.67,0,0,0,0,0,0,0,7.7,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,0,44.26,0,81.78,0.11,0.19,0.48,0.29,0.06,0.08,53,20.44,15.25,20.76,40.89,1403.68

72,17:45-18:00,0,0,0,11,0,0,0,0,0,0,0,7.76,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,81.78,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,0,44.26,0,81.78,0.01,0.19,0.48,0.29,0,0,42,20.44,15.25,20.76,40.89,1391.8300000000004

73,18:00-18:15,0,0,0,10,0,0,0,0,0,0,0,8.58,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,0,81.78,0,0.14,0.38,0.22,0,0,32,20.44,0,20.76,40.89,1346.9200000000003

74,18:15-18:30,0,0,0,8.33,0,0,0,0,0,0,0,6.23,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,0,81.78,0,0.11,0.27,0.16,0,0,21,20.44,0,20.76,40.89,1331.7

75,18:30-18:45,0,0,0,5.19,0,0,0,0,0,0,0,4.07,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,0,81.78,0,0.07,0.16,0.1,0,0,11,20.44,0,20.76,40.89,1316.19

76,18:45-19:00,0,0,0,1.85,0,0,0,0,0,0,0,2.61,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.87,13.47,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,0,81.78,0,0.02,0.05,0.03,0,0,5,20.44,0,20.76,40.89,1305.16

77,19:00-19:15,0,0,0,0.33,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,0,81.78,0,0,0,0,0,0,1,20.44,0,20.76,40.89,1283.5

78,19:15-19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,0,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1282.17

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,0,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1282.17

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,0,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1282.17

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1336.29

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1336.29

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1336.29

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,76.6,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1336.29

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.52

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.52

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.52

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.52

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.52

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.52

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.52

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.91,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.52

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.87,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.48

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.87,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.48

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.87,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.48

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.87,0,43.73,48.1,96.21,163.56,0,8.66,0,96.21,43.73,192.42,37.18,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,0,20.76,40.89,1365.48

