Time,Block,NR/2023/12872/F,NR/2023/10959/A,NR/2023/13483/C,NR/2023/11709/A,NR/2023/12813/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/13477/C,NR/2023/12922/F,NR/2023/12924/F,NR/2023/11712/A,NR/2023/11447/A,NR/2023/12917/F,NR/2023/13151/F,NR/2023/12919/F,NR/2023/13315/F,NR/2023/12706/A,NR/2023/13463/D,NR/2023/12661/A,NR/2023/10651/A,NR/2023/13480/C,NR/2023/12923/F,NR/2023/11953/A,NR/2023/10786/A,NR/2023/10561/A,NR/2023/10720/A,NR/2023/12169/A,NR/2023/10460/A,NR/2023/12814/F,NR/2023/10432/A,NR/2023/10435/A,NR/2023/12921/F,NR/2023/13459/D,NR/2023/12916/F,NR/2023/10436/A,NR/2023/13455/D,NR/2023/13424/D,NR/2023/13454/D,NR/2023/11266/A,NR/2023/13456/D,NR/2023/10947/A,NR/2023/13469/C,NR/2023/10488/A,NR/2023/10956/A,NR/2023/12920/F,Total
48,11:45-12:00,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.310000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,182,24.180000,78,0.000000,7.74,0.000000,30.000000,48.360000,85.080000,0.980000,1508.16

49,12:00-12:15,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.220000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,182,24.180000,78,0.000000,7.74,0.000000,30.000000,48.360000,85.080000,0.980000,1508.07

50,12:15-12:30,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.220000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,182,24.180000,78,0.000000,7.74,0.000000,30.000000,48.360000,85.080000,0.980000,1508.07

51,12:30-12:45,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.220000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,182,24.180000,78,0.000000,8.51,0.000000,30.000000,48.360000,85.080000,0.980000,1508.84

52,12:45-13:00,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.220000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,182,24.180000,78,0.000000,8.51,0.000000,30.000000,48.360000,85.080000,0.980000,1508.84

53,13:00-13:15,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,182,24.180000,78,0.000000,8.51,0.000000,30.000000,48.360000,85.080000,0.980000,1508.75

54,13:15-13:30,0.970000,21.270000,28.530000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,182,24.180000,78,0.000000,8.8,0.000000,30.000000,48.360000,85.080000,0.980000,1509.04

55,13:30-13:45,0.970000,21.270000,31.590000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,178.5,24.180000,76.5,0.000000,9.17,0.000000,30.000000,48.360000,85.080000,0.980000,1507.47

56,13:45-14:00,0.970000,21.270000,31.590000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,50.850000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,90.920000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,38.690000,0.520000,24.180000,175,24.180000,75,0.000000,8.8,0.000000,30.000000,48.360000,85.080000,0.980000,1502.1

57,14:00-14:15,0.970000,21.270000,31.590000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,33.650000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,171.5,24.180000,73.5,17.200000,8.66,0.000000,0.000000,48.360000,85.080000,0.980000,1507.51

58,14:15-14:30,0.970000,21.270000,31.590000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,33.650000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,168,24.180000,72,17.200000,8.66,0.000000,0.000000,48.360000,85.080000,0.980000,1502.51

59,14:30-14:45,0.970000,21.270000,31.590000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,33.650000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,161,24.180000,69,17.200000,8.61,0.000000,0.000000,48.360000,85.080000,0.980000,1492.46

60,14:45-15:00,0.970000,21.270000,31.590000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,33.650000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,154,24.180000,66,17.200000,8.51,0.000000,0.000000,48.360000,85.080000,0.980000,1482.36

61,15:00-15:15,0.970000,21.270000,31.590000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,143.5,24.180000,61.5,36.700000,8.51,0.000000,0.000000,48.360000,85.080000,0.980000,1467.36

62,15:15-15:30,0.970000,21.270000,31.590000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,140,24.180000,60,36.700000,7.74,0.000000,0.000000,48.360000,85.080000,0.980000,1461.59

63,15:30-15:45,0.970000,21.270000,31.590000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,130.9,24.180000,56.1,36.700000,6.87,0.000000,0.000000,48.360000,85.080000,0.980000,1447.72

64,15:45-16:00,0.970000,21.270000,31.590000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.130000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,124.6,24.180000,53.4,36.700000,6,0.000000,0.000000,48.360000,85.080000,0.980000,1437.85

65,16:00-16:15,0.970000,21.270000,33.630000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.220000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,112,24.180000,48,36.700000,5.13,0.000000,0.000000,48.360000,85.080000,0.980000,1421.11

66,16:15-16:30,0.970000,21.270000,33.630000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.220000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,102.9,24.180000,44.1,36.700000,4.26,0.000000,0.000000,48.360000,85.080000,0.980000,1407.24

67,16:30-16:45,0.970000,21.270000,33.630000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.220000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,91,24.180000,39,36.700000,3.29,0.000000,0.000000,48.360000,85.080000,0.980000,1389.27

68,16:45-17:00,0.970000,21.270000,33.630000,23.150000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.220000,0.610000,0.000000,106.390000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,40.620000,0.520000,24.180000,84,24.180000,36,36.700000,2.51,0.000000,0.000000,48.360000,85.080000,0.980000,1378.49

69,17:00-17:15,0.680000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.310000,0.610000,0.000000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,70,0.000000,30,36.700000,2.51,0.000000,0.000000,48.360000,85.080000,0.980000,1212.31

70,17:15-17:30,0.680000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.310000,0.610000,0.000000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,52.5,0.000000,22.5,36.700000,1.64,0.000000,0.000000,48.360000,85.080000,0.980000,1186.44

71,17:30-17:45,0.680000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.310000,0.610000,0.000000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,44.1,0.000000,18.9,36.700000,1.55,0.000000,0.000000,48.360000,85.080000,0.980000,1174.35

72,17:45-18:00,0.680000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,23.800000,33.850000,63.110000,14.310000,0.610000,0.000000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,38.5,0.000000,16.5,36.700000,0.68,0.000000,0.000000,48.360000,85.080000,0.980000,1165.48

73,18:00-18:15,0.680000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,68.870000,33.850000,63.110000,14.400000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,31.5,0.000000,13.5,36.700000,0.48,0.000000,0.000000,48.360000,85.080000,0.980000,1236.93

74,18:15-18:30,0.680000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,113.950000,33.850000,63.110000,14.400000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,28,0.000000,12,36.700000,0,0.000000,0.000000,48.360000,85.080000,0.980000,1276.53

75,18:30-18:45,0.680000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.970000,4.840000,6.770000,146.060000,33.850000,63.110000,14.400000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,21,0.000000,9,36.700000,0,0.000000,0.000000,48.360000,85.080000,0.980000,1298.64

76,18:45-19:00,0.680000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.970000,4.840000,6.770000,146.060000,33.850000,63.110000,14.400000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,21,0.000000,9,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.980000,1298.64

77,19:00-19:15,0.730000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.970000,4.840000,6.770000,146.060000,33.850000,63.110000,14.500000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,14,0.000000,6,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.980000,1288.79

78,19:15-19:30,0.730000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.970000,4.840000,6.770000,146.060000,33.850000,63.110000,14.500000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,7,0.000000,3,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.980000,1278.79

79,19:30-19:45,0.730000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.970000,4.840000,6.770000,146.060000,33.850000,63.110000,14.500000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.980000,1268.79

80,19:45-20:00,0.730000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.970000,4.840000,6.770000,146.060000,33.850000,63.110000,14.500000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.980000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.980000,1268.79

81,20:00-20:15,0.770000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,146.060000,33.850000,63.110000,14.590000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1268.77

82,20:15-20:30,0.770000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,146.060000,33.850000,63.110000,14.590000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1268.77

83,20:30-20:45,0.770000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,146.060000,33.850000,63.110000,14.590000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1268.77

84,20:45-21:00,0.770000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,140.420000,33.850000,63.110000,14.590000,0.610000,36.490000,48.360000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1263.13

85,21:00-21:15,0.770000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.920000,4.840000,6.770000,113.950000,33.850000,63.110000,14.680000,0.610000,36.490000,91.880000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,36.700000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1280.27

86,21:15-21:30,0.770000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,0.000000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.920000,4.840000,6.770000,68.870000,33.850000,63.110000,14.680000,0.610000,36.490000,91.880000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,36.700000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1235.19

87,21:30-21:45,0.770000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,19.340000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,36.490000,91.880000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,36.700000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1209.46

88,21:45-22:00,0.770000,21.270000,33.630000,0.000000,62.870000,0.370000,255.260000,97.690000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.680000,0.610000,36.490000,91.880000,48.360000,23.700000,0.000000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,0.000000,0.000000,48.360000,85.080000,0.930000,1287.81

89,22:00-22:15,0.730000,21.270000,32.610000,23.150000,62.870000,0.370000,255.260000,82.210000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,36.490000,91.880000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1371.88

90,22:15-22:30,0.730000,21.270000,32.610000,23.150000,62.870000,0.370000,255.260000,178.930000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,36.490000,91.880000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1468.6

91,22:30-22:45,0.730000,21.270000,32.610000,23.150000,62.870000,0.370000,255.260000,277.590000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,36.490000,91.880000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1567.26

92,22:45-23:00,0.730000,21.270000,32.610000,23.150000,62.870000,0.370000,255.260000,358.830000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,36.490000,91.880000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1648.5

93,23:00-23:15,0.630000,21.270000,32.610000,23.150000,62.870000,0.370000,255.260000,416.860000,1.020000,0.610000,64.320000,12.710000,0.920000,0.000000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,36.490000,91.880000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,50.850000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1706.43

94,23:15-23:30,0.630000,21.270000,32.610000,23.150000,62.870000,0.370000,255.260000,429.440000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,36.490000,91.880000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,36.700000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1719.01

95,23:30-23:45,0.630000,21.270000,32.610000,23.150000,62.870000,0.370000,255.260000,428.470000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,36.490000,91.880000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,36.700000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1718.04

96,23:45-24:00,0.630000,21.270000,32.610000,23.150000,62.870000,0.370000,255.260000,418.800000,1.020000,0.610000,64.320000,12.710000,0.920000,14.150000,0.920000,4.840000,6.770000,23.800000,33.850000,63.110000,14.770000,0.610000,36.490000,91.880000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,36.700000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1708.37

