Column1,Block,NR/2025/32454/C,NR/2025/32350/C,NR/2025/32434/C,NR/2025/32435/C,NR/2025/30084/A/92487,NR/2025/32430/C,NR/2025/32448/C,NR/2025/32442/C,NR/2025/30086/A/92486,NR/2025/32413/C,NR/2025/32446/C,NR/2025/32444/C,NR/2025/29985/A/92150,NR/2025/31419/A/92480,NR/2025/31138/A/92456,NR/2025/31420/A/92478,NR/2025/31138/A/92457,NR/2025/31347/A/92016,NR/2025/31136/A/92454,NR/2025/31137/A/92684,NR/2025/31136/A/92453,GNARE/NR/2024/12/20/3668,NR/2025/31137/A/92458,NR/2025/32351/C,GNA/NR/2025/07/01/8154,NR/2025/30067/A/92559,NR/2025/30105/A/92485,NR/2025/32457/C,NR/2025/32459/C,NR/2025/29992/A/92107,NR/2025/28728/A/92688,NR/2025/27975/A/92689,NR/2025/30083/A/92488,NR/2025/27973/A/92690,NR/2025/30082/A/92548,GNA/NR/2025/07/01/8139,NR/2025/29915/A/92310,NR/2025/32451/C,NR/2025/29628/A/92493,NR/2025/30217/A/92484,NR/2025/32452/C,NR/2025/29910/A/92491,NR/30092023/26122029/SH-06,NR/2025/30121/A/92019,NR/2025/31780/A/92148,NR/2025/27978/A/92555,NR/2025/29167/A/92312,NR/2025/31870/A/92077,NR/2025/32449/C,NR/2025/29353/A/92526,NR/2025/29439/A/92112,NR/2025/29440/A/91975,NR/2025/29352/A/92528,NR/2025/32449/C/Alternate/1,NR/2025/30191/A/92017,NR/2025/30101/A/92547,NR/2025/32396/C,NR/2025/32401/C,GNA/NR/2025/07/16/5917,NR/2025/27965/A/92692,NR/2025/32402/C,NR/2025/27966/A/92691,GNA/NR/2025/07/23/7329,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
41,10:00-10:15,7.85,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,151,1.45,0.19,1.64,0.62,9.64,0.96,0.7,0.48,39.54,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1785

42,10:15-10:30,7.85,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,158,1.45,0.19,1.64,0.62,9.64,0.96,0.7,0.48,42.59,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1795.0500000000002

43,10:30-10:45,11.56,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,158,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,49.06,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1805.3500000000004

44,10:45-11:00,12.84,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,161,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,51.29,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1811.8600000000001

45,11:00-11:15,14.11,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,158,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,50.6,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1809.44

46,11:15-11:30,15.56,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,154,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,53.5,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1809.79

47,11:30-11:45,16.93,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,158,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,45.29,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1806.9500000000003

48,11:45-12:00,18.22,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,158,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,46.72,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.94,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.94,43.8,19.28,192.76,15.28,0,17.8,1809.67

49,12:00-12:15,19.4,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,168,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,48.33,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.95,43.8,19.28,192.76,15.28,0,17.8,1822.4800000000002

50,12:15-12:30,19.7,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,168,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,48.33,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.95,43.8,19.28,192.76,15.28,0,17.8,1822.78

51,12:30-12:45,19.96,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,168,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,35,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.95,43.8,19.28,192.76,15.28,0,17.8,1809.7100000000003

52,12:45-13:00,20.24,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,168,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,36.67,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.95,43.8,19.28,192.76,15.28,0,17.8,1811.66

53,13:00-13:15,8.83,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,175,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,48.33,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.95,43.8,19.28,192.76,15.28,0,17.98,1819.0900000000001

54,13:15-13:30,8.83,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,175,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,47.53,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.95,43.8,19.28,192.76,15.28,0,17.98,1818.2900000000004

55,13:30-13:45,8.83,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,179,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,52.81,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.95,43.8,19.28,192.76,15.28,0,17.98,1827.5700000000002

56,13:45-14:00,8.83,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,175,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,50.88,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,0,96.38,0,0,0,159.03,26.95,43.8,19.28,192.76,15.28,0,17.98,1821.6400000000003

57,14:00-14:15,8.83,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,168,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,49.32,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,96.38,96.38,0,96.38,0,159.03,26.95,43.8,19.28,192.76,15.28,0,18.17,2006.0300000000007

58,14:15-14:30,8.83,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,161,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,47.88,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,96.38,96.38,0,96.38,0,159.03,26.95,43.8,19.28,192.76,15.28,0,18.17,1997.5900000000006

59,14:30-14:45,8.83,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,165,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,43.88,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,96.38,96.38,0,96.38,0,159.03,26.95,43.8,19.28,192.76,15.28,0,18.17,1997.5900000000006

60,14:45-15:00,8.83,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,165,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,43.69,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,96.38,96.38,0,96.38,0,159.03,26.95,43.8,19.28,192.76,15.28,0,18.17,1997.4000000000005

61,15:00-15:15,10.78,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,161,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,31.67,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,96.38,96.38,0,96.38,0,159.03,26.95,43.8,19.28,192.76,15.28,0,18.45,1983.6100000000004

62,15:15-15:30,10.78,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,151,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,30.67,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,96.38,96.38,0,96.38,0,159.03,26.95,43.8,19.28,192.76,15.28,0,18.45,1972.6100000000004

63,15:30-15:45,10.78,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,140,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,35.59,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,96.38,96.38,0,96.38,0,159.03,26.95,43.8,19.28,192.76,15.28,0,18.45,1966.5300000000004

64,15:45-16:00,10.78,6.75,76.74,16.62,0,96.38,37.24,14.6,0,0.96,29.2,43.8,130,1.45,0.19,1.64,0.67,9.64,0.96,0.77,0.48,34.38,0.29,48.19,20.79,0,0,44.33,7.71,0,0,0,0,0,0,0,0,96.38,0,0,48.19,0,26.95,0,0,0,0,13.49,192.76,96.38,0,0,33.73,0,0,0,48.19,96.38,96.38,0,96.38,0,159.03,26.95,43.8,19.28,192.76,15.28,0,18.45,1955.3200000000004

65,16:00-16:15,10.78,0,0,0,43.8,0,0,0,37.24,0,0,0,112,0,0.19,0,0.67,9.64,0.96,0.77,0.48,43.23,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,26.95,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.96,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.95,43.8,19.28,192.76,15.28,0,18.73,2103.4300000000003

66,16:15-16:30,10.78,0,0,0,43.8,0,0,0,37.24,0,0,0,102,0,0.19,0,0.67,9.64,0.96,0.77,0.48,42.18,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,26.95,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.96,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.95,43.8,19.28,192.76,15.28,0,18.73,2092.38

67,16:30-16:45,10.78,0,0,0,43.8,0,0,0,37.24,0,0,0,91,0,0.19,0,0.67,9.64,0.96,0.77,0.48,44.85,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,26.95,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.96,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.95,43.8,19.28,192.76,15.28,0,18.73,2084.05

68,16:45-17:00,8.83,0,0,0,43.8,0,0,0,37.24,0,0,0,81,0,0.19,0,0.62,9.64,0.89,0.71,0.48,42.81,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,26.95,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.96,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.95,43.8,19.28,192.76,15.28,0,18.73,2069.88

69,17:00-17:15,8.17,0,0,0,43.8,0,0,0,37.24,0,0,0,70,0,0.19,0,0.57,0,0.81,0.65,0.48,38.42,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,26.95,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.95,43.8,19.28,192.76,15.28,0,18.73,2043.9100000000003

70,17:15-17:30,7.89,0,0,0,43.8,0,0,0,37.24,0,0,0,60,0,0.19,0,0.52,0,0.74,0.6,0.48,34.92,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,26.95,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.95,43.8,19.28,192.76,15.28,0,18.73,2029.96

71,17:30-17:45,7.71,0,0,0,43.8,0,0,0,37.24,0,0,0,49,0,0.19,0,0.39,0,0.55,0.44,0.48,35.67,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,26.95,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.95,43.8,19.28,192.76,15.28,0,18.73,2019.0500000000002

72,17:45-18:00,7.71,0,0,0,43.8,0,0,0,37.24,0,0,0,39,0,0.19,0,0.22,0,0.38,0.3,0.48,32.67,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,26.95,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.95,43.8,19.28,192.76,15.28,0,18.73,2005.5700000000002

73,18:00-18:15,7.71,0,0,0,32.22,0,0,0,27.39,0,0,0,28,0,0.19,0,0.16,0,0.27,0.21,0.48,29,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,29.5,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.41,43.8,0,192.76,0,0,19.01,1936.9400000000003

74,18:15-18:30,4.08,0,0,0,32.22,0,0,0,27.39,0,0,0,18,0,0.19,0,0.1,0,0.15,0.13,0.48,20.49,0.29,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,16.62,29.5,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.41,43.8,0,192.76,0,0,19.01,1914.5400000000002

75,18:30-18:45,4.08,0,0,0,32.22,0,0,0,27.39,0,0,0,7,0,0.15,0,0.03,0,0.05,0.04,0.38,10.92,0.22,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.41,43.8,0,192.76,0,0,19.01,1896.16

76,18:45-19:00,2.61,0,0,0,32.22,0,0,0,27.39,0,0,0,5,0,0.08,0,0,0,0,0,0.2,5.99,0.12,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.87,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,26.41,43.8,0,192.76,0,0,19.01,1887.2900000000002

77,19:00-19:15,0,0,0,0,27.69,0,0,0,23.55,0,0,0,1,0,0,0,0,0,0,0,0,3.43,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.92,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,24.6,43.8,0,192.76,0,0,19.01,1867.5900000000001

78,19:15-19:30,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,0,13.49,192.76,96.38,25.14,0.92,33.73,0,48.19,48.19,0,0,96.38,0,0,96.38,159.03,24.6,43.8,0,192.76,0,0,19.01,1864.63

79,19:30-19:45,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,0,13.49,171.44,96.38,25.14,0.92,33.73,21.32,48.19,48.19,0,0,96.38,0,0,96.38,159.03,17.43,43.8,0,192.76,0,0,19.01,1856.3500000000006

80,19:45-20:00,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,0,13.49,166.55,96.38,25.14,0.92,33.73,26.21,48.19,48.19,0,0,96.38,0,0,96.38,159.03,17.43,43.8,0,192.76,0,0,19.01,1855.9900000000005

81,20:00-20:15,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,166.1,96.38,25.14,0.92,33.73,26.66,48.19,48.19,0,0,96.38,0,0,96.38,159.03,24.6,43.8,0,192.76,0,0,19.01,1917.3700000000003

82,20:15-20:30,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,165.52,96.38,25.14,0.92,33.73,27.24,48.19,48.19,0,0,96.38,0,0,96.38,159.03,24.6,43.8,0,192.76,0,0,19.01,1917.3700000000003

83,20:30-20:45,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,116.71,96.38,25.14,0.92,33.73,76.05,48.19,48.19,0,0,96.38,0,0,96.38,159.03,24.6,43.8,0,192.76,0,0,19.01,1917.3700000000003

84,20:45-21:00,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,76.74,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,115.96,96.38,25.14,0.92,33.73,76.8,48.19,48.19,0,0,96.38,0,0,96.38,159.03,24.6,43.8,0,192.76,0,0,19.01,1917.3700000000003

85,21:00-21:15,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,118.4,96.38,25.14,0.92,33.73,74.36,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.73,1951.2700000000002

86,21:15-21:30,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,115.41,96.38,25.14,0.92,33.73,77.35,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.73,1951.2700000000002

87,21:30-21:45,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.73,1951.2700000000002

88,21:45-22:00,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.73,1951.2700000000002

89,22:00-22:15,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.45,1950.9900000000002

90,22:15-22:30,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,13.49,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.45,1950.9900000000002

91,22:30-22:45,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.45,1950.0300000000002

92,22:45-23:00,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.45,1950.0300000000002

93,23:00-23:15,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.45,1950.0300000000002

94,23:15-23:30,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.45,1950.0300000000002

95,23:30-23:45,0,0,0,0,27.69,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,29.2,0,0,44.33,96.38,96.38,14.6,0,48.19,0,0,0,106.02,7.71,0,19.28,29.5,6.75,134.93,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,0,0,96.38,159.03,29.5,43.8,0,192.76,0,0,18.45,1950.0300000000002

