Time,Block,NR/2024/19677/A/17285,NR/2024/19679/A/17292,NR/2024/19337/A/17390,NR/2024/19043/A/17310,NR/2024/18935/A/17242,NR/2024/19172/A/18029,NR/2024/19942/C,NR/2024/18978/A/17256,NR/2024/18976/A/17253,NR/2024/19609/A/17880,NR/2024/19484/A/17918,NR/2024/19787/A/17734,NR/2024/19946/C,NR/2024/19245/A/17391,NR/2024/19945/C,NR/2024/18977/A/17255,NR/2024/18996/A/17862,NR/2024/18986/A/17335,NR/2024/19290/A/18028,NR/2024/19485/A/17916,NR/2024/18919/A/17883,NR/2024/19483/A/17920,NR/2024/19469/A/17389,NR/2024/18934/A/17241,NR/2024/19916/C,NR/2024/19656/A/17388,NR/2024/18936/A/17243,NR/2024/19075/A/17302,NR/2024/19121/A/17459,NR/2024/19739/A/17396,NR/2024/19030/A/17316,NR/2024/18855/A/17460,NR/2024/19914/C,NR/2024/19115/A/17299,NR/2024/19764/A/17813,NR/2024/19143/A/17297,NR/2024/19024/A/17392,NR/2024/19936/C,NR/2024/19963/C,NR/2024/19929/C,NR/2024/19928/C,NR/2024/19727/A/17572,NR/2024/19622/A/17267,NR/2024/19726/A/17576,NR/2024/19944/C,NR/2024/19913/C,Total
47,11:30-11:45,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,3.870000,4.830000,62.820000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,763.47

48,11:45-12:00,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,0.000000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,3.870000,4.830000,62.820000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.31,763.78

49,12:00-12:15,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.5,858.67

50,12:15-12:30,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.75,858.92

51,12:30-12:45,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.84,859.01

52,12:45-13:00,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.94,859.11

53,13:00-13:15,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,9.06,859.23

54,13:15-13:30,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,9.08,859.25

55,13:30-13:45,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.99,859.16

56,13:45-14:00,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.84,859.01

57,14:00-14:15,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.5,858.67

58,14:15-14:30,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.36,858.53

59,14:30-14:45,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8.12,858.29

60,14:45-15:00,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.970000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,1.930000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,7.83,858

61,15:00-15:15,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.720000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,2.900000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,7.34,858.23

62,15:15-15:30,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.720000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,2.900000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,7.1,857.99

63,15:30-15:45,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.720000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,2.900000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,6.57,857.46

64,15:45-16:00,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,14.500000,39.620000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.720000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,2.900000,6.760000,19.330000,0.000000,0.000000,19.330000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,6.04,856.93

65,16:00-16:15,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.720000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,2.900000,6.760000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,5.61,763.72

66,16:15-16:30,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.720000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,2.900000,6.760000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,5.32,763.43

67,16:30-16:45,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.720000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,2.900000,6.760000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4.49,762.6

68,16:45-17:00,0.000000,0.000000,1.930000,46.390000,5.800000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,57.980000,48.320000,0.720000,67.650000,37.330000,0.000000,12.450000,1.930000,4.830000,62.820000,2.900000,6.760000,0.000000,0.000000,0.000000,0.000000,66.870000,52.570000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,3.33,761.44

69,17:00-17:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,0.000000,48.320000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,62.820000,2.900000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,109.200000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2.42,695.36

70,17:15-17:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,0.000000,48.320000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,62.820000,2.900000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,109.200000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.85,694.79

71,17:30-17:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,0.000000,48.320000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,62.820000,2.900000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,109.200000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.21,694.15

72,17:45-18:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,48.320000,0.000000,1.930000,0.000000,0.000000,48.320000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,62.820000,2.900000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,109.200000,0.000000,72.480000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.86,693.8

73,18:00-18:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.53,544.64

74,18:15-18:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.24,544.35

75,18:30-18:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.1,544.21

76,18:45-19:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,0.000000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,544.11

77,19:00-19:15,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,48.320000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,2.000000,4.830000,44.450000,0.000000,0.000000,0.000000,193.280000,0.000000,0.000000,0,0,928.8

78,19:15-19:30,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,48.320000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,2.000000,4.830000,49.290000,0.000000,0.000000,0.000000,193.280000,0.000000,0.000000,0,0,933.64

79,19:30-19:45,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,48.320000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,2.000000,4.830000,55.080000,0.000000,0.000000,0.000000,193.280000,0.000000,0.000000,0,0,939.43

80,19:45-20:00,0.000000,0.000000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,1.930000,48.320000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,2.000000,4.830000,69.580000,0.000000,0.000000,0.000000,193.280000,0.000000,0.000000,0,0,953.93

81,20:00-20:15,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,0.000000,1.930000,48.320000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,2.000000,4.830000,29.960000,0.000000,193.280000,193.280000,193.280000,96.640000,0.000000,0,0,1687.43

82,20:15-20:30,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,0.000000,1.930000,48.320000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,2.000000,4.830000,39.620000,0.000000,193.280000,193.280000,193.280000,96.640000,0.000000,0,0,1697.09

83,20:30-20:45,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,0.000000,1.930000,48.320000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,2.000000,4.830000,45.420000,0.000000,193.280000,193.280000,193.280000,96.640000,0.000000,0,0,1702.89

84,20:45-21:00,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,0.000000,1.930000,48.320000,0.000000,0.000000,0.680000,67.650000,37.330000,0.000000,12.450000,1.930000,0.000000,26.090000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,167.190000,0.000000,0.000000,2.000000,4.830000,63.780000,0.000000,193.280000,193.280000,193.280000,96.640000,0.000000,0,0,1721.25

85,21:00-21:15,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,23.190000,1.930000,96.640000,0.000000,0.000000,0.680000,45.090000,37.330000,0.000000,12.450000,1.930000,0.000000,42.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,150.080000,0.000000,0.000000,2.000000,4.830000,46.390000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,45.23,0,1788.08

86,21:15-21:30,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,24.160000,1.930000,96.640000,0.000000,0.000000,0.680000,45.090000,37.330000,0.000000,12.450000,1.930000,0.000000,42.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,150.080000,0.000000,0.000000,2.000000,4.830000,55.080000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,44.36,0,1796.87

87,21:30-21:45,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,24.160000,1.930000,96.640000,0.000000,0.000000,0.680000,45.090000,37.330000,0.000000,12.450000,1.930000,0.000000,42.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,150.080000,0.000000,0.000000,2.000000,4.830000,48.320000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,44.36,0,1790.11

88,21:45-22:00,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,24.160000,1.930000,96.640000,0.000000,0.000000,0.680000,45.090000,37.330000,0.000000,12.450000,1.930000,0.000000,42.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.870000,150.080000,0.000000,0.000000,2.000000,4.830000,38.660000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,46,0,1782.09

89,22:00-22:15,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,24.160000,1.930000,96.640000,0.000000,0.000000,0.680000,45.090000,37.330000,9.660000,12.450000,1.930000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,108.820000,0.000000,0.000000,2.000000,4.830000,48.320000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,46,0,1771.75

90,22:15-22:30,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,24.160000,1.930000,96.640000,0.000000,0.000000,0.680000,45.090000,37.330000,9.660000,12.450000,1.930000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,108.820000,0.000000,0.000000,2.000000,4.830000,57.020000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,46.87,0,1781.32

91,22:30-22:45,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,25.130000,1.930000,96.640000,0.000000,0.000000,0.680000,45.090000,37.330000,9.660000,12.450000,1.930000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,108.820000,0.000000,0.000000,2.000000,4.830000,59.920000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,47.64,0,1785.96

92,22:45-23:00,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,25.130000,1.930000,96.640000,0.000000,0.000000,0.680000,45.090000,37.330000,9.660000,12.450000,1.930000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,47.350000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,49.29,0,1718.79

93,23:00-23:15,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,25.130000,1.930000,96.640000,0.000000,0.000000,0.630000,45.090000,37.330000,9.660000,12.450000,1.930000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,58.950000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,49.29,0,1730.34

94,23:15-23:30,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,26.090000,1.930000,96.640000,0.000000,0.000000,0.630000,45.090000,37.330000,9.660000,12.450000,1.930000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,52.190000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,50.16,0,1725.41

95,23:30-23:45,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,26.090000,1.930000,96.640000,0.000000,0.000000,0.630000,45.090000,37.330000,9.660000,12.450000,1.930000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,53.150000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,50.16,0,1726.37

96,23:45-24:00,96.640000,96.640000,1.930000,0.000000,0.000000,77.310000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,26.090000,1.930000,96.640000,0.000000,0.000000,0.630000,45.090000,37.330000,9.660000,12.450000,1.930000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,57.980000,31.310000,193.280000,193.280000,193.280000,96.640000,0.000000,50.16,0,1731.2

