Time,Block,NR/2023/13431/C,NR/2023/11712/A,NR/2023/13423/C,NR/2023/13416/D,NR/2023/12923/F,NR/2023/12920/F,NR/2023/12916/F,NR/2023/12921/F,NR/2023/10956/A,NR/2023/10488/A,NR/2023/10561/A,NR/2023/10959/A,NR/2023/13151/F,NR/2023/13417/D,NR/2023/12917/F,NR/2023/12915/F,NR/2023/12924/F,NR/2023/10720/A,NR/2023/12169/A,NR/2023/13448/C,NR/2023/13444/C,NR/2023/12706/A,NR/2023/10460/A,NR/2023/13411/D,NR/2023/13447/C,NR/2023/11953/A,NR/2023/13427/C,NR/2023/12919/F,NR/2023/10947/A,NR/2023/11266/A,NR/2023/11447/A,NR/2023/12872/F,NR/2023/12661/A,NR/2023/10651/A,NR/2023/13429/C,NR/2023/13415/D,NR/2023/13442/C,SR/2023/6114/C,NR/2023/12813/F,NR/2023/10786/A,NR/2023/10436/A,NR/2023/10432/A,NR/2023/11507/A,NR/2023/12956/F,NR/2023/12922/F,NR/2023/13443/C,NR/2023/10435/A,NR/2023/13412/D,NR/2023/11709/A,NR/2023/12814/F,Total
44,10:45-11:00,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,14.1,0.000000,6.770000,23.210000,5.13,32.9,0.000000,0.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.680000,57,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,133,0.000000,85.600000,1452.92

45,11:00-11:15,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,15.3,0.000000,6.770000,23.210000,6.38,35.7,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.590000,57.6,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,134.4,0.000000,85.600000,1490.08

46,11:15-11:30,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,18.9,0.000000,6.770000,23.210000,6.67,44.1,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.590000,57.6,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,134.4,0.000000,85.600000,1502.37

47,11:30-11:45,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,7.25,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.590000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,140,0.000000,85.600000,1502.95

48,11:45-12:00,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,7.74,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.590000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,140,0.000000,85.600000,1503.44

49,12:00-12:15,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,8.12,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.500000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,140,0.000000,85.600000,1503.73

50,12:15-12:30,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,8.22,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.500000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,140,0.000000,85.600000,1503.83

51,12:30-12:45,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,8.32,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.500000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,140,0.000000,85.600000,1503.93

52,12:45-13:00,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,8.41,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.500000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,140,0.000000,85.600000,1504.02

53,13:00-13:15,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,8.51,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.400000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,140,0.000000,85.600000,1504.02

54,13:15-13:30,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,8.51,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.400000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,28.530000,24.180000,140,0.000000,85.600000,1504.02

55,13:30-13:45,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,8.51,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.400000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,140,0.000000,85.600000,1507.08

56,13:45-14:00,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,50.850000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,16.5,0.000000,6.770000,23.210000,8.51,38.5,0.000000,30.000000,0.970000,0.000000,0.000000,12.710000,0.970000,38.690000,63.110000,14.400000,60,0.000000,0.00,62.870000,90.920000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,140,0.000000,85.600000,1507.08

57,14:00-14:15,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,33.650000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,13.63,0.000000,6.770000,23.210000,8.57,31.82,0.000000,0.000000,0.970000,0.000000,17.200000,12.710000,0.970000,38.690000,63.110000,14.400000,60,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,140,23.150000,85.600000,1506.21

58,14:15-14:30,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,33.650000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,13.63,0.000000,6.770000,23.210000,8.57,31.82,0.000000,0.000000,0.970000,0.000000,17.200000,12.710000,0.970000,38.690000,63.110000,14.400000,60,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,140,23.150000,85.600000,1506.21

59,14:30-14:45,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,33.650000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,15,0.000000,6.770000,23.210000,8.57,35,0.000000,0.000000,0.970000,0.000000,17.200000,12.710000,0.970000,38.690000,63.110000,14.400000,57,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,133,23.150000,85.600000,1500.76

60,14:45-15:00,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,33.650000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,15,0.000000,6.770000,23.210000,8.51,35,0.000000,0.000000,0.970000,0.000000,17.200000,12.710000,0.970000,38.690000,63.110000,14.400000,54,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,126,23.150000,85.600000,1490.7

61,15:00-15:15,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,17.1,0.000000,6.770000,23.210000,8.51,39.9,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.970000,38.690000,63.110000,14.400000,49.5,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,115.5,23.150000,85.600000,1482.7

62,15:15-15:30,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,17.1,0.000000,6.770000,23.210000,8.22,39.9,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.970000,38.690000,63.110000,14.400000,47.4,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,110.6,23.150000,85.600000,1475.41

63,15:30-15:45,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,21,0.000000,6.770000,23.210000,7.74,49,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.970000,38.690000,63.110000,14.400000,45,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,105,23.150000,85.600000,1479.93

64,15:45-16:00,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,33.850000,0.920000,0.370000,0.610000,23.700000,0.000000,15,0.000000,6.770000,23.210000,7.25,35,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.970000,38.690000,63.110000,14.400000,42,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,31.590000,24.180000,98,23.150000,85.600000,1449.44

65,16:00-16:15,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,34.820000,0.920000,0.370000,0.610000,23.700000,0.000000,12.6,0.000000,6.770000,23.210000,6.29,29.4,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.970000,38.690000,63.110000,14.500000,39,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,91,23.150000,85.600000,1433.59

66,16:15-16:30,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,34.820000,0.920000,0.370000,0.610000,23.700000,0.000000,10.8,0.000000,6.770000,23.210000,5.32,25.2,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.970000,38.690000,63.110000,14.500000,36,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,84,23.150000,85.600000,1416.62

67,16:30-16:45,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,34.820000,0.920000,0.370000,0.610000,23.700000,0.000000,12,0.000000,6.770000,23.210000,3.87,28,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.970000,38.690000,63.110000,14.500000,30,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,70,23.150000,85.600000,1399.17

68,16:45-17:00,0.000000,64.320000,24.180000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,34.820000,0.920000,0.370000,0.610000,23.700000,0.000000,10.5,0.000000,6.770000,23.210000,2.8,24.5,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.970000,38.690000,63.110000,14.500000,27,0.000000,0.00,62.870000,106.390000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,63,23.150000,85.600000,1383.1

69,17:00-17:15,0.000000,64.320000,0.000000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,7.5,0.000000,6.770000,23.210000,2.51,17.5,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.680000,38.690000,63.110000,14.500000,22.5,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,52.5,0.000000,85.600000,1217.34

70,17:15-17:30,0.000000,64.320000,0.000000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,5.4,0.000000,6.770000,23.210000,1.64,12.6,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.680000,38.690000,63.110000,14.500000,19.2,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,44.8,0.000000,85.600000,1198.47

71,17:30-17:45,0.000000,64.320000,0.000000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,6.3,0.000000,6.770000,23.210000,1.55,14.7,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.680000,38.690000,63.110000,14.500000,13.5,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,31.5,0.000000,85.600000,1182.38

72,17:45-18:00,0.000000,64.320000,0.000000,23.800000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,6,0.000000,6.770000,23.210000,0.68,14,0.000000,0.000000,0.970000,0.000000,36.700000,12.710000,0.680000,38.690000,63.110000,14.500000,10.5,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,24.5,0.000000,85.600000,1170.51

73,18:00-18:15,0.000000,64.320000,0.000000,68.870000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,6,0.000000,6.770000,23.210000,0.48,14,36.490000,0.000000,0.970000,0.000000,36.700000,12.710000,0.680000,38.690000,63.110000,14.590000,7.5,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,17.5,0.000000,85.600000,1241.96

74,18:15-18:30,0.000000,64.320000,0.000000,113.950000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,6,0.000000,6.770000,23.210000,0,14,36.490000,0.000000,0.970000,0.000000,36.700000,12.710000,0.680000,38.690000,63.110000,14.590000,6,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,14,0.000000,85.600000,1281.56

75,18:30-18:45,0.000000,64.320000,0.000000,146.060000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,4.5,0.000000,6.770000,23.210000,0,10.5,36.490000,0.000000,0.970000,0.000000,36.700000,12.710000,0.680000,38.690000,63.110000,14.590000,4.5,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,10.5,0.000000,85.600000,1303.67

76,18:45-19:00,0.000000,64.320000,0.000000,146.060000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,6,0.000000,6.770000,23.210000,0,14,36.490000,0.000000,0.970000,0.000000,50.850000,12.710000,0.680000,38.690000,63.110000,14.590000,3,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,7,0.000000,85.600000,1303.67

77,19:00-19:15,0.000000,64.320000,0.000000,146.060000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,4.5,0.000000,6.770000,23.210000,0,10.5,36.490000,0.000000,0.970000,0.000000,50.850000,12.710000,0.730000,38.690000,63.110000,14.680000,1.5,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,3.5,0.000000,85.600000,1293.81

78,19:15-19:30,0.000000,64.320000,0.000000,146.060000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,2.4,0.000000,6.770000,23.210000,0,5.6,36.490000,0.000000,0.970000,0.000000,50.850000,12.710000,0.730000,38.690000,63.110000,14.680000,0.6,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,1.4,0.000000,85.600000,1283.81

79,19:30-19:45,0.000000,64.320000,0.000000,146.060000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.970000,0.000000,50.850000,12.710000,0.730000,38.690000,63.110000,14.680000,0,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1273.81

80,19:45-20:00,0.000000,64.320000,0.000000,146.060000,0.610000,0.980000,0.520000,0.980000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.970000,0.000000,50.850000,12.710000,0.730000,38.690000,63.110000,14.680000,0,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1273.81

81,20:00-20:15,0.000000,64.320000,0.000000,146.060000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,0.000000,50.850000,12.710000,0.770000,38.690000,63.110000,14.770000,0,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1273.79

82,20:15-20:30,0.000000,64.320000,0.000000,146.060000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,0.000000,50.850000,12.710000,0.770000,38.690000,63.110000,14.770000,0,0.000000,0.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1273.79

83,20:30-20:45,0.000000,64.320000,0.000000,146.060000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,0.000000,50.850000,12.710000,0.770000,38.690000,63.110000,14.770000,0,0.000000,70.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1343.79

84,20:45-21:00,0.000000,64.320000,0.000000,140.420000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,0.000000,50.850000,12.710000,0.770000,38.690000,63.110000,14.770000,0,0.000000,20.00,62.870000,48.360000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1288.15

85,21:00-21:15,0.000000,64.320000,0.000000,113.950000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,0.000000,36.700000,12.710000,0.770000,38.690000,63.110000,14.870000,0,0.000000,50.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1335.3

86,21:15-21:30,0.000000,64.320000,0.000000,68.870000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,0.000000,36.700000,12.710000,0.770000,38.690000,63.110000,14.870000,0,0.000000,50.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1290.22

87,21:30-21:45,59.000000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,0.000000,36.700000,12.710000,0.770000,38.690000,63.110000,14.870000,0,0.000000,50.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1304.15

88,21:45-22:00,148.950000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,0.000000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,0.000000,50.850000,12.710000,0.770000,38.690000,63.110000,14.870000,0,0.000000,50.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,33.630000,24.180000,0,0.000000,85.600000,1394.1

89,22:00-22:15,150.880000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,23.210000,50.850000,12.710000,0.730000,38.690000,63.110000,14.960000,0,0.000000,0.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,32.610000,24.180000,0,23.150000,85.600000,1445.58

90,22:15-22:30,243.730000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,23.210000,50.850000,12.710000,0.730000,38.690000,63.110000,14.960000,0,0.000000,0.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,32.610000,24.180000,0,23.150000,85.600000,1538.43

91,22:30-22:45,200.210000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,62.870000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,23.210000,50.850000,12.710000,0.730000,38.690000,63.110000,14.960000,0,0.000000,0.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,32.610000,24.180000,0,23.150000,85.600000,1557.78

92,22:45-23:00,157.650000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,87.050000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,23.210000,50.850000,12.710000,0.730000,38.690000,63.110000,14.960000,0,51.260000,0.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,32.610000,24.180000,0,23.150000,85.600000,1590.66

93,23:00-23:15,364.630000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,0.000000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,43.520000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,23.210000,50.850000,12.710000,0.630000,38.690000,63.110000,15.050000,0,0.000000,0.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,32.610000,24.180000,0,23.150000,85.600000,1702.84

94,23:15-23:30,326.910000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,87.050000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,23.210000,36.700000,12.710000,0.630000,38.690000,63.110000,15.050000,0,19.340000,0.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,32.610000,24.180000,0,23.150000,85.600000,1727.99

95,23:30-23:45,299.830000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,14.150000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,87.050000,6.770000,23.210000,0,0,36.490000,0.000000,0.920000,23.210000,36.700000,12.710000,0.630000,38.690000,63.110000,15.050000,0,51.260000,0.00,62.870000,91.880000,24.180000,43.520000,255.260000,4.840000,1.020000,32.610000,24.180000,0,23.150000,85.600000,1732.83

