Time,Block,NR/2024/18919/A/16556,NR/2024/19483/A/16678,NR/2024/19290/A/16714,NR/2024/19596/C,NR/2024/18986/A/15951,NR/2024/18936/A/16005,NR/2024/19075/A/15988,NR/2024/19469/A/16066,NR/2024/19601/C,NR/2024/19245/A/16068,NR/2024/19577/C,NR/2024/19115/A/15986,NR/2024/19024/A/16069,NR/2024/19121/A/16092,NR/2024/19485/A/16680,NR/2024/19604/C,NR/2024/19582/C,NR/2024/19337/A/16067,NR/2024/19607/C,NR/2024/18935/A/16004,NR/2024/19594/C,NR/2024/18977/A/16062,NR/2024/19606/C,NR/2024/19598/C,NR/2024/19484/A/16679,NR/2024/18976/A/16021,NR/2024/19610/C,NR/2024/18978/A/16023,NR/2024/18934/A/16001,NR/2024/19030/A/16003,NR/2024/19043/A/15996,NR/2024/19143/A/15984,NR/2024/19602/C,NR/2024/18855/A/16093,NR/2024/18996/A/16578,NR/2024/19172/A/16715,NR/2024/19581/C,Total
59,14:30-14:45,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,6.01,787.84

60,14:45-15:00,0.000000,12.430000,67.570000,0.000000,0.970000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,5.14,786.97

61,15:00-15:15,0.000000,12.430000,67.570000,0.000000,0.720000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,3.95,785.53

62,15:15-15:30,0.000000,12.430000,67.570000,0.000000,0.720000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,4.41,785.99

63,15:30-15:45,0.000000,12.430000,67.570000,0.000000,0.720000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,6.3,787.88

64,15:45-16:00,0.000000,12.430000,67.570000,0.000000,0.720000,6.760000,19.310000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,44.980000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,39.580000,0.000000,14.480000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,5.98,787.56

65,16:00-16:15,0.000000,12.430000,67.570000,0.000000,0.720000,6.760000,0.000000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,4.67,720.41

66,16:15-16:30,0.000000,12.430000,67.570000,0.000000,0.720000,6.760000,0.000000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,3.92,719.66

67,16:30-16:45,0.000000,12.430000,67.570000,0.000000,0.720000,6.760000,0.000000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,3.07,718.81

68,16:45-17:00,0.000000,12.430000,67.570000,0.000000,0.720000,6.760000,0.000000,1.930000,0.000000,1.930000,0.000000,48.260000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,0.000000,5.790000,0.000000,57.920000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,4.830000,0.000000,46.330000,0.000000,0.000000,66.790000,48.260000,115.840000,2.39,718.13

69,17:00-17:15,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,108.690000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,48.260000,115.840000,2.21,604.2

70,17:15-17:30,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,108.690000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,48.260000,115.840000,2.07,604.06

71,17:30-17:45,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,108.690000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,48.260000,115.840000,1.48,603.47

72,17:45-18:00,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,108.690000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,48.260000,115.840000,0.9,602.89

73,18:00-18:15,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,0.000000,115.840000,0.52,556.9

74,18:15-18:30,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,0.000000,115.840000,0.18,556.56

75,18:30-18:45,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,0.000000,115.840000,0,556.38

76,18:45-19:00,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,0.000000,115.840000,0,556.38

77,19:00-19:15,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,558.38

78,19:15-19:30,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,558.38

79,19:30-19:45,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,558.38

80,19:45-20:00,0.000000,12.430000,67.570000,0.000000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,0.000000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,558.38

81,20:00-20:15,0.000000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,48.260000,0.000000,43.440000,0.000000,59.850000,0.000000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,1250.5

82,20:15-20:30,0.000000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,48.260000,0.000000,43.440000,0.000000,62.740000,0.000000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,1253.39

83,20:30-20:45,0.000000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,48.260000,0.000000,43.440000,0.000000,67.570000,0.000000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,1258.22

84,20:45-21:00,0.000000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,48.260000,0.000000,43.440000,0.000000,79.150000,0.000000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,66.790000,0.000000,115.840000,0,1269.8

85,21:00-21:15,0.000000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,48.260000,0.000000,43.440000,0.000000,95.560000,0.000000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1358.61

86,21:15-21:30,0.000000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,48.260000,0.000000,43.440000,0.000000,98.460000,0.000000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1361.51

87,21:30-21:45,0.000000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,48.260000,0.000000,43.440000,0.000000,98.460000,0.000000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1361.51

88,21:45-22:00,0.000000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,0.000000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,111.340000,1.930000,48.260000,0.000000,43.440000,0.000000,101.360000,0.000000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1364.41

89,22:00-22:15,9.650000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,39.580000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,108.690000,1.930000,48.260000,0.000000,43.440000,0.000000,111.010000,51.160000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1471.8

90,22:15-22:30,9.650000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,39.580000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,108.690000,1.930000,48.260000,0.000000,43.440000,0.000000,107.150000,51.160000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1467.94

91,22:30-22:45,9.650000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,39.580000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,108.690000,1.930000,48.260000,0.000000,43.440000,0.000000,102.320000,51.160000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1463.11

92,22:45-23:00,9.650000,12.430000,67.570000,289.590000,0.680000,0.000000,0.000000,1.930000,39.580000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,43.440000,0.000000,99.430000,51.160000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1404.04

93,23:00-23:15,9.650000,12.430000,67.570000,289.590000,0.630000,0.000000,0.000000,1.930000,39.580000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,43.440000,0.000000,122.590000,51.160000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1427.15

94,23:15-23:30,9.650000,12.430000,67.570000,289.590000,0.630000,0.000000,0.000000,1.930000,39.580000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,43.440000,0.000000,111.970000,51.160000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1416.53

95,23:30-23:45,9.650000,12.430000,67.570000,289.590000,0.630000,0.000000,0.000000,1.930000,39.580000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,43.440000,0.000000,103.290000,51.160000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1407.85

96,23:45-24:00,9.650000,12.430000,67.570000,289.590000,0.630000,0.000000,0.000000,1.930000,39.580000,1.930000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,43.440000,0.000000,93.630000,51.160000,37.290000,0.000000,33.790000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1398.19

