Column1,Block,NR/2025/29628/A/91580,NR/2025/29353/A/91659,NR/2025/29915/A/91162,NR/2025/29352/A/91660,NR/2025/30086/A/91573,NR/2025/30084/A/91574,NR/2025/31870/A/91256,NR/2025/29910/A/91578,NR/2025/30067/A/91646,NR/2025/32127/C,NR/2025/32173/C,NR/2025/29440/A/91114,NR/2025/31780/A/91303,NR/2025/29992/A/91260,NR/2025/30082/A/91695,NR/2025/30083/A/91575,NR/2025/28728/A/91628,GNARE/NR/2024/12/20/3668,NR/2025/30105/A/91572,NR/2025/32240/C,NR/2025/32255/C,NR/2025/32126/C,NR/2025/32242/C,NR/2025/30101/A/91687,NR/2025/27966/A/91616,NR/2025/27978/A/91691,NR/2025/32197/C,NR/2025/32194/C,NR/2025/30217/A/91571,NR/2025/32238/C,NR/2025/32240/C/Alternate/1,NR/2025/29167/A/91163,NR/2025/29439/A/91278,NR/2025/32245/C,NR/2025/32229/C,NR/2025/32185/C,NR/2025/32212/C,NR/2025/27975/A/91618,NR/2025/32243/C,NR/2025/32252/C,NR/2025/32253/C,NR/2025/27973/A/91617,NR/2025/30121/A/91142,NR/2025/32256/C,NR/2025/27965/A/91615,NR/2025/32257/C,NR/30092023/31122025/SH-07,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/1192,NR/2025/32335/C,GNA/NR/2025/07/01/8139,NR/2025/30191/A/91144,NR/2025/31136/A/91638,NR/2025/31136/A/91639,NR/2025/31138/A/91643,NR/2025/32249/C,NR/2025/31419/A/91346,NR/2025/29985/A/91304,NR/2025/31137/A/91640,NR/2025/31347/A/91145,NR/2025/31137/A/91641,NR/2025/31420/A/91345,NR/2025/31138/A/91642,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,GNA/NR/2025/07/25/1179,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,Total
40,09:45-10:00,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,64.79,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,7.82,0,151,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1654.7900000000004

41,10:00-10:15,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,69.57,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,7.82,1.44,161,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1671.0100000000002

42,10:15-10:30,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,73.94,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,7.82,1.44,168,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1682.3800000000006

43,10:30-10:45,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,83.68,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,11.52,1.44,175,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1702.8200000000006

44,10:45-11:00,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,85.83,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,12.8,1.44,182,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1713.2500000000005

45,11:00-11:15,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,90.32,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,14.07,1.44,189,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1726.0100000000002

46,11:15-11:30,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,91.28,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,15.51,1.44,189,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1728.4100000000003

47,11:30-11:45,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,94,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0.48,0.96,0.67,16.89,1.44,189,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1732.5100000000007

48,11:45-12:00,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,94,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.75,134.79,81.69,0,0,0,0,0,0,0,18.16,0,0,0,0,0,0,0,20.73,163.39,15.23,26.75,0,17.29,43.68,19.22,1528.7400000000002

49,12:00-12:15,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,94,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0,0,0,19.35,0,0,0,0,0,0,0,20.73,163.39,15.23,26.8,0,17.29,43.68,19.22,1530.03

50,12:15-12:30,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,94,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,20.73,163.39,15.23,26.8,0,17.29,43.68,19.22,1530.3200000000004

51,12:30-12:45,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,94,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,20.73,163.39,15.23,26.8,0,17.29,43.68,19.22,1530.5800000000002

52,12:45-13:00,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,94,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0,0,0,20.18,0,179,0,0,0,0,0,20.73,163.39,15.23,26.8,0,17.29,43.68,19.22,1709.8600000000004

53,13:00-13:15,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,94,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0,0,0,8.8,0,172,0,0,0,0,0,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1685.9600000000003

54,13:15-13:30,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,92.98,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0,0,0,8.8,0,172,0,0,0,0,0,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1684.9400000000003

55,13:30-13:45,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,100,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0,0,0,8.8,0,161,0,0,0,0,0,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1680.9600000000003

56,13:45-14:00,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,100,0,192.22,29.12,48.06,0,0,0,0,0,0,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0,0,0,8.8,0,158,0,0,0,0,0,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1677.9600000000003

57,14:00-14:15,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,100,0,192.22,29.12,48.06,0,0,0,0,96.11,96.11,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0.48,0.96,0.67,8.8,1.44,182,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1910.2200000000005

58,14:15-14:30,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,100,0,192.22,29.12,48.06,0,0,0,0,96.11,96.11,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0.48,0.96,0.67,8.8,1.44,182,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1910.2200000000005

59,14:30-14:45,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,80,0,192.22,29.12,48.06,0,0,0,0,96.11,96.11,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0.48,0.96,0.67,8.8,1.44,175,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1883.2200000000005

60,14:45-15:00,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,78.33,0,192.22,29.12,48.06,0,0,0,0,96.11,96.11,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0.48,0.96,0.67,8.8,1.44,168,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1874.5500000000004

61,15:00-15:15,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,72.06,0,192.22,29.12,48.06,0,0,0,0,96.11,96.11,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0.48,0.96,0.67,10.75,1.44,147,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1849.2300000000002

62,15:15-15:30,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,66.83,0,192.22,29.12,48.06,0,0,0,0,96.11,96.11,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0.48,0.96,0.67,10.75,1.44,140,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1837.0000000000007

63,15:30-15:45,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,57.83,0,192.22,29.12,48.06,0,0,0,0,96.11,96.11,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0.48,0.96,0.67,10.75,1.44,130,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1818.0000000000007

64,15:45-16:00,0,81.69,0,28.59,0,0,13.46,0,0,6.73,48.06,0,0,0,0,0,0,52.84,0,192.22,29.12,48.06,0,0,0,0,96.11,96.11,0,76.52,0,0,0,96.11,44.21,81.69,0.96,0,16.57,14.56,43.68,0,0,7.69,0,37.14,26.8,134.79,81.69,0,0,0,0,0.48,0.96,0.67,10.75,1.44,119,0.29,9.61,0.77,1.63,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1802.0100000000004

65,16:00-16:15,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.96,134.55,44.21,48.06,14.56,81.69,48.55,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.8,134.79,81.69,0,0,0,48.06,0.48,0.96,0.67,10.75,0,105,0.29,9.61,0.77,0,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1940.2699999999998

66,16:15-16:30,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.96,134.55,44.21,48.06,14.56,81.69,44.36,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.8,134.79,81.69,0,0,0,48.06,0.48,0.96,0.67,10.75,0,95,0.29,9.61,0.77,0,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1926.0799999999997

67,16:30-16:45,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.96,134.55,44.21,48.06,14.56,81.69,42.38,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.8,134.79,81.69,0,0,0,48.06,0.48,0.96,0.67,10.75,0,88,0.29,9.61,0.77,0,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1917.0999999999997

68,16:45-17:00,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.96,134.55,44.21,48.06,14.56,81.69,38.51,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.8,134.79,81.69,0,0,0,48.06,0.48,0.86,0.61,8.8,0,77,0.29,9.61,0.77,0,0.19,20.73,163.39,15.23,26.8,0,11.77,43.68,19.22,1900.1199999999992

69,17:00-17:15,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.86,134.55,44.21,48.06,14.56,81.69,37.97,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.8,134.79,81.69,0,0,0,48.06,0.48,0.6,0.42,8.15,0,67,0.29,0,0.77,0,0.19,20.73,163.39,15.23,26.8,0,18.21,43.68,19.22,1885.2099999999998

70,17:15-17:30,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.86,134.55,44.21,48.06,14.56,81.69,33.57,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.8,134.79,81.69,0,0,0,48.06,0.48,0.35,0.24,7.87,0,56,0.29,0,0.77,0,0.19,20.73,163.39,15.23,26.8,0,18.21,43.68,19.22,1869.0999999999997

71,17:30-17:45,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.86,134.55,44.21,48.06,14.56,81.69,24.16,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.8,134.79,81.69,0,0,0,48.06,0.48,0.54,0.37,7.69,0,46,0.29,0,0.77,0,0.19,20.73,163.39,15.23,26.8,0,18.21,43.68,19.22,1849.8299999999997

72,17:45-18:00,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.86,134.55,44.21,48.06,14.56,81.69,20.35,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.8,134.79,81.69,0,0,0,48.06,0.48,0.39,0.23,7.76,0,36,0.29,0,0.77,0,0.19,20.73,163.39,15.23,26.8,0,18.21,43.68,19.22,1835.8

73,18:00-18:15,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.86,134.55,44.21,48.06,14.56,81.69,16.27,29.12,192.22,0,0,0,0,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.33,134.79,81.69,0,0,0,48.06,0.48,0.24,0.14,8.57,0,28,0.29,0,0.77,0,0.19,20.73,163.39,0,29.5,0,18.67,43.68,0,1792.53

74,18:15-18:30,76.52,81.69,0,28.59,37.14,43.68,13.46,16.57,0,0,0,0.86,134.55,44.21,48.06,14.56,81.69,12.46,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,26.33,134.79,81.69,0,0,0,48.06,0.35,0.18,0.11,6.23,0,21,0.21,0,0.14,0,0.13,20.73,163.39,0,29.5,0,18.67,43.68,0,1809.57

75,18:30-18:45,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.86,134.55,44.21,48.06,14.56,81.69,7.71,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,19.43,134.79,81.69,0,0,0,48.06,0.21,0.04,0.03,4.07,0,15,0.12,0,0.04,0,0.09,20.73,163.39,0,29.5,0,18.67,43.68,0,1791.82

76,18:45-19:00,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.86,134.55,44.21,48.06,14.56,81.69,4.4,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,19.43,134.79,81.69,0,0,0,48.06,0.1,0,0,2.6,0,10,0.06,0,0,0,0.04,20.73,163.39,0,29.5,0,18.67,43.68,0,1781.7099999999998

77,19:00-19:15,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,2.49,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,0,0,48.06,0,0,0,0,0,5,0,0,0,0,0,20.73,163.39,0,29.5,0,18.67,43.68,0,1782.1200000000001

78,19:15-19:30,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,1.09,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,0,0,48.06,0,0,0,0,0,1,0,0,0,0,0,20.73,163.39,0,29.5,0,18.67,43.68,0,1776.72

79,19:30-19:45,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0.27,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,0,18.67,43.68,0,1774.8999999999999

80,19:45-20:00,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,0,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,0,18.67,43.68,0,1774.6299999999999

81,20:00-20:15,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,0,18.67,43.68,0,1972.8500000000001

82,20:15-20:30,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,0,18.67,43.68,0,1972.8500000000001

83,20:30-20:45,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,0,18.67,43.68,0,1972.8500000000001

84,20:45-21:00,76.52,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,0,18.67,43.68,0,1972.8500000000001

85,21:00-21:15,105.72,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.67,43.68,0,2074.1299999999997

86,21:15-21:30,105.72,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.67,43.68,0,2074.1299999999997

87,21:30-21:45,105.72,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.67,43.68,0,2074.1299999999997

88,21:45-22:00,105.72,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.67,43.68,0,2074.1299999999997

89,22:00-22:15,105.72,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.49,43.68,0,2073.95

90,22:15-22:30,105.72,81.69,0,28.59,37.14,43.68,13.46,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.49,43.68,0,2073.95

91,22:30-22:45,105.72,81.69,0,28.59,37.14,43.68,12.49,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,117.38,0,0,0,31.18,96.11,96.11,0,0,7.69,0,74.84,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.49,43.68,0,2072.9799999999996

92,22:45-23:00,105.72,81.69,0,28.59,37.14,43.68,12.49,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,120.49,0,0,0,31.18,96.11,96.11,0,0,7.69,0,71.73,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.49,43.68,0,2072.98

93,23:00-23:15,105.72,81.69,0,28.59,37.14,43.68,12.49,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.21,43.68,0,2072.7

94,23:15-23:30,105.72,81.69,0,28.59,37.14,43.68,12.49,19.22,0,0,0,0.91,134.55,44.21,48.06,14.56,81.69,0,29.12,192.22,0,0,0,31.18,96.11,96.11,0,0,7.69,0,0,54.06,25.07,0,0,0,0,96.11,0,0,0,0,6.73,0,0,0,29.5,134.79,81.69,0,144.16,0,48.06,0,0,0,0,0,0,0,0,0,0,0,20.73,163.39,0,29.5,72.08,18.21,43.68,0,2072.7

