Time,Block,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21089/A/26921,NR/2024/21243/A/26654,NR/2024/21159/A/26689,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21023/A/26662,NR/2024/21113/A/26920,NR/2024/21099/A/26624,NR/2024/21510/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/2024/21312/A/26469,NR/2024/20930/A/26842,NR/2024/21148/A/26682,NR/2024/21087/A/26658,NR/2024/20877/A/26932,NR/2024/21160/A/26684,NR/2024/21490/C,NR/2024/21515/C,NR/2024/21339/A/26618,NR/2024/21511/C,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21146/A/26683,NR/2024/21152/A/26651,NR/2024/21141/A/26623,NR/2024/21108/A/26889,NR/2024/21489/C,NR/2024/21492/C,NR/30092023/26122029/SH-06,NR/2024/21227/A/26891,NR/2024/21076/A/26948,NR/2024/21104/A/26890,NR/2024/21103/A/26892,NR/2024/21486/C,NR/2024/21062/A/26874,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21516/C,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21158/A/26685,NR/2024/21186/A/26931,NR/2024/20573/A/26859,NR/2024/21183/A/26944,NR/2024/20711/A/26969,NR/2024/21488/C,NR/2024/20966/A/26652,NR/2024/21150/A/26681,NR/2024/19779/A/26765,NR/2024/21199/A/26661,NR/2024/20574/A/26861,NR/2024/21494/C,NR/2024/21075/A/26947,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21144/A/26700,NR/2024/21156/A/26679,NR/2024/21142/A/26622,NR/2024/21238/A/26946,NR/2024/20688/A/26659,NR/2024/21514/C,NR/2024/21153/A/26680,NR/2024/21096/A/26895,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/13072024/13072024/IEX-240712-01506_GNA,NR/01072024/31072024/R2,NR/2024/21173/A/26657,NR/2024/21072/A/26922,NR/2024/21210/A/26620,Total
26,06:15-06:30,12.230000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.670000,0.000000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,1957.79

27,06:30-06:45,12.230000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0.34,4.820000,0.880000,0.670000,0.000000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,1958.13

28,06:45-07:00,12.230000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0.85,4.820000,0.880000,0.670000,0.000000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,1958.64

29,07:00-07:15,12.230000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,1.39,4.820000,0.880000,0.770000,0.000000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,1959.28

30,07:15-07:30,12.230000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.06,4.820000,0.880000,0.770000,0.000000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,1959.95

31,07:30-07:45,12.230000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.57,4.820000,0.880000,0.770000,0.000000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,1960.46

32,07:45:08:00,12.230000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,3.05,4.820000,0.880000,0.770000,0.000000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,1960.94

33,08:00-08:15,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,5.780000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,3.41,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1962.45

34,08:15-08:30,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,5.780000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,5.12,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1964.16

35,08:30-08:45,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,5.780000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,5.17,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1964.21

36,08:45:09:00,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,5.780000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,4.29,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1963.33

37,09:00:09:15,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,5.780000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,3.57,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1962.61

38,09:15-09:30,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,5.780000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,3.84,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1962.88

39,09:30-09:45,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,5.780000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,4.55,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1963.59

40,09:45-10:00,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,5.780000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,5.46,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1964.5

41,10:00-10:15,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,7.33,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1967.33

42,10:15-10:30,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,7.7,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1967.7

43,10:30-10:45,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,7.22,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1967.22

44,10:45-11:00,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,9.18,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1969.18

45,11:00-11:15,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,9.08,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1969.08

46,11:15-11:30,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,9.55,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1969.55

47,11:30-11:45,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,8.69,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1968.69

48,11:45-12:00,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,9.63,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1969.63

49,12:00-12:15,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,7.41,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1967.41

50,12:15-12:30,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,8.72,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1968.72

51,12:30-12:45,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,6.69,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1966.69

52,12:45-13:00,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,7.34,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1967.34

53,13:00-13:15,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,7.63,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1967.63

54,13:15-13:30,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,6.23,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1966.23

55,13:30-13:45,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,5.21,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1965.21

56,13:45-14:00,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,3.44,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1963.44

57,14:00-14:15,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.51,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1962.51

58,14:15-14:30,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,5.44,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1965.44

59,14:30-14:45,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.64,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1962.64

60,14:45-15:00,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,1.47,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1961.47

