Time,Block,NR/2023/11640/A,NR/2023/11961/F,NR/2023/12725/C,ER/2023/7743/C,NR/2023/12731/C,NR/2023/10223/A,NR/2023/10344/A,NR/2023/11330/A,NR/2023/11862/F,NR/2023/11476/A,NR/2023/12717/D,NR/2023/12747/C,NR/2023/12749/C,NR/2023/12679/D,NR/2023/11642/A,NR/2023/11963/F,NR/2023/11342/A,NR/2023/12735/C,NR/2023/11284/A,NR/2023/10487/A,NR/2023/11955/F,NR/2023/12728/C,NR/2023/10611/A,NR/2023/10173/A,NR/2023/11643/A,NR/2023/11956/F,NR/2023/11960/F,NR/2023/10613/A,NR/2023/11959/F,NR/2023/12716/D,NR/2023/12742/C,NR/2023/11941/F,NR/2023/11947/F,NR/2023/12722/D,NR/2023/10236/A,NR/2023/12718/D,NR/2023/11958/F,NR/2023/12755/C,NR/2023/10434/A,NR/2023/10944/A,NR/2023/11957/F,NR/2023/11962/F,NR/2023/12756/C,NR/2023/11952/F,NR/2023/10229/A,NR/2023/12721/D,Total
48,11:45-12:00,0.000000,1.020000,12.460000,80.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,189,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,81,1206.51

49,12:00-12:15,0.000000,1.020000,12.370000,40.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.08,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,189,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,81,1166.41

50,12:15-12:30,0.000000,1.020000,12.370000,40.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,189,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,81,1166.42

51,12:30-12:45,0.000000,1.020000,12.370000,40.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.96,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,189,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,81,1167.29

52,12:45-13:00,0.000000,1.020000,12.370000,40.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,7.83,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,189,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,81,1168.16

53,13:00-13:15,0.000000,1.020000,12.280000,40.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,9.64,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,189,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,81,1169.88

54,13:15-13:30,0.000000,1.020000,12.280000,40.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,7.94,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,185.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,79.5,1163.18

55,13:30-13:45,0.000000,1.020000,12.280000,40.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.86,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,184.1,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,78.9,1160.1

56,13:45-14:00,0.000000,1.020000,12.280000,40.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,0.000000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,182,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,78,1156.33

57,14:00-14:15,23.150000,1.020000,12.280000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,178.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,76.5,1210.01

58,14:15-14:30,23.150000,1.020000,12.280000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,5.99,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,177.1,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,75.9,1207.91

59,14:30-14:45,23.150000,1.020000,12.280000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,175,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,75,1205.01

60,14:45-15:00,23.150000,1.020000,12.280000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,33.750000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,164.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,70.5,1190.01

61,15:00-15:15,23.150000,1.020000,12.370000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,35.800000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,152.6,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,65.4,1175.15

62,15:15-15:30,23.150000,1.020000,12.370000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,6.09,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,35.800000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,145.6,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,62.4,1165.15

63,15:30-15:45,23.150000,1.020000,12.370000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,5.99,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,35.800000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,134.4,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,57.6,1149.05

64,15:45-16:00,23.150000,1.020000,12.370000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,5.8,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,35.800000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,24.170000,236.680000,119,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,51,1126.86

65,16:00-16:15,23.150000,1.020000,12.550000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,5.7,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,36.830000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,112,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,48,1093.8

66,16:15-16:30,23.150000,1.020000,12.550000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,4.35,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,36.830000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,98,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,42,1072.45

67,16:30-16:45,23.150000,1.020000,12.550000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,3.96,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,36.830000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,88.2,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,37.8,1058.06

68,16:45-17:00,23.150000,1.020000,12.550000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,3.92,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,36.830000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,83.050000,0.000000,62.840000,6.770000,0.000000,236.680000,72.8,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,31.2,1036.02

69,17:00-17:15,0.000000,1.020000,12.370000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,3.05,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,134.190000,0.000000,62.840000,6.770000,0.000000,236.680000,57.4,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,24.6,1041.97

70,17:15-17:30,0.000000,1.020000,12.370000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,2.08,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,134.190000,0.000000,62.840000,6.770000,0.000000,236.680000,44.1,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,18.9,1022

71,17:30-17:45,0.000000,1.020000,12.370000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,1.21,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,0.000000,62.840000,6.770000,0.000000,236.680000,35.7,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,15.3,1068.3

72,17:45-18:00,0.000000,1.020000,12.370000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0.55,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,0.000000,62.840000,6.770000,0.000000,236.680000,30.8,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,0.000000,43.030000,13.2,1060.64

73,18:00-18:15,0.000000,1.020000,12.550000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,0.000000,62.840000,6.770000,0.000000,236.680000,23.8,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,36.480000,43.030000,10.2,1086.75

74,18:15-18:30,0.000000,1.020000,12.550000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,0.000000,62.840000,6.770000,0.000000,236.680000,14,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,36.480000,43.030000,6,1072.75

75,18:30-18:45,0.000000,1.020000,12.550000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,0.000000,62.840000,6.770000,0.000000,236.680000,7,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,36.480000,43.030000,3,1062.75

76,18:45-19:00,0.000000,1.020000,12.550000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,0.000000,0.000000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,0.000000,62.840000,6.770000,0.000000,236.680000,3.5,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,36.480000,43.030000,1.5,1057.75

77,19:00-19:15,0.000000,1.020000,12.730000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,0.000000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1135.1

78,19:15-19:30,0.000000,1.020000,12.730000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1178.61

79,19:30-19:45,0.000000,1.020000,12.730000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1178.61

80,19:45-20:00,0.000000,1.020000,12.730000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,37.840000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1178.61

81,20:00-20:15,0.000000,1.020000,12.930000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,33.840000,36.480000,43.030000,0,1209.59

82,20:15-20:30,0.000000,1.020000,12.930000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,33.840000,36.480000,43.030000,0,1209.59

83,20:30-20:45,0.000000,1.020000,12.930000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,33.840000,36.480000,43.030000,0,1209.59

84,20:45-21:00,0.000000,1.020000,12.930000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,33.840000,36.480000,43.030000,0,1209.59

85,21:00-21:15,0.000000,1.020000,13.110000,0.000000,0.000000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,72.510000,36.480000,43.030000,0,1248.44

86,21:15-21:30,0.000000,1.020000,13.110000,0.000000,31.900000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,72.510000,36.480000,43.030000,0,1280.34

87,21:30-21:45,0.000000,1.020000,13.110000,0.000000,97.650000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,193.360000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,72.510000,36.480000,43.030000,0,1346.09

88,21:45-22:00,0.000000,1.020000,13.110000,0.000000,178.860000,21.510000,12.250000,0.000000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,0.000000,9.960000,75.530000,13.050000,0.510000,0.930000,0.000000,0.930000,134.190000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,0.000000,0.900000,0.580000,72.510000,36.480000,43.030000,0,1368.13

89,22:00-22:15,23.150000,1.020000,13.290000,0.000000,36.740000,21.510000,12.250000,64.970000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,67.680000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,48.340000,24.170000,27.840000,0.900000,0.580000,96.680000,36.480000,43.030000,0,1443.87

90,22:15-22:30,23.150000,1.020000,13.290000,0.000000,114.080000,21.510000,12.250000,64.970000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,67.680000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,48.340000,24.170000,27.840000,0.900000,0.580000,96.680000,36.480000,43.030000,0,1521.21

91,22:30-22:45,23.150000,1.020000,13.290000,0.000000,198.190000,21.510000,12.250000,64.970000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,67.680000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,48.340000,24.170000,27.840000,0.900000,0.580000,96.680000,36.480000,43.030000,0,1605.32

92,22:45-23:00,23.150000,1.020000,13.290000,0.000000,247.500000,21.510000,12.250000,64.970000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,34.780000,33.840000,41.570000,0.360000,67.680000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,48.340000,24.170000,27.840000,0.900000,0.580000,96.680000,36.480000,43.030000,0,1654.63

93,23:00-23:15,23.150000,1.020000,13.480000,0.000000,314.210000,21.510000,12.250000,64.970000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,67.680000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1574.46

94,23:15-23:30,23.150000,1.020000,13.480000,0.000000,349.010000,21.510000,12.250000,64.970000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,67.680000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1609.26

95,23:30-23:45,23.150000,1.020000,13.480000,0.000000,354.820000,21.510000,12.250000,64.970000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,67.680000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1615.07

96,23:45-24:00,23.150000,1.020000,13.480000,0.000000,350.950000,21.510000,12.250000,64.970000,2.900000,48.340000,0,29.000000,53.170000,2.900000,14.500000,0.610000,116.020000,32.730000,33.840000,41.570000,0.360000,67.680000,9.960000,75.530000,13.050000,0.510000,0.930000,12.670000,0.930000,83.050000,43.510000,62.840000,6.770000,0.000000,236.680000,0,0.820000,0.000000,24.170000,27.840000,0.900000,0.580000,0.000000,36.480000,43.030000,0,1611.2

