Block,Time,KHSTPP-II,TALA,KHSTPP-I,SASAN,FSTPP I & II,BRBCL,DADRI_GF,UNCHAHAR4,URI,JHAJJAR,NAPP,DADRT2,UNCHAHAR2,DADRI_RF,DADRI_CRF,RIHAND2,RIHAND1,RAPPB,RAMPUR,KOLDAM,RIHAND3,SINGRAULI,NJPC,TEHRI,PARBATI3,DADRI_LF,ANTA_LF,AURY_LF,TANAKPUR,AURY_GF,DHAULIGNGA,RAPPC,KISHANGANGA,ANTA_GF,CHAMERA3,AURY_RF,BSIUL,CHAMERA2,AURY_CRF,SALAL,KOTESHWR,UNCHAHAR1,SINGRAULI_HYDRO,UNCHAHAR3,DULHASTI,SEWA2,ANTA_RF,URI2,CHAMERA1,TANDA2,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
23,05:30-05:45,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,26.622960,231.021700,42.134886,361.792522,36.953632,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,0.000000,24.550999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,15.895501,10.183629,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

24,05:45-06:00,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,26.622960,233.706568,42.134886,387.234062,40.863789,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,18.269524,24.550999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,8.480474,0.775018,18.896996,15.895501,15.244585,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

25,06:00-06:15,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,26.622960,233.706568,42.134886,459.718714,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,36.539048,24.550999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.329517,8.084313,8.480474,0.775018,18.896996,15.895501,15.244585,0.000000,18.166119,0.000000,0.000000,0.000000,0,0,0,0,0

26,06:15-06:30,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,26.622960,293.511768,42.134886,465.506314,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,54.808572,38.467283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,1.061060,3.214530,0.000000,12.329517,16.168625,8.480474,0.775018,18.896996,15.895501,15.244585,0.000000,18.166119,9.830239,0.000000,0.000000,0,0,0,0,0

27,06:30-06:45,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,40.466899,336.918768,42.134886,475.711782,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,73.078096,38.467283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.645420,52.268105,0.000000,0.000000,1.228322,0.000000,1.061060,6.429059,0.000000,54.361962,24.728486,9.779983,0.775018,22.848480,15.895501,15.244585,0.000000,18.166119,11.430510,0.000000,0.000000,0,0,0,0,0

