Time,Block,NR/2024/19143/A/18014,NR/2024/19172/A/18487,NR/2024/19483/A/18406,NR/2024/20138/C,NR/2024/18986/A/17974,NR/2024/19043/A/17991,NR/2024/19764/A/18067,NR/2024/19484/A/18405,NR/2024/20134/C,NR/2024/19656/A/18072,NR/2024/19337/A/18070,NR/2024/20122/C,NR/2024/18976/A/17938,NR/2024/20103/C,NR/2024/20136/C,NR/2024/18919/A/18413,NR/2024/18935/A/17949,NR/2024/18855/A/18061,NR/2024/19290/A/18486,NR/2024/19726/A/18007,NR/2024/19245/A/18069,NR/2024/20112/C,NR/2024/20135/C,NR/2024/19739/A/18074,NR/2024/18936/A/17948,NR/2024/19469/A/18203,NR/2024/19485/A/18404,NR/2024/19787/A/17977,NR/2024/18978/A/17935,NR/2024/18977/A/17937,NR/2024/19121/A/18056,NR/2024/19727/A/18008,NR/2024/20104/C,NR/2024/19075/A/18019,NR/2024/18934/A/17950,NR/2024/19030/A/17997,NR/2024/20105/C,NR/2024/19115/A/18018,NR/2024/19024/A/18068,NR/2024/20156/C,NR/2024/18996/A/18446,Total
53,13:00-13:15,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,9.24,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,985.62

54,13:15-13:30,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,9.06,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,985.44

55,13:30-13:45,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,8.9,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,985.28

56,13:45-14:00,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,8.72,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,985.1

57,14:00-14:15,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,8.44,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,984.82

58,14:15-14:30,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,8.1,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,984.48

59,14:30-14:45,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,7.77,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,984.15

60,14:45-15:00,0.000000,115.970000,12.450000,0.000000,0.970000,46.390000,72.480000,37.330000,0.000000,1.930000,1.930000,0.000000,39.620000,7.37,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,983.75

61,15:00-15:15,0.000000,115.970000,12.450000,0.000000,0.720000,46.390000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,39.620000,6.97,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,984.07

62,15:15-15:30,0.000000,115.970000,12.450000,0.000000,0.720000,46.390000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,39.620000,6.53,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,983.63

63,15:30-15:45,0.000000,115.970000,12.450000,0.000000,0.720000,46.390000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,39.620000,6.02,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,983.12

64,15:45-16:00,0.000000,115.970000,12.450000,0.000000,0.720000,46.390000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,39.620000,5.52,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,14.500000,57.980000,0.000000,0.000000,167.190000,19.330000,4.830000,19.330000,26.090000,48.320000,4.830000,0.000000,48.320000,982.62

65,16:00-16:15,0.000000,115.970000,12.450000,0.000000,0.720000,46.390000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,0.000000,4.98,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,0.000000,57.980000,0.000000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,889.3

66,16:15-16:30,0.000000,115.970000,12.450000,0.000000,0.720000,46.390000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,0.000000,4.4,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,0.000000,57.980000,0.000000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,888.72

67,16:30-16:45,0.000000,115.970000,12.450000,0.000000,0.720000,46.390000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,0.000000,3.81,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,0.000000,57.980000,0.000000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,888.13

68,16:45-17:00,0.000000,115.970000,12.450000,0.000000,0.720000,46.390000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,0.000000,3.17,0,0.000000,5.800000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,6.760000,1.930000,37.330000,48.320000,0.000000,57.980000,0.000000,0.000000,167.190000,0.000000,4.830000,0.000000,26.090000,48.320000,4.830000,0.000000,48.320000,887.49

69,17:00-17:15,0.000000,115.970000,12.450000,0.000000,0.680000,0.000000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,0.000000,2.54,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.930000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,48.320000,716.74

70,17:15-17:30,0.000000,115.970000,12.450000,0.000000,0.680000,0.000000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,0.000000,1.96,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.930000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,48.320000,716.16

71,17:30-17:45,0.000000,115.970000,12.450000,0.000000,0.680000,0.000000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,0.000000,1.44,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.930000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,48.320000,715.64

72,17:45-18:00,0.000000,115.970000,12.450000,0.000000,0.680000,0.000000,72.480000,37.330000,0.000000,2.900000,1.930000,0.000000,0.000000,1.01,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.930000,37.330000,48.320000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,0.000000,48.320000,715.21

73,18:00-18:15,0.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,0.000000,1.930000,1.930000,0.000000,0.000000,0.64,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,641.39

74,18:15-18:30,0.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,0.000000,1.930000,1.930000,0.000000,0.000000,0.38,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,641.13

75,18:30-18:45,0.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,0.000000,1.930000,1.930000,0.000000,0.000000,0.16,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,640.91

76,18:45-19:00,0.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,0.000000,1.930000,1.930000,0.000000,0.000000,0,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,0.000000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,640.75

77,19:00-19:15,2.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,0.000000,1.930000,1.930000,96.640000,0.000000,0,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1029.31

78,19:15-19:30,2.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,0.000000,1.930000,1.930000,96.640000,0.000000,0,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1029.31

79,19:30-19:45,2.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,91.810000,1.930000,1.930000,96.640000,0.000000,0,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1121.12

80,19:45-20:00,2.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,91.810000,1.930000,1.930000,96.640000,0.000000,0,0,0.000000,0.000000,66.870000,67.650000,0.000000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1121.12

81,20:00-20:15,2.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,91.810000,1.930000,1.930000,96.640000,0.000000,0,48.51,0.000000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1266.27

82,20:15-20:30,2.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,91.810000,1.930000,1.930000,96.640000,0.000000,0,48.51,0.000000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1266.27

83,20:30-20:45,2.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,91.810000,1.930000,1.930000,96.640000,0.000000,0,48.51,0.000000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1266.27

84,20:45-21:00,2.000000,115.970000,12.450000,0.000000,0.680000,0.000000,0.000000,37.330000,91.810000,1.930000,1.930000,96.640000,0.000000,0,48.51,0.000000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1266.27

85,21:00-21:15,2.000000,115.970000,12.450000,241.600000,0.680000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,45.71,0.000000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1503.14

86,21:15-21:30,2.000000,115.970000,12.450000,241.600000,0.680000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,40.88,0.000000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1498.31

87,21:30-21:45,2.000000,115.970000,12.450000,241.600000,0.680000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,37.3,0.000000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1494.73

88,21:45-22:00,2.000000,115.970000,12.450000,241.600000,0.680000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,36.24,0.000000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.000000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1493.67

89,22:00-22:15,2.000000,115.970000,12.450000,289.920000,0.680000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,34.31,9.660000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.970000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1550.69

90,22:15-22:30,2.000000,115.970000,12.450000,289.920000,0.680000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,32.86,9.660000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.970000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1549.24

91,22:30-22:45,2.000000,115.970000,12.450000,289.920000,0.680000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,32.08,9.660000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.970000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1548.46

92,22:45-23:00,2.000000,115.970000,12.450000,289.920000,0.680000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,30.63,9.660000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,0.000000,0.970000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1547.01

93,23:00-23:15,2.000000,115.970000,12.450000,386.560000,0.630000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,31.02,9.660000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,96.640000,0.970000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1740.63

94,23:15-23:30,2.000000,115.970000,12.450000,386.560000,0.630000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,32.18,9.660000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,96.640000,0.970000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1741.79

95,23:30-23:45,2.000000,115.970000,12.450000,386.560000,0.630000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,33.05,9.660000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,96.640000,0.970000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1742.66

96,23:45-24:00,2.000000,115.970000,12.450000,386.560000,0.630000,0.000000,0.000000,37.330000,91.810000,0.000000,1.930000,96.640000,0.000000,0,34.5,9.660000,0.000000,66.870000,67.650000,96.640000,1.930000,96.640000,96.640000,0.970000,0.000000,1.930000,37.330000,0.000000,0.000000,0.000000,0.000000,193.280000,167.190000,0.000000,0.000000,0.000000,26.090000,0.000000,4.830000,96.640000,0.000000,1744.11

