Time,Block,NR/2024/20350/A/20867,NR/2024/19683/A/21029,NR/2024/19475/A/21329,NR/2024/20592/C,NR/2024/20570/C,NR/2024/20538/C,NR/2024/19432/A/21406,NR/2024/20130/A/21132,NR/2024/20050/A/21342,NR/2024/19791/A/21393,NR/2024/20211/A/21115,NR/2024/20602/C,NR/2024/19779/A/21092,NR/2024/20141/A/21119,NR/2024/20048/A/21343,NR/2024/20583/C,NR/2024/20090/A/21033,NR/2024/20033/A/21402,NR/2024/20584/C,NR/2024/19699/A/21404,NR/2024/20524/A/21359,NR/2024/19355/A/21485,NR/2024/20565/C,NR/2024/20578/C,NR/2024/20109/A/21484,NR/2024/20212/A/21116,NR/2024/20144/A/21117,NR/2024/20041/A/21344,NR/2024/20569/C,NR/2024/20564/C,NR/2024/20581/C,NR/2024/20142/A/21118,NR/2024/19918/A/21392,NR/2024/19966/A/21106,NR/2024/19919/A/21391,NR/2024/19757/A/21401,NR/2024/20031/A/21400,NR/2024/20034/A/21399,NR/2024/20559/C,NR/2024/19637/A/21107,NR/2024/19760/A/21064,NR/2024/20037/A/21063,NR/2024/19588/A/21128,NR/2024/20052/A/20866,NR/2024/20567/C,Total
47,11:30-11:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.6,1496.18

48,11:45-12:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,0.000000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.02,1495.6

49,12:00-12:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,8.51,1510.6

50,12:15-12:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.23,1509.32

51,12:30-12:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,3.4,1505.49

52,12:45-13:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,6.86,1508.95

53,13:00-13:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,6.57,1508.66

54,13:15-13:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,8.44,1510.53

55,13:30-13:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,6.79,1508.88

56,13:45-14:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,242.920000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,6.08,1508.17

57,14:00-14:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,48.610000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,6.12,1313.9

58,14:15-14:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,48.610000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,8.79,1316.57

59,14:30-14:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,48.610000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,7.65,1315.43

60,14:45-15:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,48.610000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,4.94,1312.72

61,15:00-15:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,48.610000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,3.08,1310.86

62,15:15-15:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,48.610000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,2.8,1310.58

63,15:30-15:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,48.610000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,3.62,1311.4

64,15:45-16:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.960000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,48.240000,166.930000,0.000000,0.000000,0.520000,13.510000,38.600000,121.570000,48.610000,37.270000,37.270000,0.000000,24.120000,48.240000,72.370000,66.760000,13.510000,5.63,1313.41

65,16:00-16:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.820000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,5.9,1154.34

66,16:15-16:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.820000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,3.57,1152.01

67,16:30-16:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.820000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,2.42,1150.86

68,16:45-17:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.820000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,3.72,1152.16

69,17:00-17:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,3.35,1151.74

70,17:15-17:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,2.12,1150.51

71,17:30-17:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0.72,1149.11

72,17:45-18:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0.23,1148.62

73,18:00-18:15,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0.2,1148.59

74,18:15-18:30,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,121.570000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0.22,1148.61

75,18:30-18:45,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0,1075.06

76,18:45-19:00,0.000000,1.930000,192.980000,0.000000,26.050000,57.890000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,183.330000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0,1075.06

77,19:00-19:15,0.000000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0,1049.01

78,19:15-19:30,0.000000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0,1049.01

79,19:30-19:45,0.000000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0,1049.01

80,19:45-20:00,0.000000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,0.000000,0.770000,0.350000,0.000000,0.000000,1.930000,12.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,0.000000,0.000000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,13.510000,0,1049.01

81,20:00-20:15,1.930000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,48.240000,0.770000,0.350000,0.000000,96.490000,1.930000,12.430000,0.000000,0.000000,19.300000,0.000000,28.950000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,48.240000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1335.57

82,20:15-20:30,1.930000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,48.240000,0.770000,0.350000,0.000000,96.490000,1.930000,12.430000,0.000000,0.000000,19.300000,0.000000,28.950000,0.000000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,48.240000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1335.57

83,20:30-20:45,1.930000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,48.240000,0.770000,0.350000,0.000000,96.490000,1.930000,12.430000,48.240000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,48.240000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1514.07

84,20:45-21:00,1.930000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,48.240000,0.770000,0.350000,0.000000,96.490000,1.930000,12.430000,48.240000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,48.240000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1514.07

85,21:00-21:15,1.930000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,48.240000,0.770000,0.350000,0.000000,96.490000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1658.82

86,21:15-21:30,1.930000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,48.240000,0.770000,0.350000,0.000000,96.490000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1658.82

87,21:30-21:45,1.930000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,48.240000,0.770000,0.350000,0.000000,96.490000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1658.82

88,21:45-22:00,1.930000,1.930000,192.980000,0.000000,0.000000,0.000000,24.120000,0.480000,0.000000,64.730000,1.590000,48.240000,0.770000,0.350000,0.000000,96.490000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1658.82

89,22:00-22:15,0.000000,1.930000,192.980000,60.790000,0.000000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.720000,0.350000,30.150000,96.490000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1838.24

90,22:15-22:30,0.000000,1.930000,192.980000,60.790000,0.000000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.720000,0.350000,30.150000,96.490000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,48.240000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,1838.24

91,22:30-22:45,0.000000,1.930000,192.980000,60.790000,0.000000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.720000,0.350000,30.150000,96.490000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2098.77

92,22:45-23:00,0.000000,1.930000,192.980000,60.790000,0.000000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.720000,0.350000,30.150000,96.490000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2098.77

93,23:00-23:15,0.000000,1.930000,192.980000,60.790000,0.000000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.630000,0.350000,30.150000,192.980000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2195.17

94,23:15-23:30,0.000000,1.930000,192.980000,66.580000,0.000000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.630000,0.350000,30.150000,192.980000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2200.96

95,23:30-23:45,0.000000,1.930000,192.980000,66.580000,0.000000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.630000,0.350000,30.150000,192.980000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2200.96

96,23:45-24:00,0.000000,1.930000,192.980000,66.580000,0.000000,0.000000,24.120000,0.480000,90.460000,64.730000,1.590000,48.240000,0.630000,0.350000,30.150000,192.980000,1.930000,12.430000,96.490000,0.000000,19.300000,0.000000,28.950000,130.260000,241.220000,0.610000,0.880000,0.000000,166.930000,48.240000,144.740000,0.520000,13.510000,0.000000,308.770000,48.610000,37.270000,37.270000,0.000000,0.000000,0.000000,72.370000,66.760000,8.680000,0,2200.96

