Column1,Block,NR/2024/22898/A/36075,NR/2024/22899/A/36076,NR/2024/23021/C,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/9821,NR/30092023/31122025/SH-07,NR/2024/22835/A/36309,NR/2024/23022/C,NR/2024/22860/A/36303,NR/2024/23020/C,NR/2024/22734/A/36271,NR/2024/22837/A/36291,NR/2024/22816/A/36014,NR/2024/22802/A/36299,NR/2024/22753/A/36292,NR/2024/23028/C,NR/2024/22754/A/36298,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22832/A/36296,NR/2024/22848/A/36308,NR/2024/22833/A/36294,NR/2024/22820/A/36047,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/2024/22888/A/36290,NR/2024/22872/A/36072,NR/2024/21658/A/36033,NR/2024/22839/A/36289,NR/2024/22874/A/36301,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,Total
80,19:45-20:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.82,8.8,48.4,2.42,17.5,1190.6416

81,20:00-20:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.77,8.8,48.4,2.42,17.5,1190.5916

82,20:15-20:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.77,8.8,48.4,2.42,17.5,1190.5916

83,20:30-20:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.77,8.8,48.4,2.42,17.5,1190.5916

84,20:45-21:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.77,8.8,48.4,2.42,17.5,1190.5916

85,21:00-21:15,0,0,0,24.2,30.5,48.4,21.78,48.4,96.79,0,23.24,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.77,8.8,48.4,2.42,17.5,1190.5900000000001

86,21:15-21:30,0,0,0,24.2,30.5,48.4,21.78,48.4,96.79,0,23.24,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.77,8.8,48.4,2.42,17.5,1190.5900000000001

87,21:30-21:45,0,0,0,24.2,30.5,48.4,21.78,48.4,96.79,0,23.24,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.77,8.8,48.4,2.42,17.5,1190.5900000000001

88,21:45-22:00,0,0,0,24.2,30.5,48.4,21.78,48.4,96.79,0,23.24,90.98,109.86,13.55,241.98,0,26.39,0,0,0,28.07,0,14.6,26.39,84.38,26.39,4.84,96.79,0,43.56,11.61,0.77,8.8,48.4,2.42,17.5,1190.5900000000001

89,22:00-22:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.41,26.39,84.38,26.39,4.84,96.79,0,43.56,10.65,0.77,8.8,48.4,2.42,17.5,1431.4116000000001

90,22:15-22:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.41,26.39,84.38,26.39,4.84,96.79,0,43.56,10.65,0.77,8.8,48.4,2.42,17.5,1431.4116000000001

91,22:30-22:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.41,26.39,84.38,26.39,4.84,96.79,0,67.75,9.68,0.77,8.8,48.4,2.42,17.5,1454.6316000000002

92,22:45-23:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,90.98,109.86,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.41,26.39,84.38,26.39,4.84,96.79,0,67.75,9.68,0.77,8.8,48.4,2.42,17.5,1454.6316000000002

93,23:00-23:15,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,94.27,109.86,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.41,26.39,84.38,26.39,4.84,96.79,0,67.75,9.68,0.77,8.8,48.4,2.42,17.5,1457.9216000000001

94,23:15-23:30,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,94.27,109.86,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.41,26.39,84.38,26.39,4.84,96.79,0,67.75,9.68,0.77,8.8,48.4,2.42,17.5,1457.9216000000001

95,23:30-23:45,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,94.27,109.86,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.41,26.39,84.38,26.39,4.84,96.79,0,67.75,9.68,0.77,8.8,48.4,2.42,17.5,1457.9216000000001

96,23:45-24:00,0,0,0,24.2,26.8708,48.4,21.78,48.4,96.79,0,26.8708,94.27,109.86,13.55,241.98,0,26.39,0,0,181.48,28.07,60.49,14.41,26.39,84.38,26.39,4.84,96.79,0,67.75,9.68,0.77,8.8,48.4,2.42,17.5,1457.9216000000001

