Time,Block,NR/2023/13383/A,NR/2023/16291/F,NR/2023/16077/A,NR/2023/16437/F,NR/2023/13148/A,NR/2023/16871/C,NR/2023/13519/A,NR/2023/16869/C,NR/2023/16861/C,NR/2023/13254/A,NR/2023/16724/F,NR/2023/13165/A,NR/2023/13150/A,NR/2023/16520/F,ER/2023/10679/C,NR/2023/13908/A,NR/2023/13636/A,ER/2023/10677/C,NR/2023/16291/F/II,NR/2023/13385/A,NR/2023/16858/C,NR/2023/16866/C,NR/2023/16857/D,NR/2023/13253/A,NR/2023/13242/A,NR/2023/13376/A,NR/2023/16191/A,NR/2023/16856/D,NR/2023/16842/D,NR/2023/13387/A,NR/2023/16841/D,NR/2023/16185/A,NR/2023/15770/A,NR/2023/16864/C,NR/2023/16073/A,Total
64,15:45-16:00,0.000000,0.870000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,17.400000,9.230000,38.670000,48.340000,0.000000,20.300000,142.100000,4.21,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1402.1

65,16:00-16:15,0.000000,0.820000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.420000,0.000000,48.340000,0.000000,20.300000,142.100000,3.14,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1345.1

66,16:15-16:30,0.000000,0.820000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.420000,0.000000,48.340000,0.000000,20.300000,142.100000,3.38,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1345.34

67,16:30-16:45,0.000000,0.820000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.420000,0.000000,48.340000,0.000000,20.300000,142.100000,2.56,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1344.52

68,16:45-17:00,0.000000,0.820000,0.000000,148.040000,0.000000,8.220000,58.430000,15.95,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.420000,0.000000,48.340000,0.000000,20.300000,142.100000,2.47,67.670000,100.050000,4.830000,77.340000,53.170000,29.000000,24.170000,1344.43

69,17:00-17:15,0.000000,0.820000,0.000000,148.040000,0.000000,0.000000,0.000000,0,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.500000,0.000000,48.340000,0.000000,20.300000,142.100000,1.89,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1232.33

70,17:15-17:30,0.000000,0.820000,0.000000,148.040000,0.000000,0.000000,0.000000,0,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.500000,0.000000,48.340000,0.000000,20.300000,142.100000,1.62,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1232.06

71,17:30-17:45,0.000000,0.820000,0.000000,148.040000,0.000000,0.000000,0.000000,0,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.500000,0.000000,48.340000,0.000000,20.300000,142.100000,1.09,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1231.53

72,17:45-18:00,0.000000,0.820000,0.000000,148.040000,0.000000,0.000000,0.000000,0,9.080000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,0.000000,0.000000,30.610000,0.000000,9.500000,0.000000,48.340000,0.000000,20.300000,142.100000,0.67,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,24.170000,1231.11

73,18:00-18:15,0.000000,0.820000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.690000,0.000000,48.340000,0.000000,20.300000,142.100000,0.3,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1280.24

74,18:15-18:30,0.000000,0.820000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.690000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1279.94

75,18:30-18:45,0.000000,0.820000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.690000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1279.94

76,18:45-19:00,0.000000,0.820000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,0.000000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.690000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1279.94

77,19:00-19:15,0.000000,0.820000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,48.340000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.870000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1328.46

78,19:15-19:30,0.000000,0.820000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,48.340000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.870000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1328.46

79,19:30-19:45,0.000000,0.820000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,48.340000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.870000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1328.46

80,19:45-20:00,0.000000,0.820000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,48.340000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.870000,0.000000,48.340000,0.000000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1328.46

81,20:00-20:15,0.000000,0.770000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1348.42

82,20:15-20:30,0.000000,0.770000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1348.42

83,20:30-20:45,0.000000,0.770000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1348.42

84,20:45-21:00,0.000000,0.770000,0.000000,148.040000,36.470000,0.000000,0.000000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1348.42

85,21:00-21:15,0.000000,0.770000,0.000000,148.040000,36.470000,0.000000,58.430000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1406.85

86,21:15-21:30,0.000000,0.770000,0.000000,148.040000,36.470000,0.000000,58.430000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1406.85

87,21:30-21:45,0.000000,0.770000,0.000000,148.040000,36.470000,0.000000,58.430000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1406.85

88,21:45-22:00,0.000000,0.770000,0.000000,148.040000,36.470000,0.000000,58.430000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.970000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1406.85

89,22:00-22:15,46.110000,0.770000,107.590000,148.040000,36.470000,0.000000,58.430000,0,10.090000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.870000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1560.45

90,22:15-22:30,46.110000,0.770000,107.590000,148.040000,36.470000,0.000000,58.430000,0,8.070000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.870000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1558.43

91,22:30-22:45,46.110000,0.770000,107.590000,148.040000,36.470000,0.000000,58.430000,0,8.070000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.870000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1558.43

92,22:45-23:00,46.110000,0.770000,107.590000,148.040000,36.470000,0.000000,58.430000,0,8.070000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.870000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1558.43

93,23:00-23:15,46.110000,0.770000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.780000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1557.34

94,23:15-23:30,46.110000,0.770000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.780000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1557.34

95,23:30-23:45,46.110000,0.770000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.780000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1557.34

96,23:45-24:00,46.110000,0.770000,107.590000,148.040000,36.470000,0.000000,58.430000,0,7.070000,19.610000,193.340000,22.230000,63.030000,38.670000,2.000000,175.050000,19.160000,36.000000,0.000000,30.610000,0.000000,9.780000,0.000000,48.340000,29.580000,20.300000,142.100000,0,67.670000,100.050000,4.830000,77.340000,53.170000,0.000000,0.000000,1557.34

