Column1,Block,NR/2025/29743/C,NR/2025/27782/A/83163,NR/2025/26566/A/83447,NR/2025/29769/C,NR/2025/26572/A/83449,NR/2025/29797/C,NR/2025/26571/A/83448,NR/2025/29451/A/83087,NR/2025/29818/C,NR/2025/29819/C,NR/2025/29820/C,NR/2025/26975/A/83159,NR/2025/27242/A/83138,NR/2025/28719/A/83066,NR/2025/26445/A/83477,NR/2025/27500/A/82967,NR/2025/26952/A/82927,NR/2025/26889/A/83462,NR/2025/26860/A/83375,NR/2025/27725/A/83167,NR/2025/27727/A/83164,NR/2025/27168/A/83395,NR/2025/26562/A/83445,NR/2025/27281/A/83561,NR/2025/27187/A/83151,NR/2025/27157/A/83052,NR/2025/26861/A/83440,NR/2025/27176/A/83155,NR/2025/27088/A/83473,NR/2025/26085/A/82897,NR/2025/26785/A/82968,NR/2025/27499/A/83461,NR/2025/27728/A/83165,NR/2025/27167/A/83392,NR/2025/27726/A/83166,NR/2025/27506/A/82965,NR/2025/27100/A/83067,NR/2025/26565/A/83446,NR/2025/27185/A/83153,NR/2025/26777/A/83058,GNA/NR/2025/06/01/7782,NR/2025/29890/C,GNA/NR/2025/06/01/7663,NR/2025/29881/C/Alternate/1,NR/2025/29874/C,GNA/NR/2025/06/01/4973,NR/2025/29882/C,NR/2025/29883/C,NR/2025/29739/C,NR/2025/29888/C,GNA/NR/2025/06/01/2868,NR/2025/29880/C,NR/2025/29881/C,NR/2025/29885/C,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,NR/2025/29886/C,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/2025/29815/C,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,NR/2025/29865/C,GNA/NR/2025/06/01/7786,NR/2025/29872/C,NR/2025/29849/C,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/82960,NR/2025/27356/A/83089,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7762,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,Total
35,08:30-08:45,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,14.64,43.92,20.54,144.96,24.88,0,0,0,76.94,164.29,0.97,0,0,37.34,20.54,43.92,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,41.42,5.8,46,53.39,20.54,26.93,20.54,15.17,26.93,1894.4299999999998

36,08:45-09:00,0,7.73,0,0,0,0,0,0,0,0,0,5.8,41.07,10.63,96.64,7.73,0,0,90.36,14.64,43.92,20.54,144.96,24.88,0,0,0,76.94,164.29,0.97,0,0,37.34,20.54,43.92,1.93,0,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,48.24,5.8,53,53.39,20.54,26.93,20.54,15.17,26.93,1908.2499999999998

37,09:00-09:15,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,10.63,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,54.5,7.89,81,53.39,20.54,26.95,20.54,15.08,26.95,1966.1199999999997

38,09:15-09:30,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0.97,20.54,11.92,5.8,41.07,19.33,164.29,60.11,8.57,88,53.39,20.54,26.95,20.54,15.08,26.95,1979.4199999999994

39,09:30-09:45,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,65.75,8.7,95,53.39,20.54,26.95,20.54,15.08,26.95,1993.1499999999996

40,09:45-10:00,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,69.94,8.7,102,53.39,20.54,26.95,20.54,15.08,26.95,2004.3399999999997

41,10:00-10:15,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,81.3,10.49,105,53.39,20.54,26.95,20.54,14.89,26.95,2020.2999999999997

42,10:15-10:30,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,84.94,10.15,112,53.39,20.54,26.95,20.54,14.89,26.95,2030.6

43,10:30-10:45,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,88.47,8.59,144,53.39,20.54,26.95,20.54,14.89,26.95,2064.5699999999997

44,10:45-11:00,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,91.69,8.59,151,53.39,20.54,26.95,20.54,14.89,26.95,2074.7899999999995

45,11:00-11:15,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,85.55,8.59,165,53.39,20.54,26.95,20.54,14.71,26.95,2082.4699999999993

46,11:15-11:30,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,86.88,8.59,175,53.39,20.54,26.95,20.54,14.71,26.95,2093.7999999999997

47,11:30-11:45,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,80.59,8.59,161,53.39,20.54,26.95,20.54,14.71,26.95,2073.5099999999993

48,11:45-12:00,53.15,0,0,0,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,83.69,8.59,161,53.39,20.54,26.95,20.54,14.71,26.95,2076.609999999999

49,12:00-12:15,53.15,0,0,135.3,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,85.7,8.59,161,53.39,20.54,26.97,20.54,14.61,26.97,2213.8599999999988

50,12:15-12:30,53.15,0,0,135.3,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,86,8.59,161,53.39,20.54,26.97,20.54,14.61,26.97,2214.159999999999

51,12:30-12:45,53.15,0,0,135.3,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,90.73,8.59,123,53.39,20.54,26.97,20.54,14.61,26.97,2180.889999999999

52,12:45-13:00,53.15,0,0,135.3,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,90.3,8.59,123,53.39,20.54,26.97,20.54,14.61,26.97,2180.459999999999

53,13:00-13:15,53.15,0,0,135.3,0,90.36,0,0,0,0,129.13,0,41.07,11.6,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,1.93,20.54,11.92,5.8,41.07,19.33,164.29,89.81,8.59,112,53.39,20.54,26.97,20.54,14.61,26.97,2168.969999999999

54,13:15-13:30,53.15,0,0,135.3,0,90.36,0,0,0,0,129.13,0,41.07,12.56,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0.97,20.54,11.92,5.8,41.07,19.33,164.29,89.31,8.59,112,53.39,20.54,26.97,20.54,14.61,26.97,2168.469999999999

55,13:30-13:45,53.15,0,0,135.3,0,90.36,0,0,0,0,129.13,0,41.07,12.56,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0.97,20.54,11.92,5.8,41.07,19.33,164.29,88.62,8.59,140,53.39,20.54,26.97,20.54,14.61,26.97,2195.7799999999993

56,13:45-14:00,53.15,0,0,135.3,0,90.36,0,0,0,0,129.13,0,41.07,12.56,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0.97,20.54,11.92,5.8,41.07,19.33,164.29,87.8,8.59,140,53.39,20.54,26.97,20.54,14.61,26.97,2194.959999999999

57,14:00-14:15,53.15,0,0,135.3,0,90.36,0,96.64,144.96,144.96,129.13,0,41.07,12.56,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0.97,20.54,11.92,5.8,41.07,19.33,164.29,90.96,7.25,133,53.39,20.54,26.97,20.54,14.8,26.97,2576.5299999999993

58,14:15-14:30,53.15,0,0,135.3,0,90.36,0,96.64,144.96,144.96,129.13,0,41.07,12.56,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0.97,20.54,11.92,5.8,41.07,19.33,164.29,89.34,7.25,126,53.39,20.54,26.97,20.54,14.8,26.97,2567.9099999999994

59,14:30-14:45,53.15,0,0,135.3,0,90.36,0,96.64,144.96,144.96,129.13,0,41.07,12.56,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0.97,20.54,11.92,5.8,41.07,19.33,164.29,86.8,7.21,119,53.39,20.54,26.97,20.54,14.8,26.97,2558.3299999999995

60,14:45-15:00,53.15,0,0,135.3,0,90.36,0,96.64,144.96,144.96,129.13,0,41.07,12.56,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0.97,20.54,11.92,5.8,41.07,19.33,164.29,83.65,7.21,119,53.39,20.54,26.97,20.54,14.8,26.97,2555.1799999999994

61,15:00-15:15,53.15,0,0,135.3,0,90.36,0,96.64,144.96,144.96,129.13,0,41.07,13.53,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0,20.54,11.92,5.8,41.07,19.33,164.29,79.43,6.47,119,53.39,20.54,26.97,20.54,15.08,26.97,2550.4999999999986

62,15:15-15:30,53.15,0,0,135.3,0,90.36,0,96.64,144.96,144.96,129.13,0,41.07,13.53,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0,20.54,11.92,5.8,41.07,19.33,164.29,74.63,6.47,112,53.39,20.54,26.97,20.54,15.08,26.97,2538.699999999999

63,15:30-15:45,53.15,0,0,135.3,0,90.36,0,96.64,144.96,144.96,129.13,0,41.07,13.53,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0,20.54,11.92,5.8,41.07,19.33,164.29,69.36,6.18,109,53.39,20.54,26.97,20.54,15.08,26.97,2530.139999999999

64,15:45-16:00,53.15,0,0,135.3,0,90.36,0,96.64,144.96,144.96,129.13,0,41.07,13.53,96.64,0,0,0,0,0,0,20.54,15.83,0,0,0,0,0,0,0.97,0,0,0,20.54,0,1.93,0,0,0,0,11.91,34.79,41.07,0,76.94,41.07,34.79,28.03,24.88,7.73,17.4,11.6,164.53,34.79,19.33,164.29,164.29,15.32,20.85,0,20.54,11.92,5.8,41.07,19.33,164.29,64.43,6.05,102,53.39,20.54,26.97,20.54,15.08,26.97,2518.079999999999

65,16:00-16:15,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,135.3,0,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,53.15,0,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0,20.54,11.92,0,41.07,0,0,59.73,3.97,95,53.39,20.54,26.97,20.54,15.72,26.97,2779.059999999999

66,16:15-16:30,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,135.3,0,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,53.15,0,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0,20.54,11.92,0,41.07,0,0,55.22,4.24,84,53.39,20.54,26.97,20.54,15.72,26.97,2763.819999999999

67,16:30-16:45,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,135.3,0,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,53.15,0,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0,20.54,11.92,0,41.07,0,0,50.86,4.18,74,53.39,20.54,26.97,20.54,15.72,26.97,2749.399999999999

68,16:45-17:00,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,135.3,0,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,53.15,0,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,17.4,0,164.53,0,19.33,164.29,0,15.32,20.85,0,20.54,11.92,0,41.07,0,0,46.54,4.45,67,53.39,20.54,26.97,20.54,15.72,26.97,2738.349999999999

69,17:00-17:15,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,135.3,0,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,0,0,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,0,20.54,11.92,0,41.07,0,0,35.77,0,60,53.39,20.54,26.97,20.54,16.47,26.97,2675.389999999999

70,17:15-17:30,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,135.3,0,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,0,0,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,0,20.54,11.92,0,41.07,0,0,31.82,0,49,53.39,20.54,26.97,20.54,16.47,26.97,2660.439999999999

71,17:30-17:45,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,135.3,0,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,0,0,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,0,20.54,11.92,0,41.07,0,0,27.78,0,42,53.39,20.54,26.97,20.54,19.24,26.97,2652.169999999999

72,17:45-18:00,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,135.3,0,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,0,0,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,19.33,164.29,0,15.32,20.85,0,20.54,11.92,0,41.07,0,0,23.07,0,32,53.39,20.54,26.97,20.54,19.24,26.97,2637.459999999999

73,18:00-18:15,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,164.29,0,0,20.85,0,20.54,11.92,0,41.07,0,0,17.89,0,25,53.39,20.54,26.56,20.54,18.78,29,2470.99

74,18:15-18:30,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,0,217.44,0,76.94,164.29,0.87,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,164.29,0,0,20.85,0,20.54,11.92,0,41.07,0,0,12.42,0,21,53.39,20.54,26.56,20.54,18.78,29,2461.52

75,18:30-18:45,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,0,76.94,164.29,0.87,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,164.29,0,0,20.85,0,20.54,11.92,0,41.07,0,0,7.56,0,15,53.39,20.54,26.56,20.54,18.78,29,2469.99

76,18:45-19:00,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,0,76.94,164.29,0.87,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,164.29,0,0,20.85,0,20.54,11.92,0,41.07,0,0,3.59,0,10,53.39,20.54,26.56,20.54,18.78,29,2461.02

77,19:00-19:15,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,0,76.94,164.29,0.87,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,164.29,0,0,20.85,0,20.54,11.92,0,41.07,0,0,0,0,5,53.39,20.54,25.55,20.54,18.78,29,2451.42

78,19:15-19:30,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,0,76.94,164.29,0.87,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,164.29,0,0,20.85,0,20.54,11.92,0,41.07,0,0,0,0,1,53.39,20.54,25.55,20.54,18.78,29,2447.42

79,19:30-19:45,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,0,76.94,164.29,0.87,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,164.29,0,0,20.85,0,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,19.48,20.54,18.78,29,2440.35

80,19:45-20:00,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,5.8,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,0,76.94,164.29,0.87,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,164.29,0,0,20.85,0,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,19.48,20.54,18.78,29,2440.35

81,20:00-20:15,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,76.94,164.29,0.92,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,0,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,0,20.54,18.31,29,2441.7099999999996

82,20:15-20:30,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,76.94,164.29,0.92,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,0,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,0,20.54,18.31,29,2441.7099999999996

83,20:30-20:45,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,76.94,164.29,0.92,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,0,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,0,20.54,18.31,29,2441.7099999999996

