Column1,Block,NR/2024/23125/C,NR/2024/21658/A/37138,NR/2024/22837/A/37411,NR/2024/22839/A/37414,NR/2024/22820/A/37148,NR/2024/23127/C,NR/2024/22802/A/37415,NR/2024/23128/C,NR/2024/22860/A/37335,NR/2024/22848/A/37338,NR/2024/22832/A/37413,NR/2024/22833/A/37412,NR/2024/22816/A/37159,NR/2024/23038/A/37144,NR/2024/23017/A/37174,NR/2024/22874/A/37416,NR/2024/22888/A/37323,NR/2024/22753/A/37438,NR/2024/23113/C,NR/2024/22835/A/37392,NR/2024/22754/A/37436,NR/2024/22734/A/37362,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/3451,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6020,Total
84,20:45-21:00,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,13.13,0,20.58,18.4,41.16,82.32,82.32,1010.2199999999998

85,21:00-21:15,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.95,0,20.58,18.4,41.16,82.32,82.32,1010.04

86,21:15-21:30,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.95,0,20.58,18.4,41.16,82.32,82.32,1010.04

87,21:30-21:45,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.95,0,20.58,18.4,41.16,82.32,82.32,1010.04

88,21:45-22:00,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,11.62,0,43.58,0,53.27,91.04,0,96.85,8.8,0,0,0,17.51,41.16,12.95,0,20.58,18.4,41.16,82.32,82.32,1010.04

89,22:00-22:15,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,10.65,0,43.58,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.76,0,20.58,18.4,41.16,82.32,82.32,1250.9999999999998

90,22:15-22:30,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,10.65,0,43.58,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.76,0,20.58,18.4,41.16,82.32,82.32,1250.9999999999998

91,22:30-22:45,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.76,0,20.58,18.4,41.16,82.32,82.32,1274.25

92,22:45-23:00,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,0,17.51,41.16,12.76,0,20.58,18.4,41.16,82.32,82.32,1274.25

93,23:00-23:15,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,67.8,181.59,53.27,94.33,60.53,96.85,8.8,0,0,0,17.51,41.16,12.48,0,20.58,18.4,41.16,82.32,82.32,1277.26

94,23:15-23:30,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,67.8,181.59,53.27,94.33,60.53,96.85,8.8,0,0,0,17.51,41.16,12.48,0,20.58,18.4,41.16,82.32,82.32,1277.26

95,23:30-23:45,0,0.77,26.41,8.8,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,9.68,0,67.8,181.59,53.27,94.33,60.53,96.85,8.8,0,0,0,17.51,41.16,12.48,0,20.58,18.4,41.16,82.32,82.32,1277.26

96,23:45-24:00,0,0.77,26.41,8.8,4.84,164.89,0,28.09,9.68,84.43,26.41,26.41,0,3.87,9.68,0,67.8,181.59,53.27,94.33,60.53,96.85,8.8,0,0,0,17.51,41.16,12.48,0,20.58,18.4,41.16,82.32,82.32,1273.3799999999999

