Column1,Time,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2024/09/27/1738,GNA/NR/2024/09/01/7119,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,GNA/NR/2024/09/27/4611,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/16/2535,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/09/01/8090,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,NR/01082024/30092024/LT_MEJA_DELHI,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07
80,19:45-20:00,75.67,0,13.21,75.67,28.34,30.84,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0,6.39,0,0,6.93,32,69.48,0,88.18,4.37,9.79,0,29.78,12.46,1.96,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92.5,30.83

81,20:00-20:15,75.33,0,7.8,75.33,28.34,30.84,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0,6.39,0,0,6.7,32,69.48,0,88.18,4.65,9.7,0,30.78,12.46,32,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92.5,30.83

82,20:15-20:30,75,0,7.6,75,28.34,30.84,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0,6.39,0,0,6.7,32,69.48,0,88.18,4.65,9.7,0,30.78,12.46,32,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92.5,30.83

83,20:30-20:45,74.67,0,7.4,74.67,28.34,30.84,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0,6.23,0,0,6.7,32,69.48,0,88.18,4.65,9.7,0,30.78,12.46,1.96,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92.5,30.83

84,20:45-21:00,74.33,0,7.4,74.33,25,30.66,0,0,0,0,193.54,24.78,232.25,273.62,115.66,0,6.23,0,0,6.7,32,69.48,0,88.18,4.65,9.7,0,30.78,12.46,1.96,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,92,30.67

85,21:00-21:15,74,0,7.4,74,25,30.5,0,0,0,0,193.54,17.5,232.25,273.62,115.66,0,6.23,0,0,6.15,32,69.48,0,88.18,4.65,8.86,0,30.27,12.46,14.56,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,91.5,30.5

86,21:15-21:30,73.67,0,7.8,73.67,25.34,30.34,0,0,0,0,193.54,17.5,232.25,273.62,115.66,0,6.23,0,0,6.15,32,69.48,0,88.18,4.65,8.86,0,30.27,8.8,14.56,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,91,30.33

87,21:30-21:45,73.33,0,7.41,73.33,25.66,26,0,0,0,0,193.54,17.5,232.25,273.62,109.03,0,6.07,0,0,6.15,23.28,69.48,0,88.18,4.65,8.86,0,30.27,8.8,23.28,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,78,26

88,21:45-22:00,72.67,0,7.41,72.67,26,25.66,0,0,0,0,193.54,17.5,232.25,273.62,109.03,0,6.07,0,0,6.15,23.28,69.48,0,88.18,4.65,8.86,0,29.26,8.8,23.28,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,77,25.67

89,22:00-22:15,72,0,7.41,72,26.34,25.34,0,0,0,0,193.54,17.5,205.45,273.62,66.36,0,6.07,0,0,5.78,26.87,69.48,0,88.18,4.51,8.78,163.3,31.29,8.8,26.87,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,76,25.33

90,22:15-22:30,71.67,0,7.41,71.67,26.66,25.16,0,0,0,0,193.54,17.5,205.45,273.62,66.36,0,6.07,0,0,5.78,26.87,69.48,0,88.18,4.51,8.78,163.3,31.29,8.8,26.87,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,75.5,25.17

91,22:30-22:45,71,0,7.41,71,27.34,30,0,0,0,0,193.54,17.5,205.45,273.62,66.36,0,6.07,0,0,5.78,26.87,69.48,0,88.18,4.51,8.78,163.3,30.28,8.8,26.87,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,90,30

92,22:45-23:00,70.67,0,7.41,70.67,27.66,30,0,0,0,0,193.54,17.5,232.25,273.62,66.36,0,6.07,0,0,5.78,26.87,69.48,0,88.18,4.51,8.78,163.3,30.28,8.8,26.87,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,90,30

93,23:00-23:15,70,0,7.41,70,28,30,0,0,0,0,193.54,17.5,205.45,273.62,66.36,0,6.07,0,0,5.78,26.87,69.48,0,88.18,4.37,8.78,163.3,29.27,8.8,26.87,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,90,30

94,23:15-23:30,70,0,7.41,70,28.34,30,0,0,0,0,193.54,17.5,205.45,273.62,66.36,0,6.07,0,0,5.78,26.87,69.48,0,88.18,4.37,8.78,163.3,29.27,8.8,26.87,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,90,30

95,23:30-23:45,70,0,7.41,70,28.34,30,0,0,0,0,193.54,17.5,205.45,273.62,66.36,0,4.67,0,0,5.78,26.87,69.48,0,88.18,4.37,8.78,163.3,29.27,8.8,26.87,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,90,30

96,23:45-24:00,70,0,7.41,70,28.34,30,0,0,0,0,193.54,17.5,205.45,273.62,66.36,0,4.67,0,0,5.78,26.87,69.48,0,88.18,4.37,8.78,163.3,29.27,8.8,26.87,0,24.19,96.77,21.77,2.42,7.96,0,0,0,0,0,0,0,90,30

