Time,Block,NR/01082024/31082024/jitpl,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/SKS-Raigarh,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/21860/A/30183,NR/2024/22191/C,NR/2024/21956/A/30240,NR/2024/21971/A/30193,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21868/A/30029,NR/2024/21871/A/30028,NR/2024/22190/C,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/14082046/L_NR_2021_16,NR/2024/22080/A/30040,NR/2024/21875/A/30021,NR/2024/21909/A/30173,NR/2024/21966/A/30052,NR/2024/21872/A/30031,NR/2024/21938/A/30223,NR/2024/21954/A/30234,NR/2024/21983/A/29985,NR/2024/21961/A/30195,NR/2024/22010/A/30283,NR/2024/21876/A/30024,NR/2024/22014/A/29931,NR/01102023/02012046/L_NR_2021_17,NR/2024/21970/A/30192,NR/01102023/23072042/L_NR_2012_04,NR/2024/21943/A/30233,NR/2024/21870/A/30027,NR/2024/21940/A/30237,NR/2024/22198/C,NR/2024/21932/A/30006,NR/02082024/02082024/HPX-TAMCTG-010824-01953,NR/2024/21873/A/30020,NR/2024/22081/A/30182,NR/2024/21869/A/30030,NR/2024/22204/C,NR/2024/21974/A/30196,NR/2024/22205/C,NR/2024/21968/A/30191,NR/2024/22206/C,NR/2024/21918/A/30286,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22214/C,NR/2024/21814/A/30197,NR/2024/22202/C,NR/2024/21658/A/29935,NR/2024/22042/A/30033,Total
81,20:00-20:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,18.200000,37.080000,48.160000,15.410000,0.920000,3.850000,1714

82,20:15-20:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,11.560000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,18.200000,35.260000,48.160000,15.410000,0.920000,3.850000,1712.18

83,20:30-20:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,18.200000,34.930000,48.160000,15.410000,0.920000,3.850000,1710.89

84,20:45-21:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,18.200000,35.750000,48.160000,15.410000,0.920000,3.850000,1711.71

85,21:00-21:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,18.200000,35.070000,48.160000,15.410000,0.920000,3.850000,1711.03

86,21:15-21:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,18.200000,35.770000,48.160000,15.410000,0.920000,3.850000,1711.73

87,21:30-21:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,18.200000,37.000000,48.160000,15.410000,0.920000,3.850000,1712.96

88,21:45-22:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,18.200000,38.720000,48.160000,15.410000,0.920000,3.850000,1714.68

89,22:00-22:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,17.740000,39.870000,48.160000,15.410000,0.920000,3.850000,1823.73

90,22:15-22:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,43.340000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,17.740000,41.260000,48.160000,15.410000,0.920000,3.850000,1825.12

91,22:30-22:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,17.740000,43.380000,48.160000,15.410000,0.920000,3.850000,1851.32

92,22:45-23:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,10.600000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,17.740000,45.060000,48.160000,15.410000,0.920000,3.850000,1853

93,23:00-23:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,17.290000,46.720000,48.160000,15.410000,0.870000,3.850000,1853.19

94,23:15-23:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,17.290000,46.710000,48.160000,48.160000,0.870000,3.850000,1885.93

95,23:30-23:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,17.290000,46.160000,48.160000,48.160000,0.870000,3.850000,1885.38

96,23:45-24:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,0.000000,0.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,0.000000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,96.320000,37.210000,48.160000,90.540000,17.290000,44.060000,48.160000,48.160000,0.870000,3.850000,1883.28

