Column1,Block,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/4698,NR/30092023/31122025/SH-07,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,SR/2024/15456/A/50508,NER/2024/2820/A/50774,NR/30092023/26122029/SH-06,NR/2024/24508/A/50824,NR/2024/24614/A/50825,NR/2024/24507/A/50823,GNA/NR/2025/01/20/5216,NR/2024/24418/A/50494,NR/2024/24435/A/50504,WR/2024/25501/A/50777,NR/2025/24986/C,NR/2024/24566/A/50496,NR/2025/24987/C,NR/2025/24985/C,NR/2025/24837/A/50591,NR/2025/24838/A/50594,NR/2024/24434/A/50505,NR/2025/24839/A/50596,NR/2025/24998/C,NR/2025/24997/C,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/6775,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,Total
78,19:15-19:30,28.82,20.17,5.76,7.69,0,30.74,34.59,30,50,115.28,38.43,0,14.41,0,28.82,9.61,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,981.1499999999999

79,19:30-19:45,28.82,20.17,5.76,7.69,0,30.74,34.59,30,50,115.28,38.43,0,14.41,0,28.82,9.61,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,981.1499999999999

80,19:45-20:00,28.82,20.17,5.76,7.69,0,30.74,34.59,30,50,115.28,38.43,0,14.41,0,28.82,9.61,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,96.07,8.65,48.04,48.04,34.59,50,90.31,26.9,19.21,48.04,1.29,34.59,981.1499999999999

81,20:00-20:15,28.82,20.17,0,0,0,0,31.7,30,50,153.71,38.43,0,14.41,0,28.82,0,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,31.7,50,0,26.9,19.21,48.04,1.29,31.7,770.7299999999999

82,20:15-20:30,28.82,20.17,0,0,0,0,31.7,30,50,153.71,38.43,0,14.41,0,28.82,0,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,31.7,50,0,26.9,19.21,48.04,1.29,31.7,770.7299999999999

83,20:30-20:45,28.82,20.17,0,0,0,0,31.7,30,50,153.71,38.43,0,14.41,0,28.82,0,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,31.7,50,0,26.9,19.21,48.04,1.29,31.7,770.7299999999999

84,20:45-21:00,28.82,20.17,0,0,0,0,31.7,30,50,153.71,38.43,0,14.41,0,28.82,0,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,31.7,50,0,26.9,19.21,48.04,1.29,31.7,770.7299999999999

85,21:00-21:15,28.82,20.17,0,0,0,0,25.94,30,50,269,0,0,14.41,0,28.82,0,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,50,0,26.9,19.21,48.04,1.29,31.7,836.0699999999999

86,21:15-21:30,28.82,20.17,0,0,0,0,25.94,30,50,269,0,0,14.41,0,28.82,0,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,50,0,26.9,19.21,48.04,1.29,31.7,836.0699999999999

87,21:30-21:45,28.82,20.17,0,0,0,0,25.94,30,50,269,0,0,14.41,0,28.82,0,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,50,0,26.9,19.21,48.04,1.29,31.7,836.0699999999999

88,21:45-22:00,28.82,20.17,0,0,0,0,25.94,30,50,269,0,0,14.41,0,28.82,0,0.58,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,50,0,26.9,19.21,48.04,1.29,31.7,836.0699999999999

89,22:00-22:15,28.82,20.17,0,0,0,0,25.94,30,50,288.21,0,0,14.41,0,28.82,0,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,31.7,805.18

90,22:15-22:30,28.82,20.17,0,0,0,0,25.94,30,50,288.21,0,0,14.41,0,28.82,0,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,31.7,805.18

91,22:30-22:45,28.82,20.17,0,0,0,0,25.94,30,50,288.21,0,0,14.41,0,28.82,0,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,31.7,805.18

92,22:45-23:00,28.82,20.17,0,0,0,0,25.94,30,50,288.21,0,0,14.41,0,28.82,0,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,25.94,0,0,26.9,19.21,48.04,1.29,31.7,805.18

93,23:00-23:15,28.82,20.17,0,0,0,0,23.06,30,50,288.21,0,0,14.41,0,28.82,0,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,790.7799999999997

94,23:15-23:30,28.82,20.17,0,0,0,0,23.06,30,50,288.21,0,0,14.41,0,28.82,0,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,790.7799999999997

95,23:30-23:45,28.82,20.17,0,0,0,0,23.06,30,50,288.21,0,0,14.41,0,28.82,0,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,790.7799999999997

96,23:45-24:00,28.82,20.17,0,0,0,0,23.06,30,50,288.21,0,0,14.41,0,28.82,0,0.48,16.33,38.43,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,790.7799999999997

