Column1,Block,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/2171,NR/2024/23050/C,GNA/NR/2024/09/01/7119,NR/2024/23056/C,NR/2024/23017/A/36376,NR/2024/22835/A/36578,NR/30092023/26122029/SH-06,NR/2024/22837/A/36609,NR/2024/22820/A/36356,NR/2024/22816/A/36521,NR/2024/22802/A/36612,NR/2024/22734/A/36667,GNA/NR/2024/09/01/6020,NR/2024/23051/C,NR/2024/22754/A/36573,GNA/NR/2024/09/01/9821,NR/2024/22839/A/36607,NR/2024/22753/A/36574,NR/2024/22848/A/36596,NR/2024/22888/A/36587,NR/2024/22860/A/36593,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/7908,NR/2024/23038/A/36555,NR/2024/22832/A/36611,NR/2024/22833/A/36610,NR/2024/21658/A/36332,NR/2024/22874/A/36614,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2024/23052/C,NR/2024/23057/C,NR/2024/22898/A/36387,NR/2024/22899/A/36388,Total
73,18:00-18:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,13.68,26.91,0.11,0,0,0,1323.5900000000001

74,18:15-18:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,25.16,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,13.68,26.91,0.04,0,0,0,1323.5200000000002

75,18:30-18:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,13.68,26.91,0,0,0,0,1341.9

76,18:45-19:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,13.68,26.91,0,0,0,0,1341.9

77,19:00-19:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.33,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,14.6,26.91,0,0,0,0,1342.24

78,19:15-19:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.33,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,14.6,26.91,0,0,0,0,1342.24

79,19:30-19:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.33,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,14.6,26.91,0,0,0,0,1342.24

80,19:45-20:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.33,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.82,48.42,14.6,26.91,0,0,0,0,1342.24

81,20:00-20:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.6,26.91,0,0,0,0,1342.77

82,20:15-20:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.6,26.91,0,0,0,0,1342.77

83,20:30-20:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.6,25.46,0,0,0,0,1341.32

84,20:45-21:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.6,25.46,0,0,0,0,1341.32

85,21:00-21:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,25.46,0,0,0,0,1341.05

86,21:15-21:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,25.46,0,0,0,0,1341.05

87,21:30-21:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,25.46,0,0,0,0,1341.05

88,21:45-22:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,11.62,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,0,0,6.78,0,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,25.46,0,0,0,0,1341.05

89,22:00-22:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,10.65,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,26.91,0,0,0,0,1583.6499999999999

90,22:15-22:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,10.65,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,43.58,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,26.91,0,0,0,0,1583.6499999999999

91,22:30-22:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,9.68,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,26.91,0,0,0,0,1606.9

92,22:45-23:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,9.68,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,26.91,0,0,0,0,1606.9

93,23:00-23:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,9.68,94.33,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,26.91,0,0,0,0,1610.19

94,23:15-23:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,9.68,94.33,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,26.91,0,0,0,0,1610.19

95,23:30-23:45,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,9.68,94.33,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,26.91,0,0,0,0,1610.19

96,23:45-24:00,96.85,24.21,12.47,48.42,2.42,242.12,24.8,28.09,9.68,94.33,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,0,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.77,48.42,14.33,26.91,0,0,0,0,1610.19

