Column1,Block,NR/2025/33869/C,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/1196,NR/2025/33875/C,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33868/C,GNA/NR/2025/08/01/2414,NR/2025/29992/A/98022,NR/2025/33870/C,GNA/NR/2025/08/01/4452,NR/2025/32397/A/97707,NR/2025/33656/A/98161,NR/2025/33637/A/98112,NR/2025/31049/A/98168,NR/2025/32534/A/98065,NR/2025/31048/A/98169,NR/2025/33633/A/98113,NR/2025/33845/C,NR/2025/33469/A/97789,NR/2025/32262/A/97729,NR/2025/32375/A/98149,NR/2025/32559/A/98267,NR/2025/33847/C,NR/2025/31045/A/98170,NR/2025/32610/A/98266,NR/2025/33848/C,NR/2025/31043/A/98171,NR/2025/29440/A/97646,NR/2025/33849/C,NR/2025/32455/A/98146,NR/2025/32004/A/98271,NR/2025/32534/A/98066,NR/2025/33834/C,NR/2025/31421/A/98156,NR/2025/33670/A/98077,NR/2025/33833/C,NR/2025/32556/A/98268,NR/2025/32535/A/98068,NR/2025/32535/A/98067,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/97863,NR/2025/32532/A/98063,NR/2025/32532/A/98062,NR/2025/33632/A/98114,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,Total
56,13:45-14:00,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,14.6,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,0,0,82.05,0,0,0.39,0.19,83.83,161,0.58,0.48,1.16,14.62,14.62,1431.2099999999998

57,14:00-14:15,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,14.6,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,96.53,0,82.05,96.53,0,0.39,0.19,81.5,161,0.58,0.48,1.16,14.62,14.62,1621.9399999999998

58,14:15-14:30,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,14.6,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,96.53,0,82.05,96.53,0,0.39,0.19,78.4,161,0.58,0.48,1.16,14.62,14.62,1618.84

59,14:30-14:45,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,14.6,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,96.53,0,82.05,96.53,0,0.29,0.19,75.3,158,0.68,0.48,1.16,14.62,14.62,1612.7399999999998

60,14:45-15:00,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,14.6,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,96.53,0,82.05,96.53,0,0.29,0.19,72.2,151,0.68,0.48,1.16,14.62,14.62,1602.6399999999999

61,15:00-15:15,10.8,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.39,96.53,0,82.05,96.53,0,0.29,0.19,67.67,140,0.68,0.48,1.16,14.62,14.62,1593.6899999999998

62,15:15-15:30,10.8,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.37,96.53,0,82.05,96.53,0,0.37,0.19,63.15,133,0.64,0.48,1.16,14.62,14.62,1582.1899999999996

63,15:30-15:45,10.8,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.45,96.53,0,82.05,96.53,0,0.37,0.19,67.41,126,0.64,0.48,1.16,14.62,14.62,1579.5299999999997

64,15:45-16:00,10.8,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,48.26,41.03,44.4,48.26,15.3,0,164.1,1.64,0,0.29,0,1.45,76.86,13.51,0,0,0,43.87,0,0,43.87,0,0.97,37.3,0,0,0.77,96.53,0,82.05,96.53,0,0.5,0.19,62.21,119,0.97,0.48,1.16,14.62,14.62,1568.1099999999997

65,16:00-16:15,10.8,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,96.53,0.29,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,0,76.86,0.77,0,48.26,82.05,0,43.87,0.44,0.19,55.91,98,0.97,0.48,0,14.62,14.62,1536.3999999999994

66,16:15-16:30,10.8,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,96.53,0.29,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,0,76.86,0.77,0,48.26,82.05,0,43.87,0.39,0.19,49.61,88,0.97,0.48,0,14.62,14.62,1520.0499999999993

67,16:30-16:45,10.8,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,96.53,0.29,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,0,76.86,0.77,0,48.26,82.05,0,43.87,0.34,0.19,43.32,84,0.97,0.48,0,14.62,14.62,1509.7099999999991

68,16:45-17:00,8.84,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,44.4,0,15.3,0,164.1,0,96.53,0.29,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,0,76.86,0.77,0,48.26,82.05,0,43.87,0.23,0.19,37.01,74,0.97,0.48,0,14.62,14.62,1491.3299999999992

69,17:00-17:15,8.19,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.68,0,41.03,44.4,0,15.3,8.69,164.1,0,96.53,0.29,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,0,76.86,0.77,0,48.26,82.05,0,43.87,0.1,0.19,27.77,67,0.97,0.48,0,14.62,14.62,1483.4599999999994

70,17:15-17:30,7.91,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.68,0,41.03,44.4,0,15.3,8.69,164.1,0,96.53,0.29,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,0,76.86,0.77,0,48.26,82.05,0,43.87,0,0.19,22.96,56,0.97,0.48,0,14.62,14.62,1467.2699999999993

71,17:30-17:45,7.72,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.68,0,41.03,44.4,0,15.3,8.69,164.1,0,96.53,0.29,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,0,76.86,0.77,0,48.26,82.05,0,43.87,0,0.19,18.15,46,0.97,0.48,0,14.62,14.62,1452.2699999999995

72,17:45-18:00,7.79,0,20.51,82.05,82.05,20.83,29.03,19.31,193.06,20.51,0,19.68,0,41.03,44.4,0,15.3,8.69,164.1,0,96.53,0.29,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,0,76.86,0.77,0,48.26,82.05,0,43.87,0,0.19,13.35,35,0.97,0.48,0,14.62,14.62,1436.5399999999993

73,18:00-18:15,8.61,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,19.68,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0.18,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,48.26,76.86,0.77,0,48.26,82.05,0,43.87,0,0.13,10.69,21,0.97,0.3,0,14.62,14.62,1385.7399999999996

74,18:15-18:30,6.26,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,19.68,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0.09,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,48.26,76.86,0.77,0,48.26,82.05,0,43.87,0,0.06,8.03,14,0.97,0.14,0,14.62,14.62,1373.4099999999996

75,18:30-18:45,4.08,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,19.68,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0.02,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,48.26,76.86,0.77,0,48.26,82.05,0,43.87,0,0.01,5.37,7,0.97,0.03,0,14.62,14.62,1361.3399999999995

76,18:45-19:00,2.62,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,19.68,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.87,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,1.24,5,0,0,0,14.62,14.62,1351.9499999999996

77,19:00-19:15,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,0.7,1,0,0,0,14.62,14.62,1342.5399999999993

78,19:15-19:30,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1340.8399999999992

79,19:30-19:45,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1340.8399999999992

80,19:45-20:00,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,0,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1340.8399999999992

81,20:00-20:15,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1395.1399999999994

82,20:15-20:30,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1395.1399999999994

83,20:30-20:45,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1395.1399999999994

84,20:45-21:00,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,76.86,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1395.1399999999994

85,21:00-21:15,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1424.4599999999996

86,21:15-21:30,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1424.4599999999996

87,21:30-21:45,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1424.4599999999996

88,21:45-22:00,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1424.4599999999996

89,22:00-22:15,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1424.4599999999996

90,22:15-22:30,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,13.51,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1424.4599999999996

91,22:30-22:45,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,12.55,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1423.4999999999995

92,22:45-23:00,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,12.55,54.3,48.26,43.87,0,96.53,37.3,0,0,0.92,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1423.4999999999995

93,23:00-23:15,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,12.55,54.3,48.26,43.87,0,96.53,37.3,0,0,0.87,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1423.4499999999994

94,23:15-23:30,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,12.55,54.3,48.26,43.87,0,96.53,37.3,0,0,0.87,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1423.4499999999994

95,23:30-23:45,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,12.55,54.3,48.26,43.87,0,96.53,37.3,0,0,0.87,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1423.4499999999994

96,23:45-24:00,0,0,20.51,33.79,82.05,20.83,29.03,0,193.06,20.51,0,17.38,0,41.03,44.4,0,0,8.69,164.1,0,96.53,0,0,0,0,12.55,54.3,48.26,43.87,0,96.53,37.3,0,0,0.87,0,48.26,106.18,0,0,48.26,82.05,0,43.87,0,0,0,0,0,0,0,14.62,14.62,1423.4499999999994

