Column1,Block,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7452,GNA/NR/2025/09/01/4602,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/4314,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/6485,GNA/NR/2025/09/01/6755,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/2039,GNA/NR/2025/09/01/9418,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/9239,NR/2025/29440/A/101505,NR/2025/34529/A/101944,NR/2025/29910/A/101868,NR/2025/29992/A/101598,NR/2025/34676/A/102031,NR/2025/34527/A/101943,NR/2025/33476/A/101865,NR/2025/33479/A/101866,NR/2025/34499/A/101827,NR/2025/34545/A/102051,NR/2025/34323/A/101860,NR/2025/33226/A/102032,NR/2025/34818/C,NR/2025/34840/C,NR/2025/34528/A/101942,NR/2025/34904/C,NR/2025/34904/C/Alternate/1,NR/2025/34854/C,NR/2025/34854/C/Alternate/1,NR/2025/34856/C,NR/2025/34902/C,NR/2025/34874/C,NR/2025/34892/C,NR/2025/34903/C,NR/2025/34324/A/101852,NR/2025/34325/A/101851,NR/2025/34891/C,NR/2025/34893/C,NR/2025/34885/C,GNARE/NR/2024/12/20/3668,NR/2025/34710/A/101629,NR/2025/34712/A/101633,NR/2025/34713/A/101634,NR/2025/34683/A/101891,NR/2025/34682/A/101893,NR/2025/34683/A/101890,NR/2025/34615/A/101643,NR/2025/34681/A/101894,NR/2025/34681/A/101895,NR/2025/34682/A/101892,Total
50,12:15-12:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,19.7,93.33,1.64,1.45,1.16,0.43,0.77,0.48,161,0,0.67,0,1408.5800000000004

51,12:30-12:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,19.96,93.33,1.64,1.45,1.16,0.43,0.77,0.48,182,0,0.67,0,1429.8400000000004

52,12:45-13:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,20.24,93.33,1.64,1.45,1.16,0.43,0.77,0.48,182,0,0.67,0,1430.1200000000003

53,13:00-13:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,8.83,93.33,1.64,1.45,1.16,0.43,0.77,0.48,182,0,0.67,0,1422.8600000000004

54,13:15-13:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,8.83,93.3,1.64,1.45,1.16,0.43,0.77,0.48,182,0,0.67,0,1422.8300000000004

55,13:30-13:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,8.83,90.94,1.64,1.45,1.16,0.43,0.77,0.48,161,0,0.67,0,1399.4700000000005

56,13:45-14:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,0,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,8.83,88.97,1.64,1.45,1.16,0.43,0.77,0.48,161,0,0.67,0,1397.5000000000005

57,14:00-14:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,96.37,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,8.83,85.19,1.64,1.45,1.16,0.55,0.44,0.48,161,0,0.39,0,1489.6000000000004

58,14:15-14:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,96.37,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,8.83,81.85,1.64,1.45,1.16,0.55,0.44,0.48,158,0,0.39,0,1483.2600000000002

59,14:30-14:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,96.37,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,8.83,100,1.64,1.45,1.16,0.55,0.44,0.48,161,0,0.39,0,1504.4100000000003

60,14:45-15:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,96.37,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,8.83,100,1.64,1.45,1.16,0.52,0.41,0.48,161,0,0.37,0,1504.3300000000002

61,15:00-15:15,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,96.37,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,10.78,100,1.64,1.45,1.16,0.47,0.38,0.07,161,0.03,0.28,0.29,1506.0200000000002

62,15:15-15:30,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,96.37,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,10.78,96.67,1.64,1.45,1.16,0.96,0.77,0.48,158,0.19,0.67,0.29,1501.5300000000004

63,15:30-15:45,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,96.37,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,10.78,93.33,1.64,1.45,1.16,0.96,0.77,0.48,133,0.19,0.67,0.29,1473.1900000000003

64,15:45-16:00,20.48,61.44,36.86,15.27,40.96,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.96,81.91,31.97,44.33,0,0,0,0,0,0,0,0,13.49,96.37,0,192.74,0,0,0,40.96,48.18,122.87,43.8,48.18,0,0,43.8,39.42,10.78,88.33,1.64,1.45,1.16,0.96,0.77,0.48,123,0.19,0.67,0.29,1458.1900000000003

65,16:00-16:15,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,10.78,85.6,0,0,0,0.96,0.77,0,112,0,0.67,0.29,1439.4499999999998

66,16:15-16:30,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,10.78,65.98,0,0,0,0.96,0.77,0,102,0,0.67,0.29,1409.83

67,16:30-16:45,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,10.78,53.5,0,0,0,0.96,0.77,0,91,0,0.67,0.29,1386.35

68,16:45-17:00,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,8.83,39.21,0,0,0,0.96,0.77,0,77,0,0.67,0.29,1356.11

69,17:00-17:15,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,8.17,33.09,0,0,0,0.96,0.77,0,63,0,0.67,0.29,1335.33

70,17:15-17:30,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,7.89,27.19,0,0,0,0.42,0.34,0,49,0,0.3,0.29,1313.81

71,17:30-17:45,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,7.71,30.88,0,0,0,0,0,0.35,35,0.13,0,0.29,1302.74

72,17:45-18:00,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,7.78,24.86,0,0,0,0,0,0.48,25,0.19,0,0.29,1286.9799999999998

73,18:00-18:15,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,8.6,19.27,0,0,0,0,0,0.48,18,0.19,0,0.29,1240.6699999999998

74,18:15-18:30,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.87,81.91,31.97,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,43.8,39.42,0,0,6.24,14.32,0,0,0,0,0,0.33,11,0.13,0,0.2,1226.06

75,18:30-18:45,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.87,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,29.09,26.19,0,0,4.08,10.34,0,0,0,0,0,0.18,5,0.08,0,0.12,1201.9099999999996

76,18:45-19:00,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.87,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,192.74,0,0,0,0,0,0,0,0,29.09,26.19,0,0,2.61,6.73,0,0,0,0,0,0.05,1,0.02,0,0.03,1192.5499999999997

77,19:00-19:15,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,4.82,0,0,0,0,0,0,29.09,26.19,0,0,0,1.85,0,0,0,0,0,0,1,0,0,0,1189.83

78,19:15-19:30,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,4.82,0,0,0,0,0,0,29.09,26.19,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,1187.01

79,19:30-19:45,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,4.82,0,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

80,19:45-20:00,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,4.82,0,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

81,20:00-20:15,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,4.82,0,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

82,20:15-20:30,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,4.82,0,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

83,20:30-20:45,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

84,20:45-21:00,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

85,21:00-21:15,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

86,21:15-21:30,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

87,21:30-21:45,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

88,21:45-22:00,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

89,22:00-22:15,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

90,22:15-22:30,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,48.18,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,13.49,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.98

91,22:30-22:45,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,192.74,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330.58

92,22:45-23:00,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.92,81.91,192.74,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330.58

93,23:00-23:15,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.87,81.91,192.74,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330.53

94,23:15-23:30,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.87,81.91,192.74,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330.53

95,23:30-23:45,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.87,81.91,192.74,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330.53

96,23:45-24:00,20.48,0,36.86,0,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,0,4.15,14.6,14.6,28.98,0.87,81.91,192.74,44.33,48.18,61.44,0,96.37,122.87,40.96,43.8,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,29.09,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330.53

