Column1,Block,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/2341,NR/2025/26085/A/66870,NR/2025/26109/C,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/24/8633,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/4327,NR/2025/25945/A/66665,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6490,GNARE/NR/2024/12/20/3668,NR/2025/26031/A/66365,NR/2025/25752/A/66219,NR/2025/25955/A/66662,WR/2025/27361/A/66673,NR/2025/25947/A/66664,WR/2025/27350/A/66364,NR/2025/25948/A/66663,Total
88,21:45-22:00,2.88,19.23,0,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,5.77,0,28.97,24.04,43.7,0,14.57,1096.5400000000002

89,22:00-22:15,2.88,19.23,0,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,4.81,0,28.97,24.04,43.7,0,14.57,1095.5800000000002

90,22:15-22:30,2.88,19.23,0,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,4.81,0,28.97,24.04,43.7,0,14.57,1095.5800000000002

91,22:30-22:45,2.88,19.23,0,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,4.81,0,28.97,24.04,43.7,0,14.57,1095.5800000000002

92,22:45-23:00,2.88,19.23,0,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,4.81,0,28.97,24.04,43.7,0,14.57,1095.5800000000002

93,23:00-23:15,2.88,19.23,0.62,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1095.24

94,23:15-23:30,2.88,19.23,0.62,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1095.24

95,23:30-23:45,2.88,19.23,0.62,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1095.24

96,23:45-24:00,2.88,19.23,0.62,271.14,72.11,43.7,2.88,22.04,113.94,96.15,14.57,72.11,43.7,50,9.62,9.3,48.08,32,2.88,9.62,1.92,32,0,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1095.24

